Timestep,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0.021808057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,2.073595178,0,32.74709216,0,0,0,0,0,0,2.847783878,0,0,0,0,0,0.003422084,0,0,0,0,0,0.913297023,0,0,0,0,0,0,61.81010007
8,18.88950775,0.240733514,0,21.41811735,134.3239242,6.442461123,172.9629301,0.084974121,0,7.46E-06,0,0.062044987,0,203.5755768,15.94421021,64.23438168,0.007031689,0.038289484,0,34.73604039,4.508062977,0,0,1.043272647,0,196.4532436,38.96452185,4.570235347,0.324796096,0,0,0,799.9177005
9,81.92177683,26.77080548,0.78996662,182.9162091,394.9896662,100.6718275,357.3641268,16.29425158,0.025940369,1.540354469,0.228784467,99.44423557,60.48222305,652.183576,159.8818449,743.8948533,7.506909058,9.68135471,0.26114096,128.4095908,25.18114468,0.45348786,0,41.80932315,4.61902805,732.5151789,207.8142767,56.7918382,20.78485505,433.077789,0.10712638,22.11172618,1930.26668
10,140.1823675,79.68906616,35.93543166,383.3309118,621.9507269,226.1739281,502.6639192,65.63475879,3.851111767,7.886768284,14.18267825,1116.140135,496.4597105,1097.923268,309.5365957,1860.631716,33.88110894,34.3069884,4.12415744,210.8030345,45.43121583,49.29013696,3.752527959,163.9341535,548.4284907,1226.435044,400.6594384,111.8121486,56.3792767,6042.742128,10.51796848,119.3809201,2831.949136
