Timestep,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Great Britain,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0.021808057,0,0,0,0,0.062044987,0,0,0,0,0,0,0,0,0,0.003422084,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18.88950775,0.240733514,0.78996662,21.41811735,2.073595178,6.442461123,32.74709216,0.084974121,0,0,0,99.44423557,0,0,2.847783878,15.94421021,0,64.23438168,0,0,0,34.73604039,4.508062977,0.45348786,0,1.043272647,4.61902805,0.913297023,38.96452185,4.570235347,0.324796096,433.077789,0,0,61.81010007
9,81.92177683,26.77080548,35.93543166,182.9162091,134.3239242,100.6718275,172.9629301,16.29425158,0.025940369,7.46E-06,0,1116.140135,60.48222305,26.31088417,203.5755768,159.8818449,4.437894731,743.8948533,0.007031689,0.038289484,0.26114096,128.4095908,25.18114468,49.29013696,0,41.80932315,548.4284907,196.4532436,207.8142767,56.7918382,20.78485505,6042.742128,0.10712638,22.11172618,799.9177005
10,140.1823675,79.68906616,117.7205951,383.3309118,394.9896662,226.1739281,357.3641268,65.63475879,3.851111767,1.540354469,0.228784467,2552.009667,496.4597105,266.8694147,652.183576,309.5365957,167.9219085,1860.631716,7.506909058,9.68135471,4.12415744,210.8030345,45.43121583,163.8451632,3.752527959,163.9341535,1606.972952,732.5151789,400.6594384,111.8121486,56.3792767,13807.25042,10.51796848,119.3809201,1930.26668
11,179.7649344,123.7568087,173.6703703,529.3195921,621.9507269,322.1883182,502.6639192,143.6349553,10.52946898,7.886768284,14.18267825,3628.354444,1076.726397,626.6668308,1097.923268,409.7216831,328.5606676,2778.907251,33.88110894,34.3069884,9.65683143,264.934928,59.53020663,280.6625801,128.0615448,325.7180267,2502.531283,1226.435044,551.9310844,164.0018353,84.25851046,20082.77126,99.34009789,218.1210563,2831.949136
12,196.0102795,170.4819774,185.4315843,596.5095971,778.7864066,377.6575354,567.3605577,222.4626814,15.41347571,12.87600981,51.98028986,4044.640832,1538.504619,991.8873404,1421.948798,461.8716172,441.5824833,3298.714951,67.79485691,56.95739267,16.07647083,284.800337,65.64555456,307.7149584,327.4157787,475.6252161,3084.145131,1525.13622,627.6554624,199.1825495,99.65212781,23848.09895,193.3944557,284.7454254,3232.129657
13,187.4576178,190.4177023,154.6182117,583.3992374,840.8459993,374.3839192,573.7614793,223.523756,12.89654074,13.84792843,62.91293682,3818.629763,1678.937895,1093.937939,1545.019987,423.0969135,599.5948059,3378.944103,79.89664862,69.09229126,21.91059695,268.8469959,63.22595947,213.4753287,384.1959689,519.3694109,3289.167717,1587.261247,608.1564913,192.7860699,99.85634136,24573.21406,145.7632216,312.4354975,3100.5018
14,154.7902195,175.5261153,105.9175868,485.0315261,783.7431214,307.6568273,496.9842283,173.994976,7.987671159,10.28474103,35.01588925,3075.832927,1517.771021,817.3762623,1509.725017,333.6811806,552.2025285,2991.00945,57.08290986,60.23101576,20.1027499,217.0659321,52.608327,137.8883611,274.7594747,433.5695356,3101.077652,1408.314554,499.2872359,136.0760004,84.99776351,22266.6539,79.82097964,289.9781949,2416.695134
15,102.3050317,120.9671722,55.26791877,327.7378085,612.4671332,198.1380347,358.1586074,111.2850384,3.604055037,4.884813058,7.380017258,1935.120601,973.5172457,477.4006223,1262.522503,198.4367504,257.3633844,2220.749767,33.8107529,37.7970475,15.62132624,137.0008867,35.02287324,63.80741386,87.56795287,231.6654919,2538.457059,1022.051438,313.3498152,62.59001727,58.19677729,17210.99071,11.15298092,220.1033682,1372.726454
16,38.17479405,45.97297676,9.490077368,130.7340872,347.6775786,76.41538343,158.7439816,35.37675145,0.530263077,0.229294244,0.104773901,628.5471536,358.9529066,106.5936128,801.1512574,47.93625789,72.88095236,1190.696622,5.697058673,9.102376992,7.739176773,43.50269741,13.30266836,5.949219525,1.707514607,35.3068101,1657.125903,524.7810118,90.08612367,10.93528406,24.30144505,9985.078768,0.07072599,115.8398124,347.6071835
17,0.700069294,1.743036077,0,3.648837083,69.2851989,2.806674003,17.27320236,0.085919981,0,0,0,13.21233702,18.25495802,0.127710072,273.224058,0.066523997,2.467576249,218.5245076,0,0.000961728,0.864341858,0.134953063,0.257983967,0,0,0,610.7354501,82.28902261,0.102576691,4.97E-05,1.135028546,2442.161129,0,16.87448032,3.655900215
18,0,0,0,0,0.000217243,0,0,0,0,0,0,0,0,0,3.834384754,0,0,0.083325583,0,0,0,0,0,0,0,0,12.7798801,0,0,0,0,15.80425691,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013689401,0,0,0
