Time (CET),Day-ahead Total Load Forecast [MW] - Austria (AT),Actual Total Load [MW] - Austria (AT)
01.01.2018 00:00 - 01.01.2018 00:15,6848,6234
01.01.2018 00:15 - 01.01.2018 00:30,6721,6203
01.01.2018 00:30 - 01.01.2018 00:45,6613,6128
01.01.2018 00:45 - 01.01.2018 01:00,6518,6054
01.01.2018 01:00 - 01.01.2018 01:15,6497,6060
01.01.2018 01:15 - 01.01.2018 01:30,6399,5971
01.01.2018 01:30 - 01.01.2018 01:45,6321,5875
01.01.2018 01:45 - 01.01.2018 02:00,6252,5831
01.01.2018 02:00 - 01.01.2018 02:15,6328,5872
01.01.2018 02:15 - 01.01.2018 02:30,6261,5778
01.01.2018 02:30 - 01.01.2018 02:45,6187,5664
01.01.2018 02:45 - 01.01.2018 03:00,6142,5601
01.01.2018 03:00 - 01.01.2018 03:15,6120,5564
01.01.2018 03:15 - 01.01.2018 03:30,6069,5499
01.01.2018 03:30 - 01.01.2018 03:45,6030,5450
01.01.2018 03:45 - 01.01.2018 04:00,6009,5356
01.01.2018 04:00 - 01.01.2018 04:15,6027,5331
01.01.2018 04:15 - 01.01.2018 04:30,6034,5312
01.01.2018 04:30 - 01.01.2018 04:45,6054,5326
01.01.2018 04:45 - 01.01.2018 05:00,6077,5341
01.01.2018 05:00 - 01.01.2018 05:15,6140,5401
01.01.2018 05:15 - 01.01.2018 05:30,6188,5404
01.01.2018 05:30 - 01.01.2018 05:45,6212,5444
01.01.2018 05:45 - 01.01.2018 06:00,6240,5441
01.01.2018 06:00 - 01.01.2018 06:15,6195,5403
01.01.2018 06:15 - 01.01.2018 06:30,6274,5414
01.01.2018 06:30 - 01.01.2018 06:45,6393,5484
01.01.2018 06:45 - 01.01.2018 07:00,6495,5527
01.01.2018 07:00 - 01.01.2018 07:15,6678,5837
01.01.2018 07:15 - 01.01.2018 07:30,6767,5859
01.01.2018 07:30 - 01.01.2018 07:45,6842,5911
01.01.2018 07:45 - 01.01.2018 08:00,6926,5962
01.01.2018 08:00 - 01.01.2018 08:15,7012,6061
01.01.2018 08:15 - 01.01.2018 08:30,7100,6093
01.01.2018 08:30 - 01.01.2018 08:45,7206,6184
01.01.2018 08:45 - 01.01.2018 09:00,7295,6244
01.01.2018 09:00 - 01.01.2018 09:15,7401,6366
01.01.2018 09:15 - 01.01.2018 09:30,7473,6477
01.01.2018 09:30 - 01.01.2018 09:45,7546,6562
01.01.2018 09:45 - 01.01.2018 10:00,7600,6629
01.01.2018 10:00 - 01.01.2018 10:15,7673,6724
01.01.2018 10:15 - 01.01.2018 10:30,7721,6793
01.01.2018 10:30 - 01.01.2018 10:45,7760,6868
01.01.2018 10:45 - 01.01.2018 11:00,7797,6943
01.01.2018 11:00 - 01.01.2018 11:15,7822,7027
01.01.2018 11:15 - 01.01.2018 11:30,7880,7145
01.01.2018 11:30 - 01.01.2018 11:45,7868,7143
