Time (CET),Day-ahead Total Load Forecast [MW] - Belgium (BE),Actual Total Load [MW] - Belgium (BE)
01.01.2018 00:00 - 01.01.2018 00:15,8700,8683
01.01.2018 00:15 - 01.01.2018 00:30,8614,8640
01.01.2018 00:30 - 01.01.2018 00:45,8526,8469
01.01.2018 00:45 - 01.01.2018 01:00,8383,8391
01.01.2018 01:00 - 01.01.2018 01:15,9171,8353
01.01.2018 01:15 - 01.01.2018 01:30,9076,8177
01.01.2018 01:30 - 01.01.2018 01:45,8943,8081
01.01.2018 01:45 - 01.01.2018 02:00,8865,7963
01.01.2018 02:00 - 01.01.2018 02:15,8807,7914
01.01.2018 02:15 - 01.01.2018 02:30,8762,7847
01.01.2018 02:30 - 01.01.2018 02:45,8691,7744
01.01.2018 02:45 - 01.01.2018 03:00,8619,7651
01.01.2018 03:00 - 01.01.2018 03:15,8556,7606
01.01.2018 03:15 - 01.01.2018 03:30,8497,7462
01.01.2018 03:30 - 01.01.2018 03:45,8454,7388
01.01.2018 03:45 - 01.01.2018 04:00,8392,7427
01.01.2018 04:00 - 01.01.2018 04:15,8340,7407
01.01.2018 04:15 - 01.01.2018 04:30,8307,7349
01.01.2018 04:30 - 01.01.2018 04:45,8307,7377
01.01.2018 04:45 - 01.01.2018 05:00,8273,7285
01.01.2018 05:00 - 01.01.2018 05:15,8243,7335
01.01.2018 05:15 - 01.01.2018 05:30,8220,7357
01.01.2018 05:30 - 01.01.2018 05:45,8250,7389
01.01.2018 05:45 - 01.01.2018 06:00,8223,7416
01.01.2018 06:00 - 01.01.2018 06:15,8203,7453
01.01.2018 06:15 - 01.01.2018 06:30,8199,7474
01.01.2018 06:30 - 01.01.2018 06:45,8268,7458
01.01.2018 06:45 - 01.01.2018 07:00,8183,7458
01.01.2018 07:00 - 01.01.2018 07:15,8085,7283
01.01.2018 07:15 - 01.01.2018 07:30,7995,7254
01.01.2018 07:30 - 01.01.2018 07:45,8069,7242
01.01.2018 07:45 - 01.01.2018 08:00,8007,7255
01.01.2018 08:00 - 01.01.2018 08:15,7951,7262
01.01.2018 08:15 - 01.01.2018 08:30,7890,7326
01.01.2018 08:30 - 01.01.2018 08:45,7962,7324
01.01.2018 08:45 - 01.01.2018 09:00,7942,7349
01.01.2018 09:00 - 01.01.2018 09:15,7929,7441
01.01.2018 09:15 - 01.01.2018 09:30,7927,7546
01.01.2018 09:30 - 01.01.2018 09:45,8008,7530
01.01.2018 09:45 - 01.01.2018 10:00,8045,7639
01.01.2018 10:00 - 01.01.2018 10:15,8090,7633
01.01.2018 10:15 - 01.01.2018 10:30,8121,7735
01.01.2018 10:30 - 01.01.2018 10:45,8181,7804
01.01.2018 10:45 - 01.01.2018 11:00,8272,7931
01.01.2018 11:00 - 01.01.2018 11:15,8363,8027
01.01.2018 11:15 - 01.01.2018 11:30,8455,8103
01.01.2018 11:30 - 01.01.2018 11:45,8491,8277
01.01.2018 11:45 - 01.01.2018 12:00,8606,8374
01.01.2018 12:00 - 01.01.2018 12:15,8698,8497
01.01.2018 12:15 - 01.01.2018 12:30,8787,8539
01.01.2018 12:30 - 01.01.2018 12:45,8769,8645
01.01.2018 12:45 - 01.01.2018 13:00,8787,8716
01.01.2018 13:00 - 01.01.2018 13:15,8785,8829
01.01.2018 13:15 - 01.01.2018 13:30,8782,8888
01.01.2018 13:30 - 01.01.2018 13:45,8735,8877
01.01.2018 13:45 - 01.01.2018 14:00,8684,8849
01.01.2018 14:00 - 01.01.2018 14:15,8636,8772
01.01.2018 14:15 - 01.01.2018 14:30,8598,8763
01.01.2018 14:30 - 01.01.2018 14:45,8569,8776
01.01.2018 14:45 - 01.01.2018 15:00,8569,8804
01.01.2018 15:00 - 01.01.2018 15:15,8572,8905
01.01.2018 15:15 - 01.01.2018 15:30,8574,8923
01.01.2018 15:30 - 01.01.2018 15:45,8560,8957
01.01.2018 15:45 - 01.01.2018 16:00,8589,8917
01.01.2018 16:00 - 01.01.2018 16:15,8643,8940
01.01.2018 16:15 - 01.01.2018 16:30,8702,8969
01.01.2018 16:30 - 01.01.2018 16:45,8758,9006
