Time (CET),Day-ahead Total Load Forecast [MW] - Bulgaria (BG),Actual Total Load [MW] - Bulgaria (BG)
01.01.2018 00:00 - 01.01.2018 01:00,3923,4094
01.01.2018 01:00 - 01.01.2018 02:00,3702,3910
01.01.2018 02:00 - 01.01.2018 03:00,3549,3761
01.01.2018 03:00 - 01.01.2018 04:00,3459,3654
01.01.2018 04:00 - 01.01.2018 05:00,3415,3602
01.01.2018 05:00 - 01.01.2018 06:00,3410,3591
01.01.2018 06:00 - 01.01.2018 07:00,3481,3646
01.01.2018 07:00 - 01.01.2018 08:00,3681,3815
01.01.2018 08:00 - 01.01.2018 09:00,3918,4057
01.01.2018 09:00 - 01.01.2018 10:00,4068,4185
01.01.2018 10:00 - 01.01.2018 11:00,4108,4211
01.01.2018 11:00 - 01.01.2018 12:00,4077,4138
01.01.2018 12:00 - 01.01.2018 13:00,3945,3993
01.01.2018 13:00 - 01.01.2018 14:00,3820,3907
01.01.2018 14:00 - 01.01.2018 15:00,3821,3940
01.01.2018 15:00 - 01.01.2018 16:00,3997,4153
01.01.2018 16:00 - 01.01.2018 17:00,4510,4713
01.01.2018 17:00 - 01.01.2018 18:00,4707,4992
01.01.2018 18:00 - 01.01.2018 19:00,4656,4922
01.01.2018 19:00 - 01.01.2018 20:00,4504,4775
01.01.2018 20:00 - 01.01.2018 21:00,4351,4582
01.01.2018 21:00 - 01.01.2018 22:00,4362,4515
01.01.2018 22:00 - 01.01.2018 23:00,4122,4254
01.01.2018 23:00 - 02.01.2018 00:00,4221,3952
02.01.2018 00:00 - 02.01.2018 01:00,3913,3717
02.01.2018 01:00 - 02.01.2018 02:00,3787,3617
02.01.2018 02:00 - 02.01.2018 03:00,3729,3592
02.01.2018 03:00 - 02.01.2018 04:00,3761,3594
02.01.2018 04:00 - 02.01.2018 05:00,3933,3730
02.01.2018 05:00 - 02.01.2018 06:00,4342,4080
02.01.2018 06:00 - 02.01.2018 07:00,4894,4520
02.01.2018 07:00 - 02.01.2018 08:00,5455,5032
02.01.2018 08:00 - 02.01.2018 09:00,5750,5366
02.01.2018 09:00 - 02.01.2018 10:00,5706,5416
02.01.2018 10:00 - 02.01.2018 11:00,5581,5354
02.01.2018 11:00 - 02.01.2018 12:00,5407,5176
02.01.2018 12:00 - 02.01.2018 13:00,5298,5099
02.01.2018 13:00 - 02.01.2018 14:00,5214,5023
02.01.2018 14:00 - 02.01.2018 15:00,5258,5046
02.01.2018 15:00 - 02.01.2018 16:00,5417,5195
02.01.2018 16:00 - 02.01.2018 17:00,5769,5522
02.01.2018 17:00 - 02.01.2018 18:00,6000,5712
02.01.2018 18:00 - 02.01.2018 19:00,5921,5641
02.01.2018 19:00 - 02.01.2018 20:00,5636,5414
02.01.2018 20:00 - 02.01.2018 21:00,5371,5203
02.01.2018 21:00 - 02.01.2018 22:00,5177,5050
02.01.2018 22:00 - 02.01.2018 23:00,4816,4902
02.01.2018 23:00 - 03.01.2018 00:00,4526,4276
03.01.2018 00:00 - 03.01.2018 01:00,4259,4012
03.01.2018 01:00 - 03.01.2018 02:00,4098,3876
03.01.2018 02:00 - 03.01.2018 03:00,4033,3834
03.01.2018 03:00 - 03.01.2018 04:00,4063,3857
03.01.2018 04:00 - 03.01.2018 05:00,4211,4001
03.01.2018 05:00 - 03.01.2018 06:00,4613,4444
03.01.2018 06:00 - 03.01.2018 07:00,5135,4957
03.01.2018 07:00 - 03.01.2018 08:00,5651,5381
03.01.2018 08:00 - 03.01.2018 09:00,5906,5632
03.01.2018 09:00 - 03.01.2018 10:00,5857,5598
03.01.2018 10:00 - 03.01.2018 11:00,5774,5502
03.01.2018 11:00 - 03.01.2018 12:00,5643,5367
03.01.2018 12:00 - 03.01.2018 13:00,5527,5287
