Time (CET),Day-ahead Total Load Forecast [MW] - Switzerland (CH),Actual Total Load [MW] - Switzerland (CH)
01.01.2018 00:00 - 01.01.2018 01:00,6907,7635
01.01.2018 01:00 - 01.01.2018 02:00,6814,7131
01.01.2018 02:00 - 01.01.2018 03:00,6764,7084
01.01.2018 03:00 - 01.01.2018 04:00,6688,7252
01.01.2018 04:00 - 01.01.2018 05:00,6685,7221
01.01.2018 05:00 - 01.01.2018 06:00,6688,7021
01.01.2018 06:00 - 01.01.2018 07:00,6688,7060
01.01.2018 07:00 - 01.01.2018 08:00,6689,6969
01.01.2018 08:00 - 01.01.2018 09:00,6689,6878
01.01.2018 09:00 - 01.01.2018 10:00,6689,6945
01.01.2018 10:00 - 01.01.2018 11:00,6750,7096
01.01.2018 11:00 - 01.01.2018 12:00,6739,7204
01.01.2018 12:00 - 01.01.2018 13:00,6687,7186
01.01.2018 13:00 - 01.01.2018 14:00,6777,7584
01.01.2018 14:00 - 01.01.2018 15:00,6723,7458
01.01.2018 15:00 - 01.01.2018 16:00,6688,7199
01.01.2018 16:00 - 01.01.2018 17:00,6701,7117
01.01.2018 17:00 - 01.01.2018 18:00,6838,7369
01.01.2018 18:00 - 01.01.2018 19:00,7160,7576
01.01.2018 19:00 - 01.01.2018 20:00,7572,6686
01.01.2018 20:00 - 01.01.2018 21:00,7564,6874
01.01.2018 21:00 - 01.01.2018 22:00,7172,6493
01.01.2018 22:00 - 01.01.2018 23:00,7120,7060
01.01.2018 23:00 - 02.01.2018 00:00,7178,7288
02.01.2018 00:00 - 02.01.2018 01:00,7078,7212
02.01.2018 01:00 - 02.01.2018 02:00,7288,7078
02.01.2018 02:00 - 02.01.2018 03:00,7368,7089
02.01.2018 03:00 - 02.01.2018 04:00,7414,7064
02.01.2018 04:00 - 02.01.2018 05:00,7417,6933
02.01.2018 05:00 - 02.01.2018 06:00,7518,6799
02.01.2018 06:00 - 02.01.2018 07:00,7524,6812
02.01.2018 07:00 - 02.01.2018 08:00,7539,6382
02.01.2018 08:00 - 02.01.2018 09:00,7530,6344
02.01.2018 09:00 - 02.01.2018 10:00,7562,6556
02.01.2018 10:00 - 02.01.2018 11:00,7649,6819
02.01.2018 11:00 - 02.01.2018 12:00,7678,6943
02.01.2018 12:00 - 02.01.2018 13:00,7442,6994
02.01.2018 13:00 - 02.01.2018 14:00,6837,7098
02.01.2018 14:00 - 02.01.2018 15:00,6832,7090
02.01.2018 15:00 - 02.01.2018 16:00,6959,6805
02.01.2018 16:00 - 02.01.2018 17:00,6948,6682
02.01.2018 17:00 - 02.01.2018 18:00,7352,6862
02.01.2018 18:00 - 02.01.2018 19:00,7706,7238
02.01.2018 19:00 - 02.01.2018 20:00,8024,7278
02.01.2018 20:00 - 02.01.2018 21:00,7625,7069
02.01.2018 21:00 - 02.01.2018 22:00,7585,6809
02.01.2018 22:00 - 02.01.2018 23:00,7560,6806
02.01.2018 23:00 - 03.01.2018 00:00,7568,6981
03.01.2018 00:00 - 03.01.2018 01:00,7411,6999
03.01.2018 01:00 - 03.01.2018 02:00,7114,6947
03.01.2018 02:00 - 03.01.2018 03:00,7347,6828
03.01.2018 03:00 - 03.01.2018 04:00,7247,6764
03.01.2018 04:00 - 03.01.2018 05:00,7093,6754
03.01.2018 05:00 - 03.01.2018 06:00,6913,6619
03.01.2018 06:00 - 03.01.2018 07:00,6942,6763
03.01.2018 07:00 - 03.01.2018 08:00,7262,6494
03.01.2018 08:00 - 03.01.2018 09:00,7590,6726
03.01.2018 09:00 - 03.01.2018 10:00,8016,7170
