Time (CET),Day-ahead Total Load Forecast [MW] - Cyprus (CY),Actual Total Load [MW] - Cyprus (CY)
01.01.2018 00:00 - 01.01.2018 00:30,455,448
01.01.2018 00:30 - 01.01.2018 01:00,436,439
01.01.2018 01:00 - 01.01.2018 01:30,417,425
01.01.2018 01:30 - 01.01.2018 02:00,406,407
01.01.2018 02:00 - 01.01.2018 02:30,395,392
01.01.2018 02:30 - 01.01.2018 03:00,385,380
01.01.2018 03:00 - 01.01.2018 03:30,382,374
01.01.2018 03:30 - 01.01.2018 04:00,380,368
01.01.2018 04:00 - 01.01.2018 04:30,380,366
01.01.2018 04:30 - 01.01.2018 05:00,388,365
01.01.2018 05:00 - 01.01.2018 05:30,399,366
01.01.2018 05:30 - 01.01.2018 06:00,403,353
01.01.2018 06:00 - 01.01.2018 06:30,409,355
01.01.2018 06:30 - 01.01.2018 07:00,418,353
01.01.2018 07:00 - 01.01.2018 07:30,434,352
01.01.2018 07:30 - 01.01.2018 08:00,456,350
01.01.2018 08:00 - 01.01.2018 08:30,478,351
01.01.2018 08:30 - 01.01.2018 09:00,500,353
01.01.2018 09:00 - 01.01.2018 09:30,530,363
01.01.2018 09:30 - 01.01.2018 10:00,558,368
01.01.2018 10:00 - 01.01.2018 10:30,571,377
01.01.2018 10:30 - 01.01.2018 11:00,585,383
01.01.2018 11:00 - 01.01.2018 11:30,588,383
01.01.2018 11:30 - 01.01.2018 12:00,587,377
01.01.2018 12:00 - 01.01.2018 12:30,590,377
01.01.2018 12:30 - 01.01.2018 13:00,586,370
01.01.2018 13:00 - 01.01.2018 13:30,583,363
01.01.2018 13:30 - 01.01.2018 14:00,588,364
01.01.2018 14:00 - 01.01.2018 14:30,587,379
01.01.2018 14:30 - 01.01.2018 15:00,592,391
01.01.2018 15:00 - 01.01.2018 15:30,586,409
01.01.2018 15:30 - 01.01.2018 16:00,584,440
01.01.2018 16:00 - 01.01.2018 16:30,596,506
01.01.2018 16:30 - 01.01.2018 17:00,614,535
01.01.2018 17:00 - 01.01.2018 17:30,641,550
01.01.2018 17:30 - 01.01.2018 18:00,649,556
01.01.2018 18:00 - 01.01.2018 18:30,647,558
01.01.2018 18:30 - 01.01.2018 19:00,651,559
01.01.2018 19:00 - 01.01.2018 19:30,647,558
01.01.2018 19:30 - 01.01.2018 20:00,651,556
01.01.2018 20:00 - 01.01.2018 20:30,645,553
01.01.2018 20:30 - 01.01.2018 21:00,631,546
01.01.2018 21:00 - 01.01.2018 21:30,625,533
01.01.2018 21:30 - 01.01.2018 22:00,609,519
01.01.2018 22:00 - 01.01.2018 22:30,583,501
01.01.2018 22:30 - 01.01.2018 23:00,562,477
01.01.2018 23:00 - 01.01.2018 23:30,514,445
01.01.2018 23:30 - 02.01.2018 00:00,487,418
02.01.2018 00:00 - 02.01.2018 00:30,458,396
02.01.2018 00:30 - 02.01.2018 01:00,438,377
02.01.2018 01:00 - 02.01.2018 01:30,418,363
02.01.2018 01:30 - 02.01.2018 02:00,405,352
02.01.2018 02:00 - 02.01.2018 02:30,397,346
02.01.2018 02:30 - 02.01.2018 03:00,397,342
02.01.2018 03:00 - 02.01.2018 03:30,394,342
02.01.2018 03:30 - 02.01.2018 04:00,396,343
02.01.2018 04:00 - 02.01.2018 04:30,399,349
02.01.2018 04:30 - 02.01.2018 05:00,413,360
02.01.2018 05:00 - 02.01.2018 05:30,439,380
02.01.2018 05:30 - 02.01.2018 06:00,475,384
02.01.2018 06:00 - 02.01.2018 06:30,512,408
02.01.2018 06:30 - 02.01.2018 07:00,546,431
02.01.2018 07:00 - 02.01.2018 07:30,591,445
02.01.2018 07:30 - 02.01.2018 08:00,627,446
02.01.2018 08:00 - 02.01.2018 08:30,643,451
02.01.2018 08:30 - 02.01.2018 09:00,664,447
02.01.2018 09:00 - 02.01.2018 09:30,703,446
02.01.2018 09:30 - 02.01.2018 10:00,734,445
02.01.2018 10:00 - 02.01.2018 10:30,789,447
02.01.2018 10:30 - 02.01.2018 11:00,827,449
02.01.2018 11:00 - 02.01.2018 11:30,794,449
02.01.2018 11:30 - 02.01.2018 12:00,768,448
02.01.2018 12:00 - 02.01.2018 12:30,806,453
02.01.2018 12:30 - 02.01.2018 13:00,796,453
02.01.2018 13:00 - 02.01.2018 13:30,810,454
02.01.2018 13:30 - 02.01.2018 14:00,817,456
02.01.2018 14:00 - 02.01.2018 14:30,804,468
02.01.2018 14:30 - 02.01.2018 15:00,789,478
02.01.2018 15:00 - 02.01.2018 15:30,785,496
02.01.2018 15:30 - 02.01.2018 16:00,786,524
02.01.2018 16:00 - 02.01.2018 16:30,793,590
02.01.2018 16:30 - 02.01.2018 17:00,798,611
02.01.2018 17:00 - 02.01.2018 17:30,798,621
02.01.2018 17:30 - 02.01.2018 18:00,773,620
02.01.2018 18:00 - 02.01.2018 18:30,758,618
02.01.2018 18:30 - 02.01.2018 19:00,729,611
02.01.2018 19:00 - 02.01.2018 19:30,702,601
02.01.2018 19:30 - 02.01.2018 20:00,677,593
02.01.2018 20:00 - 02.01.2018 20:30,656,585
02.01.2018 20:30 - 02.01.2018 21:00,637,574
02.01.2018 21:00 - 02.01.2018 21:30,616,551
02.01.2018 21:30 - 02.01.2018 22:00,591,528
02.01.2018 22:00 - 02.01.2018 22:30,564,508
02.01.2018 22:30 - 02.01.2018 23:00,537,482
02.01.2018 23:00 - 02.01.2018 23:30,487,448
02.01.2018 23:30 - 03.01.2018 00:00,453,421
03.01.2018 00:00 - 03.01.2018 00:30,423,398
03.01.2018 00:30 - 03.01.2018 01:00,400,381
03.01.2018 01:00 - 03.01.2018 01:30,388,367
03.01.2018 01:30 - 03.01.2018 02:00,375,357
03.01.2018 02:00 - 03.01.2018 02:30,367,351
03.01.2018 02:30 - 03.01.2018 03:00,364,346
03.01.2018 03:00 - 03.01.2018 03:30,362,351
03.01.2018 03:30 - 03.01.2018 04:00,363,351
03.01.2018 04:00 - 03.01.2018 04:30,366,359
03.01.2018 04:30 - 03.01.2018 05:00,375,378
03.01.2018 05:00 - 03.01.2018 05:30,398,405
03.01.2018 05:30 - 03.01.2018 06:00,430,413
03.01.2018 06:00 - 03.01.2018 06:30,466,450
03.01.2018 06:30 - 03.01.2018 07:00,498,489
03.01.2018 07:00 - 03.01.2018 07:30,529,517
03.01.2018 07:30 - 03.01.2018 08:00,556,518
03.01.2018 08:00 - 03.01.2018 08:30,569,516
03.01.2018 08:30 - 03.01.2018 09:00,586,515
03.01.2018 09:00 - 03.01.2018 09:30,599,516
03.01.2018 09:30 - 03.01.2018 10:00,613,512
03.01.2018 10:00 - 03.01.2018 10:30,650,520
03.01.2018 10:30 - 03.01.2018 11:00,662,525
03.01.2018 11:00 - 03.01.2018 11:30,657,530
03.01.2018 11:30 - 03.01.2018 12:00,655,539
03.01.2018 12:00 - 03.01.2018 12:30,662,542
03.01.2018 12:30 - 03.01.2018 13:00,645,553
03.01.2018 13:00 - 03.01.2018 13:30,644,554
03.01.2018 13:30 - 03.01.2018 14:00,648,546
03.01.2018 14:00 - 03.01.2018 14:30,641,545
03.01.2018 14:30 - 03.01.2018 15:00,652,551
03.01.2018 15:00 - 03.01.2018 15:30,651,562
03.01.2018 15:30 - 03.01.2018 16:00,654,586
03.01.2018 16:00 - 03.01.2018 16:30,680,641
03.01.2018 16:30 - 03.01.2018 17:00,698,657
03.01.2018 17:00 - 03.01.2018 17:30,700,664
03.01.2018 17:30 - 03.01.2018 18:00,695,664
03.01.2018 18:00 - 03.01.2018 18:30,684,660
03.01.2018 18:30 - 03.01.2018 19:00,673,651
03.01.2018 19:00 - 03.01.2018 19:30,654,638
03.01.2018 19:30 - 03.01.2018 20:00,636,627
03.01.2018 20:00 - 03.01.2018 20:30,621,610
03.01.2018 20:30 - 03.01.2018 21:00,606,591
03.01.2018 21:00 - 03.01.2018 21:30,584,563
03.01.2018 21:30 - 03.01.2018 22:00,561,536
03.01.2018 22:00 - 03.01.2018 22:30,534,509
03.01.2018 22:30 - 03.01.2018 23:00,505,480
03.01.2018 23:00 - 03.01.2018 23:30,476,445
03.01.2018 23:30 - 04.01.2018 00:00,441,419
04.01.2018 00:00 - 04.01.2018 00:30,412,396
04.01.2018 00:30 - 04.01.2018 01:00,391,379
04.01.2018 01:00 - 04.01.2018 01:30,379,367
04.01.2018 01:30 - 04.01.2018 02:00,368,358
04.01.2018 02:00 - 04.01.2018 02:30,359,351
04.01.2018 02:30 - 04.01.2018 03:00,357,349
04.01.2018 03:00 - 04.01.2018 03:30,355,351
04.01.2018 03:30 - 04.01.2018 04:00,357,350
04.01.2018 04:00 - 04.01.2018 04:30,363,360
