Time (CET),Day-ahead Total Load Forecast [MW] - Czech Republic (CZ),Actual Total Load [MW] - Czech Republic (CZ)
01.01.2018 00:00 - 01.01.2018 01:00,5456,5520
01.01.2018 01:00 - 01.01.2018 02:00,5353,5495
01.01.2018 02:00 - 01.01.2018 03:00,5251,5461
01.01.2018 03:00 - 01.01.2018 04:00,5098,5302
01.01.2018 04:00 - 01.01.2018 05:00,5005,5258
01.01.2018 05:00 - 01.01.2018 06:00,4987,5249
01.01.2018 06:00 - 01.01.2018 07:00,5031,5259
01.01.2018 07:00 - 01.01.2018 08:00,5087,5279
01.01.2018 08:00 - 01.01.2018 09:00,5158,5307
01.01.2018 09:00 - 01.01.2018 10:00,5610,5761
01.01.2018 10:00 - 01.01.2018 11:00,5884,6182
01.01.2018 11:00 - 01.01.2018 12:00,5995,6370
01.01.2018 12:00 - 01.01.2018 13:00,6026,6463
01.01.2018 13:00 - 01.01.2018 14:00,6100,6520
01.01.2018 14:00 - 01.01.2018 15:00,6203,6482
01.01.2018 15:00 - 01.01.2018 16:00,6329,6577
01.01.2018 16:00 - 01.01.2018 17:00,6467,6814
01.01.2018 17:00 - 01.01.2018 18:00,6552,6811
01.01.2018 18:00 - 01.01.2018 19:00,6545,6806
01.01.2018 19:00 - 01.01.2018 20:00,6470,6849
01.01.2018 20:00 - 01.01.2018 21:00,6424,6731
01.01.2018 21:00 - 01.01.2018 22:00,6106,6417
01.01.2018 22:00 - 01.01.2018 23:00,5925,6280
01.01.2018 23:00 - 02.01.2018 00:00,5683,5947
02.01.2018 00:00 - 02.01.2018 01:00,6066,5707
02.01.2018 01:00 - 02.01.2018 02:00,6229,5794
02.01.2018 02:00 - 02.01.2018 03:00,6173,5746
02.01.2018 03:00 - 02.01.2018 04:00,6109,5643
02.01.2018 04:00 - 02.01.2018 05:00,6118,5809
02.01.2018 05:00 - 02.01.2018 06:00,6573,6400
02.01.2018 06:00 - 02.01.2018 07:00,7530,7416
02.01.2018 07:00 - 02.01.2018 08:00,7969,8078
02.01.2018 08:00 - 02.01.2018 09:00,8254,8389
02.01.2018 09:00 - 02.01.2018 10:00,8549,8703
02.01.2018 10:00 - 02.01.2018 11:00,8777,8797
02.01.2018 11:00 - 02.01.2018 12:00,8935,8881
02.01.2018 12:00 - 02.01.2018 13:00,9013,9027
02.01.2018 13:00 - 02.01.2018 14:00,8995,9047
02.01.2018 14:00 - 02.01.2018 15:00,8987,8933
02.01.2018 15:00 - 02.01.2018 16:00,8931,8918
02.01.2018 16:00 - 02.01.2018 17:00,8970,9002
02.01.2018 17:00 - 02.01.2018 18:00,8783,9055
02.01.2018 18:00 - 02.01.2018 19:00,8750,8863
02.01.2018 19:00 - 02.01.2018 20:00,8668,8826
02.01.2018 20:00 - 02.01.2018 21:00,8407,8504
02.01.2018 21:00 - 02.01.2018 22:00,8015,8014
02.01.2018 22:00 - 02.01.2018 23:00,7380,7637
02.01.2018 23:00 - 03.01.2018 00:00,7038,7215
03.01.2018 00:00 - 03.01.2018 01:00,7089,6874
03.01.2018 01:00 - 03.01.2018 02:00,7127,6954
03.01.2018 02:00 - 03.01.2018 03:00,7039,6918
03.01.2018 03:00 - 03.01.2018 04:00,6918,6851
03.01.2018 04:00 - 03.01.2018 05:00,6940,6989
03.01.2018 05:00 - 03.01.2018 06:00,7267,7478
03.01.2018 06:00 - 03.01.2018 07:00,8196,8531
03.01.2018 07:00 - 03.01.2018 08:00,8724,9072
03.01.2018 08:00 - 03.01.2018 09:00,8800,9207
03.01.2018 09:00 - 03.01.2018 10:00,8904,9404
03.01.2018 10:00 - 03.01.2018 11:00,8963,9469
03.01.2018 11:00 - 03.01.2018 12:00,8995,9481
03.01.2018 12:00 - 03.01.2018 13:00,8984,9533
03.01.2018 13:00 - 03.01.2018 14:00,9008,9560
03.01.2018 14:00 - 03.01.2018 15:00,9021,9456
03.01.2018 15:00 - 03.01.2018 16:00,9020,9540
03.01.2018 16:00 - 03.01.2018 17:00,9190,9563
03.01.2018 17:00 - 03.01.2018 18:00,9092,9505
03.01.2018 18:00 - 03.01.2018 19:00,8966,9246
03.01.2018 19:00 - 03.01.2018 20:00,8765,9122
03.01.2018 20:00 - 03.01.2018 21:00,8384,8836
03.01.2018 21:00 - 03.01.2018 22:00,7976,8337
03.01.2018 22:00 - 03.01.2018 23:00,7519,7858
03.01.2018 23:00 - 04.01.2018 00:00,7301,7384
04.01.2018 00:00 - 04.01.2018 01:00,7449,7046
04.01.2018 01:00 - 04.01.2018 02:00,7516,7107
04.01.2018 02:00 - 04.01.2018 03:00,7218,7007
