Time (CET),Day-ahead Total Load Forecast [MW] - France (FR),Actual Total Load [MW] - France (FR)
01.01.2018 00:00 - 01.01.2018 01:00,56250,57638
01.01.2018 01:00 - 01.01.2018 02:00,54300,56036
01.01.2018 02:00 - 01.01.2018 03:00,53600,54494
01.01.2018 03:00 - 01.01.2018 04:00,50000,51574
01.01.2018 04:00 - 01.01.2018 05:00,47100,49370
01.01.2018 05:00 - 01.01.2018 06:00,45850,49000
01.01.2018 06:00 - 01.01.2018 07:00,45850,49333
01.01.2018 07:00 - 01.01.2018 08:00,46000,49528
01.01.2018 08:00 - 01.01.2018 09:00,46400,49360
01.01.2018 09:00 - 01.01.2018 10:00,46950,50058
01.01.2018 10:00 - 01.01.2018 11:00,49100,51855
01.01.2018 11:00 - 01.01.2018 12:00,51500,54412
01.01.2018 12:00 - 01.01.2018 13:00,54000,57142
01.01.2018 13:00 - 01.01.2018 14:00,55100,56650
01.01.2018 14:00 - 01.01.2018 15:00,52700,54628
01.01.2018 15:00 - 01.01.2018 16:00,50950,53357
01.01.2018 16:00 - 01.01.2018 17:00,50550,53522
01.01.2018 17:00 - 01.01.2018 18:00,52600,56686
01.01.2018 18:00 - 01.01.2018 19:00,56500,60125
01.01.2018 19:00 - 01.01.2018 20:00,58050,61285
01.01.2018 20:00 - 01.01.2018 21:00,57700,59658
01.01.2018 21:00 - 01.01.2018 22:00,56400,57597
01.01.2018 22:00 - 01.01.2018 23:00,55550,58405
01.01.2018 23:00 - 02.01.2018 00:00,58500,59383
02.01.2018 00:00 - 02.01.2018 01:00,57750,56745
02.01.2018 01:00 - 02.01.2018 02:00,55200,54574
02.01.2018 02:00 - 02.01.2018 03:00,54950,53222
02.01.2018 03:00 - 02.01.2018 04:00,52150,50818
02.01.2018 04:00 - 02.01.2018 05:00,50750,50129
02.01.2018 05:00 - 02.01.2018 06:00,51900,52338
02.01.2018 06:00 - 02.01.2018 07:00,55050,56444
02.01.2018 07:00 - 02.01.2018 08:00,59100,60260
02.01.2018 08:00 - 02.01.2018 09:00,62750,62913
02.01.2018 09:00 - 02.01.2018 10:00,64450,64712
02.01.2018 10:00 - 02.01.2018 11:00,66100,66170
02.01.2018 11:00 - 02.01.2018 12:00,66900,67635
02.01.2018 12:00 - 02.01.2018 13:00,68000,68827
02.01.2018 13:00 - 02.01.2018 14:00,68250,67686
02.01.2018 14:00 - 02.01.2018 15:00,66550,65983
02.01.2018 15:00 - 02.01.2018 16:00,64200,64144
02.01.2018 16:00 - 02.01.2018 17:00,63500,63700
02.01.2018 17:00 - 02.01.2018 18:00,65200,65924
02.01.2018 18:00 - 02.01.2018 19:00,68700,68326
02.01.2018 19:00 - 02.01.2018 20:00,69300,67828
02.01.2018 20:00 - 02.01.2018 21:00,66550,64126
02.01.2018 21:00 - 02.01.2018 22:00,62900,60411
02.01.2018 22:00 - 02.01.2018 23:00,61000,60433
02.01.2018 23:00 - 03.01.2018 00:00,63200,61401
03.01.2018 00:00 - 03.01.2018 01:00,59300,58355
03.01.2018 01:00 - 03.01.2018 02:00,55850,55309
03.01.2018 02:00 - 03.01.2018 03:00,54650,53553
03.01.2018 03:00 - 03.01.2018 04:00,51350,50731
