Time (CET),Day-ahead Total Load Forecast [MW] - Ireland (IE),Actual Total Load [MW] - Ireland (IE)
01.01.2018 00:00 - 01.01.2018 00:30,3320,3079
01.01.2018 00:30 - 01.01.2018 01:00,3387,3128
01.01.2018 01:00 - 01.01.2018 01:30,3023,3035
01.01.2018 01:30 - 01.01.2018 02:00,2918,2986
01.01.2018 02:00 - 01.01.2018 02:30,2794,2877
01.01.2018 02:30 - 01.01.2018 03:00,2549,2781
01.01.2018 03:00 - 01.01.2018 03:30,2449,2673
01.01.2018 03:30 - 01.01.2018 04:00,2414,2595
01.01.2018 04:00 - 01.01.2018 04:30,2359,2526
01.01.2018 04:30 - 01.01.2018 05:00,2323,2476
01.01.2018 05:00 - 01.01.2018 05:30,2309,2447
01.01.2018 05:30 - 01.01.2018 06:00,2272,2394
01.01.2018 06:00 - 01.01.2018 06:30,2246,2357
01.01.2018 06:30 - 01.01.2018 07:00,2257,2371
01.01.2018 07:00 - 01.01.2018 07:30,2307,2377
01.01.2018 07:30 - 01.01.2018 08:00,2361,2396
01.01.2018 08:00 - 01.01.2018 08:30,2373,2415
01.01.2018 08:30 - 01.01.2018 09:00,2439,2440
01.01.2018 09:00 - 01.01.2018 09:30,2495,2421
01.01.2018 09:30 - 01.01.2018 10:00,2482,2408
01.01.2018 10:00 - 01.01.2018 10:30,2529,2474
01.01.2018 10:30 - 01.01.2018 11:00,2746,2618
01.01.2018 11:00 - 01.01.2018 11:30,2910,2791
01.01.2018 11:30 - 01.01.2018 12:00,3026,2959
01.01.2018 12:00 - 01.01.2018 12:30,3138,3103
01.01.2018 12:30 - 01.01.2018 13:00,3252,3223
01.01.2018 13:00 - 01.01.2018 13:30,3283,3320
01.01.2018 13:30 - 01.01.2018 14:00,3374,3392
01.01.2018 14:00 - 01.01.2018 14:30,3377,3461
01.01.2018 14:30 - 01.01.2018 15:00,3375,3454
01.01.2018 15:00 - 01.01.2018 15:30,3327,3419
01.01.2018 15:30 - 01.01.2018 16:00,3296,3331
01.01.2018 16:00 - 01.01.2018 16:30,3294,3285
01.01.2018 16:30 - 01.01.2018 17:00,3298,3298
01.01.2018 17:00 - 01.01.2018 17:30,3363,3305
01.01.2018 17:30 - 01.01.2018 18:00,3395,3483
01.01.2018 18:00 - 01.01.2018 18:30,3521,3718
01.01.2018 18:30 - 01.01.2018 19:00,3726,3854
01.01.2018 19:00 - 01.01.2018 19:30,3754,3825
01.01.2018 19:30 - 01.01.2018 20:00,3716,3807
01.01.2018 20:00 - 01.01.2018 20:30,3641,3664
01.01.2018 20:30 - 01.01.2018 21:00,3554,3603
01.01.2018 21:00 - 01.01.2018 21:30,3554,3524
01.01.2018 21:30 - 01.01.2018 22:00,3487,3410
01.01.2018 22:00 - 01.01.2018 22:30,3450,3366
01.01.2018 22:30 - 01.01.2018 23:00,3356,3296
01.01.2018 23:00 - 01.01.2018 23:30,3241,3177
01.01.2018 23:30 - 02.01.2018 00:00,3112,3083
02.01.2018 00:00 - 02.01.2018 00:30,3053,3040
02.01.2018 00:30 - 02.01.2018 01:00,3021,3033
02.01.2018 01:00 - 02.01.2018 01:30,2866,2925
02.01.2018 01:30 - 02.01.2018 02:00,2749,2790
02.01.2018 02:00 - 02.01.2018 02:30,2632,2668
02.01.2018 02:30 - 02.01.2018 03:00,2506,2559
02.01.2018 03:00 - 02.01.2018 03:30,2377,2486
02.01.2018 03:30 - 02.01.2018 04:00,2257,2415
02.01.2018 04:00 - 02.01.2018 04:30,2230,2389
02.01.2018 04:30 - 02.01.2018 05:00,2220,2364
02.01.2018 05:00 - 02.01.2018 05:30,2196,2343
02.01.2018 05:30 - 02.01.2018 06:00,2180,2317
02.01.2018 06:00 - 02.01.2018 06:30,2164,2315
02.01.2018 06:30 - 02.01.2018 07:00,2191,2382
02.01.2018 07:00 - 02.01.2018 07:30,2170,2470
02.01.2018 07:30 - 02.01.2018 08:00,2393,2670
