Time (CET),Day-ahead Total Load Forecast [MW] - Italy (IT),Actual Total Load [MW] - Italy (IT)
01.01.2018 00:00 - 01.01.2018 01:00,23183,23071
01.01.2018 01:00 - 01.01.2018 02:00,21673,22305
01.01.2018 02:00 - 01.01.2018 03:00,20333,20971
01.01.2018 03:00 - 01.01.2018 04:00,19443,19875
01.01.2018 04:00 - 01.01.2018 05:00,18943,19074
01.01.2018 05:00 - 01.01.2018 06:00,18992,19346
01.01.2018 06:00 - 01.01.2018 07:00,19620,20168
01.01.2018 07:00 - 01.01.2018 08:00,19976,20810
01.01.2018 08:00 - 01.01.2018 09:00,19611,21102
01.01.2018 09:00 - 01.01.2018 10:00,20899,22429
01.01.2018 10:00 - 01.01.2018 11:00,22272,24334
01.01.2018 11:00 - 01.01.2018 12:00,24002,26221
01.01.2018 12:00 - 01.01.2018 13:00,24673,26951
01.01.2018 13:00 - 01.01.2018 14:00,23366,25704
01.01.2018 14:00 - 01.01.2018 15:00,22156,24619
01.01.2018 15:00 - 01.01.2018 16:00,22664,24462
01.01.2018 16:00 - 01.01.2018 17:00,24318,25641
01.01.2018 17:00 - 01.01.2018 18:00,27621,28437
01.01.2018 18:00 - 01.01.2018 19:00,28935,29306
01.01.2018 19:00 - 01.01.2018 20:00,29689,30026
01.01.2018 20:00 - 01.01.2018 21:00,29827,29421
01.01.2018 21:00 - 01.01.2018 22:00,28253,28143
01.01.2018 22:00 - 01.01.2018 23:00,26379,26158
01.01.2018 23:00 - 02.01.2018 00:00,24202,23894
02.01.2018 00:00 - 02.01.2018 01:00,21029,21288
02.01.2018 01:00 - 02.01.2018 02:00,19682,19610
02.01.2018 02:00 - 02.01.2018 03:00,18743,18897
02.01.2018 03:00 - 02.01.2018 04:00,18517,18642
02.01.2018 04:00 - 02.01.2018 05:00,18712,18996
02.01.2018 05:00 - 02.01.2018 06:00,21091,20627
02.01.2018 06:00 - 02.01.2018 07:00,24871,24788
02.01.2018 07:00 - 02.01.2018 08:00,29340,28974
02.01.2018 08:00 - 02.01.2018 09:00,33668,33188
02.01.2018 09:00 - 02.01.2018 10:00,36425,36344
02.01.2018 10:00 - 02.01.2018 11:00,36994,36772
02.01.2018 11:00 - 02.01.2018 12:00,37010,36663
02.01.2018 12:00 - 02.01.2018 13:00,36102,35771
02.01.2018 13:00 - 02.01.2018 14:00,35687,34421
02.01.2018 14:00 - 02.01.2018 15:00,36299,34686
02.01.2018 15:00 - 02.01.2018 16:00,37458,34930
02.01.2018 16:00 - 02.01.2018 17:00,39481,36315
02.01.2018 17:00 - 02.01.2018 18:00,41236,39816
02.01.2018 18:00 - 02.01.2018 19:00,41055,39814
02.01.2018 19:00 - 02.01.2018 20:00,39932,39142
02.01.2018 20:00 - 02.01.2018 21:00,37594,36928
02.01.2018 21:00 - 02.01.2018 22:00,34772,34148
02.01.2018 22:00 - 02.01.2018 23:00,30798,30520
02.01.2018 23:00 - 03.01.2018 00:00,27415,27368
03.01.2018 00:00 - 03.01.2018 01:00,24772,24135
03.01.2018 01:00 - 03.01.2018 02:00,22770,22494
03.01.2018 02:00 - 03.01.2018 03:00,21756,21478
03.01.2018 03:00 - 03.01.2018 04:00,21435,21231
03.01.2018 04:00 - 03.01.2018 05:00,21914,21406
03.01.2018 05:00 - 03.01.2018 06:00,23498,22924
03.01.2018 06:00 - 03.01.2018 07:00,27663,26930
03.01.2018 07:00 - 03.01.2018 08:00,31967,31574
03.01.2018 08:00 - 03.01.2018 09:00,35819,35789
03.01.2018 09:00 - 03.01.2018 10:00,39039,38143
03.01.2018 10:00 - 03.01.2018 11:00,39699,38228
03.01.2018 11:00 - 03.01.2018 12:00,39452,37698
03.01.2018 12:00 - 03.01.2018 13:00,37427,35823
03.01.2018 13:00 - 03.01.2018 14:00,36362,35463
03.01.2018 14:00 - 03.01.2018 15:00,36718,36567
03.01.2018 15:00 - 03.01.2018 16:00,37203,37512
03.01.2018 16:00 - 03.01.2018 17:00,38096,38767
03.01.2018 17:00 - 03.01.2018 18:00,42023,41368
03.01.2018 18:00 - 03.01.2018 19:00,42531,41185
03.01.2018 19:00 - 03.01.2018 20:00,41714,40255
03.01.2018 20:00 - 03.01.2018 21:00,39159,38043
03.01.2018 21:00 - 03.01.2018 22:00,35805,34899
03.01.2018 22:00 - 03.01.2018 23:00,32550,31355
03.01.2018 23:00 - 04.01.2018 00:00,28803,28017
04.01.2018 00:00 - 04.01.2018 01:00,24742,24710
04.01.2018 01:00 - 04.01.2018 02:00,23146,22740
04.01.2018 02:00 - 04.01.2018 03:00,22109,21863
04.01.2018 03:00 - 04.01.2018 04:00,21788,21512
04.01.2018 04:00 - 04.01.2018 05:00,21596,21695
04.01.2018 05:00 - 04.01.2018 06:00,23046,23128
04.01.2018 06:00 - 04.01.2018 07:00,26970,26975
04.01.2018 07:00 - 04.01.2018 08:00,32082,31646
04.01.2018 08:00 - 04.01.2018 09:00,36174,35798
04.01.2018 09:00 - 04.01.2018 10:00,38379,37808
04.01.2018 10:00 - 04.01.2018 11:00,38460,37884
04.01.2018 11:00 - 04.01.2018 12:00,37675,36922
04.01.2018 12:00 - 04.01.2018 13:00,36142,35708
04.01.2018 13:00 - 04.01.2018 14:00,35333,34851
04.01.2018 14:00 - 04.01.2018 15:00,36071,34863
04.01.2018 15:00 - 04.01.2018 16:00,36590,36040
04.01.2018 16:00 - 04.01.2018 17:00,37766,37792
04.01.2018 17:00 - 04.01.2018 18:00,40595,40767
04.01.2018 18:00 - 04.01.2018 19:00,41369,40489
04.01.2018 19:00 - 04.01.2018 20:00,40444,39873
04.01.2018 20:00 - 04.01.2018 21:00,38134,37464
04.01.2018 21:00 - 04.01.2018 22:00,35411,34694
04.01.2018 22:00 - 04.01.2018 23:00,31995,31361
04.01.2018 23:00 - 05.01.2018 00:00,28293,28259
05.01.2018 00:00 - 05.01.2018 01:00,25319,25220
05.01.2018 01:00 - 05.01.2018 02:00,23411,23391
05.01.2018 02:00 - 05.01.2018 03:00,22227,22396
05.01.2018 03:00 - 05.01.2018 04:00,21839,22069
05.01.2018 04:00 - 05.01.2018 05:00,21852,22133
05.01.2018 05:00 - 05.01.2018 06:00,22945,23723
05.01.2018 06:00 - 05.01.2018 07:00,26749,27632
05.01.2018 07:00 - 05.01.2018 08:00,31087,32085
05.01.2018 08:00 - 05.01.2018 09:00,34706,36074
05.01.2018 09:00 - 05.01.2018 10:00,36709,38266
05.01.2018 10:00 - 05.01.2018 11:00,37164,38671
05.01.2018 11:00 - 05.01.2018 12:00,36076,37561
05.01.2018 12:00 - 05.01.2018 13:00,35661,36337
05.01.2018 13:00 - 05.01.2018 14:00,34256,35495
05.01.2018 14:00 - 05.01.2018 15:00,35393,36226
05.01.2018 15:00 - 05.01.2018 16:00,35943,36492
05.01.2018 16:00 - 05.01.2018 17:00,37050,37672
05.01.2018 17:00 - 05.01.2018 18:00,40121,40214
05.01.2018 18:00 - 05.01.2018 19:00,40623,40447
05.01.2018 19:00 - 05.01.2018 20:00,40007,39710
05.01.2018 20:00 - 05.01.2018 21:00,37608,37031
05.01.2018 21:00 - 05.01.2018 22:00,34979,34077
05.01.2018 22:00 - 05.01.2018 23:00,31084,30751
05.01.2018 23:00 - 06.01.2018 00:00,27707,27823
06.01.2018 00:00 - 06.01.2018 01:00,24691,24933
06.01.2018 01:00 - 06.01.2018 02:00,22920,23004
06.01.2018 02:00 - 06.01.2018 03:00,22052,21712
06.01.2018 03:00 - 06.01.2018 04:00,21259,21105
06.01.2018 04:00 - 06.01.2018 05:00,20888,20997
06.01.2018 05:00 - 06.01.2018 06:00,21517,21178
06.01.2018 06:00 - 06.01.2018 07:00,22601,22498
06.01.2018 07:00 - 06.01.2018 08:00,23914,24189
06.01.2018 08:00 - 06.01.2018 09:00,25694,25940
06.01.2018 09:00 - 06.01.2018 10:00,27459,27769
06.01.2018 10:00 - 06.01.2018 11:00,28536,29003
06.01.2018 11:00 - 06.01.2018 12:00,28245,29502
06.01.2018 12:00 - 06.01.2018 13:00,28567,29344
06.01.2018 13:00 - 06.01.2018 14:00,27447,27615
06.01.2018 14:00 - 06.01.2018 15:00,26179,26889
