Time (CET),Day-ahead Total Load Forecast [MW] - Montenegro (ME),Actual Total Load [MW] - Montenegro (ME)
01.01.2018 00:00 - 01.01.2018 01:00,444,418
01.01.2018 01:00 - 01.01.2018 02:00,429,403
01.01.2018 02:00 - 01.01.2018 03:00,401,377
01.01.2018 03:00 - 01.01.2018 04:00,376,351
01.01.2018 04:00 - 01.01.2018 05:00,353,333
01.01.2018 05:00 - 01.01.2018 06:00,346,326
01.01.2018 06:00 - 01.01.2018 07:00,350,332
01.01.2018 07:00 - 01.01.2018 08:00,369,339
01.01.2018 08:00 - 01.01.2018 09:00,398,368
01.01.2018 09:00 - 01.01.2018 10:00,429,404
01.01.2018 10:00 - 01.01.2018 11:00,442,436
01.01.2018 11:00 - 01.01.2018 12:00,450,450
01.01.2018 12:00 - 01.01.2018 13:00,444,451
01.01.2018 13:00 - 01.01.2018 14:00,444,445
01.01.2018 14:00 - 01.01.2018 15:00,437,440
01.01.2018 15:00 - 01.01.2018 16:00,440,440
01.01.2018 16:00 - 01.01.2018 17:00,457,461
01.01.2018 17:00 - 01.01.2018 18:00,484,472
01.01.2018 18:00 - 01.01.2018 19:00,492,473
01.01.2018 19:00 - 01.01.2018 20:00,493,470
01.01.2018 20:00 - 01.01.2018 21:00,486,469
01.01.2018 21:00 - 01.01.2018 22:00,477,457
01.01.2018 22:00 - 01.01.2018 23:00,460,440
01.01.2018 23:00 - 02.01.2018 00:00,444,429
02.01.2018 00:00 - 02.01.2018 01:00,420,399
02.01.2018 01:00 - 02.01.2018 02:00,387,363
02.01.2018 02:00 - 02.01.2018 03:00,361,338
02.01.2018 03:00 - 02.01.2018 04:00,348,318
02.01.2018 04:00 - 02.01.2018 05:00,339,308
02.01.2018 05:00 - 02.01.2018 06:00,342,310
02.01.2018 06:00 - 02.01.2018 07:00,350,323
02.01.2018 07:00 - 02.01.2018 08:00,374,342
02.01.2018 08:00 - 02.01.2018 09:00,409,379
02.01.2018 09:00 - 02.01.2018 10:00,442,415
02.01.2018 10:00 - 02.01.2018 11:00,456,439
02.01.2018 11:00 - 02.01.2018 12:00,465,450
02.01.2018 12:00 - 02.01.2018 13:00,457,451
02.01.2018 13:00 - 02.01.2018 14:00,454,441
02.01.2018 14:00 - 02.01.2018 15:00,449,433
02.01.2018 15:00 - 02.01.2018 16:00,454,434
02.01.2018 16:00 - 02.01.2018 17:00,481,458
02.01.2018 17:00 - 02.01.2018 18:00,502,475
02.01.2018 18:00 - 02.01.2018 19:00,505,477
02.01.2018 19:00 - 02.01.2018 20:00,505,478
02.01.2018 20:00 - 02.01.2018 21:00,496,470
02.01.2018 21:00 - 02.01.2018 22:00,484,461
02.01.2018 22:00 - 02.01.2018 23:00,467,444
02.01.2018 23:00 - 03.01.2018 00:00,453,435
03.01.2018 00:00 - 03.01.2018 01:00,413,406
03.01.2018 01:00 - 03.01.2018 02:00,381,366
03.01.2018 02:00 - 03.01.2018 03:00,352,335
03.01.2018 03:00 - 03.01.2018 04:00,338,316
03.01.2018 04:00 - 03.01.2018 05:00,326,308
03.01.2018 05:00 - 03.01.2018 06:00,329,314
03.01.2018 06:00 - 03.01.2018 07:00,347,341
03.01.2018 07:00 - 03.01.2018 08:00,378,378
03.01.2018 08:00 - 03.01.2018 09:00,414,422
03.01.2018 09:00 - 03.01.2018 10:00,447,449
03.01.2018 10:00 - 03.01.2018 11:00,462,454
03.01.2018 11:00 - 03.01.2018 12:00,466,445
03.01.2018 12:00 - 03.01.2018 13:00,460,436
03.01.2018 13:00 - 03.01.2018 14:00,457,427
03.01.2018 14:00 - 03.01.2018 15:00,451,424
03.01.2018 15:00 - 03.01.2018 16:00,453,431
03.01.2018 16:00 - 03.01.2018 17:00,473,464
03.01.2018 17:00 - 03.01.2018 18:00,505,494
03.01.2018 18:00 - 03.01.2018 19:00,511,498
03.01.2018 19:00 - 03.01.2018 20:00,511,495
03.01.2018 20:00 - 03.01.2018 21:00,502,482
03.01.2018 21:00 - 03.01.2018 22:00,491,474
03.01.2018 22:00 - 03.01.2018 23:00,473,462
03.01.2018 23:00 - 04.01.2018 00:00,459,455
04.01.2018 00:00 - 04.01.2018 01:00,418,427
04.01.2018 01:00 - 04.01.2018 02:00,384,383
04.01.2018 02:00 - 04.01.2018 03:00,356,348
04.01.2018 03:00 - 04.01.2018 04:00,342,327
04.01.2018 04:00 - 04.01.2018 05:00,332,317
04.01.2018 05:00 - 04.01.2018 06:00,332,324
04.01.2018 06:00 - 04.01.2018 07:00,354,350
04.01.2018 07:00 - 04.01.2018 08:00,388,383
04.01.2018 08:00 - 04.01.2018 09:00,420,423
04.01.2018 09:00 - 04.01.2018 10:00,445,446
04.01.2018 10:00 - 04.01.2018 11:00,454,452
04.01.2018 11:00 - 04.01.2018 12:00,455,444
04.01.2018 12:00 - 04.01.2018 13:00,447,432
04.01.2018 13:00 - 04.01.2018 14:00,444,428
04.01.2018 14:00 - 04.01.2018 15:00,438,428
04.01.2018 15:00 - 04.01.2018 16:00,440,432
04.01.2018 16:00 - 04.01.2018 17:00,458,463
04.01.2018 17:00 - 04.01.2018 18:00,498,497
04.01.2018 18:00 - 04.01.2018 19:00,508,498
04.01.2018 19:00 - 04.01.2018 20:00,509,494
04.01.2018 20:00 - 04.01.2018 21:00,499,483
04.01.2018 21:00 - 04.01.2018 22:00,487,471
04.01.2018 22:00 - 04.01.2018 23:00,469,453
04.01.2018 23:00 - 05.01.2018 00:00,454,442
05.01.2018 00:00 - 05.01.2018 01:00,419,409
05.01.2018 01:00 - 05.01.2018 02:00,383,368
05.01.2018 02:00 - 05.01.2018 03:00,353,339
05.01.2018 03:00 - 05.01.2018 04:00,338,316
05.01.2018 04:00 - 05.01.2018 05:00,327,308
05.01.2018 05:00 - 05.01.2018 06:00,329,315
05.01.2018 06:00 - 05.01.2018 07:00,357,340
05.01.2018 07:00 - 05.01.2018 08:00,395,377
05.01.2018 08:00 - 05.01.2018 09:00,433,422
05.01.2018 09:00 - 05.01.2018 10:00,456,447
05.01.2018 10:00 - 05.01.2018 11:00,460,458
05.01.2018 11:00 - 05.01.2018 12:00,455,456
05.01.2018 12:00 - 05.01.2018 13:00,446,449
05.01.2018 13:00 - 05.01.2018 14:00,443,442
05.01.2018 14:00 - 05.01.2018 15:00,439,438
05.01.2018 15:00 - 05.01.2018 16:00,445,437
05.01.2018 16:00 - 05.01.2018 17:00,473,465
05.01.2018 17:00 - 05.01.2018 18:00,504,496
05.01.2018 18:00 - 05.01.2018 19:00,507,501
05.01.2018 19:00 - 05.01.2018 20:00,507,499
05.01.2018 20:00 - 05.01.2018 21:00,496,486
05.01.2018 21:00 - 05.01.2018 22:00,485,474
05.01.2018 22:00 - 05.01.2018 23:00,466,453
05.01.2018 23:00 - 06.01.2018 00:00,453,444
06.01.2018 00:00 - 06.01.2018 01:00,423,407
06.01.2018 01:00 - 06.01.2018 02:00,382,369
06.01.2018 02:00 - 06.01.2018 03:00,346,334
06.01.2018 03:00 - 06.01.2018 04:00,329,313
06.01.2018 04:00 - 06.01.2018 05:00,320,305
06.01.2018 05:00 - 06.01.2018 06:00,327,315
