Time (CET),Day-ahead Total Load Forecast [MW] - FYR Macedonia (MK),Actual Total Load [MW] - FYR Macedonia (MK)
01.01.2018 00:00 - 01.01.2018 01:00,1010,923
01.01.2018 01:00 - 01.01.2018 02:00,941,886
01.01.2018 02:00 - 01.01.2018 03:00,858,821
01.01.2018 03:00 - 01.01.2018 04:00,799,766
01.01.2018 04:00 - 01.01.2018 05:00,769,727
01.01.2018 05:00 - 01.01.2018 06:00,760,716
01.01.2018 06:00 - 01.01.2018 07:00,781,717
01.01.2018 07:00 - 01.01.2018 08:00,767,678
01.01.2018 08:00 - 01.01.2018 09:00,779,704
01.01.2018 09:00 - 01.01.2018 10:00,838,756
01.01.2018 10:00 - 01.01.2018 11:00,883,814
01.01.2018 11:00 - 01.01.2018 12:00,919,857
01.01.2018 12:00 - 01.01.2018 13:00,901,876
01.01.2018 13:00 - 01.01.2018 14:00,891,877
01.01.2018 14:00 - 01.01.2018 15:00,959,968
01.01.2018 15:00 - 01.01.2018 16:00,973,968
01.01.2018 16:00 - 01.01.2018 17:00,995,953
01.01.2018 17:00 - 01.01.2018 18:00,1031,967
01.01.2018 18:00 - 01.01.2018 19:00,1011,952
01.01.2018 19:00 - 01.01.2018 20:00,998,956
01.01.2018 20:00 - 01.01.2018 21:00,974,946
01.01.2018 21:00 - 01.01.2018 22:00,964,932
01.01.2018 22:00 - 01.01.2018 23:00,1089,1033
01.01.2018 23:00 - 02.01.2018 00:00,1090,1044
02.01.2018 00:00 - 02.01.2018 01:00,952,958
02.01.2018 01:00 - 02.01.2018 02:00,837,851
02.01.2018 02:00 - 02.01.2018 03:00,749,768
02.01.2018 03:00 - 02.01.2018 04:00,693,713
02.01.2018 04:00 - 02.01.2018 05:00,675,700
02.01.2018 05:00 - 02.01.2018 06:00,697,723
02.01.2018 06:00 - 02.01.2018 07:00,792,787
02.01.2018 07:00 - 02.01.2018 08:00,874,818
02.01.2018 08:00 - 02.01.2018 09:00,960,894
02.01.2018 09:00 - 02.01.2018 10:00,998,954
02.01.2018 10:00 - 02.01.2018 11:00,1015,961
02.01.2018 11:00 - 02.01.2018 12:00,1017,967
02.01.2018 12:00 - 02.01.2018 13:00,1009,958
02.01.2018 13:00 - 02.01.2018 14:00,1000,955
02.01.2018 14:00 - 02.01.2018 15:00,1122,1056
02.01.2018 15:00 - 02.01.2018 16:00,1132,1068
02.01.2018 16:00 - 02.01.2018 17:00,1084,1042
02.01.2018 17:00 - 02.01.2018 18:00,1091,1046
02.01.2018 18:00 - 02.01.2018 19:00,1084,1025
02.01.2018 19:00 - 02.01.2018 20:00,1069,1006
02.01.2018 20:00 - 02.01.2018 21:00,1033,976
02.01.2018 21:00 - 02.01.2018 22:00,1015,959
02.01.2018 22:00 - 02.01.2018 23:00,1129,1069
02.01.2018 23:00 - 03.01.2018 00:00,1122,1082
03.01.2018 00:00 - 03.01.2018 01:00,1006,988
03.01.2018 01:00 - 03.01.2018 02:00,895,870
03.01.2018 02:00 - 03.01.2018 03:00,818,777
03.01.2018 03:00 - 03.01.2018 04:00,771,718
03.01.2018 04:00 - 03.01.2018 05:00,755,698
03.01.2018 05:00 - 03.01.2018 06:00,784,721
03.01.2018 06:00 - 03.01.2018 07:00,873,791
03.01.2018 07:00 - 03.01.2018 08:00,922,821
03.01.2018 08:00 - 03.01.2018 09:00,996,899
03.01.2018 09:00 - 03.01.2018 10:00,1046,945
03.01.2018 10:00 - 03.01.2018 11:00,1060,954
03.01.2018 11:00 - 03.01.2018 12:00,1059,943
03.01.2018 12:00 - 03.01.2018 13:00,1043,925
03.01.2018 13:00 - 03.01.2018 14:00,1033,922
03.01.2018 14:00 - 03.01.2018 15:00,1138,1018
03.01.2018 15:00 - 03.01.2018 16:00,1153,1031
03.01.2018 16:00 - 03.01.2018 17:00,1143,1031
03.01.2018 17:00 - 03.01.2018 18:00,1153,1054
03.01.2018 18:00 - 03.01.2018 19:00,1134,1031
03.01.2018 19:00 - 03.01.2018 20:00,1116,1012
03.01.2018 20:00 - 03.01.2018 21:00,1089,987
03.01.2018 21:00 - 03.01.2018 22:00,1058,965
03.01.2018 22:00 - 03.01.2018 23:00,1162,1085
03.01.2018 23:00 - 04.01.2018 00:00,1153,1101
