Time (CET),Day-ahead Total Load Forecast [MW] - Poland (PL),Actual Total Load [MW] - Poland (PL)
01.01.2018 00:00 - 01.01.2018 01:00,15200,14979
01.01.2018 01:00 - 01.01.2018 02:00,14600,14398
01.01.2018 02:00 - 01.01.2018 03:00,14000,13789
01.01.2018 03:00 - 01.01.2018 04:00,13600,13434
01.01.2018 04:00 - 01.01.2018 05:00,13400,13285
01.01.2018 05:00 - 01.01.2018 06:00,13200,13193
01.01.2018 06:00 - 01.01.2018 07:00,13300,13237
01.01.2018 07:00 - 01.01.2018 08:00,13300,13214
01.01.2018 08:00 - 01.01.2018 09:00,13500,13025
01.01.2018 09:00 - 01.01.2018 10:00,14000,13706
01.01.2018 10:00 - 01.01.2018 11:00,14600,14330
01.01.2018 11:00 - 01.01.2018 12:00,15200,14824
01.01.2018 12:00 - 01.01.2018 13:00,15500,15319
01.01.2018 13:00 - 01.01.2018 14:00,15900,15834
01.01.2018 14:00 - 01.01.2018 15:00,15900,15945
01.01.2018 15:00 - 01.01.2018 16:00,16800,16059
01.01.2018 16:00 - 01.01.2018 17:00,17900,17307
01.01.2018 17:00 - 01.01.2018 18:00,18000,17699
01.01.2018 18:00 - 01.01.2018 19:00,18100,17697
01.01.2018 19:00 - 01.01.2018 20:00,18100,17836
01.01.2018 20:00 - 01.01.2018 21:00,17900,17464
01.01.2018 21:00 - 01.01.2018 22:00,17100,16551
01.01.2018 22:00 - 01.01.2018 23:00,16200,15860
01.01.2018 23:00 - 02.01.2018 00:00,15100,14856
02.01.2018 00:00 - 02.01.2018 01:00,13700,14040
02.01.2018 01:00 - 02.01.2018 02:00,13300,13541
02.01.2018 02:00 - 02.01.2018 03:00,13050,13407
02.01.2018 03:00 - 02.01.2018 04:00,13200,13468
02.01.2018 04:00 - 02.01.2018 05:00,14000,13797
02.01.2018 05:00 - 02.01.2018 06:00,15800,14760
02.01.2018 06:00 - 02.01.2018 07:00,19100,17559
02.01.2018 07:00 - 02.01.2018 08:00,20500,19505
02.01.2018 08:00 - 02.01.2018 09:00,21800,20485
02.01.2018 09:00 - 02.01.2018 10:00,22100,21277
02.01.2018 10:00 - 02.01.2018 11:00,22400,21515
02.01.2018 11:00 - 02.01.2018 12:00,22600,21658
02.01.2018 12:00 - 02.01.2018 13:00,22900,21774
02.01.2018 13:00 - 02.01.2018 14:00,23000,22256
02.01.2018 14:00 - 02.01.2018 15:00,22600,22073
02.01.2018 15:00 - 02.01.2018 16:00,23000,22230
02.01.2018 16:00 - 02.01.2018 17:00,23900,23158
02.01.2018 17:00 - 02.01.2018 18:00,23700,23082
02.01.2018 18:00 - 02.01.2018 19:00,23400,22747
02.01.2018 19:00 - 02.01.2018 20:00,23300,22642
02.01.2018 20:00 - 02.01.2018 21:00,22600,21972
02.01.2018 21:00 - 02.01.2018 22:00,21300,20681
02.01.2018 22:00 - 02.01.2018 23:00,19500,19244
02.01.2018 23:00 - 03.01.2018 00:00,18100,17862
03.01.2018 00:00 - 03.01.2018 01:00,17500,16710
03.01.2018 01:00 - 03.01.2018 02:00,17000,16198
03.01.2018 02:00 - 03.01.2018 03:00,16800,15878
03.01.2018 03:00 - 03.01.2018 04:00,16900,15840
03.01.2018 04:00 - 03.01.2018 05:00,17300,16161
03.01.2018 05:00 - 03.01.2018 06:00,18600,16890
03.01.2018 06:00 - 03.01.2018 07:00,21800,19564
03.01.2018 07:00 - 03.01.2018 08:00,22600,21727
03.01.2018 08:00 - 03.01.2018 09:00,23500,22419
03.01.2018 09:00 - 03.01.2018 10:00,23600,22749
03.01.2018 10:00 - 03.01.2018 11:00,23900,22748
03.01.2018 11:00 - 03.01.2018 12:00,24000,23178
03.01.2018 12:00 - 03.01.2018 13:00,24000,23317
03.01.2018 13:00 - 03.01.2018 14:00,24300,23538
03.01.2018 14:00 - 03.01.2018 15:00,23800,23317
03.01.2018 15:00 - 03.01.2018 16:00,24100,23473
03.01.2018 16:00 - 03.01.2018 17:00,25000,24282
03.01.2018 17:00 - 03.01.2018 18:00,24700,24188
03.01.2018 18:00 - 03.01.2018 19:00,24400,23922
03.01.2018 19:00 - 03.01.2018 20:00,24400,23829
03.01.2018 20:00 - 03.01.2018 21:00,23600,23012
03.01.2018 21:00 - 03.01.2018 22:00,22200,21403
03.01.2018 22:00 - 03.01.2018 23:00,20600,19851
03.01.2018 23:00 - 04.01.2018 00:00,19200,18520
04.01.2018 00:00 - 04.01.2018 01:00,17300,17371
04.01.2018 01:00 - 04.01.2018 02:00,16600,16813
04.01.2018 02:00 - 04.01.2018 03:00,16300,16475
04.01.2018 03:00 - 04.01.2018 04:00,16400,16548
04.01.2018 04:00 - 04.01.2018 05:00,17000,16739
04.01.2018 05:00 - 04.01.2018 06:00,18200,17455
04.01.2018 06:00 - 04.01.2018 07:00,21600,19951
04.01.2018 07:00 - 04.01.2018 08:00,22600,21894
04.01.2018 08:00 - 04.01.2018 09:00,23500,22638
04.01.2018 09:00 - 04.01.2018 10:00,23700,22886
04.01.2018 10:00 - 04.01.2018 11:00,23800,22893
04.01.2018 11:00 - 04.01.2018 12:00,23850,23075
04.01.2018 12:00 - 04.01.2018 13:00,24000,23171
04.01.2018 13:00 - 04.01.2018 14:00,24200,23423
04.01.2018 14:00 - 04.01.2018 15:00,23700,23132
04.01.2018 15:00 - 04.01.2018 16:00,24400,23158
04.01.2018 16:00 - 04.01.2018 17:00,24900,24183
04.01.2018 17:00 - 04.01.2018 18:00,24600,24057
04.01.2018 18:00 - 04.01.2018 19:00,24300,23745
04.01.2018 19:00 - 04.01.2018 20:00,24100,23656
04.01.2018 20:00 - 04.01.2018 21:00,23400,23030
04.01.2018 21:00 - 04.01.2018 22:00,22000,21602
04.01.2018 22:00 - 04.01.2018 23:00,20200,20029
04.01.2018 23:00 - 05.01.2018 00:00,18600,18718
05.01.2018 00:00 - 05.01.2018 01:00,17200,17468
05.01.2018 01:00 - 05.01.2018 02:00,16500,16855
05.01.2018 02:00 - 05.01.2018 03:00,16300,16594
05.01.2018 03:00 - 05.01.2018 04:00,16400,16718
05.01.2018 04:00 - 05.01.2018 05:00,16900,16845
05.01.2018 05:00 - 05.01.2018 06:00,18300,17663
05.01.2018 06:00 - 05.01.2018 07:00,21600,20093
05.01.2018 07:00 - 05.01.2018 08:00,22500,21965
05.01.2018 08:00 - 05.01.2018 09:00,23400,22564
05.01.2018 09:00 - 05.01.2018 10:00,23500,22860
05.01.2018 10:00 - 05.01.2018 11:00,23800,22807
05.01.2018 11:00 - 05.01.2018 12:00,23900,23014
05.01.2018 12:00 - 05.01.2018 13:00,24000,23075
05.01.2018 13:00 - 05.01.2018 14:00,24300,23360
05.01.2018 14:00 - 05.01.2018 15:00,23900,23088
05.01.2018 15:00 - 05.01.2018 16:00,24200,23188
05.01.2018 16:00 - 05.01.2018 17:00,24900,24072
05.01.2018 17:00 - 05.01.2018 18:00,24700,24062
05.01.2018 18:00 - 05.01.2018 19:00,24400,23710
05.01.2018 19:00 - 05.01.2018 20:00,24200,23504
05.01.2018 20:00 - 05.01.2018 21:00,23500,22733
05.01.2018 21:00 - 05.01.2018 22:00,22000,21331
05.01.2018 22:00 - 05.01.2018 23:00,20400,19870
05.01.2018 23:00 - 06.01.2018 00:00,19000,18516
06.01.2018 00:00 - 06.01.2018 01:00,17700,17261
06.01.2018 01:00 - 06.01.2018 02:00,16900,16546
06.01.2018 02:00 - 06.01.2018 03:00,16500,15997
06.01.2018 03:00 - 06.01.2018 04:00,16300,15879
06.01.2018 04:00 - 06.01.2018 05:00,16300,15774
06.01.2018 05:00 - 06.01.2018 06:00,16200,15547
06.01.2018 06:00 - 06.01.2018 07:00,16400,15620
06.01.2018 07:00 - 06.01.2018 08:00,16400,15803
06.01.2018 08:00 - 06.01.2018 09:00,17300,16351
06.01.2018 09:00 - 06.01.2018 10:00,18200,17285
06.01.2018 10:00 - 06.01.2018 11:00,18800,17955
06.01.2018 11:00 - 06.01.2018 12:00,18900,18333
06.01.2018 12:00 - 06.01.2018 13:00,19200,18548
06.01.2018 13:00 - 06.01.2018 14:00,19400,18597
06.01.2018 14:00 - 06.01.2018 15:00,19100,18256
06.01.2018 15:00 - 06.01.2018 16:00,19400,18225
06.01.2018 16:00 - 06.01.2018 17:00,20600,19327
06.01.2018 17:00 - 06.01.2018 18:00,20700,19451
06.01.2018 18:00 - 06.01.2018 19:00,20700,19213
06.01.2018 19:00 - 06.01.2018 20:00,20700,19134
