Time (CET),Day-ahead Total Load Forecast [MW] - Portugal (PT),Actual Total Load [MW] - Portugal (PT)
01.01.2018 00:00 - 01.01.2018 01:00,5643,4870
01.01.2018 01:00 - 01.01.2018 02:00,5144,4639
01.01.2018 02:00 - 01.01.2018 03:00,4807,4500
01.01.2018 03:00 - 01.01.2018 04:00,4460,4254
01.01.2018 04:00 - 01.01.2018 05:00,4106,4047
01.01.2018 05:00 - 01.01.2018 06:00,3891,3905
01.01.2018 06:00 - 01.01.2018 07:00,3806,3815
01.01.2018 07:00 - 01.01.2018 08:00,3806,3832
01.01.2018 08:00 - 01.01.2018 09:00,3771,3724
01.01.2018 09:00 - 01.01.2018 10:00,3745,3683
01.01.2018 10:00 - 01.01.2018 11:00,4131,3984
01.01.2018 11:00 - 01.01.2018 12:00,4683,4402
01.01.2018 12:00 - 01.01.2018 13:00,5133,4824
01.01.2018 13:00 - 01.01.2018 14:00,5221,5026
01.01.2018 14:00 - 01.01.2018 15:00,4878,4843
01.01.2018 15:00 - 01.01.2018 16:00,4578,4610
01.01.2018 16:00 - 01.01.2018 17:00,4537,4555
01.01.2018 17:00 - 01.01.2018 18:00,4661,4584
01.01.2018 18:00 - 01.01.2018 19:00,5310,5063
01.01.2018 19:00 - 01.01.2018 20:00,5940,5615
01.01.2018 20:00 - 01.01.2018 21:00,6108,5750
01.01.2018 21:00 - 01.01.2018 22:00,6092,5785
01.01.2018 22:00 - 01.01.2018 23:00,5966,5661
01.01.2018 23:00 - 02.01.2018 00:00,5828,5459
02.01.2018 00:00 - 02.01.2018 01:00,5213,5040
02.01.2018 01:00 - 02.01.2018 02:00,4783,4631
02.01.2018 02:00 - 02.01.2018 03:00,4478,4295
02.01.2018 03:00 - 02.01.2018 04:00,4301,4109
02.01.2018 04:00 - 02.01.2018 05:00,4228,4015
02.01.2018 05:00 - 02.01.2018 06:00,4221,3991
02.01.2018 06:00 - 02.01.2018 07:00,4301,4085
02.01.2018 07:00 - 02.01.2018 08:00,4639,4426
