Time (CET),Day-ahead Total Load Forecast [MW] - Romania (RO),Actual Total Load [MW] - Romania (RO)
01.01.2018 00:00 - 01.01.2018 01:00,6100,6065
01.01.2018 01:00 - 01.01.2018 02:00,5850,5817
01.01.2018 02:00 - 01.01.2018 03:00,5650,5614
01.01.2018 03:00 - 01.01.2018 04:00,5530,5523
01.01.2018 04:00 - 01.01.2018 05:00,5460,5468
01.01.2018 05:00 - 01.01.2018 06:00,5430,5425
01.01.2018 06:00 - 01.01.2018 07:00,5400,5415
01.01.2018 07:00 - 01.01.2018 08:00,5320,5333
01.01.2018 08:00 - 01.01.2018 09:00,5360,5339
01.01.2018 09:00 - 01.01.2018 10:00,5380,5300
01.01.2018 10:00 - 01.01.2018 11:00,5380,5278
01.01.2018 11:00 - 01.01.2018 12:00,5400,5315
01.01.2018 12:00 - 01.01.2018 13:00,5420,5378
01.01.2018 13:00 - 01.01.2018 14:00,5500,5418
01.01.2018 14:00 - 01.01.2018 15:00,5560,5511
01.01.2018 15:00 - 01.01.2018 16:00,5830,5778
01.01.2018 16:00 - 01.01.2018 17:00,6560,6471
01.01.2018 17:00 - 01.01.2018 18:00,6750,6657
01.01.2018 18:00 - 01.01.2018 19:00,6750,6637
01.01.2018 19:00 - 01.01.2018 20:00,6650,6561
01.01.2018 20:00 - 01.01.2018 21:00,6460,6315
01.01.2018 21:00 - 01.01.2018 22:00,6200,6066
01.01.2018 22:00 - 01.01.2018 23:00,5860,5798
01.01.2018 23:00 - 02.01.2018 00:00,5530,5528
02.01.2018 00:00 - 02.01.2018 01:00,5350,5348
02.01.2018 01:00 - 02.01.2018 02:00,5230,5218
02.01.2018 02:00 - 02.01.2018 03:00,5170,5167
02.01.2018 03:00 - 02.01.2018 04:00,5150,5197
02.01.2018 04:00 - 02.01.2018 05:00,5240,5283
02.01.2018 05:00 - 02.01.2018 06:00,5420,5432
02.01.2018 06:00 - 02.01.2018 07:00,5610,5683
02.01.2018 07:00 - 02.01.2018 08:00,5750,5991
02.01.2018 08:00 - 02.01.2018 09:00,5920,6328
02.01.2018 09:00 - 02.01.2018 10:00,5980,6567
02.01.2018 10:00 - 02.01.2018 11:00,6000,6689
02.01.2018 11:00 - 02.01.2018 12:00,6020,6709
02.01.2018 12:00 - 02.01.2018 13:00,6000,6677
02.01.2018 13:00 - 02.01.2018 14:00,5950,6599
02.01.2018 14:00 - 02.01.2018 15:00,5980,6644
02.01.2018 15:00 - 02.01.2018 16:00,6240,6890
02.01.2018 16:00 - 02.01.2018 17:00,6880,7356
02.01.2018 17:00 - 02.01.2018 18:00,7060,7402
02.01.2018 18:00 - 02.01.2018 19:00,7050,7332
02.01.2018 19:00 - 02.01.2018 20:00,6950,7184
02.01.2018 20:00 - 02.01.2018 21:00,6700,6874
02.01.2018 21:00 - 02.01.2018 22:00,6350,6424
02.01.2018 22:00 - 02.01.2018 23:00,6000,6058
02.01.2018 23:00 - 03.01.2018 00:00,5900,5748
03.01.2018 00:00 - 03.01.2018 01:00,5700,5556
03.01.2018 01:00 - 03.01.2018 02:00,5600,5456
03.01.2018 02:00 - 03.01.2018 03:00,5570,5425
03.01.2018 03:00 - 03.01.2018 04:00,5620,5488
03.01.2018 04:00 - 03.01.2018 05:00,5820,5703
03.01.2018 05:00 - 03.01.2018 06:00,6380,6154
03.01.2018 06:00 - 03.01.2018 07:00,7180,6885
03.01.2018 07:00 - 03.01.2018 08:00,7700,7417
03.01.2018 08:00 - 03.01.2018 09:00,7960,7739
03.01.2018 09:00 - 03.01.2018 10:00,7950,7863
03.01.2018 10:00 - 03.01.2018 11:00,7920,7899
03.01.2018 11:00 - 03.01.2018 12:00,7870,7839
03.01.2018 12:00 - 03.01.2018 13:00,7880,7839
03.01.2018 13:00 - 03.01.2018 14:00,7850,7702
03.01.2018 14:00 - 03.01.2018 15:00,7830,7666
03.01.2018 15:00 - 03.01.2018 16:00,8100,7856
03.01.2018 16:00 - 03.01.2018 17:00,8700,8356
03.01.2018 17:00 - 03.01.2018 18:00,8750,8406
03.01.2018 18:00 - 03.01.2018 19:00,8670,8330
03.01.2018 19:00 - 03.01.2018 20:00,8500,8109
03.01.2018 20:00 - 03.01.2018 21:00,8100,7733
03.01.2018 21:00 - 03.01.2018 22:00,7520,7189
03.01.2018 22:00 - 03.01.2018 23:00,6980,6727
03.01.2018 23:00 - 04.01.2018 00:00,6300,6423
04.01.2018 00:00 - 04.01.2018 01:00,6100,6153
04.01.2018 01:00 - 04.01.2018 02:00,6000,6035
04.01.2018 02:00 - 04.01.2018 03:00,5950,6003
04.01.2018 03:00 - 04.01.2018 04:00,6000,6059
04.01.2018 04:00 - 04.01.2018 05:00,6150,6244
04.01.2018 05:00 - 04.01.2018 06:00,6550,6664
04.01.2018 06:00 - 04.01.2018 07:00,7150,7291
04.01.2018 07:00 - 04.01.2018 08:00,7670,7816
04.01.2018 08:00 - 04.01.2018 09:00,7980,8062
04.01.2018 09:00 - 04.01.2018 10:00,8050,8106
04.01.2018 10:00 - 04.01.2018 11:00,8000,8085
04.01.2018 11:00 - 04.01.2018 12:00,7950,8018
04.01.2018 12:00 - 04.01.2018 13:00,7930,8016
04.01.2018 13:00 - 04.01.2018 14:00,7820,7940
04.01.2018 14:00 - 04.01.2018 15:00,7780,7863
04.01.2018 15:00 - 04.01.2018 16:00,7950,7964
04.01.2018 16:00 - 04.01.2018 17:00,8630,8520
04.01.2018 17:00 - 04.01.2018 18:00,8780,8625
04.01.2018 18:00 - 04.01.2018 19:00,8670,8517
04.01.2018 19:00 - 04.01.2018 20:00,8520,8286
04.01.2018 20:00 - 04.01.2018 21:00,8100,7911
04.01.2018 21:00 - 04.01.2018 22:00,7500,7280
04.01.2018 22:00 - 04.01.2018 23:00,6900,6829
04.01.2018 23:00 - 05.01.2018 00:00,6500,6497
05.01.2018 00:00 - 05.01.2018 01:00,6230,6310
05.01.2018 01:00 - 05.01.2018 02:00,6100,6161
05.01.2018 02:00 - 05.01.2018 03:00,6070,6085
05.01.2018 03:00 - 05.01.2018 04:00,6130,6195
05.01.2018 04:00 - 05.01.2018 05:00,6320,6377
05.01.2018 05:00 - 05.01.2018 06:00,6700,6763
05.01.2018 06:00 - 05.01.2018 07:00,7300,7374
05.01.2018 07:00 - 05.01.2018 08:00,7800,7834
05.01.2018 08:00 - 05.01.2018 09:00,8000,8071
05.01.2018 09:00 - 05.01.2018 10:00,7980,8080
05.01.2018 10:00 - 05.01.2018 11:00,7880,8031
05.01.2018 11:00 - 05.01.2018 12:00,7830,8041
05.01.2018 12:00 - 05.01.2018 13:00,7800,8052
05.01.2018 13:00 - 05.01.2018 14:00,7680,7919
05.01.2018 14:00 - 05.01.2018 15:00,7640,7867
05.01.2018 15:00 - 05.01.2018 16:00,7830,8073
05.01.2018 16:00 - 05.01.2018 17:00,8500,8651
05.01.2018 17:00 - 05.01.2018 18:00,8600,8745
05.01.2018 18:00 - 05.01.2018 19:00,8500,8614
05.01.2018 19:00 - 05.01.2018 20:00,8350,8420
05.01.2018 20:00 - 05.01.2018 21:00,7950,8003
05.01.2018 21:00 - 05.01.2018 22:00,7350,7405
05.01.2018 22:00 - 05.01.2018 23:00,6800,6868
05.01.2018 23:00 - 06.01.2018 00:00,6450,6524
06.01.2018 00:00 - 06.01.2018 01:00,6250,6337
06.01.2018 01:00 - 06.01.2018 02:00,6080,6174
06.01.2018 02:00 - 06.01.2018 03:00,5980,6120
06.01.2018 03:00 - 06.01.2018 04:00,6000,6156
06.01.2018 04:00 - 06.01.2018 05:00,6080,6257
06.01.2018 05:00 - 06.01.2018 06:00,6270,6396
06.01.2018 06:00 - 06.01.2018 07:00,6520,6637
06.01.2018 07:00 - 06.01.2018 08:00,6780,6861
06.01.2018 08:00 - 06.01.2018 09:00,6950,6998
06.01.2018 09:00 - 06.01.2018 10:00,7000,6940
06.01.2018 10:00 - 06.01.2018 11:00,6960,6810
06.01.2018 11:00 - 06.01.2018 12:00,6930,6737
06.01.2018 12:00 - 06.01.2018 13:00,6880,6732
06.01.2018 13:00 - 06.01.2018 14:00,6770,6616
06.01.2018 14:00 - 06.01.2018 15:00,6800,6626
06.01.2018 15:00 - 06.01.2018 16:00,7150,6868
06.01.2018 16:00 - 06.01.2018 17:00,7800,7589
06.01.2018 17:00 - 06.01.2018 18:00,7950,7845
06.01.2018 18:00 - 06.01.2018 19:00,7930,7830
06.01.2018 19:00 - 06.01.2018 20:00,7780,7688
06.01.2018 20:00 - 06.01.2018 21:00,7450,7380
06.01.2018 21:00 - 06.01.2018 22:00,6980,6954
06.01.2018 22:00 - 06.01.2018 23:00,6550,6526
06.01.2018 23:00 - 07.01.2018 00:00,6140,6219
07.01.2018 00:00 - 07.01.2018 01:00,5940,5984
07.01.2018 01:00 - 07.01.2018 02:00,5820,5839
07.01.2018 02:00 - 07.01.2018 03:00,5750,5789
07.01.2018 03:00 - 07.01.2018 04:00,5760,5766
07.01.2018 04:00 - 07.01.2018 05:00,5800,5838
07.01.2018 05:00 - 07.01.2018 06:00,5900,5955
07.01.2018 06:00 - 07.01.2018 07:00,6080,6178
07.01.2018 07:00 - 07.01.2018 08:00,6220,6321
07.01.2018 08:00 - 07.01.2018 09:00,6280,6392
07.01.2018 09:00 - 07.01.2018 10:00,6260,6337
07.01.2018 10:00 - 07.01.2018 11:00,6200,6234
07.01.2018 11:00 - 07.01.2018 12:00,6150,6201
07.01.2018 12:00 - 07.01.2018 13:00,6140,6157
07.01.2018 13:00 - 07.01.2018 14:00,6120,6081
07.01.2018 14:00 - 07.01.2018 15:00,6250,6199
07.01.2018 15:00 - 07.01.2018 16:00,6560,6503
07.01.2018 16:00 - 07.01.2018 17:00,7250,7182
07.01.2018 17:00 - 07.01.2018 18:00,7440,7406
07.01.2018 18:00 - 07.01.2018 19:00,7420,7394
07.01.2018 19:00 - 07.01.2018 20:00,7250,7298
07.01.2018 20:00 - 07.01.2018 21:00,6930,7082
07.01.2018 21:00 - 07.01.2018 22:00,6520,6659
07.01.2018 22:00 - 07.01.2018 23:00,6150,6297
07.01.2018 23:00 - 08.01.2018 00:00,5840,6009
08.01.2018 00:00 - 08.01.2018 01:00,5640,5804
08.01.2018 01:00 - 08.01.2018 02:00,5560,5638
08.01.2018 02:00 - 08.01.2018 03:00,5580,5620
08.01.2018 03:00 - 08.01.2018 04:00,5650,5666
08.01.2018 04:00 - 08.01.2018 05:00,5920,5940
08.01.2018 05:00 - 08.01.2018 06:00,6630,6568
08.01.2018 06:00 - 08.01.2018 07:00,7600,7395
08.01.2018 07:00 - 08.01.2018 08:00,8050,8077
08.01.2018 08:00 - 08.01.2018 09:00,8200,8439
08.01.2018 09:00 - 08.01.2018 10:00,8180,8444
08.01.2018 10:00 - 08.01.2018 11:00,8120,8344
