Time (CET),Day-ahead Total Load Forecast [MW] - Serbia (RS),Actual Total Load [MW] - Serbia (RS)
01.01.2018 00:00 - 01.01.2018 01:00,5113,5095
01.01.2018 01:00 - 01.01.2018 02:00,5122,5142
01.01.2018 02:00 - 01.01.2018 03:00,4790,4908
01.01.2018 03:00 - 01.01.2018 04:00,4532,4564
01.01.2018 04:00 - 01.01.2018 05:00,4356,4297
01.01.2018 05:00 - 01.01.2018 06:00,4051,4134
01.01.2018 06:00 - 01.01.2018 07:00,3907,4045
01.01.2018 07:00 - 01.01.2018 08:00,3850,3991
01.01.2018 08:00 - 01.01.2018 09:00,3982,4161
01.01.2018 09:00 - 01.01.2018 10:00,4274,4428
01.01.2018 10:00 - 01.01.2018 11:00,4423,4691
01.01.2018 11:00 - 01.01.2018 12:00,4606,4805
01.01.2018 12:00 - 01.01.2018 13:00,4708,4836
01.01.2018 13:00 - 01.01.2018 14:00,4624,4774
01.01.2018 14:00 - 01.01.2018 15:00,4535,4697
01.01.2018 15:00 - 01.01.2018 16:00,4507,4740
01.01.2018 16:00 - 01.01.2018 17:00,4911,5061
01.01.2018 17:00 - 01.01.2018 18:00,5140,5228
01.01.2018 18:00 - 01.01.2018 19:00,5156,5205
01.01.2018 19:00 - 01.01.2018 20:00,5214,5186
01.01.2018 20:00 - 01.01.2018 21:00,5129,5142
01.01.2018 21:00 - 01.01.2018 22:00,5086,5053
01.01.2018 22:00 - 01.01.2018 23:00,4997,5047
01.01.2018 23:00 - 02.01.2018 00:00,4971,5028
02.01.2018 00:00 - 02.01.2018 01:00,5133,5004
02.01.2018 01:00 - 02.01.2018 02:00,4878,4698
02.01.2018 02:00 - 02.01.2018 03:00,4538,4357
02.01.2018 03:00 - 02.01.2018 04:00,4309,4124
02.01.2018 04:00 - 02.01.2018 05:00,4188,3999
02.01.2018 05:00 - 02.01.2018 06:00,4228,3964
02.01.2018 06:00 - 02.01.2018 07:00,4354,4051
02.01.2018 07:00 - 02.01.2018 08:00,4578,4247
02.01.2018 08:00 - 02.01.2018 09:00,4823,4573
02.01.2018 09:00 - 02.01.2018 10:00,5074,4922
02.01.2018 10:00 - 02.01.2018 11:00,5221,5112
02.01.2018 11:00 - 02.01.2018 12:00,5256,5219
02.01.2018 12:00 - 02.01.2018 13:00,5262,5233
02.01.2018 13:00 - 02.01.2018 14:00,5248,5172
02.01.2018 14:00 - 02.01.2018 15:00,5156,5046
02.01.2018 15:00 - 02.01.2018 16:00,5157,5072
02.01.2018 16:00 - 02.01.2018 17:00,5462,5326
02.01.2018 17:00 - 02.01.2018 18:00,5598,5470
02.01.2018 18:00 - 02.01.2018 19:00,5591,5445
02.01.2018 19:00 - 02.01.2018 20:00,5598,5429
02.01.2018 20:00 - 02.01.2018 21:00,5520,5383
02.01.2018 21:00 - 02.01.2018 22:00,5404,5279
02.01.2018 22:00 - 02.01.2018 23:00,5419,5331
02.01.2018 23:00 - 03.01.2018 00:00,5350,5324
03.01.2018 00:00 - 03.01.2018 01:00,5029,5184
03.01.2018 01:00 - 03.01.2018 02:00,4742,4772
03.01.2018 02:00 - 03.01.2018 03:00,4449,4410
03.01.2018 03:00 - 03.01.2018 04:00,4201,4130
03.01.2018 04:00 - 03.01.2018 05:00,4090,4023
03.01.2018 05:00 - 03.01.2018 06:00,4185,4134
03.01.2018 06:00 - 03.01.2018 07:00,4475,4506
03.01.2018 07:00 - 03.01.2018 08:00,4825,4829
03.01.2018 08:00 - 03.01.2018 09:00,5019,5109
03.01.2018 09:00 - 03.01.2018 10:00,5154,5337
03.01.2018 10:00 - 03.01.2018 11:00,5227,5383
03.01.2018 11:00 - 03.01.2018 12:00,5296,5322
03.01.2018 12:00 - 03.01.2018 13:00,5231,5271
03.01.2018 13:00 - 03.01.2018 14:00,5208,5197
03.01.2018 14:00 - 03.01.2018 15:00,5114,5073
03.01.2018 15:00 - 03.01.2018 16:00,5106,5195
03.01.2018 16:00 - 03.01.2018 17:00,5540,5553
03.01.2018 17:00 - 03.01.2018 18:00,5568,5813
03.01.2018 18:00 - 03.01.2018 19:00,5605,5746
03.01.2018 19:00 - 03.01.2018 20:00,5595,5690
03.01.2018 20:00 - 03.01.2018 21:00,5499,5606
03.01.2018 21:00 - 03.01.2018 22:00,5365,5519
03.01.2018 22:00 - 03.01.2018 23:00,5310,5509
03.01.2018 23:00 - 04.01.2018 00:00,5251,5450
04.01.2018 00:00 - 04.01.2018 01:00,5078,5328
04.01.2018 01:00 - 04.01.2018 02:00,4795,4891
04.01.2018 02:00 - 04.01.2018 03:00,4448,4497
04.01.2018 03:00 - 04.01.2018 04:00,4262,4202
04.01.2018 04:00 - 04.01.2018 05:00,4210,4122
04.01.2018 05:00 - 04.01.2018 06:00,4420,4235
04.01.2018 06:00 - 04.01.2018 07:00,4821,4548
