Time (CET),Day-ahead Total Load Forecast [MW] - Slovakia (SK),Actual Total Load [MW] - Slovakia (SK)
01.01.2018 00:00 - 01.01.2018 01:00,3000,2845
01.01.2018 01:00 - 01.01.2018 02:00,2880,2734
01.01.2018 02:00 - 01.01.2018 03:00,2770,2659
01.01.2018 03:00 - 01.01.2018 04:00,2720,2583
01.01.2018 04:00 - 01.01.2018 05:00,2740,2568
01.01.2018 05:00 - 01.01.2018 06:00,2730,2562
01.01.2018 06:00 - 01.01.2018 07:00,2680,2613
01.01.2018 07:00 - 01.01.2018 08:00,2680,2608
01.01.2018 08:00 - 01.01.2018 09:00,2780,2684
01.01.2018 09:00 - 01.01.2018 10:00,2910,2827
01.01.2018 10:00 - 01.01.2018 11:00,3000,2919
01.01.2018 11:00 - 01.01.2018 12:00,3050,3048
01.01.2018 12:00 - 01.01.2018 13:00,3060,3014
01.01.2018 13:00 - 01.01.2018 14:00,3060,3031
01.01.2018 14:00 - 01.01.2018 15:00,3050,2995
01.01.2018 15:00 - 01.01.2018 16:00,3090,2961
01.01.2018 16:00 - 01.01.2018 17:00,3210,3067
01.01.2018 17:00 - 01.01.2018 18:00,3230,3125
01.01.2018 18:00 - 01.01.2018 19:00,3250,3155
01.01.2018 19:00 - 01.01.2018 20:00,3220,3138
01.01.2018 20:00 - 01.01.2018 21:00,3200,3108
01.01.2018 21:00 - 01.01.2018 22:00,3160,3011
01.01.2018 22:00 - 01.01.2018 23:00,3040,2902
01.01.2018 23:00 - 02.01.2018 00:00,2950,2780
02.01.2018 00:00 - 02.01.2018 01:00,2780,2677
02.01.2018 01:00 - 02.01.2018 02:00,2730,2570
02.01.2018 02:00 - 02.01.2018 03:00,2650,2546
02.01.2018 03:00 - 02.01.2018 04:00,2680,2518
02.01.2018 04:00 - 02.01.2018 05:00,2770,2603
02.01.2018 05:00 - 02.01.2018 06:00,3040,2762
02.01.2018 06:00 - 02.01.2018 07:00,3460,3078
02.01.2018 07:00 - 02.01.2018 08:00,3560,3279
02.01.2018 08:00 - 02.01.2018 09:00,3660,3455
02.01.2018 09:00 - 02.01.2018 10:00,3650,3607
02.01.2018 10:00 - 02.01.2018 11:00,3700,3597
02.01.2018 11:00 - 02.01.2018 12:00,3680,3675
02.01.2018 12:00 - 02.01.2018 13:00,3750,3669
02.01.2018 13:00 - 02.01.2018 14:00,3780,3676
02.01.2018 14:00 - 02.01.2018 15:00,3750,3662
02.01.2018 15:00 - 02.01.2018 16:00,3820,3617
02.01.2018 16:00 - 02.01.2018 17:00,3920,3734
02.01.2018 17:00 - 02.01.2018 18:00,3880,3734
02.01.2018 18:00 - 02.01.2018 19:00,3850,3706
02.01.2018 19:00 - 02.01.2018 20:00,3800,3657
02.01.2018 20:00 - 02.01.2018 21:00,3640,3595
02.01.2018 21:00 - 02.01.2018 22:00,3360,3408
02.01.2018 22:00 - 02.01.2018 23:00,3110,3264
02.01.2018 23:00 - 03.01.2018 00:00,3030,3103
03.01.2018 00:00 - 03.01.2018 01:00,2920,2982
03.01.2018 01:00 - 03.01.2018 02:00,2850,2878
03.01.2018 02:00 - 03.01.2018 03:00,2820,2864
03.01.2018 03:00 - 03.01.2018 04:00,2820,2851
03.01.2018 04:00 - 03.01.2018 05:00,2970,2907
03.01.2018 05:00 - 03.01.2018 06:00,3180,3070
03.01.2018 06:00 - 03.01.2018 07:00,3410,3367
03.01.2018 07:00 - 03.01.2018 08:00,3540,3510
03.01.2018 08:00 - 03.01.2018 09:00,3660,3623
03.01.2018 09:00 - 03.01.2018 10:00,3700,3715
03.01.2018 10:00 - 03.01.2018 11:00,3750,3732
03.01.2018 11:00 - 03.01.2018 12:00,3760,3846
03.01.2018 12:00 - 03.01.2018 13:00,3720,3859
03.01.2018 13:00 - 03.01.2018 14:00,3730,3908
03.01.2018 14:00 - 03.01.2018 15:00,3700,3893
03.01.2018 15:00 - 03.01.2018 16:00,3700,3877
03.01.2018 16:00 - 03.01.2018 17:00,3790,3965
03.01.2018 17:00 - 03.01.2018 18:00,3740,3961
03.01.2018 18:00 - 03.01.2018 19:00,3780,3899
03.01.2018 19:00 - 03.01.2018 20:00,3670,3839
03.01.2018 20:00 - 03.01.2018 21:00,3500,3765
03.01.2018 21:00 - 03.01.2018 22:00,3350,3542
03.01.2018 22:00 - 03.01.2018 23:00,3190,3358
03.01.2018 23:00 - 04.01.2018 00:00,3080,3223
04.01.2018 00:00 - 04.01.2018 01:00,2930,3098
04.01.2018 01:00 - 04.01.2018 02:00,2900,2989
04.01.2018 02:00 - 04.01.2018 03:00,2880,2967
04.01.2018 03:00 - 04.01.2018 04:00,2900,2934
04.01.2018 04:00 - 04.01.2018 05:00,2990,2997
04.01.2018 05:00 - 04.01.2018 06:00,3210,3109
04.01.2018 06:00 - 04.01.2018 07:00,3530,3429
04.01.2018 07:00 - 04.01.2018 08:00,3630,3600
04.01.2018 08:00 - 04.01.2018 09:00,3700,3718
04.01.2018 09:00 - 04.01.2018 10:00,3750,3804
04.01.2018 10:00 - 04.01.2018 11:00,3800,3788
04.01.2018 11:00 - 04.01.2018 12:00,3780,3840
04.01.2018 12:00 - 04.01.2018 13:00,3760,3801
04.01.2018 13:00 - 04.01.2018 14:00,3800,3762
04.01.2018 14:00 - 04.01.2018 15:00,3750,3771
04.01.2018 15:00 - 04.01.2018 16:00,3800,3735
04.01.2018 16:00 - 04.01.2018 17:00,3940,3860
04.01.2018 17:00 - 04.01.2018 18:00,3880,3866
04.01.2018 18:00 - 04.01.2018 19:00,3850,3820
04.01.2018 19:00 - 04.01.2018 20:00,3800,3765
04.01.2018 20:00 - 04.01.2018 21:00,3600,3695
04.01.2018 21:00 - 04.01.2018 22:00,3370,3536
04.01.2018 22:00 - 04.01.2018 23:00,3190,3360
04.01.2018 23:00 - 05.01.2018 00:00,3100,3206
05.01.2018 00:00 - 05.01.2018 01:00,3030,3093
05.01.2018 01:00 - 05.01.2018 02:00,2970,2982
05.01.2018 02:00 - 05.01.2018 03:00,2930,2943
05.01.2018 03:00 - 05.01.2018 04:00,2960,2947
05.01.2018 04:00 - 05.01.2018 05:00,3030,3039
05.01.2018 05:00 - 05.01.2018 06:00,3380,3172
05.01.2018 06:00 - 05.01.2018 07:00,3490,3469
05.01.2018 07:00 - 05.01.2018 08:00,3650,3633
05.01.2018 08:00 - 05.01.2018 09:00,3740,3773
05.01.2018 09:00 - 05.01.2018 10:00,3810,3861
05.01.2018 10:00 - 05.01.2018 11:00,3850,3860
05.01.2018 11:00 - 05.01.2018 12:00,3840,3911
05.01.2018 12:00 - 05.01.2018 13:00,3860,3897
05.01.2018 13:00 - 05.01.2018 14:00,3820,3884
05.01.2018 14:00 - 05.01.2018 15:00,3770,3821
05.01.2018 15:00 - 05.01.2018 16:00,3810,3801
05.01.2018 16:00 - 05.01.2018 17:00,3950,3924
05.01.2018 17:00 - 05.01.2018 18:00,3830,3903
05.01.2018 18:00 - 05.01.2018 19:00,3850,3855
05.01.2018 19:00 - 05.01.2018 20:00,3790,3820
05.01.2018 20:00 - 05.01.2018 21:00,3650,3723
05.01.2018 21:00 - 05.01.2018 22:00,3480,3538
05.01.2018 22:00 - 05.01.2018 23:00,3270,3372
05.01.2018 23:00 - 06.01.2018 00:00,3200,3252
06.01.2018 00:00 - 06.01.2018 01:00,3130,3085
06.01.2018 01:00 - 06.01.2018 02:00,3040,2960
06.01.2018 02:00 - 06.01.2018 03:00,2990,2901
06.01.2018 03:00 - 06.01.2018 04:00,2990,2891
06.01.2018 04:00 - 06.01.2018 05:00,3000,2905
06.01.2018 05:00 - 06.01.2018 06:00,3080,2915
06.01.2018 06:00 - 06.01.2018 07:00,3150,3004
06.01.2018 07:00 - 06.01.2018 08:00,3280,3058
