"Time (WET)","Greece (GR) > Albania (AL) [MW]","Albania (AL) > Greece (GR) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","179"
"01.01.2018 01:00 - 01.01.2018 02:00","0","200"
"01.01.2018 02:00 - 01.01.2018 03:00","0","225"
"01.01.2018 03:00 - 01.01.2018 04:00","0","202"
"01.01.2018 04:00 - 01.01.2018 05:00","0","223"
"01.01.2018 05:00 - 01.01.2018 06:00","0","259"
"01.01.2018 06:00 - 01.01.2018 07:00","0","241"
"01.01.2018 07:00 - 01.01.2018 08:00","0","231"
"01.01.2018 08:00 - 01.01.2018 09:00","0","149"
"01.01.2018 09:00 - 01.01.2018 10:00","0","150"
"01.01.2018 10:00 - 01.01.2018 11:00","0","132"
"01.01.2018 11:00 - 01.01.2018 12:00","0","126"
"01.01.2018 12:00 - 01.01.2018 13:00","0","97"
"01.01.2018 13:00 - 01.01.2018 14:00","0","154"
"01.01.2018 14:00 - 01.01.2018 15:00","0","190"
"01.01.2018 15:00 - 01.01.2018 16:00","0","181"
"01.01.2018 16:00 - 01.01.2018 17:00","0","183"
"01.01.2018 17:00 - 01.01.2018 18:00","0","172"
"01.01.2018 18:00 - 01.01.2018 19:00","0","145"
"01.01.2018 19:00 - 01.01.2018 20:00","0","111"
"01.01.2018 20:00 - 01.01.2018 21:00","0","77"
"01.01.2018 21:00 - 01.01.2018 22:00","0","89"
"01.01.2018 22:00 - 01.01.2018 23:00","0","129"
"01.01.2018 23:00 - 02.01.2018 00:00","0","79"
"02.01.2018 00:00 - 02.01.2018 01:00","0","60"
"02.01.2018 01:00 - 02.01.2018 02:00","0","49"
"02.01.2018 02:00 - 02.01.2018 03:00","0","27"
"02.01.2018 03:00 - 02.01.2018 04:00","0","69"
"02.01.2018 04:00 - 02.01.2018 05:00","0","66"
"02.01.2018 05:00 - 02.01.2018 06:00","0","75"
"02.01.2018 06:00 - 02.01.2018 07:00","0","36"
"02.01.2018 07:00 - 02.01.2018 08:00","0","64"
"02.01.2018 08:00 - 02.01.2018 09:00","0","50"
"02.01.2018 09:00 - 02.01.2018 10:00","0","31"
"02.01.2018 10:00 - 02.01.2018 11:00","0","34"
"02.01.2018 11:00 - 02.01.2018 12:00","0","46"
"02.01.2018 12:00 - 02.01.2018 13:00","0","22"
"02.01.2018 13:00 - 02.01.2018 14:00","0","57"
"02.01.2018 14:00 - 02.01.2018 15:00","0","39"
"02.01.2018 15:00 - 02.01.2018 16:00","0","52"
"02.01.2018 16:00 - 02.01.2018 17:00","0","33"
"02.01.2018 17:00 - 02.01.2018 18:00","0","44"
"02.01.2018 18:00 - 02.01.2018 19:00","0","72"
"02.01.2018 19:00 - 02.01.2018 20:00","0","36"
"02.01.2018 20:00 - 02.01.2018 21:00","0","67"
"02.01.2018 21:00 - 02.01.2018 22:00","0","81"
"02.01.2018 22:00 - 02.01.2018 23:00","0","107"
"02.01.2018 23:00 - 03.01.2018 00:00","0","131"
"03.01.2018 00:00 - 03.01.2018 01:00","0","142"
"03.01.2018 01:00 - 03.01.2018 02:00","0","153"
"03.01.2018 02:00 - 03.01.2018 03:00","0","177"
"03.01.2018 03:00 - 03.01.2018 04:00","0","176"
"03.01.2018 04:00 - 03.01.2018 05:00","0","158"
"03.01.2018 05:00 - 03.01.2018 06:00","0","137"
"03.01.2018 06:00 - 03.01.2018 07:00","0","146"
"03.01.2018 07:00 - 03.01.2018 08:00","0","116"
"03.01.2018 08:00 - 03.01.2018 09:00","0","130"
"03.01.2018 09:00 - 03.01.2018 10:00","0","108"
"03.01.2018 10:00 - 03.01.2018 11:00","0","96"
"03.01.2018 11:00 - 03.01.2018 12:00","0","96"
"03.01.2018 12:00 - 03.01.2018 13:00","0","112"
"03.01.2018 13:00 - 03.01.2018 14:00","0","113"
"03.01.2018 14:00 - 03.01.2018 15:00","0","129"
"03.01.2018 15:00 - 03.01.2018 16:00","0","141"
"03.01.2018 16:00 - 03.01.2018 17:00","0","124"
"03.01.2018 17:00 - 03.01.2018 18:00","0","126"
"03.01.2018 18:00 - 03.01.2018 19:00","0","126"
"03.01.2018 19:00 - 03.01.2018 20:00","0","40"
"03.01.2018 20:00 - 03.01.2018 21:00","0","21"
"03.01.2018 21:00 - 03.01.2018 22:00","0","66"
"03.01.2018 22:00 - 03.01.2018 23:00","0","100"
"03.01.2018 23:00 - 04.01.2018 00:00","0","122"
"04.01.2018 00:00 - 04.01.2018 01:00","0","152"
"04.01.2018 01:00 - 04.01.2018 02:00","0","166"
"04.01.2018 02:00 - 04.01.2018 03:00","0","189"
"04.01.2018 03:00 - 04.01.2018 04:00","0","182"
"04.01.2018 04:00 - 04.01.2018 05:00","0","180"
"04.01.2018 05:00 - 04.01.2018 06:00","0","200"
"04.01.2018 06:00 - 04.01.2018 07:00","0","150"
"04.01.2018 07:00 - 04.01.2018 08:00","0","139"
"04.01.2018 08:00 - 04.01.2018 09:00","0","141"
"04.01.2018 09:00 - 04.01.2018 10:00","0","104"
"04.01.2018 10:00 - 04.01.2018 11:00","0","110"
"04.01.2018 11:00 - 04.01.2018 12:00","0","116"
"04.01.2018 12:00 - 04.01.2018 13:00","0","120"
"04.01.2018 13:00 - 04.01.2018 14:00","0","109"
"04.01.2018 14:00 - 04.01.2018 15:00","0","124"
"04.01.2018 15:00 - 04.01.2018 16:00","0","140"
"04.01.2018 16:00 - 04.01.2018 17:00","0","124"
"04.01.2018 17:00 - 04.01.2018 18:00","0","132"
"04.01.2018 18:00 - 04.01.2018 19:00","0","118"
"04.01.2018 19:00 - 04.01.2018 20:00","0","93"
"04.01.2018 20:00 - 04.01.2018 21:00","0","31"
"04.01.2018 21:00 - 04.01.2018 22:00","0","79"
"04.01.2018 22:00 - 04.01.2018 23:00","0","109"
"04.01.2018 23:00 - 05.01.2018 00:00","0","121"
"05.01.2018 00:00 - 05.01.2018 01:00","0","171"
"05.01.2018 01:00 - 05.01.2018 02:00","0","154"
"05.01.2018 02:00 - 05.01.2018 03:00","0","176"
"05.01.2018 03:00 - 05.01.2018 04:00","0","205"
"05.01.2018 04:00 - 05.01.2018 05:00","0","173"
"05.01.2018 05:00 - 05.01.2018 06:00","0","181"
"05.01.2018 06:00 - 05.01.2018 07:00","0","136"
"05.01.2018 07:00 - 05.01.2018 08:00","0","159"
"05.01.2018 08:00 - 05.01.2018 09:00","0","140"
"05.01.2018 09:00 - 05.01.2018 10:00","0","122"
"05.01.2018 10:00 - 05.01.2018 11:00","0","128"
"05.01.2018 11:00 - 05.01.2018 12:00","0","119"
"05.01.2018 12:00 - 05.01.2018 13:00","0","123"
"05.01.2018 13:00 - 05.01.2018 14:00","0","124"
"05.01.2018 14:00 - 05.01.2018 15:00","0","116"
"05.01.2018 15:00 - 05.01.2018 16:00","0","145"
"05.01.2018 16:00 - 05.01.2018 17:00","0","118"
"05.01.2018 17:00 - 05.01.2018 18:00","0","93"
"05.01.2018 18:00 - 05.01.2018 19:00","0","85"
"05.01.2018 19:00 - 05.01.2018 20:00","0","66"
"05.01.2018 20:00 - 05.01.2018 21:00","0","85"
"05.01.2018 21:00 - 05.01.2018 22:00","0","108"
"05.01.2018 22:00 - 05.01.2018 23:00","0","112"
"05.01.2018 23:00 - 06.01.2018 00:00","0","97"
