"Time (WET)","Switzerland (CH) > Austria (AT) [MW]","Austria (AT) > Switzerland (CH) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","910"
"01.01.2018 01:00 - 01.01.2018 02:00","0","950"
"01.01.2018 02:00 - 01.01.2018 03:00","0","922"
"01.01.2018 03:00 - 01.01.2018 04:00","0","767"
"01.01.2018 04:00 - 01.01.2018 05:00","0","706"
"01.01.2018 05:00 - 01.01.2018 06:00","0","582"
"01.01.2018 06:00 - 01.01.2018 07:00","0","388"
"01.01.2018 07:00 - 01.01.2018 08:00","0","261"
"01.01.2018 08:00 - 01.01.2018 09:00","0","234"
"01.01.2018 09:00 - 01.01.2018 10:00","0","403"
"01.01.2018 10:00 - 01.01.2018 11:00","0","553"
"01.01.2018 11:00 - 01.01.2018 12:00","0","739"
"01.01.2018 12:00 - 01.01.2018 13:00","0","776"
"01.01.2018 13:00 - 01.01.2018 14:00","0","212"
"01.01.2018 14:00 - 01.01.2018 15:00","115","0"
"01.01.2018 15:00 - 01.01.2018 16:00","171","0"
"01.01.2018 16:00 - 01.01.2018 17:00","0","178"
"01.01.2018 17:00 - 01.01.2018 18:00","19","0"
"01.01.2018 18:00 - 01.01.2018 19:00","0","74"
"01.01.2018 19:00 - 01.01.2018 20:00","0","331"
"01.01.2018 20:00 - 01.01.2018 21:00","0","896"
"01.01.2018 21:00 - 01.01.2018 22:00","0","712"
"01.01.2018 22:00 - 01.01.2018 23:00","0","409"
"01.01.2018 23:00 - 02.01.2018 00:00","0","184"
"02.01.2018 00:00 - 02.01.2018 01:00","0","177"
"02.01.2018 01:00 - 02.01.2018 02:00","0","282"
"02.01.2018 02:00 - 02.01.2018 03:00","0","330"
"02.01.2018 03:00 - 02.01.2018 04:00","0","348"
"02.01.2018 04:00 - 02.01.2018 05:00","0","550"
"02.01.2018 05:00 - 02.01.2018 06:00","0","354"
"02.01.2018 06:00 - 02.01.2018 07:00","0","848"
"02.01.2018 07:00 - 02.01.2018 08:00","0","1011"
"02.01.2018 08:00 - 02.01.2018 09:00","0","1156"
"02.01.2018 09:00 - 02.01.2018 10:00","0","1150"
"02.01.2018 10:00 - 02.01.2018 11:00","0","998"
"02.01.2018 11:00 - 02.01.2018 12:00","0","874"
"02.01.2018 12:00 - 02.01.2018 13:00","0","893"
"02.01.2018 13:00 - 02.01.2018 14:00","0","1024"
"02.01.2018 14:00 - 02.01.2018 15:00","0","991"
"02.01.2018 15:00 - 02.01.2018 16:00","0","875"
"02.01.2018 16:00 - 02.01.2018 17:00","0","942"
"02.01.2018 17:00 - 02.01.2018 18:00","0","1078"
"02.01.2018 18:00 - 02.01.2018 19:00","0","893"
"02.01.2018 19:00 - 02.01.2018 20:00","0","844"
"02.01.2018 20:00 - 02.01.2018 21:00","0","860"
"02.01.2018 21:00 - 02.01.2018 22:00","0","662"
"02.01.2018 22:00 - 02.01.2018 23:00","0","713"
"02.01.2018 23:00 - 03.01.2018 00:00","0","657"
"03.01.2018 00:00 - 03.01.2018 01:00","0","498"
"03.01.2018 01:00 - 03.01.2018 02:00","0","604"
"03.01.2018 02:00 - 03.01.2018 03:00","0","576"
"03.01.2018 03:00 - 03.01.2018 04:00","0","410"
"03.01.2018 04:00 - 03.01.2018 05:00","0","520"
"03.01.2018 05:00 - 03.01.2018 06:00","0","445"
"03.01.2018 06:00 - 03.01.2018 07:00","0","395"
"03.01.2018 07:00 - 03.01.2018 08:00","0","227"
"03.01.2018 08:00 - 03.01.2018 09:00","0","153"
"03.01.2018 09:00 - 03.01.2018 10:00","0","147"
"03.01.2018 10:00 - 03.01.2018 11:00","0","208"
"03.01.2018 11:00 - 03.01.2018 12:00","0","168"
"03.01.2018 12:00 - 03.01.2018 13:00","0","222"
"03.01.2018 13:00 - 03.01.2018 14:00","0","230"
"03.01.2018 14:00 - 03.01.2018 15:00","0","308"
"03.01.2018 15:00 - 03.01.2018 16:00","0","193"
"03.01.2018 16:00 - 03.01.2018 17:00","9","0"
