"Time (WET)","Czech Republic (CZ) > Austria (AT) [MW]","Austria (AT) > Czech Republic (CZ) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","1351","0"
"01.01.2018 01:00 - 01.01.2018 02:00","1226","0"
"01.01.2018 02:00 - 01.01.2018 03:00","1148","0"
"01.01.2018 03:00 - 01.01.2018 04:00","1205","0"
"01.01.2018 04:00 - 01.01.2018 05:00","1206","0"
"01.01.2018 05:00 - 01.01.2018 06:00","1170","0"
"01.01.2018 06:00 - 01.01.2018 07:00","1280","0"
"01.01.2018 07:00 - 01.01.2018 08:00","1322","0"
"01.01.2018 08:00 - 01.01.2018 09:00","1332","0"
"01.01.2018 09:00 - 01.01.2018 10:00","1381","0"
"01.01.2018 10:00 - 01.01.2018 11:00","1399","0"
"01.01.2018 11:00 - 01.01.2018 12:00","1269","0"
"01.01.2018 12:00 - 01.01.2018 13:00","1142","0"
"01.01.2018 13:00 - 01.01.2018 14:00","1030","0"
"01.01.2018 14:00 - 01.01.2018 15:00","872","0"
"01.01.2018 15:00 - 01.01.2018 16:00","894","0"
"01.01.2018 16:00 - 01.01.2018 17:00","969","0"
"01.01.2018 17:00 - 01.01.2018 18:00","1026","0"
"01.01.2018 18:00 - 01.01.2018 19:00","1057","0"
"01.01.2018 19:00 - 01.01.2018 20:00","1157","0"
"01.01.2018 20:00 - 01.01.2018 21:00","1141","0"
"01.01.2018 21:00 - 01.01.2018 22:00","1000","0"
"01.01.2018 22:00 - 01.01.2018 23:00","972","0"
"01.01.2018 23:00 - 02.01.2018 00:00","827","0"
"02.01.2018 00:00 - 02.01.2018 01:00","605","0"
"02.01.2018 01:00 - 02.01.2018 02:00","557","0"
"02.01.2018 02:00 - 02.01.2018 03:00","545","0"
"02.01.2018 03:00 - 02.01.2018 04:00","721","0"
"02.01.2018 04:00 - 02.01.2018 05:00","992","0"
"02.01.2018 05:00 - 02.01.2018 06:00","977","0"
"02.01.2018 06:00 - 02.01.2018 07:00","841","0"
"02.01.2018 07:00 - 02.01.2018 08:00","679","0"
"02.01.2018 08:00 - 02.01.2018 09:00","588","0"
"02.01.2018 09:00 - 02.01.2018 10:00","530","0"
"02.01.2018 10:00 - 02.01.2018 11:00","651","0"
"02.01.2018 11:00 - 02.01.2018 12:00","413","0"
"02.01.2018 12:00 - 02.01.2018 13:00","398","0"
"02.01.2018 13:00 - 02.01.2018 14:00","390","0"
"02.01.2018 14:00 - 02.01.2018 15:00","489","0"
"02.01.2018 15:00 - 02.01.2018 16:00","711","0"
"02.01.2018 16:00 - 02.01.2018 17:00","882","0"
"02.01.2018 17:00 - 02.01.2018 18:00","945","0"
"02.01.2018 18:00 - 02.01.2018 19:00","761","0"
"02.01.2018 19:00 - 02.01.2018 20:00","789","0"
"02.01.2018 20:00 - 02.01.2018 21:00","715","0"
"02.01.2018 21:00 - 02.01.2018 22:00","976","0"
"02.01.2018 22:00 - 02.01.2018 23:00","1007","0"
"02.01.2018 23:00 - 03.01.2018 00:00","910","0"
"03.01.2018 00:00 - 03.01.2018 01:00","939","0"
"03.01.2018 01:00 - 03.01.2018 02:00","996","0"
"03.01.2018 02:00 - 03.01.2018 03:00","1092","0"
"03.01.2018 03:00 - 03.01.2018 04:00","1061","0"
"03.01.2018 04:00 - 03.01.2018 05:00","1183","0"
