"Time (WET)","Germany (DE) > Austria (AT) [MW]","Austria (AT) > Germany (DE) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","3196","0"
"01.01.2018 01:00 - 01.01.2018 02:00","3218","0"
"01.01.2018 02:00 - 01.01.2018 03:00","3245","0"
"01.01.2018 03:00 - 01.01.2018 04:00","3036","0"
"01.01.2018 04:00 - 01.01.2018 05:00","2977","0"
"01.01.2018 05:00 - 01.01.2018 06:00","3034","0"
"01.01.2018 06:00 - 01.01.2018 07:00","2918","0"
"01.01.2018 07:00 - 01.01.2018 08:00","2769","0"
"01.01.2018 08:00 - 01.01.2018 09:00","2904","0"
"01.01.2018 09:00 - 01.01.2018 10:00","3209","0"
"01.01.2018 10:00 - 01.01.2018 11:00","3280","0"
"01.01.2018 11:00 - 01.01.2018 12:00","3378","0"
"01.01.2018 12:00 - 01.01.2018 13:00","3289","0"
"01.01.2018 13:00 - 01.01.2018 14:00","2384","0"
"01.01.2018 14:00 - 01.01.2018 15:00","1952","0"
"01.01.2018 15:00 - 01.01.2018 16:00","1623","0"
"01.01.2018 16:00 - 01.01.2018 17:00","917","0"
"01.01.2018 17:00 - 01.01.2018 18:00","996","0"
"01.01.2018 18:00 - 01.01.2018 19:00","1238","0"
"01.01.2018 19:00 - 01.01.2018 20:00","1685","0"
"01.01.2018 20:00 - 01.01.2018 21:00","1808","0"
"01.01.2018 21:00 - 01.01.2018 22:00","1520","0"
"01.01.2018 22:00 - 01.01.2018 23:00","1761","0"
"01.01.2018 23:00 - 02.01.2018 00:00","1895","0"
"02.01.2018 00:00 - 02.01.2018 01:00","1768","0"
"02.01.2018 01:00 - 02.01.2018 02:00","1765","0"
"02.01.2018 02:00 - 02.01.2018 03:00","1678","0"
"02.01.2018 03:00 - 02.01.2018 04:00","1832","0"
"02.01.2018 04:00 - 02.01.2018 05:00","2141","0"
"02.01.2018 05:00 - 02.01.2018 06:00","1830","0"
"02.01.2018 06:00 - 02.01.2018 07:00","1555","0"
"02.01.2018 07:00 - 02.01.2018 08:00","1272","0"
"02.01.2018 08:00 - 02.01.2018 09:00","1176","0"
"02.01.2018 09:00 - 02.01.2018 10:00","1094","0"
"02.01.2018 10:00 - 02.01.2018 11:00","1329","0"
"02.01.2018 11:00 - 02.01.2018 12:00","1365","0"
"02.01.2018 12:00 - 02.01.2018 13:00","1085","0"
"02.01.2018 13:00 - 02.01.2018 14:00","1055","0"
"02.01.2018 14:00 - 02.01.2018 15:00","1045","0"
"02.01.2018 15:00 - 02.01.2018 16:00","1043","0"
"02.01.2018 16:00 - 02.01.2018 17:00","779","0"
"02.01.2018 17:00 - 02.01.2018 18:00","877","0"
"02.01.2018 18:00 - 02.01.2018 19:00","743","0"
"02.01.2018 19:00 - 02.01.2018 20:00","1369","0"
"02.01.2018 20:00 - 02.01.2018 21:00","1586","0"
"02.01.2018 21:00 - 02.01.2018 22:00","2138","0"
"02.01.2018 22:00 - 02.01.2018 23:00","2561","0"
"02.01.2018 23:00 - 03.01.2018 00:00","2613","0"
"03.01.2018 00:00 - 03.01.2018 01:00","2625","0"
"03.01.2018 01:00 - 03.01.2018 02:00","2928","0"
"03.01.2018 02:00 - 03.01.2018 03:00","3016","0"
"03.01.2018 03:00 - 03.01.2018 04:00","2936","0"
"03.01.2018 04:00 - 03.01.2018 05:00","3082","0"
"03.01.2018 05:00 - 03.01.2018 06:00","2946","0"
"03.01.2018 06:00 - 03.01.2018 07:00","2862","0"
"03.01.2018 07:00 - 03.01.2018 08:00","2554","0"
"03.01.2018 08:00 - 03.01.2018 09:00","2276","0"
"03.01.2018 09:00 - 03.01.2018 10:00","2261","0"
"03.01.2018 10:00 - 03.01.2018 11:00","2111","0"
"03.01.2018 11:00 - 03.01.2018 12:00","2044","0"
"03.01.2018 12:00 - 03.01.2018 13:00","2263","0"
"03.01.2018 13:00 - 03.01.2018 14:00","2301","0"
"03.01.2018 14:00 - 03.01.2018 15:00","2212","0"
"03.01.2018 15:00 - 03.01.2018 16:00","2307","0"
"03.01.2018 16:00 - 03.01.2018 17:00","2122","0"
"03.01.2018 17:00 - 03.01.2018 18:00","2206","0"
"03.01.2018 18:00 - 03.01.2018 19:00","2341","0"
"03.01.2018 19:00 - 03.01.2018 20:00","2681","0"
"03.01.2018 20:00 - 03.01.2018 21:00","2682","0"
"03.01.2018 21:00 - 03.01.2018 22:00","2898","0"
"03.01.2018 22:00 - 03.01.2018 23:00","3095","0"
"03.01.2018 23:00 - 04.01.2018 00:00","3185","0"
"04.01.2018 00:00 - 04.01.2018 01:00","3308","0"
"04.01.2018 01:00 - 04.01.2018 02:00","3638","0"
"04.01.2018 02:00 - 04.01.2018 03:00","3281","0"
"04.01.2018 03:00 - 04.01.2018 04:00","3271","0"
"04.01.2018 04:00 - 04.01.2018 05:00","2790","0"
"04.01.2018 05:00 - 04.01.2018 06:00","2154","0"
"04.01.2018 06:00 - 04.01.2018 07:00","1652","0"
"04.01.2018 07:00 - 04.01.2018 08:00","1447","0"
"04.01.2018 08:00 - 04.01.2018 09:00","1478","0"
"04.01.2018 09:00 - 04.01.2018 10:00","1723","0"
"04.01.2018 10:00 - 04.01.2018 11:00","1399","0"
"04.01.2018 11:00 - 04.01.2018 12:00","1178","0"
"04.01.2018 12:00 - 04.01.2018 13:00","1309","0"
"04.01.2018 13:00 - 04.01.2018 14:00","1470","0"
"04.01.2018 14:00 - 04.01.2018 15:00","1271","0"
"04.01.2018 15:00 - 04.01.2018 16:00","1173","0"
"04.01.2018 16:00 - 04.01.2018 17:00","720","0"
"04.01.2018 17:00 - 04.01.2018 18:00","839","0"
"04.01.2018 18:00 - 04.01.2018 19:00","1461","0"
"04.01.2018 19:00 - 04.01.2018 20:00","1882","0"
"04.01.2018 20:00 - 04.01.2018 21:00","2154","0"
"04.01.2018 21:00 - 04.01.2018 22:00","2556","0"
"04.01.2018 22:00 - 04.01.2018 23:00","2828","0"
"04.01.2018 23:00 - 05.01.2018 00:00","3018","0"
"05.01.2018 00:00 - 05.01.2018 01:00","3021","0"
"05.01.2018 01:00 - 05.01.2018 02:00","3168","0"
"05.01.2018 02:00 - 05.01.2018 03:00","3297","0"
"05.01.2018 03:00 - 05.01.2018 04:00","3121","0"
"05.01.2018 04:00 - 05.01.2018 05:00","2909","0"
"05.01.2018 05:00 - 05.01.2018 06:00","2661","0"
"05.01.2018 06:00 - 05.01.2018 07:00","1776","0"
"05.01.2018 07:00 - 05.01.2018 08:00","1855","0"
"05.01.2018 08:00 - 05.01.2018 09:00","2065","0"
"05.01.2018 09:00 - 05.01.2018 10:00","1978","0"
"05.01.2018 10:00 - 05.01.2018 11:00","2085","0"
"05.01.2018 11:00 - 05.01.2018 12:00","2002","0"
"05.01.2018 12:00 - 05.01.2018 13:00","1486","0"
"05.01.2018 13:00 - 05.01.2018 14:00","852","0"
"05.01.2018 14:00 - 05.01.2018 15:00","580","0"
"05.01.2018 15:00 - 05.01.2018 16:00","574","0"
"05.01.2018 16:00 - 05.01.2018 17:00","71","0"
"05.01.2018 17:00 - 05.01.2018 18:00","0","34"
"05.01.2018 18:00 - 05.01.2018 19:00","257","0"
"05.01.2018 19:00 - 05.01.2018 20:00","776","0"
"05.01.2018 20:00 - 05.01.2018 21:00","1426","0"
"05.01.2018 21:00 - 05.01.2018 22:00","1273","0"
"05.01.2018 22:00 - 05.01.2018 23:00","1469","0"
"05.01.2018 23:00 - 06.01.2018 00:00","1420","0"
"06.01.2018 00:00 - 06.01.2018 01:00","1361","0"
"06.01.2018 01:00 - 06.01.2018 02:00","1383","0"
"06.01.2018 02:00 - 06.01.2018 03:00","1540","0"
"06.01.2018 03:00 - 06.01.2018 04:00","1424","0"
"06.01.2018 04:00 - 06.01.2018 05:00","1907","0"
"06.01.2018 05:00 - 06.01.2018 06:00","2000","0"
"06.01.2018 06:00 - 06.01.2018 07:00","1728","0"
"06.01.2018 07:00 - 06.01.2018 08:00","1452","0"
"06.01.2018 08:00 - 06.01.2018 09:00","1466","0"
"06.01.2018 09:00 - 06.01.2018 10:00","1526","0"
"06.01.2018 10:00 - 06.01.2018 11:00","1605","0"
"06.01.2018 11:00 - 06.01.2018 12:00","1573","0"
"06.01.2018 12:00 - 06.01.2018 13:00","1272","0"
"06.01.2018 13:00 - 06.01.2018 14:00","1019","0"
"06.01.2018 14:00 - 06.01.2018 15:00","850","0"
"06.01.2018 15:00 - 06.01.2018 16:00","582","0"
"06.01.2018 16:00 - 06.01.2018 17:00","346","0"
"06.01.2018 17:00 - 06.01.2018 18:00","0","139"
"06.01.2018 18:00 - 06.01.2018 19:00","632","0"
"06.01.2018 19:00 - 06.01.2018 20:00","896","0"
"06.01.2018 20:00 - 06.01.2018 21:00","885","0"
"06.01.2018 21:00 - 06.01.2018 22:00","1460","0"
"06.01.2018 22:00 - 06.01.2018 23:00","1477","0"
"06.01.2018 23:00 - 07.01.2018 00:00","1679","0"
"07.01.2018 00:00 - 07.01.2018 01:00","1868","0"
"07.01.2018 01:00 - 07.01.2018 02:00","1972","0"
"07.01.2018 02:00 - 07.01.2018 03:00","1711","0"
"07.01.2018 03:00 - 07.01.2018 04:00","1693","0"
"07.01.2018 04:00 - 07.01.2018 05:00","2095","0"
"07.01.2018 05:00 - 07.01.2018 06:00","2072","0"
"07.01.2018 06:00 - 07.01.2018 07:00","2126","0"
"07.01.2018 07:00 - 07.01.2018 08:00","2175","0"
"07.01.2018 08:00 - 07.01.2018 09:00","2395","0"
"07.01.2018 09:00 - 07.01.2018 10:00","2329","0"
"07.01.2018 10:00 - 07.01.2018 11:00","2186","0"
"07.01.2018 11:00 - 07.01.2018 12:00","2089","0"
"07.01.2018 12:00 - 07.01.2018 13:00","1992","0"
"07.01.2018 13:00 - 07.01.2018 14:00","1827","0"
"07.01.2018 14:00 - 07.01.2018 15:00","1815","0"
"07.01.2018 15:00 - 07.01.2018 16:00","1824","0"
"07.01.2018 16:00 - 07.01.2018 17:00","2049","0"
"07.01.2018 17:00 - 07.01.2018 18:00","2214","0"
"07.01.2018 18:00 - 07.01.2018 19:00","2211","0"
