"Time (WET)","Hungary (HU) > Austria (AT) [MW]","Austria (AT) > Hungary (HU) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","341"
"01.01.2018 01:00 - 01.01.2018 02:00","0","372"
"01.01.2018 02:00 - 01.01.2018 03:00","0","346"
"01.01.2018 03:00 - 01.01.2018 04:00","0","313"
"01.01.2018 04:00 - 01.01.2018 05:00","0","318"
"01.01.2018 05:00 - 01.01.2018 06:00","0","387"
"01.01.2018 06:00 - 01.01.2018 07:00","0","366"
"01.01.2018 07:00 - 01.01.2018 08:00","0","432"
"01.01.2018 08:00 - 01.01.2018 09:00","0","394"
"01.01.2018 09:00 - 01.01.2018 10:00","0","373"
"01.01.2018 10:00 - 01.01.2018 11:00","0","406"
"01.01.2018 11:00 - 01.01.2018 12:00","0","406"
"01.01.2018 12:00 - 01.01.2018 13:00","0","437"
"01.01.2018 13:00 - 01.01.2018 14:00","0","408"
"01.01.2018 14:00 - 01.01.2018 15:00","0","392"
"01.01.2018 15:00 - 01.01.2018 16:00","0","395"
"01.01.2018 16:00 - 01.01.2018 17:00","0","350"
"01.01.2018 17:00 - 01.01.2018 18:00","0","328"
"01.01.2018 18:00 - 01.01.2018 19:00","0","321"
"01.01.2018 19:00 - 01.01.2018 20:00","0","291"
"01.01.2018 20:00 - 01.01.2018 21:00","0","200"
"01.01.2018 21:00 - 01.01.2018 22:00","0","114"
"01.01.2018 22:00 - 01.01.2018 23:00","0","35"
"01.01.2018 23:00 - 02.01.2018 00:00","135","0"
"02.01.2018 00:00 - 02.01.2018 01:00","204","0"
"02.01.2018 01:00 - 02.01.2018 02:00","260","0"
"02.01.2018 02:00 - 02.01.2018 03:00","302","0"
"02.01.2018 03:00 - 02.01.2018 04:00","245","0"
"02.01.2018 04:00 - 02.01.2018 05:00","198","0"
"02.01.2018 05:00 - 02.01.2018 06:00","0","11"
"02.01.2018 06:00 - 02.01.2018 07:00","0","201"
"02.01.2018 07:00 - 02.01.2018 08:00","0","329"
"02.01.2018 08:00 - 02.01.2018 09:00","0","434"
"02.01.2018 09:00 - 02.01.2018 10:00","0","508"
"02.01.2018 10:00 - 02.01.2018 11:00","0","574"
"02.01.2018 11:00 - 02.01.2018 12:00","0","578"
"02.01.2018 12:00 - 02.01.2018 13:00","0","505"
"02.01.2018 13:00 - 02.01.2018 14:00","0","524"
"02.01.2018 14:00 - 02.01.2018 15:00","0","363"
"02.01.2018 15:00 - 02.01.2018 16:00","0","419"
"02.01.2018 16:00 - 02.01.2018 17:00","0","300"
"02.01.2018 17:00 - 02.01.2018 18:00","0","342"
"02.01.2018 18:00 - 02.01.2018 19:00","0","348"
"02.01.2018 19:00 - 02.01.2018 20:00","0","402"
"02.01.2018 20:00 - 02.01.2018 21:00","0","502"
"02.01.2018 21:00 - 02.01.2018 22:00","0","500"
"02.01.2018 22:00 - 02.01.2018 23:00","0","409"
"02.01.2018 23:00 - 03.01.2018 00:00","0","351"
"03.01.2018 00:00 - 03.01.2018 01:00","0","157"
"03.01.2018 01:00 - 03.01.2018 02:00","0","261"
"03.01.2018 02:00 - 03.01.2018 03:00","0","279"
"03.01.2018 03:00 - 03.01.2018 04:00","0","292"
"03.01.2018 04:00 - 03.01.2018 05:00","0","307"
"03.01.2018 05:00 - 03.01.2018 06:00","0","515"
"03.01.2018 06:00 - 03.01.2018 07:00","0","637"
"03.01.2018 07:00 - 03.01.2018 08:00","0","655"
"03.01.2018 08:00 - 03.01.2018 09:00","0","672"
"03.01.2018 09:00 - 03.01.2018 10:00","0","621"
"03.01.2018 10:00 - 03.01.2018 11:00","0","685"
"03.01.2018 11:00 - 03.01.2018 12:00","0","755"
"03.01.2018 12:00 - 03.01.2018 13:00","0","737"
"03.01.2018 13:00 - 03.01.2018 14:00","0","671"
"03.01.2018 14:00 - 03.01.2018 15:00","0","678"
"03.01.2018 15:00 - 03.01.2018 16:00","0","862"
"03.01.2018 16:00 - 03.01.2018 17:00","0","806"
"03.01.2018 17:00 - 03.01.2018 18:00","0","810"
"03.01.2018 18:00 - 03.01.2018 19:00","0","705"
"03.01.2018 19:00 - 03.01.2018 20:00","0","666"
"03.01.2018 20:00 - 03.01.2018 21:00","0","678"
"03.01.2018 21:00 - 03.01.2018 22:00","0","660"
"03.01.2018 22:00 - 03.01.2018 23:00","0","680"
"03.01.2018 23:00 - 04.01.2018 00:00","0","706"
