"Time (WET)","Slovenia (SI) > Austria (AT) [MW]","Austria (AT) > Slovenia (SI) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","771"
"01.01.2018 01:00 - 01.01.2018 02:00","0","800"
"01.01.2018 02:00 - 01.01.2018 03:00","0","764"
"01.01.2018 03:00 - 01.01.2018 04:00","0","810"
"01.01.2018 04:00 - 01.01.2018 05:00","0","792"
"01.01.2018 05:00 - 01.01.2018 06:00","0","828"
"01.01.2018 06:00 - 01.01.2018 07:00","0","739"
"01.01.2018 07:00 - 01.01.2018 08:00","0","731"
"01.01.2018 08:00 - 01.01.2018 09:00","0","694"
"01.01.2018 09:00 - 01.01.2018 10:00","0","704"
"01.01.2018 10:00 - 01.01.2018 11:00","0","749"
"01.01.2018 11:00 - 01.01.2018 12:00","0","715"
"01.01.2018 12:00 - 01.01.2018 13:00","0","621"
"01.01.2018 13:00 - 01.01.2018 14:00","0","418"
"01.01.2018 14:00 - 01.01.2018 15:00","0","306"
"01.01.2018 15:00 - 01.01.2018 16:00","0","195"
"01.01.2018 16:00 - 01.01.2018 17:00","0","370"
"01.01.2018 17:00 - 01.01.2018 18:00","0","395"
"01.01.2018 18:00 - 01.01.2018 19:00","0","418"
"01.01.2018 19:00 - 01.01.2018 20:00","0","513"
"01.01.2018 20:00 - 01.01.2018 21:00","0","478"
"01.01.2018 21:00 - 01.01.2018 22:00","0","314"
"01.01.2018 22:00 - 01.01.2018 23:00","0","133"
"01.01.2018 23:00 - 02.01.2018 00:00","0","118"
"02.01.2018 00:00 - 02.01.2018 01:00","0","75"
"02.01.2018 01:00 - 02.01.2018 02:00","0","214"
"02.01.2018 02:00 - 02.01.2018 03:00","0","218"
"02.01.2018 03:00 - 02.01.2018 04:00","0","195"
"02.01.2018 04:00 - 02.01.2018 05:00","0","232"
"02.01.2018 05:00 - 02.01.2018 06:00","0","313"
"02.01.2018 06:00 - 02.01.2018 07:00","0","506"
"02.01.2018 07:00 - 02.01.2018 08:00","0","444"
"02.01.2018 08:00 - 02.01.2018 09:00","0","440"
"02.01.2018 09:00 - 02.01.2018 10:00","0","372"
"02.01.2018 10:00 - 02.01.2018 11:00","0","350"
"02.01.2018 11:00 - 02.01.2018 12:00","0","137"
"02.01.2018 12:00 - 02.01.2018 13:00","0","271"
"02.01.2018 13:00 - 02.01.2018 14:00","0","316"
"02.01.2018 14:00 - 02.01.2018 15:00","0","178"
"02.01.2018 15:00 - 02.01.2018 16:00","0","230"
"02.01.2018 16:00 - 02.01.2018 17:00","0","236"
"02.01.2018 17:00 - 02.01.2018 18:00","0","318"
"02.01.2018 18:00 - 02.01.2018 19:00","0","193"
"02.01.2018 19:00 - 02.01.2018 20:00","0","272"
"02.01.2018 20:00 - 02.01.2018 21:00","0","398"
"02.01.2018 21:00 - 02.01.2018 22:00","0","324"
"02.01.2018 22:00 - 02.01.2018 23:00","0","367"
"02.01.2018 23:00 - 03.01.2018 00:00","0","387"
"03.01.2018 00:00 - 03.01.2018 01:00","0","427"
"03.01.2018 01:00 - 03.01.2018 02:00","0","506"
"03.01.2018 02:00 - 03.01.2018 03:00","0","549"
"03.01.2018 03:00 - 03.01.2018 04:00","0","545"
"03.01.2018 04:00 - 03.01.2018 05:00","0","544"
"03.01.2018 05:00 - 03.01.2018 06:00","0","568"
"03.01.2018 06:00 - 03.01.2018 07:00","0","616"
"03.01.2018 07:00 - 03.01.2018 08:00","0","513"
"03.01.2018 08:00 - 03.01.2018 09:00","0","447"
"03.01.2018 09:00 - 03.01.2018 10:00","0","369"
"03.01.2018 10:00 - 03.01.2018 11:00","0","488"
"03.01.2018 11:00 - 03.01.2018 12:00","0","537"
"03.01.2018 12:00 - 03.01.2018 13:00","0","533"
"03.01.2018 13:00 - 03.01.2018 14:00","0","575"
"03.01.2018 14:00 - 03.01.2018 15:00","0","600"
"03.01.2018 15:00 - 03.01.2018 16:00","0","607"
"03.01.2018 16:00 - 03.01.2018 17:00","0","611"
"03.01.2018 17:00 - 03.01.2018 18:00","0","688"
"03.01.2018 18:00 - 03.01.2018 19:00","0","615"
"03.01.2018 19:00 - 03.01.2018 20:00","0","572"
"03.01.2018 20:00 - 03.01.2018 21:00","0","746"
"03.01.2018 21:00 - 03.01.2018 22:00","0","766"
"03.01.2018 22:00 - 03.01.2018 23:00","0","786"
"03.01.2018 23:00 - 04.01.2018 00:00","0","808"
"04.01.2018 00:00 - 04.01.2018 01:00","0","855"
"04.01.2018 01:00 - 04.01.2018 02:00","0","828"
"04.01.2018 02:00 - 04.01.2018 03:00","0","842"
"04.01.2018 03:00 - 04.01.2018 04:00","0","742"
"04.01.2018 04:00 - 04.01.2018 05:00","0","767"
"04.01.2018 05:00 - 04.01.2018 06:00","0","754"
"04.01.2018 06:00 - 04.01.2018 07:00","0","844"
"04.01.2018 07:00 - 04.01.2018 08:00","0","913"
"04.01.2018 08:00 - 04.01.2018 09:00","0","843"
"04.01.2018 09:00 - 04.01.2018 10:00","0","718"
"04.01.2018 10:00 - 04.01.2018 11:00","0","844"
"04.01.2018 11:00 - 04.01.2018 12:00","0","682"
"04.01.2018 12:00 - 04.01.2018 13:00","0","656"
"04.01.2018 13:00 - 04.01.2018 14:00","0","672"
"04.01.2018 14:00 - 04.01.2018 15:00","0","717"
"04.01.2018 15:00 - 04.01.2018 16:00","0","673"
"04.01.2018 16:00 - 04.01.2018 17:00","0","898"
"04.01.2018 17:00 - 04.01.2018 18:00","0","908"
"04.01.2018 18:00 - 04.01.2018 19:00","0","805"
"04.01.2018 19:00 - 04.01.2018 20:00","0","741"
"04.01.2018 20:00 - 04.01.2018 21:00","0","776"
"04.01.2018 21:00 - 04.01.2018 22:00","0","661"
"04.01.2018 22:00 - 04.01.2018 23:00","0","652"
"04.01.2018 23:00 - 05.01.2018 00:00","0","650"
"05.01.2018 00:00 - 05.01.2018 01:00","0","715"
"05.01.2018 01:00 - 05.01.2018 02:00","0","769"
"05.01.2018 02:00 - 05.01.2018 03:00","0","721"
"05.01.2018 03:00 - 05.01.2018 04:00","0","761"
"05.01.2018 04:00 - 05.01.2018 05:00","0","778"
"05.01.2018 05:00 - 05.01.2018 06:00","0","834"
"05.01.2018 06:00 - 05.01.2018 07:00","0","943"
"05.01.2018 07:00 - 05.01.2018 08:00","0","927"
"05.01.2018 08:00 - 05.01.2018 09:00","0","810"
"05.01.2018 09:00 - 05.01.2018 10:00","0","725"
"05.01.2018 10:00 - 05.01.2018 11:00","0","725"
"05.01.2018 11:00 - 05.01.2018 12:00","0","629"
"05.01.2018 12:00 - 05.01.2018 13:00","0","588"
"05.01.2018 13:00 - 05.01.2018 14:00","0","521"
"05.01.2018 14:00 - 05.01.2018 15:00","0","495"
"05.01.2018 15:00 - 05.01.2018 16:00","0","472"
"05.01.2018 16:00 - 05.01.2018 17:00","0","521"
"05.01.2018 17:00 - 05.01.2018 18:00","0","474"
"05.01.2018 18:00 - 05.01.2018 19:00","0","418"
"05.01.2018 19:00 - 05.01.2018 20:00","0","360"
"05.01.2018 20:00 - 05.01.2018 21:00","0","277"
"05.01.2018 21:00 - 05.01.2018 22:00","0","360"
"05.01.2018 22:00 - 05.01.2018 23:00","0","372"
"05.01.2018 23:00 - 06.01.2018 00:00","0","264"
"06.01.2018 00:00 - 06.01.2018 01:00","0","158"
"06.01.2018 01:00 - 06.01.2018 02:00","0","168"
"06.01.2018 02:00 - 06.01.2018 03:00","0","154"
"06.01.2018 03:00 - 06.01.2018 04:00","0","188"
"06.01.2018 04:00 - 06.01.2018 05:00","0","276"
"06.01.2018 05:00 - 06.01.2018 06:00","0","347"
"06.01.2018 06:00 - 06.01.2018 07:00","0","325"
"06.01.2018 07:00 - 06.01.2018 08:00","0","329"
"06.01.2018 08:00 - 06.01.2018 09:00","0","375"
"06.01.2018 09:00 - 06.01.2018 10:00","0","360"
"06.01.2018 10:00 - 06.01.2018 11:00","0","335"
"06.01.2018 11:00 - 06.01.2018 12:00","0","378"
"06.01.2018 12:00 - 06.01.2018 13:00","0","289"
"06.01.2018 13:00 - 06.01.2018 14:00","0","210"
"06.01.2018 14:00 - 06.01.2018 15:00","0","183"
"06.01.2018 15:00 - 06.01.2018 16:00","0","179"
"06.01.2018 16:00 - 06.01.2018 17:00","0","377"
"06.01.2018 17:00 - 06.01.2018 18:00","72","0"
"06.01.2018 18:00 - 06.01.2018 19:00","0","149"
"06.01.2018 19:00 - 06.01.2018 20:00","0","94"
"06.01.2018 20:00 - 06.01.2018 21:00","0","103"
"06.01.2018 21:00 - 06.01.2018 22:00","0","48"
"06.01.2018 22:00 - 06.01.2018 23:00","0","7"
"06.01.2018 23:00 - 07.01.2018 00:00","0","209"
"07.01.2018 00:00 - 07.01.2018 01:00","0","229"
"07.01.2018 01:00 - 07.01.2018 02:00","0","163"
"07.01.2018 02:00 - 07.01.2018 03:00","0","121"
"07.01.2018 03:00 - 07.01.2018 04:00","0","95"
"07.01.2018 04:00 - 07.01.2018 05:00","0","156"
"07.01.2018 05:00 - 07.01.2018 06:00","0","126"
"07.01.2018 06:00 - 07.01.2018 07:00","0","207"
