Time (WET),Croatia (HR) > Bosnia and Herz. (BA) [MW],Bosnia and Herz. (BA) > Croatia (HR) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,248,0
01.01.2018 01:00 - 01.01.2018 02:00,319,0
01.01.2018 02:00 - 01.01.2018 03:00,353,0
01.01.2018 03:00 - 01.01.2018 04:00,360,0
01.01.2018 04:00 - 01.01.2018 05:00,389,0
01.01.2018 05:00 - 01.01.2018 06:00,404,0
01.01.2018 06:00 - 01.01.2018 07:00,371,0
01.01.2018 07:00 - 01.01.2018 08:00,398,0
01.01.2018 08:00 - 01.01.2018 09:00,360,0
01.01.2018 09:00 - 01.01.2018 10:00,394,0
01.01.2018 10:00 - 01.01.2018 11:00,337,0
01.01.2018 11:00 - 01.01.2018 12:00,302,0
01.01.2018 12:00 - 01.01.2018 13:00,285,0
01.01.2018 13:00 - 01.01.2018 14:00,343,0
01.01.2018 14:00 - 01.01.2018 15:00,463,0
01.01.2018 15:00 - 01.01.2018 16:00,334,0
01.01.2018 16:00 - 01.01.2018 17:00,60,0
01.01.2018 17:00 - 01.01.2018 18:00,0,29
01.01.2018 18:00 - 01.01.2018 19:00,0,122
01.01.2018 19:00 - 01.01.2018 20:00,21,0
01.01.2018 20:00 - 01.01.2018 21:00,14,0
01.01.2018 21:00 - 01.01.2018 22:00,48,0
01.01.2018 22:00 - 01.01.2018 23:00,109,0
01.01.2018 23:00 - 02.01.2018 00:00,9,0
02.01.2018 00:00 - 02.01.2018 01:00,0,88
02.01.2018 01:00 - 02.01.2018 02:00,0,137
02.01.2018 02:00 - 02.01.2018 03:00,0,220
02.01.2018 03:00 - 02.01.2018 04:00,0,161
02.01.2018 04:00 - 02.01.2018 05:00,0,198
02.01.2018 05:00 - 02.01.2018 06:00,0,179
02.01.2018 06:00 - 02.01.2018 07:00,0,235
02.01.2018 07:00 - 02.01.2018 08:00,0,296
02.01.2018 08:00 - 02.01.2018 09:00,0,330
02.01.2018 09:00 - 02.01.2018 10:00,0,324
02.01.2018 10:00 - 02.01.2018 11:00,0,294
02.01.2018 11:00 - 02.01.2018 12:00,0,264
02.01.2018 12:00 - 02.01.2018 13:00,0,365
02.01.2018 13:00 - 02.01.2018 14:00,0,325
02.01.2018 14:00 - 02.01.2018 15:00,0,522
02.01.2018 15:00 - 02.01.2018 16:00,0,439
02.01.2018 16:00 - 02.01.2018 17:00,0,557
02.01.2018 17:00 - 02.01.2018 18:00,0,524
02.01.2018 18:00 - 02.01.2018 19:00,0,451
02.01.2018 19:00 - 02.01.2018 20:00,0,234
02.01.2018 20:00 - 02.01.2018 21:00,0,111
02.01.2018 21:00 - 02.01.2018 22:00,29,0
02.01.2018 22:00 - 02.01.2018 23:00,13,0
02.01.2018 23:00 - 03.01.2018 00:00,27,0
03.01.2018 00:00 - 03.01.2018 01:00,0,18
03.01.2018 01:00 - 03.01.2018 02:00,22,0
03.01.2018 02:00 - 03.01.2018 03:00,44,0
03.01.2018 03:00 - 03.01.2018 04:00,0,5
03.01.2018 04:00 - 03.01.2018 05:00,0,36
03.01.2018 05:00 - 03.01.2018 06:00,0,103
03.01.2018 06:00 - 03.01.2018 07:00,0,184
03.01.2018 07:00 - 03.01.2018 08:00,0,190
03.01.2018 08:00 - 03.01.2018 09:00,0,189
03.01.2018 09:00 - 03.01.2018 10:00,0,240
03.01.2018 10:00 - 03.01.2018 11:00,0,299
03.01.2018 11:00 - 03.01.2018 12:00,0,290
03.01.2018 12:00 - 03.01.2018 13:00,0,210
03.01.2018 13:00 - 03.01.2018 14:00,0,215
03.01.2018 14:00 - 03.01.2018 15:00,0,198
03.01.2018 15:00 - 03.01.2018 16:00,0,178
03.01.2018 16:00 - 03.01.2018 17:00,0,286
03.01.2018 17:00 - 03.01.2018 18:00,0,292
03.01.2018 18:00 - 03.01.2018 19:00,0,334
03.01.2018 19:00 - 03.01.2018 20:00,0,269
03.01.2018 20:00 - 03.01.2018 21:00,0,78
03.01.2018 21:00 - 03.01.2018 22:00,64,0
03.01.2018 22:00 - 03.01.2018 23:00,120,0
03.01.2018 23:00 - 04.01.2018 00:00,209,0
04.01.2018 00:00 - 04.01.2018 01:00,238,0
04.01.2018 01:00 - 04.01.2018 02:00,310,0
04.01.2018 02:00 - 04.01.2018 03:00,315,0
04.01.2018 03:00 - 04.01.2018 04:00,265,0
04.01.2018 04:00 - 04.01.2018 05:00,148,0
04.01.2018 05:00 - 04.01.2018 06:00,66,0
04.01.2018 06:00 - 04.01.2018 07:00,0,292
04.01.2018 07:00 - 04.01.2018 08:00,0,398
04.01.2018 08:00 - 04.01.2018 09:00,0,352
04.01.2018 09:00 - 04.01.2018 10:00,0,323
04.01.2018 10:00 - 04.01.2018 11:00,0,284
04.01.2018 11:00 - 04.01.2018 12:00,0,272
04.01.2018 12:00 - 04.01.2018 13:00,0,245
04.01.2018 13:00 - 04.01.2018 14:00,0,286
04.01.2018 14:00 - 04.01.2018 15:00,0,239
04.01.2018 15:00 - 04.01.2018 16:00,0,390
04.01.2018 16:00 - 04.01.2018 17:00,0,461
04.01.2018 17:00 - 04.01.2018 18:00,0,483
04.01.2018 18:00 - 04.01.2018 19:00,0,288
04.01.2018 19:00 - 04.01.2018 20:00,0,142
04.01.2018 20:00 - 04.01.2018 21:00,0,114
04.01.2018 21:00 - 04.01.2018 22:00,77,0
04.01.2018 22:00 - 04.01.2018 23:00,78,0
04.01.2018 23:00 - 05.01.2018 00:00,143,0
05.01.2018 00:00 - 05.01.2018 01:00,184,0
05.01.2018 01:00 - 05.01.2018 02:00,159,0
05.01.2018 02:00 - 05.01.2018 03:00,202,0
05.01.2018 03:00 - 05.01.2018 04:00,244,0
05.01.2018 04:00 - 05.01.2018 05:00,129,0
05.01.2018 05:00 - 05.01.2018 06:00,0,85
05.01.2018 06:00 - 05.01.2018 07:00,0,184
05.01.2018 07:00 - 05.01.2018 08:00,0,281
05.01.2018 08:00 - 05.01.2018 09:00,0,331
05.01.2018 09:00 - 05.01.2018 10:00,0,442
05.01.2018 10:00 - 05.01.2018 11:00,0,466
05.01.2018 11:00 - 05.01.2018 12:00,0,411
05.01.2018 12:00 - 05.01.2018 13:00,0,432
05.01.2018 13:00 - 05.01.2018 14:00,0,389
05.01.2018 14:00 - 05.01.2018 15:00,0,430
05.01.2018 15:00 - 05.01.2018 16:00,0,549
05.01.2018 16:00 - 05.01.2018 17:00,0,650
05.01.2018 17:00 - 05.01.2018 18:00,0,789
05.01.2018 18:00 - 05.01.2018 19:00,0,806
05.01.2018 19:00 - 05.01.2018 20:00,0,568
05.01.2018 20:00 - 05.01.2018 21:00,0,227
05.01.2018 21:00 - 05.01.2018 22:00,0,154
05.01.2018 22:00 - 05.01.2018 23:00,0,210
05.01.2018 23:00 - 06.01.2018 00:00,0,134
06.01.2018 00:00 - 06.01.2018 01:00,0,199
06.01.2018 01:00 - 06.01.2018 02:00,0,165
06.01.2018 02:00 - 06.01.2018 03:00,0,135
06.01.2018 03:00 - 06.01.2018 04:00,0,110
06.01.2018 04:00 - 06.01.2018 05:00,0,91
06.01.2018 05:00 - 06.01.2018 06:00,0,91
06.01.2018 06:00 - 06.01.2018 07:00,0,208
06.01.2018 07:00 - 06.01.2018 08:00,0,267
06.01.2018 08:00 - 06.01.2018 09:00,0,312
06.01.2018 09:00 - 06.01.2018 10:00,0,335
06.01.2018 10:00 - 06.01.2018 11:00,0,293
06.01.2018 11:00 - 06.01.2018 12:00,0,252
06.01.2018 12:00 - 06.01.2018 13:00,0,295
06.01.2018 13:00 - 06.01.2018 14:00,0,328
06.01.2018 14:00 - 06.01.2018 15:00,0,354
06.01.2018 15:00 - 06.01.2018 16:00,0,283
06.01.2018 16:00 - 06.01.2018 17:00,0,509
06.01.2018 17:00 - 06.01.2018 18:00,0,394
06.01.2018 18:00 - 06.01.2018 19:00,0,403
06.01.2018 19:00 - 06.01.2018 20:00,0,413
06.01.2018 20:00 - 06.01.2018 21:00,0,318
06.01.2018 21:00 - 06.01.2018 22:00,0,205
06.01.2018 22:00 - 06.01.2018 23:00,0,173
06.01.2018 23:00 - 07.01.2018 00:00,137,0
07.01.2018 00:00 - 07.01.2018 01:00,89,0
07.01.2018 01:00 - 07.01.2018 02:00,79,0
07.01.2018 02:00 - 07.01.2018 03:00,33,0
07.01.2018 03:00 - 07.01.2018 04:00,80,0
07.01.2018 04:00 - 07.01.2018 05:00,179,0
07.01.2018 05:00 - 07.01.2018 06:00,108,0
07.01.2018 06:00 - 07.01.2018 07:00,189,0
07.01.2018 07:00 - 07.01.2018 08:00,327,0
07.01.2018 08:00 - 07.01.2018 09:00,291,0
07.01.2018 09:00 - 07.01.2018 10:00,151,0
07.01.2018 10:00 - 07.01.2018 11:00,134,0
07.01.2018 11:00 - 07.01.2018 12:00,88,0
07.01.2018 12:00 - 07.01.2018 13:00,0,16
07.01.2018 13:00 - 07.01.2018 14:00,0,67
07.01.2018 14:00 - 07.01.2018 15:00,0,41
07.01.2018 15:00 - 07.01.2018 16:00,116,0
07.01.2018 16:00 - 07.01.2018 17:00,47,0
07.01.2018 17:00 - 07.01.2018 18:00,0,4
07.01.2018 18:00 - 07.01.2018 19:00,0,27
07.01.2018 19:00 - 07.01.2018 20:00,46,0
07.01.2018 20:00 - 07.01.2018 21:00,95,0
07.01.2018 21:00 - 07.01.2018 22:00,161,0
07.01.2018 22:00 - 07.01.2018 23:00,67,0
07.01.2018 23:00 - 08.01.2018 00:00,207,0
08.01.2018 00:00 - 08.01.2018 01:00,159,0
08.01.2018 01:00 - 08.01.2018 02:00,113,0
08.01.2018 02:00 - 08.01.2018 03:00,132,0
08.01.2018 03:00 - 08.01.2018 04:00,176,0
08.01.2018 04:00 - 08.01.2018 05:00,207,0
08.01.2018 05:00 - 08.01.2018 06:00,0,208
08.01.2018 06:00 - 08.01.2018 07:00,0,385
08.01.2018 07:00 - 08.01.2018 08:00,0,752
08.01.2018 08:00 - 08.01.2018 09:00,0,804
08.01.2018 09:00 - 08.01.2018 10:00,0,621
08.01.2018 10:00 - 08.01.2018 11:00,0,601
08.01.2018 11:00 - 08.01.2018 12:00,0,509
08.01.2018 12:00 - 08.01.2018 13:00,0,477
08.01.2018 13:00 - 08.01.2018 14:00,0,486
08.01.2018 14:00 - 08.01.2018 15:00,0,419
08.01.2018 15:00 - 08.01.2018 16:00,0,516
08.01.2018 16:00 - 08.01.2018 17:00,0,478
08.01.2018 17:00 - 08.01.2018 18:00,0,511
08.01.2018 18:00 - 08.01.2018 19:00,0,503
08.01.2018 19:00 - 08.01.2018 20:00,0,194
08.01.2018 20:00 - 08.01.2018 21:00,0,207
08.01.2018 21:00 - 08.01.2018 22:00,0,124
08.01.2018 22:00 - 08.01.2018 23:00,0,55
08.01.2018 23:00 - 09.01.2018 00:00,258,0
09.01.2018 00:00 - 09.01.2018 01:00,205,0
09.01.2018 01:00 - 09.01.2018 02:00,197,0
09.01.2018 02:00 - 09.01.2018 03:00,162,0
09.01.2018 03:00 - 09.01.2018 04:00,165,0
09.01.2018 04:00 - 09.01.2018 05:00,192,0
09.01.2018 05:00 - 09.01.2018 06:00,0,146
09.01.2018 06:00 - 09.01.2018 07:00,0,375
09.01.2018 07:00 - 09.01.2018 08:00,0,779
09.01.2018 08:00 - 09.01.2018 09:00,0,783
09.01.2018 09:00 - 09.01.2018 10:00,0,647
09.01.2018 10:00 - 09.01.2018 11:00,0,639
09.01.2018 11:00 - 09.01.2018 12:00,0,535
