"Time (WET)","France (FR) > Belgium (BE) [MW]","Belgium (BE) > France (FR) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","2548"
"01.01.2018 01:00 - 01.01.2018 02:00","0","2509"
"01.01.2018 02:00 - 01.01.2018 03:00","0","2533"
"01.01.2018 03:00 - 01.01.2018 04:00","0","2205"
"01.01.2018 04:00 - 01.01.2018 05:00","0","2197"
"01.01.2018 05:00 - 01.01.2018 06:00","0","2155"
"01.01.2018 06:00 - 01.01.2018 07:00","0","2236"
"01.01.2018 07:00 - 01.01.2018 08:00","0","1669"
"01.01.2018 08:00 - 01.01.2018 09:00","0","1372"
"01.01.2018 09:00 - 01.01.2018 10:00","0","2082"
"01.01.2018 10:00 - 01.01.2018 11:00","0","2507"
"01.01.2018 11:00 - 01.01.2018 12:00","0","2383"
"01.01.2018 12:00 - 01.01.2018 13:00","0","1910"
"01.01.2018 13:00 - 01.01.2018 14:00","221","0"
"01.01.2018 14:00 - 01.01.2018 15:00","1588","0"
"01.01.2018 15:00 - 01.01.2018 16:00","2216","0"
"01.01.2018 16:00 - 01.01.2018 17:00","2068","0"
"01.01.2018 17:00 - 01.01.2018 18:00","2256","0"
"01.01.2018 18:00 - 01.01.2018 19:00","2407","0"
"01.01.2018 19:00 - 01.01.2018 20:00","1944","0"
"01.01.2018 20:00 - 01.01.2018 21:00","1511","0"
"01.01.2018 21:00 - 01.01.2018 22:00","1775","0"
"01.01.2018 22:00 - 01.01.2018 23:00","1957","0"
"01.01.2018 23:00 - 02.01.2018 00:00","1799","0"
"02.01.2018 00:00 - 02.01.2018 01:00","2086","0"
"02.01.2018 01:00 - 02.01.2018 02:00","1861","0"
"02.01.2018 02:00 - 02.01.2018 03:00","1629","0"
"02.01.2018 03:00 - 02.01.2018 04:00","1410","0"
"02.01.2018 04:00 - 02.01.2018 05:00","1393","0"
"02.01.2018 05:00 - 02.01.2018 06:00","1417","0"
"02.01.2018 06:00 - 02.01.2018 07:00","714","0"
"02.01.2018 07:00 - 02.01.2018 08:00","481","0"
"02.01.2018 08:00 - 02.01.2018 09:00","289","0"
"02.01.2018 09:00 - 02.01.2018 10:00","83","0"
"02.01.2018 10:00 - 02.01.2018 11:00","49","0"
"02.01.2018 11:00 - 02.01.2018 12:00","100","0"
"02.01.2018 12:00 - 02.01.2018 13:00","667","0"
"02.01.2018 13:00 - 02.01.2018 14:00","1071","0"
"02.01.2018 14:00 - 02.01.2018 15:00","1114","0"
"02.01.2018 15:00 - 02.01.2018 16:00","1431","0"
"02.01.2018 16:00 - 02.01.2018 17:00","1171","0"
"02.01.2018 17:00 - 02.01.2018 18:00","93","0"
"02.01.2018 18:00 - 02.01.2018 19:00","178","0"
"02.01.2018 19:00 - 02.01.2018 20:00","603","0"
"02.01.2018 20:00 - 02.01.2018 21:00","1277","0"
"02.01.2018 21:00 - 02.01.2018 22:00","1131","0"
"02.01.2018 22:00 - 02.01.2018 23:00","418","0"
"02.01.2018 23:00 - 03.01.2018 00:00","398","0"
"03.01.2018 00:00 - 03.01.2018 01:00","675","0"
"03.01.2018 01:00 - 03.01.2018 02:00","333","0"
"03.01.2018 02:00 - 03.01.2018 03:00","0","247"
"03.01.2018 03:00 - 03.01.2018 04:00","0","277"
"03.01.2018 04:00 - 03.01.2018 05:00","118","0"
"03.01.2018 05:00 - 03.01.2018 06:00","341","0"
"03.01.2018 06:00 - 03.01.2018 07:00","501","0"
"03.01.2018 07:00 - 03.01.2018 08:00","850","0"
"03.01.2018 08:00 - 03.01.2018 09:00","1235","0"
"03.01.2018 09:00 - 03.01.2018 10:00","713","0"
"03.01.2018 10:00 - 03.01.2018 11:00","796","0"
"03.01.2018 11:00 - 03.01.2018 12:00","654","0"
"03.01.2018 12:00 - 03.01.2018 13:00","852","0"
