Time (WET),Luxembourg (LU) > Belgium (BE) [MW],Belgium (BE) > Luxembourg (LU) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,130,0
01.01.2018 01:00 - 01.01.2018 02:00,122,0
01.01.2018 02:00 - 01.01.2018 03:00,139,0
01.01.2018 03:00 - 01.01.2018 04:00,144,0
01.01.2018 04:00 - 01.01.2018 05:00,156,0
01.01.2018 05:00 - 01.01.2018 06:00,128,0
01.01.2018 06:00 - 01.01.2018 07:00,66,0
01.01.2018 07:00 - 01.01.2018 08:00,56,0
01.01.2018 08:00 - 01.01.2018 09:00,52,0
01.01.2018 09:00 - 01.01.2018 10:00,129,0
01.01.2018 10:00 - 01.01.2018 11:00,149,0
01.01.2018 11:00 - 01.01.2018 12:00,174,0
01.01.2018 12:00 - 01.01.2018 13:00,89,0
01.01.2018 13:00 - 01.01.2018 14:00,0,74
01.01.2018 14:00 - 01.01.2018 15:00,0,160
01.01.2018 15:00 - 01.01.2018 16:00,0,197
01.01.2018 16:00 - 01.01.2018 17:00,0,246
01.01.2018 17:00 - 01.01.2018 18:00,0,123
01.01.2018 18:00 - 01.01.2018 19:00,0,145
01.01.2018 19:00 - 01.01.2018 20:00,0,162
01.01.2018 20:00 - 01.01.2018 21:00,0,149
01.01.2018 21:00 - 01.01.2018 22:00,0,183
01.01.2018 22:00 - 01.01.2018 23:00,0,206
01.01.2018 23:00 - 02.01.2018 00:00,0,245
02.01.2018 00:00 - 02.01.2018 01:00,0,170
02.01.2018 01:00 - 02.01.2018 02:00,0,188
02.01.2018 02:00 - 02.01.2018 03:00,0,130
02.01.2018 03:00 - 02.01.2018 04:00,0,146
02.01.2018 04:00 - 02.01.2018 05:00,0,107
02.01.2018 05:00 - 02.01.2018 06:00,0,56
02.01.2018 06:00 - 02.01.2018 07:00,29,0
02.01.2018 07:00 - 02.01.2018 08:00,85,0
02.01.2018 08:00 - 02.01.2018 09:00,59,0
02.01.2018 09:00 - 02.01.2018 10:00,68,0
02.01.2018 10:00 - 02.01.2018 11:00,71,0
02.01.2018 11:00 - 02.01.2018 12:00,60,0
02.01.2018 12:00 - 02.01.2018 13:00,36,0
02.01.2018 13:00 - 02.01.2018 14:00,11,0
02.01.2018 14:00 - 02.01.2018 15:00,0,33
02.01.2018 15:00 - 02.01.2018 16:00,0,84
02.01.2018 16:00 - 02.01.2018 17:00,0,42
02.01.2018 17:00 - 02.01.2018 18:00,0,45
02.01.2018 18:00 - 02.01.2018 19:00,0,67
02.01.2018 19:00 - 02.01.2018 20:00,0,19
02.01.2018 20:00 - 02.01.2018 21:00,0,67
02.01.2018 21:00 - 02.01.2018 22:00,0,38
02.01.2018 22:00 - 02.01.2018 23:00,0,13
02.01.2018 23:00 - 03.01.2018 00:00,0,0
03.01.2018 00:00 - 03.01.2018 01:00,0,0
03.01.2018 01:00 - 03.01.2018 02:00,0,0
03.01.2018 02:00 - 03.01.2018 03:00,0,0
03.01.2018 03:00 - 03.01.2018 04:00,0,0
03.01.2018 04:00 - 03.01.2018 05:00,0,0
03.01.2018 05:00 - 03.01.2018 06:00,0,0
03.01.2018 06:00 - 03.01.2018 07:00,0,0
03.01.2018 07:00 - 03.01.2018 08:00,0,0
03.01.2018 08:00 - 03.01.2018 09:00,0,0
03.01.2018 09:00 - 03.01.2018 10:00,0,0
03.01.2018 10:00 - 03.01.2018 11:00,0,0
03.01.2018 11:00 - 03.01.2018 12:00,0,0
03.01.2018 12:00 - 03.01.2018 13:00,0,0
03.01.2018 13:00 - 03.01.2018 14:00,0,0
03.01.2018 14:00 - 03.01.2018 15:00,0,0
