"Time (WET)","Netherlands (NL) > Belgium (BE) [MW]","Belgium (BE) > Netherlands (NL) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","1226","0"
"01.01.2018 01:00 - 01.01.2018 02:00","1264","0"
"01.01.2018 02:00 - 01.01.2018 03:00","1373","0"
"01.01.2018 03:00 - 01.01.2018 04:00","1678","0"
"01.01.2018 04:00 - 01.01.2018 05:00","1753","0"
"01.01.2018 05:00 - 01.01.2018 06:00","1803","0"
"01.01.2018 06:00 - 01.01.2018 07:00","1316","0"
"01.01.2018 07:00 - 01.01.2018 08:00","826","0"
"01.01.2018 08:00 - 01.01.2018 09:00","439","0"
"01.01.2018 09:00 - 01.01.2018 10:00","1138","0"
"01.01.2018 10:00 - 01.01.2018 11:00","1634","0"
"01.01.2018 11:00 - 01.01.2018 12:00","1752","0"
"01.01.2018 12:00 - 01.01.2018 13:00","1682","0"
"01.01.2018 13:00 - 01.01.2018 14:00","177","0"
"01.01.2018 14:00 - 01.01.2018 15:00","0","989"
"01.01.2018 15:00 - 01.01.2018 16:00","0","1621"
"01.01.2018 16:00 - 01.01.2018 17:00","0","1971"
"01.01.2018 17:00 - 01.01.2018 18:00","0","1853"
"01.01.2018 18:00 - 01.01.2018 19:00","0","1782"
"01.01.2018 19:00 - 01.01.2018 20:00","0","1634"
"01.01.2018 20:00 - 01.01.2018 21:00","0","1442"
"01.01.2018 21:00 - 01.01.2018 22:00","0","1673"
"01.01.2018 22:00 - 01.01.2018 23:00","0","1658"
"01.01.2018 23:00 - 02.01.2018 00:00","0","1811"
"02.01.2018 00:00 - 02.01.2018 01:00","0","1988"
"02.01.2018 01:00 - 02.01.2018 02:00","0","1952"
"02.01.2018 02:00 - 02.01.2018 03:00","0","1756"
"02.01.2018 03:00 - 02.01.2018 04:00","0","1339"
"02.01.2018 04:00 - 02.01.2018 05:00","0","1317"
"02.01.2018 05:00 - 02.01.2018 06:00","0","1352"
"02.01.2018 06:00 - 02.01.2018 07:00","0","234"
"02.01.2018 07:00 - 02.01.2018 08:00","575","0"
"02.01.2018 08:00 - 02.01.2018 09:00","291","0"
"02.01.2018 09:00 - 02.01.2018 10:00","81","0"
"02.01.2018 10:00 - 02.01.2018 11:00","414","0"
"02.01.2018 11:00 - 02.01.2018 12:00","810","0"
"02.01.2018 12:00 - 02.01.2018 13:00","652","0"
"02.01.2018 13:00 - 02.01.2018 14:00","285","0"
"02.01.2018 14:00 - 02.01.2018 15:00","0","65"
"02.01.2018 15:00 - 02.01.2018 16:00","0","350"
"02.01.2018 16:00 - 02.01.2018 17:00","0","379"
"02.01.2018 17:00 - 02.01.2018 18:00","613","0"
"02.01.2018 18:00 - 02.01.2018 19:00","621","0"
"02.01.2018 19:00 - 02.01.2018 20:00","106","0"
"02.01.2018 20:00 - 02.01.2018 21:00","0","770"
"02.01.2018 21:00 - 02.01.2018 22:00","0","566"
"02.01.2018 22:00 - 02.01.2018 23:00","0","58"
"02.01.2018 23:00 - 03.01.2018 00:00","0","525"
"03.01.2018 00:00 - 03.01.2018 01:00","0","542"
"03.01.2018 01:00 - 03.01.2018 02:00","0","488"
"03.01.2018 02:00 - 03.01.2018 03:00","0","314"
"03.01.2018 03:00 - 03.01.2018 04:00","11","0"
"03.01.2018 04:00 - 03.01.2018 05:00","75","0"
"03.01.2018 05:00 - 03.01.2018 06:00","0","78"
"03.01.2018 06:00 - 03.01.2018 07:00","53","0"
"03.01.2018 07:00 - 03.01.2018 08:00","301","0"
"03.01.2018 08:00 - 03.01.2018 09:00","235","0"
"03.01.2018 09:00 - 03.01.2018 10:00","491","0"
"03.01.2018 10:00 - 03.01.2018 11:00","330","0"
"03.01.2018 11:00 - 03.01.2018 12:00","239","0"
"03.01.2018 12:00 - 03.01.2018 13:00","154","0"
"03.01.2018 13:00 - 03.01.2018 14:00","242","0"
"03.01.2018 14:00 - 03.01.2018 15:00","316","0"
"03.01.2018 15:00 - 03.01.2018 16:00","262","0"
"03.01.2018 16:00 - 03.01.2018 17:00","569","0"
"03.01.2018 17:00 - 03.01.2018 18:00","1124","0"
"03.01.2018 18:00 - 03.01.2018 19:00","988","0"
"03.01.2018 19:00 - 03.01.2018 20:00","585","0"
"03.01.2018 20:00 - 03.01.2018 21:00","292","0"
"03.01.2018 21:00 - 03.01.2018 22:00","868","0"
"03.01.2018 22:00 - 03.01.2018 23:00","1671","0"
"03.01.2018 23:00 - 04.01.2018 00:00","1784","0"
"04.01.2018 00:00 - 04.01.2018 01:00","1921","0"
"04.01.2018 01:00 - 04.01.2018 02:00","1773","0"
"04.01.2018 02:00 - 04.01.2018 03:00","1246","0"
"04.01.2018 03:00 - 04.01.2018 04:00","512","0"
"04.01.2018 04:00 - 04.01.2018 05:00","46","0"
"04.01.2018 05:00 - 04.01.2018 06:00","0","559"
"04.01.2018 06:00 - 04.01.2018 07:00","287","0"
"04.01.2018 07:00 - 04.01.2018 08:00","826","0"
"04.01.2018 08:00 - 04.01.2018 09:00","688","0"
"04.01.2018 09:00 - 04.01.2018 10:00","279","0"
"04.01.2018 10:00 - 04.01.2018 11:00","0","193"
"04.01.2018 11:00 - 04.01.2018 12:00","0","611"
"04.01.2018 12:00 - 04.01.2018 13:00","0","1364"
"04.01.2018 13:00 - 04.01.2018 14:00","0","2098"
"04.01.2018 14:00 - 04.01.2018 15:00","0","2195"
"04.01.2018 15:00 - 04.01.2018 16:00","0","2195"
"04.01.2018 16:00 - 04.01.2018 17:00","0","1789"
"04.01.2018 17:00 - 04.01.2018 18:00","0","392"
"04.01.2018 18:00 - 04.01.2018 19:00","395","0"
"04.01.2018 19:00 - 04.01.2018 20:00","182","0"
"04.01.2018 20:00 - 04.01.2018 21:00","0","87"
"04.01.2018 21:00 - 04.01.2018 22:00","723","0"
"04.01.2018 22:00 - 04.01.2018 23:00","1233","0"
"04.01.2018 23:00 - 05.01.2018 00:00","1000","0"
"05.01.2018 00:00 - 05.01.2018 01:00","617","0"
"05.01.2018 01:00 - 05.01.2018 02:00","767","0"
"05.01.2018 02:00 - 05.01.2018 03:00","355","0"
"05.01.2018 03:00 - 05.01.2018 04:00","80","0"
"05.01.2018 04:00 - 05.01.2018 05:00","0","367"
"05.01.2018 05:00 - 05.01.2018 06:00","0","279"
"05.01.2018 06:00 - 05.01.2018 07:00","792","0"
"05.01.2018 07:00 - 05.01.2018 08:00","1303","0"
"05.01.2018 08:00 - 05.01.2018 09:00","1347","0"
"05.01.2018 09:00 - 05.01.2018 10:00","1205","0"
"05.01.2018 10:00 - 05.01.2018 11:00","1120","0"
"05.01.2018 11:00 - 05.01.2018 12:00","1076","0"
"05.01.2018 12:00 - 05.01.2018 13:00","740","0"
"05.01.2018 13:00 - 05.01.2018 14:00","301","0"
"05.01.2018 14:00 - 05.01.2018 15:00","0","152"
