Time (WET),Lithuania (LT) > Belarus (BY) [MW],Belarus (BY) > Lithuania (LT) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,0,26
01.01.2018 01:00 - 01.01.2018 02:00,0,32
01.01.2018 02:00 - 01.01.2018 03:00,64,0
01.01.2018 03:00 - 01.01.2018 04:00,107,0
01.01.2018 04:00 - 01.01.2018 05:00,177,0
01.01.2018 05:00 - 01.01.2018 06:00,34,0
01.01.2018 06:00 - 01.01.2018 07:00,32,0
01.01.2018 07:00 - 01.01.2018 08:00,199,0
01.01.2018 08:00 - 01.01.2018 09:00,311,0
01.01.2018 09:00 - 01.01.2018 10:00,201,0
01.01.2018 10:00 - 01.01.2018 11:00,212,0
01.01.2018 11:00 - 01.01.2018 12:00,182,0
01.01.2018 12:00 - 01.01.2018 13:00,166,0
01.01.2018 13:00 - 01.01.2018 14:00,110,0
01.01.2018 14:00 - 01.01.2018 15:00,118,0
01.01.2018 15:00 - 01.01.2018 16:00,116,0
01.01.2018 16:00 - 01.01.2018 17:00,33,0
01.01.2018 17:00 - 01.01.2018 18:00,16,0
01.01.2018 18:00 - 01.01.2018 19:00,0,6
01.01.2018 19:00 - 01.01.2018 20:00,0,23
01.01.2018 20:00 - 01.01.2018 21:00,0,39
01.01.2018 21:00 - 01.01.2018 22:00,0,112
01.01.2018 22:00 - 01.01.2018 23:00,0,1
01.01.2018 23:00 - 02.01.2018 00:00,163,0
02.01.2018 00:00 - 02.01.2018 01:00,189,0
02.01.2018 01:00 - 02.01.2018 02:00,132,0
02.01.2018 02:00 - 02.01.2018 03:00,206,0
02.01.2018 03:00 - 02.01.2018 04:00,206,0
02.01.2018 04:00 - 02.01.2018 05:00,152,0
02.01.2018 05:00 - 02.01.2018 06:00,0,19
02.01.2018 06:00 - 02.01.2018 07:00,0,31
02.01.2018 07:00 - 02.01.2018 08:00,0,147
02.01.2018 08:00 - 02.01.2018 09:00,0,286
02.01.2018 09:00 - 02.01.2018 10:00,0,290
02.01.2018 10:00 - 02.01.2018 11:00,0,280
02.01.2018 11:00 - 02.01.2018 12:00,0,326
02.01.2018 12:00 - 02.01.2018 13:00,0,277
02.01.2018 13:00 - 02.01.2018 14:00,0,334
02.01.2018 14:00 - 02.01.2018 15:00,0,280
02.01.2018 15:00 - 02.01.2018 16:00,0,253
02.01.2018 16:00 - 02.01.2018 17:00,0,213
02.01.2018 17:00 - 02.01.2018 18:00,0,362
02.01.2018 18:00 - 02.01.2018 19:00,0,378
02.01.2018 19:00 - 02.01.2018 20:00,0,292
02.01.2018 20:00 - 02.01.2018 21:00,0,188
02.01.2018 21:00 - 02.01.2018 22:00,0,228
02.01.2018 22:00 - 02.01.2018 23:00,0,188
02.01.2018 23:00 - 03.01.2018 00:00,0,54
03.01.2018 00:00 - 03.01.2018 01:00,0,31
03.01.2018 01:00 - 03.01.2018 02:00,48,0
03.01.2018 02:00 - 03.01.2018 03:00,69,0
03.01.2018 03:00 - 03.01.2018 04:00,78,0
03.01.2018 04:00 - 03.01.2018 05:00,57,0
03.01.2018 05:00 - 03.01.2018 06:00,0,44
03.01.2018 06:00 - 03.01.2018 07:00,0,135
03.01.2018 07:00 - 03.01.2018 08:00,0,190
03.01.2018 08:00 - 03.01.2018 09:00,0,253
03.01.2018 09:00 - 03.01.2018 10:00,0,287
03.01.2018 10:00 - 03.01.2018 11:00,0,214
03.01.2018 11:00 - 03.01.2018 12:00,0,240
03.01.2018 12:00 - 03.01.2018 13:00,0,199
03.01.2018 13:00 - 03.01.2018 14:00,0,224
03.01.2018 14:00 - 03.01.2018 15:00,0,282
03.01.2018 15:00 - 03.01.2018 16:00,0,340
03.01.2018 16:00 - 03.01.2018 17:00,0,256
03.01.2018 17:00 - 03.01.2018 18:00,0,205
03.01.2018 18:00 - 03.01.2018 19:00,0,201
03.01.2018 19:00 - 03.01.2018 20:00,0,208
03.01.2018 20:00 - 03.01.2018 21:00,0,146
03.01.2018 21:00 - 03.01.2018 22:00,0,29
03.01.2018 22:00 - 03.01.2018 23:00,20,0
03.01.2018 23:00 - 04.01.2018 00:00,69,0
04.01.2018 00:00 - 04.01.2018 01:00,42,0
04.01.2018 01:00 - 04.01.2018 02:00,79,0
04.01.2018 02:00 - 04.01.2018 03:00,110,0
04.01.2018 03:00 - 04.01.2018 04:00,103,0
04.01.2018 04:00 - 04.01.2018 05:00,113,0
04.01.2018 05:00 - 04.01.2018 06:00,64,0
04.01.2018 06:00 - 04.01.2018 07:00,0,48
04.01.2018 07:00 - 04.01.2018 08:00,0,276
04.01.2018 08:00 - 04.01.2018 09:00,0,358
04.01.2018 09:00 - 04.01.2018 10:00,0,267
04.01.2018 10:00 - 04.01.2018 11:00,N/A,N/A
04.01.2018 11:00 - 04.01.2018 12:00,N/A,N/A
04.01.2018 12:00 - 04.01.2018 13:00,N/A,N/A
04.01.2018 13:00 - 04.01.2018 14:00,N/A,N/A
04.01.2018 14:00 - 04.01.2018 15:00,N/A,N/A
04.01.2018 15:00 - 04.01.2018 16:00,0,248
04.01.2018 16:00 - 04.01.2018 17:00,0,312
04.01.2018 17:00 - 04.01.2018 18:00,0,301
04.01.2018 18:00 - 04.01.2018 19:00,0,266
04.01.2018 19:00 - 04.01.2018 20:00,0,228
04.01.2018 20:00 - 04.01.2018 21:00,0,176
04.01.2018 21:00 - 04.01.2018 22:00,0,229
04.01.2018 22:00 - 04.01.2018 23:00,5,0
04.01.2018 23:00 - 05.01.2018 00:00,69,0
05.01.2018 00:00 - 05.01.2018 01:00,29,0
05.01.2018 01:00 - 05.01.2018 02:00,36,0
05.01.2018 02:00 - 05.01.2018 03:00,1,0
05.01.2018 03:00 - 05.01.2018 04:00,125,0
05.01.2018 04:00 - 05.01.2018 05:00,122,0
05.01.2018 05:00 - 05.01.2018 06:00,127,0
05.01.2018 06:00 - 05.01.2018 07:00,0,45
05.01.2018 07:00 - 05.01.2018 08:00,0,235
05.01.2018 08:00 - 05.01.2018 09:00,0,318
05.01.2018 09:00 - 05.01.2018 10:00,0,364
05.01.2018 10:00 - 05.01.2018 11:00,0,390
05.01.2018 11:00 - 05.01.2018 12:00,0,425
05.01.2018 12:00 - 05.01.2018 13:00,0,433
05.01.2018 13:00 - 05.01.2018 14:00,0,437
05.01.2018 14:00 - 05.01.2018 15:00,0,429
05.01.2018 15:00 - 05.01.2018 16:00,0,429
05.01.2018 16:00 - 05.01.2018 17:00,0,347
05.01.2018 17:00 - 05.01.2018 18:00,0,309
05.01.2018 18:00 - 05.01.2018 19:00,0,245
05.01.2018 19:00 - 05.01.2018 20:00,0,193
05.01.2018 20:00 - 05.01.2018 21:00,0,63
05.01.2018 21:00 - 05.01.2018 22:00,0,143
05.01.2018 22:00 - 05.01.2018 23:00,0,112
05.01.2018 23:00 - 06.01.2018 00:00,9,0
06.01.2018 00:00 - 06.01.2018 01:00,115,0
06.01.2018 01:00 - 06.01.2018 02:00,144,0
06.01.2018 02:00 - 06.01.2018 03:00,192,0
06.01.2018 03:00 - 06.01.2018 04:00,258,0
06.01.2018 04:00 - 06.01.2018 05:00,253,0
06.01.2018 05:00 - 06.01.2018 06:00,267,0
06.01.2018 06:00 - 06.01.2018 07:00,204,0
06.01.2018 07:00 - 06.01.2018 08:00,154,0
06.01.2018 08:00 - 06.01.2018 09:00,33,0
06.01.2018 09:00 - 06.01.2018 10:00,0,105
06.01.2018 10:00 - 06.01.2018 11:00,0,162
06.01.2018 11:00 - 06.01.2018 12:00,0,189
06.01.2018 12:00 - 06.01.2018 13:00,0,181
06.01.2018 13:00 - 06.01.2018 14:00,0,161
06.01.2018 14:00 - 06.01.2018 15:00,0,106
06.01.2018 15:00 - 06.01.2018 16:00,0,183
06.01.2018 16:00 - 06.01.2018 17:00,0,209
06.01.2018 17:00 - 06.01.2018 18:00,0,278
06.01.2018 18:00 - 06.01.2018 19:00,0,314
06.01.2018 19:00 - 06.01.2018 20:00,0,262
06.01.2018 20:00 - 06.01.2018 21:00,0,216
06.01.2018 21:00 - 06.01.2018 22:00,0,255
06.01.2018 22:00 - 06.01.2018 23:00,0,132
06.01.2018 23:00 - 07.01.2018 00:00,0,43
07.01.2018 00:00 - 07.01.2018 01:00,3,0
07.01.2018 01:00 - 07.01.2018 02:00,3,0
07.01.2018 02:00 - 07.01.2018 03:00,7,0
07.01.2018 03:00 - 07.01.2018 04:00,69,0
07.01.2018 04:00 - 07.01.2018 05:00,73,0
07.01.2018 05:00 - 07.01.2018 06:00,107,0
07.01.2018 06:00 - 07.01.2018 07:00,65,0
07.01.2018 07:00 - 07.01.2018 08:00,37,0
07.01.2018 08:00 - 07.01.2018 09:00,0,25
07.01.2018 09:00 - 07.01.2018 10:00,0,85
07.01.2018 10:00 - 07.01.2018 11:00,0,79
07.01.2018 11:00 - 07.01.2018 12:00,0,89
07.01.2018 12:00 - 07.01.2018 13:00,0,69
07.01.2018 13:00 - 07.01.2018 14:00,0,88
07.01.2018 14:00 - 07.01.2018 15:00,0,164
07.01.2018 15:00 - 07.01.2018 16:00,0,224
07.01.2018 16:00 - 07.01.2018 17:00,0,186
07.01.2018 17:00 - 07.01.2018 18:00,0,208
07.01.2018 18:00 - 07.01.2018 19:00,0,147
07.01.2018 19:00 - 07.01.2018 20:00,0,127
07.01.2018 20:00 - 07.01.2018 21:00,0,94
07.01.2018 21:00 - 07.01.2018 22:00,0,104
07.01.2018 22:00 - 07.01.2018 23:00,0,19
07.01.2018 23:00 - 08.01.2018 00:00,170,0
08.01.2018 00:00 - 08.01.2018 01:00,85,0
08.01.2018 01:00 - 08.01.2018 02:00,110,0
08.01.2018 02:00 - 08.01.2018 03:00,104,0
08.01.2018 03:00 - 08.01.2018 04:00,133,0
08.01.2018 04:00 - 08.01.2018 05:00,28,0
08.01.2018 05:00 - 08.01.2018 06:00,0,125
08.01.2018 06:00 - 08.01.2018 07:00,0,257
08.01.2018 07:00 - 08.01.2018 08:00,0,247
08.01.2018 08:00 - 08.01.2018 09:00,0,285
08.01.2018 09:00 - 08.01.2018 10:00,0,332
08.01.2018 10:00 - 08.01.2018 11:00,0,321
08.01.2018 11:00 - 08.01.2018 12:00,0,333
08.01.2018 12:00 - 08.01.2018 13:00,0,372
08.01.2018 13:00 - 08.01.2018 14:00,0,366
08.01.2018 14:00 - 08.01.2018 15:00,0,389
08.01.2018 15:00 - 08.01.2018 16:00,0,424
08.01.2018 16:00 - 08.01.2018 17:00,0,423
08.01.2018 17:00 - 08.01.2018 18:00,0,418
08.01.2018 18:00 - 08.01.2018 19:00,0,405
08.01.2018 19:00 - 08.01.2018 20:00,0,298
08.01.2018 20:00 - 08.01.2018 21:00,0,291
08.01.2018 21:00 - 08.01.2018 22:00,0,296
08.01.2018 22:00 - 08.01.2018 23:00,0,195
08.01.2018 23:00 - 09.01.2018 00:00,0,59
09.01.2018 00:00 - 09.01.2018 01:00,0,24
09.01.2018 01:00 - 09.01.2018 02:00,0,38
09.01.2018 02:00 - 09.01.2018 03:00,120,0
09.01.2018 03:00 - 09.01.2018 04:00,277,0
09.01.2018 04:00 - 09.01.2018 05:00,327,0
09.01.2018 05:00 - 09.01.2018 06:00,322,0
09.01.2018 06:00 - 09.01.2018 07:00,208,0
09.01.2018 07:00 - 09.01.2018 08:00,102,0
09.01.2018 08:00 - 09.01.2018 09:00,136,0
09.01.2018 09:00 - 09.01.2018 10:00,72,0
09.01.2018 10:00 - 09.01.2018 11:00,71,0
09.01.2018 11:00 - 09.01.2018 12:00,32,0
09.01.2018 12:00 - 09.01.2018 13:00,0,0
09.01.2018 13:00 - 09.01.2018 14:00,144,0
09.01.2018 14:00 - 09.01.2018 15:00,207,0
09.01.2018 15:00 - 09.01.2018 16:00,223,0
09.01.2018 16:00 - 09.01.2018 17:00,204,0
09.01.2018 17:00 - 09.01.2018 18:00,224,0
09.01.2018 18:00 - 09.01.2018 19:00,0,92
09.01.2018 19:00 - 09.01.2018 20:00,0,130
09.01.2018 20:00 - 09.01.2018 21:00,0,72
09.01.2018 21:00 - 09.01.2018 22:00,59,0
09.01.2018 22:00 - 09.01.2018 23:00,68,0
09.01.2018 23:00 - 10.01.2018 00:00,42,0
10.01.2018 00:00 - 10.01.2018 01:00,29,0
10.01.2018 01:00 - 10.01.2018 02:00,56,0
10.01.2018 02:00 - 10.01.2018 03:00,47,0
10.01.2018 03:00 - 10.01.2018 04:00,281,0
10.01.2018 04:00 - 10.01.2018 05:00,527,0
10.01.2018 05:00 - 10.01.2018 06:00,509,0
10.01.2018 06:00 - 10.01.2018 07:00,419,0
10.01.2018 07:00 - 10.01.2018 08:00,314,0
10.01.2018 08:00 - 10.01.2018 09:00,302,0
10.01.2018 09:00 - 10.01.2018 10:00,222,0
10.01.2018 10:00 - 10.01.2018 11:00,276,0
10.01.2018 11:00 - 10.01.2018 12:00,214,0
10.01.2018 12:00 - 10.01.2018 13:00,235,0
10.01.2018 13:00 - 10.01.2018 14:00,234,0
10.01.2018 14:00 - 10.01.2018 15:00,272,0
10.01.2018 15:00 - 10.01.2018 16:00,211,0
10.01.2018 16:00 - 10.01.2018 17:00,214,0
10.01.2018 17:00 - 10.01.2018 18:00,190,0
10.01.2018 18:00 - 10.01.2018 19:00,0,57
10.01.2018 19:00 - 10.01.2018 20:00,0,167
10.01.2018 20:00 - 10.01.2018 21:00,0,197
10.01.2018 21:00 - 10.01.2018 22:00,0,237
10.01.2018 22:00 - 10.01.2018 23:00,0,196
10.01.2018 23:00 - 11.01.2018 00:00,0,189
11.01.2018 00:00 - 11.01.2018 01:00,0,133
11.01.2018 01:00 - 11.01.2018 02:00,0,63
11.01.2018 02:00 - 11.01.2018 03:00,17,0
11.01.2018 03:00 - 11.01.2018 04:00,188,0
11.01.2018 04:00 - 11.01.2018 05:00,239,0
11.01.2018 05:00 - 11.01.2018 06:00,310,0
11.01.2018 06:00 - 11.01.2018 07:00,206,0
11.01.2018 07:00 - 11.01.2018 08:00,128,0
11.01.2018 08:00 - 11.01.2018 09:00,70,0
11.01.2018 09:00 - 11.01.2018 10:00,0,77
11.01.2018 10:00 - 11.01.2018 11:00,0,123
11.01.2018 11:00 - 11.01.2018 12:00,0,137
11.01.2018 12:00 - 11.01.2018 13:00,48,0
11.01.2018 13:00 - 11.01.2018 14:00,0,50
11.01.2018 14:00 - 11.01.2018 15:00,95,0
11.01.2018 15:00 - 11.01.2018 16:00,30,0
11.01.2018 16:00 - 11.01.2018 17:00,0,88
11.01.2018 17:00 - 11.01.2018 18:00,0,144
11.01.2018 18:00 - 11.01.2018 19:00,0,298
11.01.2018 19:00 - 11.01.2018 20:00,0,217
11.01.2018 20:00 - 11.01.2018 21:00,0,173
11.01.2018 21:00 - 11.01.2018 22:00,0,307
11.01.2018 22:00 - 11.01.2018 23:00,0,219
11.01.2018 23:00 - 12.01.2018 00:00,0,68
12.01.2018 00:00 - 12.01.2018 01:00,0,152
12.01.2018 01:00 - 12.01.2018 02:00,0,120
12.01.2018 02:00 - 12.01.2018 03:00,57,0
12.01.2018 03:00 - 12.01.2018 04:00,220,0
12.01.2018 04:00 - 12.01.2018 05:00,405,0
12.01.2018 05:00 - 12.01.2018 06:00,332,0
12.01.2018 06:00 - 12.01.2018 07:00,182,0
12.01.2018 07:00 - 12.01.2018 08:00,258,0
12.01.2018 08:00 - 12.01.2018 09:00,203,0
12.01.2018 09:00 - 12.01.2018 10:00,210,0
12.01.2018 10:00 - 12.01.2018 11:00,152,0
12.01.2018 11:00 - 12.01.2018 12:00,24,0
12.01.2018 12:00 - 12.01.2018 13:00,72,0
12.01.2018 13:00 - 12.01.2018 14:00,138,0
