Time (WET),Ukraine (UA) > Belarus (BY) [MW],Belarus (BY) > Ukraine (UA) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,10,0
01.01.2018 01:00 - 01.01.2018 02:00,0,27
01.01.2018 02:00 - 01.01.2018 03:00,0,61
01.01.2018 03:00 - 01.01.2018 04:00,0,73
01.01.2018 04:00 - 01.01.2018 05:00,0,52
01.01.2018 05:00 - 01.01.2018 06:00,0,33
01.01.2018 06:00 - 01.01.2018 07:00,0,63
01.01.2018 07:00 - 01.01.2018 08:00,0,168
01.01.2018 08:00 - 01.01.2018 09:00,0,58
01.01.2018 09:00 - 01.01.2018 10:00,0,123
01.01.2018 10:00 - 01.01.2018 11:00,0,58
01.01.2018 11:00 - 01.01.2018 12:00,0,54
01.01.2018 12:00 - 01.01.2018 13:00,0,90
01.01.2018 13:00 - 01.01.2018 14:00,0,66
01.01.2018 14:00 - 01.01.2018 15:00,0,64
01.01.2018 15:00 - 01.01.2018 16:00,0,50
01.01.2018 16:00 - 01.01.2018 17:00,0,39
01.01.2018 17:00 - 01.01.2018 18:00,6,0
01.01.2018 18:00 - 01.01.2018 19:00,9,0
01.01.2018 19:00 - 01.01.2018 20:00,1,0
01.01.2018 20:00 - 01.01.2018 21:00,7,0
01.01.2018 21:00 - 01.01.2018 22:00,16,0
01.01.2018 22:00 - 01.01.2018 23:00,3,0
01.01.2018 23:00 - 02.01.2018 00:00,0,98
02.01.2018 00:00 - 02.01.2018 01:00,0,81
02.01.2018 01:00 - 02.01.2018 02:00,0,41
02.01.2018 02:00 - 02.01.2018 03:00,0,84
02.01.2018 03:00 - 02.01.2018 04:00,0,65
02.01.2018 04:00 - 02.01.2018 05:00,0,42
02.01.2018 05:00 - 02.01.2018 06:00,0,72
02.01.2018 06:00 - 02.01.2018 07:00,0,96
02.01.2018 07:00 - 02.01.2018 08:00,0,151
02.01.2018 08:00 - 02.01.2018 09:00,0,181
02.01.2018 09:00 - 02.01.2018 10:00,0,133
02.01.2018 10:00 - 02.01.2018 11:00,0,94
02.01.2018 11:00 - 02.01.2018 12:00,0,78
02.01.2018 12:00 - 02.01.2018 13:00,0,113
02.01.2018 13:00 - 02.01.2018 14:00,0,150
02.01.2018 14:00 - 02.01.2018 15:00,0,23
02.01.2018 15:00 - 02.01.2018 16:00,0,85
02.01.2018 16:00 - 02.01.2018 17:00,0,108
02.01.2018 17:00 - 02.01.2018 18:00,0,32
02.01.2018 18:00 - 02.01.2018 19:00,0,95
02.01.2018 19:00 - 02.01.2018 20:00,0,125
02.01.2018 20:00 - 02.01.2018 21:00,0,96
02.01.2018 21:00 - 02.01.2018 22:00,0,69
02.01.2018 22:00 - 02.01.2018 23:00,0,130
02.01.2018 23:00 - 03.01.2018 00:00,0,201
03.01.2018 00:00 - 03.01.2018 01:00,0,208
03.01.2018 01:00 - 03.01.2018 02:00,0,197
03.01.2018 02:00 - 03.01.2018 03:00,0,247
03.01.2018 03:00 - 03.01.2018 04:00,0,196
03.01.2018 04:00 - 03.01.2018 05:00,0,188
03.01.2018 05:00 - 03.01.2018 06:00,0,185
03.01.2018 06:00 - 03.01.2018 07:00,0,257
03.01.2018 07:00 - 03.01.2018 08:00,0,293
03.01.2018 08:00 - 03.01.2018 09:00,0,321
03.01.2018 09:00 - 03.01.2018 10:00,0,263
03.01.2018 10:00 - 03.01.2018 11:00,0,339
03.01.2018 11:00 - 03.01.2018 12:00,0,278
03.01.2018 12:00 - 03.01.2018 13:00,0,295
03.01.2018 13:00 - 03.01.2018 14:00,0,321
