"Time (WET)","Luxembourg (LU) > Germany (DE) [MW]","Germany (DE) > Luxembourg (LU) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","420"
"01.01.2018 01:00 - 01.01.2018 02:00","0","398"
"01.01.2018 02:00 - 01.01.2018 03:00","0","409"
"01.01.2018 03:00 - 01.01.2018 04:00","0","412"
"01.01.2018 04:00 - 01.01.2018 05:00","0","429"
"01.01.2018 05:00 - 01.01.2018 06:00","0","366"
"01.01.2018 06:00 - 01.01.2018 07:00","0","312"
"01.01.2018 07:00 - 01.01.2018 08:00","0","307"
"01.01.2018 08:00 - 01.01.2018 09:00","0","303"
"01.01.2018 09:00 - 01.01.2018 10:00","0","405"
"01.01.2018 10:00 - 01.01.2018 11:00","0","460"
"01.01.2018 11:00 - 01.01.2018 12:00","0","509"
"01.01.2018 12:00 - 01.01.2018 13:00","0","406"
"01.01.2018 13:00 - 01.01.2018 14:00","0","228"
"01.01.2018 14:00 - 01.01.2018 15:00","0","146"
"01.01.2018 15:00 - 01.01.2018 16:00","0","129"
"01.01.2018 16:00 - 01.01.2018 17:00","0","104"
"01.01.2018 17:00 - 01.01.2018 18:00","0","240"
"01.01.2018 18:00 - 01.01.2018 19:00","0","227"
"01.01.2018 19:00 - 01.01.2018 20:00","0","186"
"01.01.2018 20:00 - 01.01.2018 21:00","0","147"
"01.01.2018 21:00 - 01.01.2018 22:00","0","152"
"01.01.2018 22:00 - 01.01.2018 23:00","0","108"
"01.01.2018 23:00 - 02.01.2018 00:00","0","54"
"02.01.2018 00:00 - 02.01.2018 01:00","0","116"
"02.01.2018 01:00 - 02.01.2018 02:00","0","100"
"02.01.2018 02:00 - 02.01.2018 03:00","0","157"
"02.01.2018 03:00 - 02.01.2018 04:00","0","138"
"02.01.2018 04:00 - 02.01.2018 05:00","0","200"
"02.01.2018 05:00 - 02.01.2018 06:00","0","287"
"02.01.2018 06:00 - 02.01.2018 07:00","0","458"
"02.01.2018 07:00 - 02.01.2018 08:00","0","553"
"02.01.2018 08:00 - 02.01.2018 09:00","0","531"
"02.01.2018 09:00 - 02.01.2018 10:00","0","574"
"02.01.2018 10:00 - 02.01.2018 11:00","0","606"
"02.01.2018 11:00 - 02.01.2018 12:00","0","588"
"02.01.2018 12:00 - 02.01.2018 13:00","0","543"
"02.01.2018 13:00 - 02.01.2018 14:00","0","524"
"02.01.2018 14:00 - 02.01.2018 15:00","0","479"
"02.01.2018 15:00 - 02.01.2018 16:00","0","431"
"02.01.2018 16:00 - 02.01.2018 17:00","0","481"
"02.01.2018 17:00 - 02.01.2018 18:00","0","481"
"02.01.2018 18:00 - 02.01.2018 19:00","0","420"
"02.01.2018 19:00 - 02.01.2018 20:00","0","415"
"02.01.2018 20:00 - 02.01.2018 21:00","0","330"
"02.01.2018 21:00 - 02.01.2018 22:00","0","417"
"02.01.2018 22:00 - 02.01.2018 23:00","0","397"
"02.01.2018 23:00 - 03.01.2018 00:00","0","366"
"03.01.2018 00:00 - 03.01.2018 01:00","0","330"
"03.01.2018 01:00 - 03.01.2018 02:00","0","309"
"03.01.2018 02:00 - 03.01.2018 03:00","0","300"
"03.01.2018 03:00 - 03.01.2018 04:00","0","311"
"03.01.2018 04:00 - 03.01.2018 05:00","0","351"
"03.01.2018 05:00 - 03.01.2018 06:00","0","364"
"03.01.2018 06:00 - 03.01.2018 07:00","0","426"
"03.01.2018 07:00 - 03.01.2018 08:00","0","467"
"03.01.2018 08:00 - 03.01.2018 09:00","0","485"
"03.01.2018 09:00 - 03.01.2018 10:00","0","483"
"03.01.2018 10:00 - 03.01.2018 11:00","0","495"
"03.01.2018 11:00 - 03.01.2018 12:00","0","479"
"03.01.2018 12:00 - 03.01.2018 13:00","0","474"
"03.01.2018 13:00 - 03.01.2018 14:00","0","467"
"03.01.2018 14:00 - 03.01.2018 15:00","0","457"
