"Time (WET)","Russia (RU) > Estonia (EE) [MW]","Estonia (EE) > Russia (RU) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","179","0"
"01.01.2018 01:00 - 01.01.2018 02:00","113","0"
"01.01.2018 02:00 - 01.01.2018 03:00","209","0"
"01.01.2018 03:00 - 01.01.2018 04:00","280","0"
"01.01.2018 04:00 - 01.01.2018 05:00","351","0"
"01.01.2018 05:00 - 01.01.2018 06:00","264","0"
"01.01.2018 06:00 - 01.01.2018 07:00","209","0"
"01.01.2018 07:00 - 01.01.2018 08:00","240","0"
"01.01.2018 08:00 - 01.01.2018 09:00","253","0"
"01.01.2018 09:00 - 01.01.2018 10:00","135","0"
"01.01.2018 10:00 - 01.01.2018 11:00","111","0"
"01.01.2018 11:00 - 01.01.2018 12:00","149","0"
"01.01.2018 12:00 - 01.01.2018 13:00","124","0"
"01.01.2018 13:00 - 01.01.2018 14:00","117","0"
"01.01.2018 14:00 - 01.01.2018 15:00","79","0"
"01.01.2018 15:00 - 01.01.2018 16:00","0","2"
"01.01.2018 16:00 - 01.01.2018 17:00","0","71"
"01.01.2018 17:00 - 01.01.2018 18:00","0","44"
"01.01.2018 18:00 - 01.01.2018 19:00","0","44"
"01.01.2018 19:00 - 01.01.2018 20:00","0","93"
"01.01.2018 20:00 - 01.01.2018 21:00","0","119"
"01.01.2018 21:00 - 01.01.2018 22:00","0","59"
"01.01.2018 22:00 - 01.01.2018 23:00","70","0"
"01.01.2018 23:00 - 02.01.2018 00:00","91","0"
"02.01.2018 00:00 - 02.01.2018 01:00","124","0"
"02.01.2018 01:00 - 02.01.2018 02:00","125","0"
"02.01.2018 02:00 - 02.01.2018 03:00","117","0"
"02.01.2018 03:00 - 02.01.2018 04:00","194","0"
"02.01.2018 04:00 - 02.01.2018 05:00","0","27"
"02.01.2018 05:00 - 02.01.2018 06:00","0","140"
"02.01.2018 06:00 - 02.01.2018 07:00","0","177"
"02.01.2018 07:00 - 02.01.2018 08:00","0","195"
"02.01.2018 08:00 - 02.01.2018 09:00","0","362"
"02.01.2018 09:00 - 02.01.2018 10:00","0","381"
"02.01.2018 10:00 - 02.01.2018 11:00","0","338"
"02.01.2018 11:00 - 02.01.2018 12:00","0","364"
"02.01.2018 12:00 - 02.01.2018 13:00","0","314"
"02.01.2018 13:00 - 02.01.2018 14:00","0","426"
"02.01.2018 14:00 - 02.01.2018 15:00","0","314"
"02.01.2018 15:00 - 02.01.2018 16:00","0","286"
"02.01.2018 16:00 - 02.01.2018 17:00","0","214"
"02.01.2018 17:00 - 02.01.2018 18:00","0","350"
"02.01.2018 18:00 - 02.01.2018 19:00","0","482"
"02.01.2018 19:00 - 02.01.2018 20:00","0","373"
"02.01.2018 20:00 - 02.01.2018 21:00","0","329"
"02.01.2018 21:00 - 02.01.2018 22:00","0","258"
"02.01.2018 22:00 - 02.01.2018 23:00","0","248"
"02.01.2018 23:00 - 03.01.2018 00:00","0","115"
"03.01.2018 00:00 - 03.01.2018 01:00","0","50"
"03.01.2018 01:00 - 03.01.2018 02:00","12","0"
"03.01.2018 02:00 - 03.01.2018 03:00","29","0"
"03.01.2018 03:00 - 03.01.2018 04:00","33","0"
"03.01.2018 04:00 - 03.01.2018 05:00","40","0"
"03.01.2018 05:00 - 03.01.2018 06:00","0","140"
"03.01.2018 06:00 - 03.01.2018 07:00","0","127"
"03.01.2018 07:00 - 03.01.2018 08:00","0","137"
"03.01.2018 08:00 - 03.01.2018 09:00","0","134"
"03.01.2018 09:00 - 03.01.2018 10:00","0","161"
"03.01.2018 10:00 - 03.01.2018 11:00","0","98"
"03.01.2018 11:00 - 03.01.2018 12:00","0","132"
"03.01.2018 12:00 - 03.01.2018 13:00","0","108"
"03.01.2018 13:00 - 03.01.2018 14:00","0","125"
"03.01.2018 14:00 - 03.01.2018 15:00","0","175"
"03.01.2018 15:00 - 03.01.2018 16:00","0","211"
"03.01.2018 16:00 - 03.01.2018 17:00","0","139"
"03.01.2018 17:00 - 03.01.2018 18:00","0","94"
"03.01.2018 18:00 - 03.01.2018 19:00","0","103"
"03.01.2018 19:00 - 03.01.2018 20:00","0","129"
"03.01.2018 20:00 - 03.01.2018 21:00","0","146"
"03.01.2018 21:00 - 03.01.2018 22:00","54","0"
"03.01.2018 22:00 - 03.01.2018 23:00","88","0"
"03.01.2018 23:00 - 04.01.2018 00:00","141","0"
"04.01.2018 00:00 - 04.01.2018 01:00","16","0"
"04.01.2018 01:00 - 04.01.2018 02:00","73","0"
"04.01.2018 02:00 - 04.01.2018 03:00","66","0"
"04.01.2018 03:00 - 04.01.2018 04:00","115","0"
"04.01.2018 04:00 - 04.01.2018 05:00","165","0"
"04.01.2018 05:00 - 04.01.2018 06:00","0","47"
"04.01.2018 06:00 - 04.01.2018 07:00","37","0"
"04.01.2018 07:00 - 04.01.2018 08:00","0","245"
"04.01.2018 08:00 - 04.01.2018 09:00","0","246"
"04.01.2018 09:00 - 04.01.2018 10:00","0","159"
"04.01.2018 10:00 - 04.01.2018 11:00","0","105"
"04.01.2018 11:00 - 04.01.2018 12:00","0","45"
"04.01.2018 12:00 - 04.01.2018 13:00","0","99"
"04.01.2018 13:00 - 04.01.2018 14:00","0","175"
"04.01.2018 14:00 - 04.01.2018 15:00","0","166"
"04.01.2018 15:00 - 04.01.2018 16:00","0","74"
"04.01.2018 16:00 - 04.01.2018 17:00","0","190"
"04.01.2018 17:00 - 04.01.2018 18:00","0","214"
"04.01.2018 18:00 - 04.01.2018 19:00","0","216"
"04.01.2018 19:00 - 04.01.2018 20:00","0","239"
"04.01.2018 20:00 - 04.01.2018 21:00","0","158"
"04.01.2018 21:00 - 04.01.2018 22:00","0","55"
"04.01.2018 22:00 - 04.01.2018 23:00","8","0"
"04.01.2018 23:00 - 05.01.2018 00:00","63","0"
"05.01.2018 00:00 - 05.01.2018 01:00","9","0"
"05.01.2018 01:00 - 05.01.2018 02:00","0","28"
"05.01.2018 02:00 - 05.01.2018 03:00","0","46"
"05.01.2018 03:00 - 05.01.2018 04:00","110","0"
"05.01.2018 04:00 - 05.01.2018 05:00","153","0"
"05.01.2018 05:00 - 05.01.2018 06:00","0","48"
"05.01.2018 06:00 - 05.01.2018 07:00","3","0"
"05.01.2018 07:00 - 05.01.2018 08:00","0","231"
"05.01.2018 08:00 - 05.01.2018 09:00","0","219"
"05.01.2018 09:00 - 05.01.2018 10:00","0","246"
"05.01.2018 10:00 - 05.01.2018 11:00","0","232"
"05.01.2018 11:00 - 05.01.2018 12:00","0","293"
"05.01.2018 12:00 - 05.01.2018 13:00","0","323"
"05.01.2018 13:00 - 05.01.2018 14:00","0","284"
"05.01.2018 14:00 - 05.01.2018 15:00","0","289"
"05.01.2018 15:00 - 05.01.2018 16:00","0","282"
"05.01.2018 16:00 - 05.01.2018 17:00","0","266"
"05.01.2018 17:00 - 05.01.2018 18:00","0","211"
"05.01.2018 18:00 - 05.01.2018 19:00","0","219"
"05.01.2018 19:00 - 05.01.2018 20:00","0","115"
"05.01.2018 20:00 - 05.01.2018 21:00","0","24"
"05.01.2018 21:00 - 05.01.2018 22:00","0","11"
"05.01.2018 22:00 - 05.01.2018 23:00","113","0"
"05.01.2018 23:00 - 06.01.2018 00:00","103","0"
"06.01.2018 00:00 - 06.01.2018 01:00","101","0"
