Time (WET),BZN|FR > BZN|ES [MW],BZN|ES > BZN|FR [MW]
01.01.2018 00:00 - 01.01.2018 01:00,675,0
01.01.2018 01:00 - 01.01.2018 02:00,549,0
01.01.2018 02:00 - 01.01.2018 03:00,2727,0
01.01.2018 03:00 - 01.01.2018 04:00,2788,0
01.01.2018 04:00 - 01.01.2018 05:00,2802,0
01.01.2018 05:00 - 01.01.2018 06:00,2780,0
01.01.2018 06:00 - 01.01.2018 07:00,2565,0
01.01.2018 07:00 - 01.01.2018 08:00,2796,0
01.01.2018 08:00 - 01.01.2018 09:00,2518,0
01.01.2018 09:00 - 01.01.2018 10:00,2739,0
01.01.2018 10:00 - 01.01.2018 11:00,2069,0
01.01.2018 11:00 - 01.01.2018 12:00,625,0
01.01.2018 12:00 - 01.01.2018 13:00,592,0
01.01.2018 13:00 - 01.01.2018 14:00,0,1518
01.01.2018 14:00 - 01.01.2018 15:00,0,2762
01.01.2018 15:00 - 01.01.2018 16:00,0,2831
01.01.2018 16:00 - 01.01.2018 17:00,0,2732
01.01.2018 17:00 - 01.01.2018 18:00,0,1811
01.01.2018 18:00 - 01.01.2018 19:00,0,896
01.01.2018 19:00 - 01.01.2018 20:00,529,0
01.01.2018 20:00 - 01.01.2018 21:00,669,0
01.01.2018 21:00 - 01.01.2018 22:00,0,341
01.01.2018 22:00 - 01.01.2018 23:00,0,926
01.01.2018 23:00 - 02.01.2018 00:00,0,464
02.01.2018 00:00 - 02.01.2018 01:00,0,1407
02.01.2018 01:00 - 02.01.2018 02:00,0,1709
02.01.2018 02:00 - 02.01.2018 03:00,0,858
02.01.2018 03:00 - 02.01.2018 04:00,0,540
02.01.2018 04:00 - 02.01.2018 05:00,0,938
02.01.2018 05:00 - 02.01.2018 06:00,0,1325
02.01.2018 06:00 - 02.01.2018 07:00,2,0
02.01.2018 07:00 - 02.01.2018 08:00,782,0
02.01.2018 08:00 - 02.01.2018 09:00,1992,0
02.01.2018 09:00 - 02.01.2018 10:00,2550,0
02.01.2018 10:00 - 02.01.2018 11:00,2950,0
02.01.2018 11:00 - 02.01.2018 12:00,2968,0
02.01.2018 12:00 - 02.01.2018 13:00,2975,0
02.01.2018 13:00 - 02.01.2018 14:00,2532,0
02.01.2018 14:00 - 02.01.2018 15:00,2960,0
02.01.2018 15:00 - 02.01.2018 16:00,2986,0
02.01.2018 16:00 - 02.01.2018 17:00,3026,0
02.01.2018 17:00 - 02.01.2018 18:00,3094,0
02.01.2018 18:00 - 02.01.2018 19:00,3045,0
02.01.2018 19:00 - 02.01.2018 20:00,3072,0
02.01.2018 20:00 - 02.01.2018 21:00,3017,0
02.01.2018 21:00 - 02.01.2018 22:00,2965,0
02.01.2018 22:00 - 02.01.2018 23:00,2840,0
02.01.2018 23:00 - 03.01.2018 00:00,0,0
03.01.2018 00:00 - 03.01.2018 01:00,1258,0
03.01.2018 01:00 - 03.01.2018 02:00,1502,0
03.01.2018 02:00 - 03.01.2018 03:00,2411,0
03.01.2018 03:00 - 03.01.2018 04:00,2565,0
03.01.2018 04:00 - 03.01.2018 05:00,2482,0
03.01.2018 05:00 - 03.01.2018 06:00,1922,0
03.01.2018 06:00 - 03.01.2018 07:00,2534,0
03.01.2018 07:00 - 03.01.2018 08:00,2784,0
03.01.2018 08:00 - 03.01.2018 09:00,3055,0
03.01.2018 09:00 - 03.01.2018 10:00,2991,0
03.01.2018 10:00 - 03.01.2018 11:00,2932,0
03.01.2018 11:00 - 03.01.2018 12:00,2952,0
