time,from,to
1,0,5578
2,0,4257
3,0,6536
4,0,4478
5,0,5326
6,0,5233
7,0,5080
8,0,5179
9,0,4380
10,0,4785
11,0,2851
12,0,825
13,0,2034
14,0,-58
15,0,1289
16,0,2543
17,0,2693
18,0,2766
19,0,2429
20,0,2154
21,0,1096
22,0,-8
23,0,413
24,0,1345
25,0,2725
26,0,4670
27,0,6092
28,0,5908
29,0,5699
30,0,5248
31,0,4905
32,0,3511
33,0,2046
34,0,1474
35,0,889
36,0,583
37,0,933
38,0,310
39,0,1211
40,0,1762
41,0,2666
42,0,984
43,0,900
44,0,1365
45,0,740
46,0,1196
47,0,14
48,0,548
49,0,2757
50,0,5158
51,0,7088
52,0,6361
53,0,5401
54,0,4943
55,0,4730
56,0,3127
57,0,701
58,0,210
59,0,146
60,0,440
61,0,1015
62,0,511
63,0,-67
64,0,-148
65,0,1474
66,0,1893
67,0,881
68,0,888
69,0,902
70,0,727
71,0,-278
72,0,1729
73,0,4121
74,0,6481
75,0,7823
76,0,7909
77,0,7467
78,0,7300
79,0,5788
80,0,2770
81,0,395
82,0,333
83,0,495
84,0,798
85,0,1215
86,0,1399
87,0,2171
88,0,2859
89,0,597
90,0,1730
91,0,1157
92,0,886
93,0,1219
94,0,1134
95,0,109
96,0,1714
97,0,3890
98,0,6669
99,0,8076
100,0,7768
101,0,7614
102,0,7631
103,0,6535
104,0,4076
105,0,1856
106,0,1274
107,0,107
108,0,565
109,0,1283
110,0,452
111,0,1276
112,0,749
113,0,1095
114,0,1861
115,0,803
116,0,1108
117,0,1303
118,0,210
119,0,-462
120,0,682
121,0,687
122,0,1045
123,0,991
124,0,1912
125,0,2216
126,0,2447
127,0,2545
128,0,2717
129,0,2655
130,0,1376
131,0,1123
132,0,389
133,0,303
134,0,497
135,0,-13
136,0,-279
137,0,457
138,0,1666
139,0,1344
140,0,707
141,0,878
142,0,1054
143,0,-440
144,0,332
145,0,739
146,0,1881
147,0,3524
148,0,4355
149,0,4430
150,0,4551
151,0,4808
152,0,3652
153,0,4102
154,0,998
155,0,78
156,0,16
157,0,2044
158,0,758
159,0,601
160,0,396
161,0,1413
162,0,2010
