Time (WET),BZN|PT > BZN|ES [MW],BZN|ES > BZN|PT [MW]
01.01.2018 00:00 - 01.01.2018 01:00,0,1375
01.01.2018 01:00 - 01.01.2018 02:00,0,1525
01.01.2018 02:00 - 01.01.2018 03:00,0,1479
01.01.2018 03:00 - 01.01.2018 04:00,0,1499
01.01.2018 04:00 - 01.01.2018 05:00,0,1503
01.01.2018 05:00 - 01.01.2018 06:00,0,1501
01.01.2018 06:00 - 01.01.2018 07:00,0,1410
01.01.2018 07:00 - 01.01.2018 08:00,0,1305
01.01.2018 08:00 - 01.01.2018 09:00,0,1119
01.01.2018 09:00 - 01.01.2018 10:00,0,1117
01.01.2018 10:00 - 01.01.2018 11:00,0,1511
01.01.2018 11:00 - 01.01.2018 12:00,0,1518
01.01.2018 12:00 - 01.01.2018 13:00,0,1523
01.01.2018 13:00 - 01.01.2018 14:00,0,1482
01.01.2018 14:00 - 01.01.2018 15:00,0,1243
01.01.2018 15:00 - 01.01.2018 16:00,0,1452
01.01.2018 16:00 - 01.01.2018 17:00,0,1528
01.01.2018 17:00 - 01.01.2018 18:00,0,2004
01.01.2018 18:00 - 01.01.2018 19:00,0,1652
01.01.2018 19:00 - 01.01.2018 20:00,0,1770
01.01.2018 20:00 - 01.01.2018 21:00,0,1644
01.01.2018 21:00 - 01.01.2018 22:00,0,1463
01.01.2018 22:00 - 01.01.2018 23:00,0,1648
01.01.2018 23:00 - 02.01.2018 00:00,0,1979
02.01.2018 00:00 - 02.01.2018 01:00,0,1517
02.01.2018 01:00 - 02.01.2018 02:00,0,1349
02.01.2018 02:00 - 02.01.2018 03:00,0,1418
02.01.2018 03:00 - 02.01.2018 04:00,0,1549
02.01.2018 04:00 - 02.01.2018 05:00,0,1449
02.01.2018 05:00 - 02.01.2018 06:00,0,1265
02.01.2018 06:00 - 02.01.2018 07:00,0,141
02.01.2018 07:00 - 02.01.2018 08:00,1300,0
02.01.2018 08:00 - 02.01.2018 09:00,1301,0
02.01.2018 09:00 - 02.01.2018 10:00,1243,0
02.01.2018 10:00 - 02.01.2018 11:00,729,0
02.01.2018 11:00 - 02.01.2018 12:00,275,0
02.01.2018 12:00 - 02.01.2018 13:00,156,0
02.01.2018 13:00 - 02.01.2018 14:00,0,310
02.01.2018 14:00 - 02.01.2018 15:00,0,1041
02.01.2018 15:00 - 02.01.2018 16:00,0,1105
02.01.2018 16:00 - 02.01.2018 17:00,0,329
02.01.2018 17:00 - 02.01.2018 18:00,0,415
02.01.2018 18:00 - 02.01.2018 19:00,0,531
02.01.2018 19:00 - 02.01.2018 20:00,0,235
02.01.2018 20:00 - 02.01.2018 21:00,0,483
02.01.2018 21:00 - 02.01.2018 22:00,0,354
02.01.2018 22:00 - 02.01.2018 23:00,0,1347
02.01.2018 23:00 - 03.01.2018 00:00,0,0
03.01.2018 00:00 - 03.01.2018 01:00,0,1558
03.01.2018 01:00 - 03.01.2018 02:00,0,1509
03.01.2018 02:00 - 03.01.2018 03:00,0,1503
03.01.2018 03:00 - 03.01.2018 04:00,0,1582
03.01.2018 04:00 - 03.01.2018 05:00,0,1544
03.01.2018 05:00 - 03.01.2018 06:00,0,1415
03.01.2018 06:00 - 03.01.2018 07:00,0,1456
03.01.2018 07:00 - 03.01.2018 08:00,359,0
03.01.2018 08:00 - 03.01.2018 09:00,378,0
03.01.2018 09:00 - 03.01.2018 10:00,256,0
03.01.2018 10:00 - 03.01.2018 11:00,0,32
03.01.2018 11:00 - 03.01.2018 12:00,0,312
03.01.2018 12:00 - 03.01.2018 13:00,0,109
03.01.2018 13:00 - 03.01.2018 14:00,0,377
03.01.2018 14:00 - 03.01.2018 15:00,0,1287
03.01.2018 15:00 - 03.01.2018 16:00,0,1270
03.01.2018 16:00 - 03.01.2018 17:00,0,860
03.01.2018 17:00 - 03.01.2018 18:00,0,633
03.01.2018 18:00 - 03.01.2018 19:00,0,610
03.01.2018 19:00 - 03.01.2018 20:00,0,564
03.01.2018 20:00 - 03.01.2018 21:00,0,424
03.01.2018 21:00 - 03.01.2018 22:00,0,544
03.01.2018 22:00 - 03.01.2018 23:00,0,1483
03.01.2018 23:00 - 04.01.2018 00:00,0,1987
04.01.2018 00:00 - 04.01.2018 01:00,0,1532
04.01.2018 01:00 - 04.01.2018 02:00,0,1520
04.01.2018 02:00 - 04.01.2018 03:00,0,1524
04.01.2018 03:00 - 04.01.2018 04:00,0,1515
04.01.2018 04:00 - 04.01.2018 05:00,0,1311
04.01.2018 05:00 - 04.01.2018 06:00,0,1332
04.01.2018 06:00 - 04.01.2018 07:00,0,1412
04.01.2018 07:00 - 04.01.2018 08:00,37,0
04.01.2018 08:00 - 04.01.2018 09:00,0,223
04.01.2018 09:00 - 04.01.2018 10:00,0,423
04.01.2018 10:00 - 04.01.2018 11:00,0,446
04.01.2018 11:00 - 04.01.2018 12:00,0,511
04.01.2018 12:00 - 04.01.2018 13:00,0,392
04.01.2018 13:00 - 04.01.2018 14:00,0,695
04.01.2018 14:00 - 04.01.2018 15:00,0,1319
04.01.2018 15:00 - 04.01.2018 16:00,0,1201
04.01.2018 16:00 - 04.01.2018 17:00,0,230
04.01.2018 17:00 - 04.01.2018 18:00,0,382
04.01.2018 18:00 - 04.01.2018 19:00,0,530
04.01.2018 19:00 - 04.01.2018 20:00,0,370
04.01.2018 20:00 - 04.01.2018 21:00,0,91
04.01.2018 21:00 - 04.01.2018 22:00,17,0
04.01.2018 22:00 - 04.01.2018 23:00,0,1193
04.01.2018 23:00 - 05.01.2018 00:00,0,1668
05.01.2018 00:00 - 05.01.2018 01:00,0,1523
05.01.2018 01:00 - 05.01.2018 02:00,0,1521
05.01.2018 02:00 - 05.01.2018 03:00,0,1500
05.01.2018 03:00 - 05.01.2018 04:00,0,1492
05.01.2018 04:00 - 05.01.2018 05:00,0,1135
05.01.2018 05:00 - 05.01.2018 06:00,0,576
