"Time (WET)","Russia (RU) > Finland (FI) [MW]","Finland (FI) > Russia (RU) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","487","0"
"01.01.2018 01:00 - 01.01.2018 02:00","487","0"
"01.01.2018 02:00 - 01.01.2018 03:00","487","0"
"01.01.2018 03:00 - 01.01.2018 04:00","485","0"
"01.01.2018 04:00 - 01.01.2018 05:00","480","0"
"01.01.2018 05:00 - 01.01.2018 06:00","879","0"
"01.01.2018 06:00 - 01.01.2018 07:00","948","0"
"01.01.2018 07:00 - 01.01.2018 08:00","955","0"
"01.01.2018 08:00 - 01.01.2018 09:00","981","0"
"01.01.2018 09:00 - 01.01.2018 10:00","992","0"
"01.01.2018 10:00 - 01.01.2018 11:00","987","0"
"01.01.2018 11:00 - 01.01.2018 12:00","997","0"
"01.01.2018 12:00 - 01.01.2018 13:00","1010","0"
"01.01.2018 13:00 - 01.01.2018 14:00","1007","0"
"01.01.2018 14:00 - 01.01.2018 15:00","994","0"
"01.01.2018 15:00 - 01.01.2018 16:00","982","0"
"01.01.2018 16:00 - 01.01.2018 17:00","991","0"
"01.01.2018 17:00 - 01.01.2018 18:00","985","0"
"01.01.2018 18:00 - 01.01.2018 19:00","958","0"
"01.01.2018 19:00 - 01.01.2018 20:00","970","0"
"01.01.2018 20:00 - 01.01.2018 21:00","990","0"
"01.01.2018 21:00 - 01.01.2018 22:00","950","0"
"01.01.2018 22:00 - 01.01.2018 23:00","944","0"
"01.01.2018 23:00 - 02.01.2018 00:00","1287","0"
"02.01.2018 00:00 - 02.01.2018 01:00","1329","0"
"02.01.2018 01:00 - 02.01.2018 02:00","1331","0"
"02.01.2018 02:00 - 02.01.2018 03:00","1310","0"
"02.01.2018 03:00 - 02.01.2018 04:00","1321","0"
"02.01.2018 04:00 - 02.01.2018 05:00","1359","0"
"02.01.2018 05:00 - 02.01.2018 06:00","1379","0"
"02.01.2018 06:00 - 02.01.2018 07:00","1383","0"
"02.01.2018 07:00 - 02.01.2018 08:00","1449","0"
"02.01.2018 08:00 - 02.01.2018 09:00","1466","0"
"02.01.2018 09:00 - 02.01.2018 10:00","1465","0"
"02.01.2018 10:00 - 02.01.2018 11:00","1467","0"
"02.01.2018 11:00 - 02.01.2018 12:00","1459","0"
"02.01.2018 12:00 - 02.01.2018 13:00","1453","0"
"02.01.2018 13:00 - 02.01.2018 14:00","1447","0"
"02.01.2018 14:00 - 02.01.2018 15:00","1449","0"
"02.01.2018 15:00 - 02.01.2018 16:00","1452","0"
"02.01.2018 16:00 - 02.01.2018 17:00","1449","0"
"02.01.2018 17:00 - 02.01.2018 18:00","1449","0"
"02.01.2018 18:00 - 02.01.2018 19:00","1438","0"
"02.01.2018 19:00 - 02.01.2018 20:00","1433","0"
"02.01.2018 20:00 - 02.01.2018 21:00","1426","0"
"02.01.2018 21:00 - 02.01.2018 22:00","1423","0"
"02.01.2018 22:00 - 02.01.2018 23:00","1432","0"
"02.01.2018 23:00 - 03.01.2018 00:00","1431","0"
"03.01.2018 00:00 - 03.01.2018 01:00","1439","0"
"03.01.2018 01:00 - 03.01.2018 02:00","1442","0"
"03.01.2018 02:00 - 03.01.2018 03:00","1452","0"
"03.01.2018 03:00 - 03.01.2018 04:00","1453","0"
"03.01.2018 04:00 - 03.01.2018 05:00","1458","0"
"03.01.2018 05:00 - 03.01.2018 06:00","1454","0"
"03.01.2018 06:00 - 03.01.2018 07:00","1460","0"
"03.01.2018 07:00 - 03.01.2018 08:00","1437","0"
"03.01.2018 08:00 - 03.01.2018 09:00","1448","0"
"03.01.2018 09:00 - 03.01.2018 10:00","1458","0"
"03.01.2018 10:00 - 03.01.2018 11:00","1456","0"
"03.01.2018 11:00 - 03.01.2018 12:00","1458","0"
"03.01.2018 12:00 - 03.01.2018 13:00","1458","0"
"03.01.2018 13:00 - 03.01.2018 14:00","1460","0"
"03.01.2018 14:00 - 03.01.2018 15:00","1448","0"
