Time (WET),Albania (AL) > Greece (GR) [MW],Greece (GR) > Albania (AL) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,179,0
01.01.2018 01:00 - 01.01.2018 02:00,200,0
01.01.2018 02:00 - 01.01.2018 03:00,225,0
01.01.2018 03:00 - 01.01.2018 04:00,202,0
01.01.2018 04:00 - 01.01.2018 05:00,223,0
01.01.2018 05:00 - 01.01.2018 06:00,259,0
01.01.2018 06:00 - 01.01.2018 07:00,241,0
01.01.2018 07:00 - 01.01.2018 08:00,231,0
01.01.2018 08:00 - 01.01.2018 09:00,149,0
01.01.2018 09:00 - 01.01.2018 10:00,150,0
01.01.2018 10:00 - 01.01.2018 11:00,132,0
01.01.2018 11:00 - 01.01.2018 12:00,126,0
01.01.2018 12:00 - 01.01.2018 13:00,97,0
01.01.2018 13:00 - 01.01.2018 14:00,154,0
01.01.2018 14:00 - 01.01.2018 15:00,190,0
01.01.2018 15:00 - 01.01.2018 16:00,181,0
01.01.2018 16:00 - 01.01.2018 17:00,183,0
01.01.2018 17:00 - 01.01.2018 18:00,172,0
01.01.2018 18:00 - 01.01.2018 19:00,145,0
01.01.2018 19:00 - 01.01.2018 20:00,111,0
01.01.2018 20:00 - 01.01.2018 21:00,77,0
01.01.2018 21:00 - 01.01.2018 22:00,89,0
01.01.2018 22:00 - 01.01.2018 23:00,129,0
01.01.2018 23:00 - 02.01.2018 00:00,79,0
02.01.2018 00:00 - 02.01.2018 01:00,60,0
02.01.2018 01:00 - 02.01.2018 02:00,49,0
02.01.2018 02:00 - 02.01.2018 03:00,27,0
02.01.2018 03:00 - 02.01.2018 04:00,69,0
02.01.2018 04:00 - 02.01.2018 05:00,66,0
02.01.2018 05:00 - 02.01.2018 06:00,75,0
02.01.2018 06:00 - 02.01.2018 07:00,36,0
02.01.2018 07:00 - 02.01.2018 08:00,64,0
02.01.2018 08:00 - 02.01.2018 09:00,50,0
02.01.2018 09:00 - 02.01.2018 10:00,31,0
02.01.2018 10:00 - 02.01.2018 11:00,34,0
02.01.2018 11:00 - 02.01.2018 12:00,46,0
02.01.2018 12:00 - 02.01.2018 13:00,22,0
02.01.2018 13:00 - 02.01.2018 14:00,57,0
02.01.2018 14:00 - 02.01.2018 15:00,39,0
02.01.2018 15:00 - 02.01.2018 16:00,52,0
02.01.2018 16:00 - 02.01.2018 17:00,33,0
02.01.2018 17:00 - 02.01.2018 18:00,44,0
02.01.2018 18:00 - 02.01.2018 19:00,72,0
02.01.2018 19:00 - 02.01.2018 20:00,36,0
02.01.2018 20:00 - 02.01.2018 21:00,67,0
02.01.2018 21:00 - 02.01.2018 22:00,81,0
02.01.2018 22:00 - 02.01.2018 23:00,107,0
02.01.2018 23:00 - 03.01.2018 00:00,131,0
03.01.2018 00:00 - 03.01.2018 01:00,142,0
03.01.2018 01:00 - 03.01.2018 02:00,153,0
03.01.2018 02:00 - 03.01.2018 03:00,177,0
03.01.2018 03:00 - 03.01.2018 04:00,176,0
03.01.2018 04:00 - 03.01.2018 05:00,158,0
03.01.2018 05:00 - 03.01.2018 06:00,137,0
03.01.2018 06:00 - 03.01.2018 07:00,146,0
03.01.2018 07:00 - 03.01.2018 08:00,116,0
03.01.2018 08:00 - 03.01.2018 09:00,130,0
03.01.2018 09:00 - 03.01.2018 10:00,108,0
03.01.2018 10:00 - 03.01.2018 11:00,96,0
03.01.2018 11:00 - 03.01.2018 12:00,96,0
03.01.2018 12:00 - 03.01.2018 13:00,112,0
03.01.2018 13:00 - 03.01.2018 14:00,113,0
03.01.2018 14:00 - 03.01.2018 15:00,129,0
03.01.2018 15:00 - 03.01.2018 16:00,141,0
03.01.2018 16:00 - 03.01.2018 17:00,124,0
03.01.2018 17:00 - 03.01.2018 18:00,126,0
03.01.2018 18:00 - 03.01.2018 19:00,126,0
03.01.2018 19:00 - 03.01.2018 20:00,40,0
03.01.2018 20:00 - 03.01.2018 21:00,21,0
03.01.2018 21:00 - 03.01.2018 22:00,66,0
03.01.2018 22:00 - 03.01.2018 23:00,100,0
03.01.2018 23:00 - 04.01.2018 00:00,122,0
04.01.2018 00:00 - 04.01.2018 01:00,152,0
04.01.2018 01:00 - 04.01.2018 02:00,166,0
04.01.2018 02:00 - 04.01.2018 03:00,189,0
04.01.2018 03:00 - 04.01.2018 04:00,182,0
04.01.2018 04:00 - 04.01.2018 05:00,180,0
04.01.2018 05:00 - 04.01.2018 06:00,200,0
04.01.2018 06:00 - 04.01.2018 07:00,150,0
04.01.2018 07:00 - 04.01.2018 08:00,139,0
04.01.2018 08:00 - 04.01.2018 09:00,141,0
04.01.2018 09:00 - 04.01.2018 10:00,104,0
04.01.2018 10:00 - 04.01.2018 11:00,110,0
04.01.2018 11:00 - 04.01.2018 12:00,116,0
04.01.2018 12:00 - 04.01.2018 13:00,120,0
04.01.2018 13:00 - 04.01.2018 14:00,109,0
04.01.2018 14:00 - 04.01.2018 15:00,124,0
04.01.2018 15:00 - 04.01.2018 16:00,140,0
04.01.2018 16:00 - 04.01.2018 17:00,124,0
04.01.2018 17:00 - 04.01.2018 18:00,132,0
04.01.2018 18:00 - 04.01.2018 19:00,118,0
04.01.2018 19:00 - 04.01.2018 20:00,93,0
04.01.2018 20:00 - 04.01.2018 21:00,31,0
04.01.2018 21:00 - 04.01.2018 22:00,79,0
04.01.2018 22:00 - 04.01.2018 23:00,109,0
04.01.2018 23:00 - 05.01.2018 00:00,121,0
05.01.2018 00:00 - 05.01.2018 01:00,171,0
05.01.2018 01:00 - 05.01.2018 02:00,154,0
05.01.2018 02:00 - 05.01.2018 03:00,176,0
05.01.2018 03:00 - 05.01.2018 04:00,205,0
05.01.2018 04:00 - 05.01.2018 05:00,173,0
05.01.2018 05:00 - 05.01.2018 06:00,181,0
05.01.2018 06:00 - 05.01.2018 07:00,136,0
05.01.2018 07:00 - 05.01.2018 08:00,159,0
05.01.2018 08:00 - 05.01.2018 09:00,140,0
05.01.2018 09:00 - 05.01.2018 10:00,122,0
05.01.2018 10:00 - 05.01.2018 11:00,128,0
05.01.2018 11:00 - 05.01.2018 12:00,119,0
05.01.2018 12:00 - 05.01.2018 13:00,123,0
05.01.2018 13:00 - 05.01.2018 14:00,124,0
05.01.2018 14:00 - 05.01.2018 15:00,116,0
05.01.2018 15:00 - 05.01.2018 16:00,145,0
05.01.2018 16:00 - 05.01.2018 17:00,118,0
05.01.2018 17:00 - 05.01.2018 18:00,93,0
05.01.2018 18:00 - 05.01.2018 19:00,85,0
05.01.2018 19:00 - 05.01.2018 20:00,66,0
05.01.2018 20:00 - 05.01.2018 21:00,85,0
05.01.2018 21:00 - 05.01.2018 22:00,108,0
05.01.2018 22:00 - 05.01.2018 23:00,112,0
05.01.2018 23:00 - 06.01.2018 00:00,97,0
06.01.2018 00:00 - 06.01.2018 01:00,102,0
06.01.2018 01:00 - 06.01.2018 02:00,120,0
06.01.2018 02:00 - 06.01.2018 03:00,150,0
06.01.2018 03:00 - 06.01.2018 04:00,164,0
06.01.2018 04:00 - 06.01.2018 05:00,169,0
06.01.2018 05:00 - 06.01.2018 06:00,172,0
06.01.2018 06:00 - 06.01.2018 07:00,163,0
06.01.2018 07:00 - 06.01.2018 08:00,146,0
06.01.2018 08:00 - 06.01.2018 09:00,106,0
06.01.2018 09:00 - 06.01.2018 10:00,99,0
06.01.2018 10:00 - 06.01.2018 11:00,103,0
06.01.2018 11:00 - 06.01.2018 12:00,127,0
06.01.2018 12:00 - 06.01.2018 13:00,91,0
06.01.2018 13:00 - 06.01.2018 14:00,65,0
06.01.2018 14:00 - 06.01.2018 15:00,59,0
06.01.2018 15:00 - 06.01.2018 16:00,93,0
06.01.2018 16:00 - 06.01.2018 17:00,40,0
06.01.2018 17:00 - 06.01.2018 18:00,75,0
06.01.2018 18:00 - 06.01.2018 19:00,55,0
06.01.2018 19:00 - 06.01.2018 20:00,37,0
06.01.2018 20:00 - 06.01.2018 21:00,49,0
06.01.2018 21:00 - 06.01.2018 22:00,54,0
06.01.2018 22:00 - 06.01.2018 23:00,81,0
06.01.2018 23:00 - 07.01.2018 00:00,67,0
07.01.2018 00:00 - 07.01.2018 01:00,85,0
07.01.2018 01:00 - 07.01.2018 02:00,82,0
07.01.2018 02:00 - 07.01.2018 03:00,87,0
07.01.2018 03:00 - 07.01.2018 04:00,106,0
07.01.2018 04:00 - 07.01.2018 05:00,144,0
07.01.2018 05:00 - 07.01.2018 06:00,124,0
07.01.2018 06:00 - 07.01.2018 07:00,129,0
07.01.2018 07:00 - 07.01.2018 08:00,120,0
07.01.2018 08:00 - 07.01.2018 09:00,116,0
07.01.2018 09:00 - 07.01.2018 10:00,119,0
07.01.2018 10:00 - 07.01.2018 11:00,119,0
07.01.2018 11:00 - 07.01.2018 12:00,116,0
07.01.2018 12:00 - 07.01.2018 13:00,92,0
07.01.2018 13:00 - 07.01.2018 14:00,94,0
07.01.2018 14:00 - 07.01.2018 15:00,103,0
07.01.2018 15:00 - 07.01.2018 16:00,120,0
07.01.2018 16:00 - 07.01.2018 17:00,82,0
07.01.2018 17:00 - 07.01.2018 18:00,73,0
07.01.2018 18:00 - 07.01.2018 19:00,71,0
07.01.2018 19:00 - 07.01.2018 20:00,78,0
07.01.2018 20:00 - 07.01.2018 21:00,52,0
07.01.2018 21:00 - 07.01.2018 22:00,85,0
07.01.2018 22:00 - 07.01.2018 23:00,85,0
07.01.2018 23:00 - 08.01.2018 00:00,166,0
08.01.2018 00:00 - 08.01.2018 01:00,185,0
08.01.2018 01:00 - 08.01.2018 02:00,187,0
08.01.2018 02:00 - 08.01.2018 03:00,214,0
08.01.2018 03:00 - 08.01.2018 04:00,231,0
08.01.2018 04:00 - 08.01.2018 05:00,241,0
08.01.2018 05:00 - 08.01.2018 06:00,225,0
08.01.2018 06:00 - 08.01.2018 07:00,208,0
08.01.2018 07:00 - 08.01.2018 08:00,263,0
08.01.2018 08:00 - 08.01.2018 09:00,240,0
08.01.2018 09:00 - 08.01.2018 10:00,246,0
08.01.2018 10:00 - 08.01.2018 11:00,222,0
08.01.2018 11:00 - 08.01.2018 12:00,220,0
08.01.2018 12:00 - 08.01.2018 13:00,220,0
08.01.2018 13:00 - 08.01.2018 14:00,214,0
08.01.2018 14:00 - 08.01.2018 15:00,232,0
08.01.2018 15:00 - 08.01.2018 16:00,247,0
08.01.2018 16:00 - 08.01.2018 17:00,234,0
08.01.2018 17:00 - 08.01.2018 18:00,237,0
08.01.2018 18:00 - 08.01.2018 19:00,241,0
08.01.2018 19:00 - 08.01.2018 20:00,188,0
08.01.2018 20:00 - 08.01.2018 21:00,166,0
08.01.2018 21:00 - 08.01.2018 22:00,183,0
08.01.2018 22:00 - 08.01.2018 23:00,221,0
08.01.2018 23:00 - 09.01.2018 00:00,219,0
09.01.2018 00:00 - 09.01.2018 01:00,220,0
09.01.2018 01:00 - 09.01.2018 02:00,210,0
09.01.2018 02:00 - 09.01.2018 03:00,187,0
09.01.2018 03:00 - 09.01.2018 04:00,196,0
09.01.2018 04:00 - 09.01.2018 05:00,175,0
09.01.2018 05:00 - 09.01.2018 06:00,187,0
09.01.2018 06:00 - 09.01.2018 07:00,205,0
09.01.2018 07:00 - 09.01.2018 08:00,219,0
09.01.2018 08:00 - 09.01.2018 09:00,211,0
09.01.2018 09:00 - 09.01.2018 10:00,210,0
09.01.2018 10:00 - 09.01.2018 11:00,199,0
09.01.2018 11:00 - 09.01.2018 12:00,212,0
09.01.2018 12:00 - 09.01.2018 13:00,197,0
09.01.2018 13:00 - 09.01.2018 14:00,186,0
09.01.2018 14:00 - 09.01.2018 15:00,194,0
09.01.2018 15:00 - 09.01.2018 16:00,203,0
09.01.2018 16:00 - 09.01.2018 17:00,189,0
09.01.2018 17:00 - 09.01.2018 18:00,162,0
09.01.2018 18:00 - 09.01.2018 19:00,146,0
09.01.2018 19:00 - 09.01.2018 20:00,78,0
09.01.2018 20:00 - 09.01.2018 21:00,52,0
09.01.2018 21:00 - 09.01.2018 22:00,70,0
09.01.2018 22:00 - 09.01.2018 23:00,117,0
09.01.2018 23:00 - 10.01.2018 00:00,148,0
10.01.2018 00:00 - 10.01.2018 01:00,151,0
10.01.2018 01:00 - 10.01.2018 02:00,155,0
10.01.2018 02:00 - 10.01.2018 03:00,175,0
10.01.2018 03:00 - 10.01.2018 04:00,170,0
10.01.2018 04:00 - 10.01.2018 05:00,202,0
10.01.2018 05:00 - 10.01.2018 06:00,206,0
10.01.2018 06:00 - 10.01.2018 07:00,167,0
10.01.2018 07:00 - 10.01.2018 08:00,202,0
10.01.2018 08:00 - 10.01.2018 09:00,193,0
10.01.2018 09:00 - 10.01.2018 10:00,183,0
10.01.2018 10:00 - 10.01.2018 11:00,187,0
10.01.2018 11:00 - 10.01.2018 12:00,158,0
10.01.2018 12:00 - 10.01.2018 13:00,138,0
10.01.2018 13:00 - 10.01.2018 14:00,117,0
10.01.2018 14:00 - 10.01.2018 15:00,91,0
10.01.2018 15:00 - 10.01.2018 16:00,150,0
10.01.2018 16:00 - 10.01.2018 17:00,143,0
10.01.2018 17:00 - 10.01.2018 18:00,139,0
10.01.2018 18:00 - 10.01.2018 19:00,120,0
10.01.2018 19:00 - 10.01.2018 20:00,32,0
10.01.2018 20:00 - 10.01.2018 21:00,71,0
10.01.2018 21:00 - 10.01.2018 22:00,109,0
10.01.2018 22:00 - 10.01.2018 23:00,141,0
10.01.2018 23:00 - 11.01.2018 00:00,102,0
11.01.2018 00:00 - 11.01.2018 01:00,124,0
11.01.2018 01:00 - 11.01.2018 02:00,135,0
11.01.2018 02:00 - 11.01.2018 03:00,141,0
11.01.2018 03:00 - 11.01.2018 04:00,159,0
11.01.2018 04:00 - 11.01.2018 05:00,138,0
11.01.2018 05:00 - 11.01.2018 06:00,176,0
11.01.2018 06:00 - 11.01.2018 07:00,133,0
11.01.2018 07:00 - 11.01.2018 08:00,173,0
11.01.2018 08:00 - 11.01.2018 09:00,146,0
11.01.2018 09:00 - 11.01.2018 10:00,161,0
11.01.2018 10:00 - 11.01.2018 11:00,147,0
11.01.2018 11:00 - 11.01.2018 12:00,150,0
11.01.2018 12:00 - 11.01.2018 13:00,160,0
11.01.2018 13:00 - 11.01.2018 14:00,144,0
11.01.2018 14:00 - 11.01.2018 15:00,118,0
11.01.2018 15:00 - 11.01.2018 16:00,173,0
11.01.2018 16:00 - 11.01.2018 17:00,151,0
11.01.2018 17:00 - 11.01.2018 18:00,137,0
11.01.2018 18:00 - 11.01.2018 19:00,119,0
11.01.2018 19:00 - 11.01.2018 20:00,66,0
11.01.2018 20:00 - 11.01.2018 21:00,63,0
11.01.2018 21:00 - 11.01.2018 22:00,120,0
11.01.2018 22:00 - 11.01.2018 23:00,133,0
11.01.2018 23:00 - 12.01.2018 00:00,78,0
12.01.2018 00:00 - 12.01.2018 01:00,70,0
12.01.2018 01:00 - 12.01.2018 02:00,77,0
12.01.2018 02:00 - 12.01.2018 03:00,90,0
12.01.2018 03:00 - 12.01.2018 04:00,108,0
12.01.2018 04:00 - 12.01.2018 05:00,120,0
12.01.2018 05:00 - 12.01.2018 06:00,139,0
12.01.2018 06:00 - 12.01.2018 07:00,107,0
12.01.2018 07:00 - 12.01.2018 08:00,169,0
12.01.2018 08:00 - 12.01.2018 09:00,183,0
12.01.2018 09:00 - 12.01.2018 10:00,189,0
12.01.2018 10:00 - 12.01.2018 11:00,173,0
12.01.2018 11:00 - 12.01.2018 12:00,161,0
12.01.2018 12:00 - 12.01.2018 13:00,144,0
12.01.2018 13:00 - 12.01.2018 14:00,139,0
12.01.2018 14:00 - 12.01.2018 15:00,116,0
12.01.2018 15:00 - 12.01.2018 16:00,150,0
12.01.2018 16:00 - 12.01.2018 17:00,138,0
12.01.2018 17:00 - 12.01.2018 18:00,137,0
12.01.2018 18:00 - 12.01.2018 19:00,114,0
12.01.2018 19:00 - 12.01.2018 20:00,69,0
12.01.2018 20:00 - 12.01.2018 21:00,75,0
