"Time (WET)","Bosnia and Herz. (BA) > Croatia (HR) [MW]","Croatia (HR) > Bosnia and Herz. (BA) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","248"
"01.01.2018 01:00 - 01.01.2018 02:00","0","319"
"01.01.2018 02:00 - 01.01.2018 03:00","0","353"
"01.01.2018 03:00 - 01.01.2018 04:00","0","360"
"01.01.2018 04:00 - 01.01.2018 05:00","0","389"
"01.01.2018 05:00 - 01.01.2018 06:00","0","404"
"01.01.2018 06:00 - 01.01.2018 07:00","0","371"
"01.01.2018 07:00 - 01.01.2018 08:00","0","398"
"01.01.2018 08:00 - 01.01.2018 09:00","0","360"
"01.01.2018 09:00 - 01.01.2018 10:00","0","394"
"01.01.2018 10:00 - 01.01.2018 11:00","0","337"
"01.01.2018 11:00 - 01.01.2018 12:00","0","302"
"01.01.2018 12:00 - 01.01.2018 13:00","0","285"
"01.01.2018 13:00 - 01.01.2018 14:00","0","343"
"01.01.2018 14:00 - 01.01.2018 15:00","0","463"
"01.01.2018 15:00 - 01.01.2018 16:00","0","334"
"01.01.2018 16:00 - 01.01.2018 17:00","0","60"
"01.01.2018 17:00 - 01.01.2018 18:00","29","0"
"01.01.2018 18:00 - 01.01.2018 19:00","122","0"
"01.01.2018 19:00 - 01.01.2018 20:00","0","21"
"01.01.2018 20:00 - 01.01.2018 21:00","0","14"
"01.01.2018 21:00 - 01.01.2018 22:00","0","48"
"01.01.2018 22:00 - 01.01.2018 23:00","0","109"
"01.01.2018 23:00 - 02.01.2018 00:00","0","9"
"02.01.2018 00:00 - 02.01.2018 01:00","88","0"
"02.01.2018 01:00 - 02.01.2018 02:00","137","0"
"02.01.2018 02:00 - 02.01.2018 03:00","220","0"
"02.01.2018 03:00 - 02.01.2018 04:00","161","0"
"02.01.2018 04:00 - 02.01.2018 05:00","198","0"
"02.01.2018 05:00 - 02.01.2018 06:00","179","0"
"02.01.2018 06:00 - 02.01.2018 07:00","235","0"
"02.01.2018 07:00 - 02.01.2018 08:00","296","0"
"02.01.2018 08:00 - 02.01.2018 09:00","330","0"
"02.01.2018 09:00 - 02.01.2018 10:00","324","0"
"02.01.2018 10:00 - 02.01.2018 11:00","294","0"
"02.01.2018 11:00 - 02.01.2018 12:00","264","0"
"02.01.2018 12:00 - 02.01.2018 13:00","365","0"
"02.01.2018 13:00 - 02.01.2018 14:00","325","0"
"02.01.2018 14:00 - 02.01.2018 15:00","522","0"
"02.01.2018 15:00 - 02.01.2018 16:00","439","0"
"02.01.2018 16:00 - 02.01.2018 17:00","557","0"
"02.01.2018 17:00 - 02.01.2018 18:00","524","0"
"02.01.2018 18:00 - 02.01.2018 19:00","451","0"
"02.01.2018 19:00 - 02.01.2018 20:00","234","0"
"02.01.2018 20:00 - 02.01.2018 21:00","111","0"
"02.01.2018 21:00 - 02.01.2018 22:00","0","29"
"02.01.2018 22:00 - 02.01.2018 23:00","0","13"
"02.01.2018 23:00 - 03.01.2018 00:00","0","27"
"03.01.2018 00:00 - 03.01.2018 01:00","18","0"
"03.01.2018 01:00 - 03.01.2018 02:00","0","22"
"03.01.2018 02:00 - 03.01.2018 03:00","0","44"
"03.01.2018 03:00 - 03.01.2018 04:00","5","0"
"03.01.2018 04:00 - 03.01.2018 05:00","36","0"
"03.01.2018 05:00 - 03.01.2018 06:00","103","0"
"03.01.2018 06:00 - 03.01.2018 07:00","184","0"
"03.01.2018 07:00 - 03.01.2018 08:00","190","0"
"03.01.2018 08:00 - 03.01.2018 09:00","189","0"
"03.01.2018 09:00 - 03.01.2018 10:00","240","0"
"03.01.2018 10:00 - 03.01.2018 11:00","299","0"
"03.01.2018 11:00 - 03.01.2018 12:00","290","0"
"03.01.2018 12:00 - 03.01.2018 13:00","210","0"
"03.01.2018 13:00 - 03.01.2018 14:00","215","0"
"03.01.2018 14:00 - 03.01.2018 15:00","198","0"
"03.01.2018 15:00 - 03.01.2018 16:00","178","0"
"03.01.2018 16:00 - 03.01.2018 17:00","286","0"
"03.01.2018 17:00 - 03.01.2018 18:00","292","0"
"03.01.2018 18:00 - 03.01.2018 19:00","334","0"
"03.01.2018 19:00 - 03.01.2018 20:00","269","0"
"03.01.2018 20:00 - 03.01.2018 21:00","78","0"
"03.01.2018 21:00 - 03.01.2018 22:00","0","64"
"03.01.2018 22:00 - 03.01.2018 23:00","0","120"
"03.01.2018 23:00 - 04.01.2018 00:00","0","209"
"04.01.2018 00:00 - 04.01.2018 01:00","0","238"
"04.01.2018 01:00 - 04.01.2018 02:00","0","310"
"04.01.2018 02:00 - 04.01.2018 03:00","0","315"
"04.01.2018 03:00 - 04.01.2018 04:00","0","265"
"04.01.2018 04:00 - 04.01.2018 05:00","0","148"
"04.01.2018 05:00 - 04.01.2018 06:00","0","66"
"04.01.2018 06:00 - 04.01.2018 07:00","292","0"
