Time (WET),Croatia (HR) > Hungary (HU) [MW],Hungary (HU) > Croatia (HR) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,0,1115
01.01.2018 01:00 - 01.01.2018 02:00,0,1142
01.01.2018 02:00 - 01.01.2018 03:00,0,1109
01.01.2018 03:00 - 01.01.2018 04:00,0,1060
01.01.2018 04:00 - 01.01.2018 05:00,0,998
01.01.2018 05:00 - 01.01.2018 06:00,0,972
01.01.2018 06:00 - 01.01.2018 07:00,0,916
01.01.2018 07:00 - 01.01.2018 08:00,0,870
01.01.2018 08:00 - 01.01.2018 09:00,0,808
01.01.2018 09:00 - 01.01.2018 10:00,0,860
01.01.2018 10:00 - 01.01.2018 11:00,0,858
01.01.2018 11:00 - 01.01.2018 12:00,0,823
01.01.2018 12:00 - 01.01.2018 13:00,0,777
01.01.2018 13:00 - 01.01.2018 14:00,0,643
01.01.2018 14:00 - 01.01.2018 15:00,0,597
01.01.2018 15:00 - 01.01.2018 16:00,0,398
01.01.2018 16:00 - 01.01.2018 17:00,0,333
01.01.2018 17:00 - 01.01.2018 18:00,0,347
01.01.2018 18:00 - 01.01.2018 19:00,0,396
01.01.2018 19:00 - 01.01.2018 20:00,0,568
01.01.2018 20:00 - 01.01.2018 21:00,0,608
01.01.2018 21:00 - 01.01.2018 22:00,0,574
01.01.2018 22:00 - 01.01.2018 23:00,0,614
01.01.2018 23:00 - 02.01.2018 00:00,0,644
02.01.2018 00:00 - 02.01.2018 01:00,0,601
02.01.2018 01:00 - 02.01.2018 02:00,0,631
02.01.2018 02:00 - 02.01.2018 03:00,0,605
02.01.2018 03:00 - 02.01.2018 04:00,0,605
02.01.2018 04:00 - 02.01.2018 05:00,0,635
02.01.2018 05:00 - 02.01.2018 06:00,0,515
02.01.2018 06:00 - 02.01.2018 07:00,0,425
02.01.2018 07:00 - 02.01.2018 08:00,0,342
02.01.2018 08:00 - 02.01.2018 09:00,0,311
02.01.2018 09:00 - 02.01.2018 10:00,0,290
02.01.2018 10:00 - 02.01.2018 11:00,0,302
02.01.2018 11:00 - 02.01.2018 12:00,0,166
02.01.2018 12:00 - 02.01.2018 13:00,0,170
02.01.2018 13:00 - 02.01.2018 14:00,0,154
02.01.2018 14:00 - 02.01.2018 15:00,0,95
02.01.2018 15:00 - 02.01.2018 16:00,0,84
02.01.2018 16:00 - 02.01.2018 17:00,0,65
02.01.2018 17:00 - 02.01.2018 18:00,0,162
02.01.2018 18:00 - 02.01.2018 19:00,0,108
02.01.2018 19:00 - 02.01.2018 20:00,0,290
02.01.2018 20:00 - 02.01.2018 21:00,0,440
02.01.2018 21:00 - 02.01.2018 22:00,0,650
02.01.2018 22:00 - 02.01.2018 23:00,0,736
02.01.2018 23:00 - 03.01.2018 00:00,0,728
03.01.2018 00:00 - 03.01.2018 01:00,0,715
03.01.2018 01:00 - 03.01.2018 02:00,0,660
03.01.2018 02:00 - 03.01.2018 03:00,0,702
03.01.2018 03:00 - 03.01.2018 04:00,0,644
03.01.2018 04:00 - 03.01.2018 05:00,0,700
03.01.2018 05:00 - 03.01.2018 06:00,0,563
03.01.2018 06:00 - 03.01.2018 07:00,0,604
03.01.2018 07:00 - 03.01.2018 08:00,0,581
03.01.2018 08:00 - 03.01.2018 09:00,0,491
03.01.2018 09:00 - 03.01.2018 10:00,0,452
03.01.2018 10:00 - 03.01.2018 11:00,0,426
03.01.2018 11:00 - 03.01.2018 12:00,0,387
03.01.2018 12:00 - 03.01.2018 13:00,0,399
03.01.2018 13:00 - 03.01.2018 14:00,0,401
03.01.2018 14:00 - 03.01.2018 15:00,0,424
03.01.2018 15:00 - 03.01.2018 16:00,0,404
03.01.2018 16:00 - 03.01.2018 17:00,0,446
03.01.2018 17:00 - 03.01.2018 18:00,0,505
03.01.2018 18:00 - 03.01.2018 19:00,0,484
