Time (WET),Belarus (BY) > Lithuania (LT) [MW],Lithuania (LT) > Belarus (BY) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,26,0
01.01.2018 01:00 - 01.01.2018 02:00,32,0
01.01.2018 02:00 - 01.01.2018 03:00,0,64
01.01.2018 03:00 - 01.01.2018 04:00,0,107
01.01.2018 04:00 - 01.01.2018 05:00,0,177
01.01.2018 05:00 - 01.01.2018 06:00,0,34
01.01.2018 06:00 - 01.01.2018 07:00,0,32
01.01.2018 07:00 - 01.01.2018 08:00,0,199
01.01.2018 08:00 - 01.01.2018 09:00,0,311
01.01.2018 09:00 - 01.01.2018 10:00,0,201
01.01.2018 10:00 - 01.01.2018 11:00,0,212
01.01.2018 11:00 - 01.01.2018 12:00,0,182
01.01.2018 12:00 - 01.01.2018 13:00,0,166
01.01.2018 13:00 - 01.01.2018 14:00,0,110
01.01.2018 14:00 - 01.01.2018 15:00,0,118
01.01.2018 15:00 - 01.01.2018 16:00,0,116
01.01.2018 16:00 - 01.01.2018 17:00,0,33
01.01.2018 17:00 - 01.01.2018 18:00,0,16
01.01.2018 18:00 - 01.01.2018 19:00,6,0
01.01.2018 19:00 - 01.01.2018 20:00,23,0
01.01.2018 20:00 - 01.01.2018 21:00,39,0
01.01.2018 21:00 - 01.01.2018 22:00,112,0
01.01.2018 22:00 - 01.01.2018 23:00,1,0
01.01.2018 23:00 - 02.01.2018 00:00,0,163
02.01.2018 00:00 - 02.01.2018 01:00,0,189
02.01.2018 01:00 - 02.01.2018 02:00,0,132
02.01.2018 02:00 - 02.01.2018 03:00,0,206
02.01.2018 03:00 - 02.01.2018 04:00,0,206
02.01.2018 04:00 - 02.01.2018 05:00,0,152
02.01.2018 05:00 - 02.01.2018 06:00,19,0
02.01.2018 06:00 - 02.01.2018 07:00,31,0
02.01.2018 07:00 - 02.01.2018 08:00,147,0
02.01.2018 08:00 - 02.01.2018 09:00,286,0
02.01.2018 09:00 - 02.01.2018 10:00,290,0
02.01.2018 10:00 - 02.01.2018 11:00,280,0
02.01.2018 11:00 - 02.01.2018 12:00,326,0
02.01.2018 12:00 - 02.01.2018 13:00,277,0
02.01.2018 13:00 - 02.01.2018 14:00,334,0
02.01.2018 14:00 - 02.01.2018 15:00,280,0
02.01.2018 15:00 - 02.01.2018 16:00,253,0
02.01.2018 16:00 - 02.01.2018 17:00,213,0
02.01.2018 17:00 - 02.01.2018 18:00,362,0
02.01.2018 18:00 - 02.01.2018 19:00,378,0
02.01.2018 19:00 - 02.01.2018 20:00,292,0
02.01.2018 20:00 - 02.01.2018 21:00,188,0
02.01.2018 21:00 - 02.01.2018 22:00,228,0
02.01.2018 22:00 - 02.01.2018 23:00,188,0
02.01.2018 23:00 - 03.01.2018 00:00,54,0
03.01.2018 00:00 - 03.01.2018 01:00,31,0
03.01.2018 01:00 - 03.01.2018 02:00,0,48
03.01.2018 02:00 - 03.01.2018 03:00,0,69
03.01.2018 03:00 - 03.01.2018 04:00,0,78
03.01.2018 04:00 - 03.01.2018 05:00,0,57
03.01.2018 05:00 - 03.01.2018 06:00,44,0
03.01.2018 06:00 - 03.01.2018 07:00,135,0
03.01.2018 07:00 - 03.01.2018 08:00,190,0
03.01.2018 08:00 - 03.01.2018 09:00,253,0
03.01.2018 09:00 - 03.01.2018 10:00,287,0
03.01.2018 10:00 - 03.01.2018 11:00,214,0
03.01.2018 11:00 - 03.01.2018 12:00,240,0
03.01.2018 12:00 - 03.01.2018 13:00,199,0
03.01.2018 13:00 - 03.01.2018 14:00,224,0
03.01.2018 14:00 - 03.01.2018 15:00,282,0
03.01.2018 15:00 - 03.01.2018 16:00,340,0
03.01.2018 16:00 - 03.01.2018 17:00,256,0
03.01.2018 17:00 - 03.01.2018 18:00,205,0
03.01.2018 18:00 - 03.01.2018 19:00,201,0
03.01.2018 19:00 - 03.01.2018 20:00,208,0
03.01.2018 20:00 - 03.01.2018 21:00,146,0
03.01.2018 21:00 - 03.01.2018 22:00,29,0
03.01.2018 22:00 - 03.01.2018 23:00,0,20
03.01.2018 23:00 - 04.01.2018 00:00,0,69
04.01.2018 00:00 - 04.01.2018 01:00,0,42
04.01.2018 01:00 - 04.01.2018 02:00,0,79
04.01.2018 02:00 - 04.01.2018 03:00,0,110
04.01.2018 03:00 - 04.01.2018 04:00,0,103
04.01.2018 04:00 - 04.01.2018 05:00,0,113
04.01.2018 05:00 - 04.01.2018 06:00,0,64
04.01.2018 06:00 - 04.01.2018 07:00,48,0
04.01.2018 07:00 - 04.01.2018 08:00,276,0
04.01.2018 08:00 - 04.01.2018 09:00,358,0
04.01.2018 09:00 - 04.01.2018 10:00,267,0
04.01.2018 10:00 - 04.01.2018 11:00,N/A,N/A
04.01.2018 11:00 - 04.01.2018 12:00,N/A,N/A
04.01.2018 12:00 - 04.01.2018 13:00,N/A,N/A
04.01.2018 13:00 - 04.01.2018 14:00,N/A,N/A
04.01.2018 14:00 - 04.01.2018 15:00,N/A,N/A
04.01.2018 15:00 - 04.01.2018 16:00,248,0
04.01.2018 16:00 - 04.01.2018 17:00,312,0
04.01.2018 17:00 - 04.01.2018 18:00,301,0
04.01.2018 18:00 - 04.01.2018 19:00,266,0
04.01.2018 19:00 - 04.01.2018 20:00,228,0
04.01.2018 20:00 - 04.01.2018 21:00,176,0
04.01.2018 21:00 - 04.01.2018 22:00,229,0
04.01.2018 22:00 - 04.01.2018 23:00,0,5
04.01.2018 23:00 - 05.01.2018 00:00,0,69
05.01.2018 00:00 - 05.01.2018 01:00,0,29
05.01.2018 01:00 - 05.01.2018 02:00,0,36
05.01.2018 02:00 - 05.01.2018 03:00,0,1
05.01.2018 03:00 - 05.01.2018 04:00,0,125
05.01.2018 04:00 - 05.01.2018 05:00,0,122
05.01.2018 05:00 - 05.01.2018 06:00,0,127
05.01.2018 06:00 - 05.01.2018 07:00,45,0
05.01.2018 07:00 - 05.01.2018 08:00,235,0
05.01.2018 08:00 - 05.01.2018 09:00,318,0
05.01.2018 09:00 - 05.01.2018 10:00,364,0
05.01.2018 10:00 - 05.01.2018 11:00,390,0
05.01.2018 11:00 - 05.01.2018 12:00,425,0
05.01.2018 12:00 - 05.01.2018 13:00,433,0
05.01.2018 13:00 - 05.01.2018 14:00,437,0
05.01.2018 14:00 - 05.01.2018 15:00,429,0
05.01.2018 15:00 - 05.01.2018 16:00,429,0
05.01.2018 16:00 - 05.01.2018 17:00,347,0
05.01.2018 17:00 - 05.01.2018 18:00,309,0
05.01.2018 18:00 - 05.01.2018 19:00,245,0
05.01.2018 19:00 - 05.01.2018 20:00,193,0
05.01.2018 20:00 - 05.01.2018 21:00,63,0
05.01.2018 21:00 - 05.01.2018 22:00,143,0
05.01.2018 22:00 - 05.01.2018 23:00,112,0
05.01.2018 23:00 - 06.01.2018 00:00,0,9
06.01.2018 00:00 - 06.01.2018 01:00,0,115
06.01.2018 01:00 - 06.01.2018 02:00,0,144
06.01.2018 02:00 - 06.01.2018 03:00,0,192
06.01.2018 03:00 - 06.01.2018 04:00,0,258
06.01.2018 04:00 - 06.01.2018 05:00,0,253
06.01.2018 05:00 - 06.01.2018 06:00,0,267
06.01.2018 06:00 - 06.01.2018 07:00,0,204
06.01.2018 07:00 - 06.01.2018 08:00,0,154
06.01.2018 08:00 - 06.01.2018 09:00,0,33
06.01.2018 09:00 - 06.01.2018 10:00,105,0
06.01.2018 10:00 - 06.01.2018 11:00,162,0
06.01.2018 11:00 - 06.01.2018 12:00,189,0
06.01.2018 12:00 - 06.01.2018 13:00,181,0
06.01.2018 13:00 - 06.01.2018 14:00,161,0
06.01.2018 14:00 - 06.01.2018 15:00,106,0
06.01.2018 15:00 - 06.01.2018 16:00,183,0
06.01.2018 16:00 - 06.01.2018 17:00,209,0
06.01.2018 17:00 - 06.01.2018 18:00,278,0
06.01.2018 18:00 - 06.01.2018 19:00,314,0
06.01.2018 19:00 - 06.01.2018 20:00,262,0
