"Time (WET)","Russia (RU) > Lithuania (LT) [MW]","Lithuania (LT) > Russia (RU) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","114","0"
"01.01.2018 01:00 - 01.01.2018 02:00","133","0"
"01.01.2018 02:00 - 01.01.2018 03:00","148","0"
"01.01.2018 03:00 - 01.01.2018 04:00","155","0"
"01.01.2018 04:00 - 01.01.2018 05:00","155","0"
"01.01.2018 05:00 - 01.01.2018 06:00","148","0"
"01.01.2018 06:00 - 01.01.2018 07:00","145","0"
"01.01.2018 07:00 - 01.01.2018 08:00","300","0"
"01.01.2018 08:00 - 01.01.2018 09:00","438","0"
"01.01.2018 09:00 - 01.01.2018 10:00","404","0"
"01.01.2018 10:00 - 01.01.2018 11:00","408","0"
"01.01.2018 11:00 - 01.01.2018 12:00","404","0"
"01.01.2018 12:00 - 01.01.2018 13:00","402","0"
"01.01.2018 13:00 - 01.01.2018 14:00","404","0"
"01.01.2018 14:00 - 01.01.2018 15:00","390","0"
"01.01.2018 15:00 - 01.01.2018 16:00","359","0"
"01.01.2018 16:00 - 01.01.2018 17:00","356","0"
"01.01.2018 17:00 - 01.01.2018 18:00","359","0"
"01.01.2018 18:00 - 01.01.2018 19:00","363","0"
"01.01.2018 19:00 - 01.01.2018 20:00","370","0"
"01.01.2018 20:00 - 01.01.2018 21:00","386","0"
"01.01.2018 21:00 - 01.01.2018 22:00","413","0"
"01.01.2018 22:00 - 01.01.2018 23:00","442","0"
"01.01.2018 23:00 - 02.01.2018 00:00","468","0"
"02.01.2018 00:00 - 02.01.2018 01:00","483","0"
"02.01.2018 01:00 - 02.01.2018 02:00","489","0"
"02.01.2018 02:00 - 02.01.2018 03:00","493","0"
"02.01.2018 03:00 - 02.01.2018 04:00","488","0"
"02.01.2018 04:00 - 02.01.2018 05:00","476","0"
"02.01.2018 05:00 - 02.01.2018 06:00","454","0"
"02.01.2018 06:00 - 02.01.2018 07:00","437","0"
"02.01.2018 07:00 - 02.01.2018 08:00","411","0"
"02.01.2018 08:00 - 02.01.2018 09:00","384","0"
"02.01.2018 09:00 - 02.01.2018 10:00","370","0"
"02.01.2018 10:00 - 02.01.2018 11:00","365","0"
"02.01.2018 11:00 - 02.01.2018 12:00","370","0"
"02.01.2018 12:00 - 02.01.2018 13:00","374","0"
"02.01.2018 13:00 - 02.01.2018 14:00","377","0"
"02.01.2018 14:00 - 02.01.2018 15:00","362","0"
"02.01.2018 15:00 - 02.01.2018 16:00","332","0"
"02.01.2018 16:00 - 02.01.2018 17:00","331","0"
"02.01.2018 17:00 - 02.01.2018 18:00","335","0"
"02.01.2018 18:00 - 02.01.2018 19:00","343","0"
