Time (WET),Serbia (RS) > Montenegro (ME) [MW],Montenegro (ME) > Serbia (RS) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,0,126
01.01.2018 01:00 - 01.01.2018 02:00,0,136
01.01.2018 02:00 - 01.01.2018 03:00,0,154
01.01.2018 03:00 - 01.01.2018 04:00,0,160
01.01.2018 04:00 - 01.01.2018 05:00,0,179
01.01.2018 05:00 - 01.01.2018 06:00,0,220
01.01.2018 06:00 - 01.01.2018 07:00,0,204
01.01.2018 07:00 - 01.01.2018 08:00,0,196
01.01.2018 08:00 - 01.01.2018 09:00,0,185
01.01.2018 09:00 - 01.01.2018 10:00,0,180
01.01.2018 10:00 - 01.01.2018 11:00,0,156
01.01.2018 11:00 - 01.01.2018 12:00,0,153
01.01.2018 12:00 - 01.01.2018 13:00,0,155
01.01.2018 13:00 - 01.01.2018 14:00,0,184
01.01.2018 14:00 - 01.01.2018 15:00,0,228
01.01.2018 15:00 - 01.01.2018 16:00,0,200
01.01.2018 16:00 - 01.01.2018 17:00,0,208
01.01.2018 17:00 - 01.01.2018 18:00,0,195
01.01.2018 18:00 - 01.01.2018 19:00,0,172
01.01.2018 19:00 - 01.01.2018 20:00,0,84
01.01.2018 20:00 - 01.01.2018 21:00,0,80
01.01.2018 21:00 - 01.01.2018 22:00,0,98
01.01.2018 22:00 - 01.01.2018 23:00,0,135
01.01.2018 23:00 - 02.01.2018 00:00,0,32
02.01.2018 00:00 - 02.01.2018 01:00,0,12
02.01.2018 01:00 - 02.01.2018 02:00,3,0
02.01.2018 02:00 - 02.01.2018 03:00,16,0
02.01.2018 03:00 - 02.01.2018 04:00,5,0
02.01.2018 04:00 - 02.01.2018 05:00,32,0
02.01.2018 05:00 - 02.01.2018 06:00,1,0
02.01.2018 06:00 - 02.01.2018 07:00,0,21
02.01.2018 07:00 - 02.01.2018 08:00,0,126
02.01.2018 08:00 - 02.01.2018 09:00,0,117
02.01.2018 09:00 - 02.01.2018 10:00,0,110
02.01.2018 10:00 - 02.01.2018 11:00,0,107
02.01.2018 11:00 - 02.01.2018 12:00,0,129
02.01.2018 12:00 - 02.01.2018 13:00,0,102
