Time (WET),Ukraine (UA) > Romania (RO) [MW],Romania (RO) > Ukraine (UA) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,521,0
01.01.2018 01:00 - 01.01.2018 02:00,545,0
01.01.2018 02:00 - 01.01.2018 03:00,545,0
01.01.2018 03:00 - 01.01.2018 04:00,526,0
01.01.2018 04:00 - 01.01.2018 05:00,548,0
01.01.2018 05:00 - 01.01.2018 06:00,556,0
01.01.2018 06:00 - 01.01.2018 07:00,556,0
01.01.2018 07:00 - 01.01.2018 08:00,526,0
01.01.2018 08:00 - 01.01.2018 09:00,421,0
01.01.2018 09:00 - 01.01.2018 10:00,394,0
01.01.2018 10:00 - 01.01.2018 11:00,359,0
01.01.2018 11:00 - 01.01.2018 12:00,318,0
01.01.2018 12:00 - 01.01.2018 13:00,303,0
01.01.2018 13:00 - 01.01.2018 14:00,302,0
01.01.2018 14:00 - 01.01.2018 15:00,326,0
01.01.2018 15:00 - 01.01.2018 16:00,232,0
01.01.2018 16:00 - 01.01.2018 17:00,127,0
01.01.2018 17:00 - 01.01.2018 18:00,114,0
01.01.2018 18:00 - 01.01.2018 19:00,132,0
01.01.2018 19:00 - 01.01.2018 20:00,171,0
01.01.2018 20:00 - 01.01.2018 21:00,161,0
01.01.2018 21:00 - 01.01.2018 22:00,147,0
01.01.2018 22:00 - 01.01.2018 23:00,151,0
01.01.2018 23:00 - 02.01.2018 00:00,90,0
02.01.2018 00:00 - 02.01.2018 01:00,59,0
02.01.2018 01:00 - 02.01.2018 02:00,46,0
02.01.2018 02:00 - 02.01.2018 03:00,39,0
02.01.2018 03:00 - 02.01.2018 04:00,69,0
02.01.2018 04:00 - 02.01.2018 05:00,81,0
02.01.2018 05:00 - 02.01.2018 06:00,72,0
02.01.2018 06:00 - 02.01.2018 07:00,51,0
02.01.2018 07:00 - 02.01.2018 08:00,0,54
02.01.2018 08:00 - 02.01.2018 09:00,0,72
02.01.2018 09:00 - 02.01.2018 10:00,0,42
02.01.2018 10:00 - 02.01.2018 11:00,0,40
02.01.2018 11:00 - 02.01.2018 12:00,0,69
02.01.2018 12:00 - 02.01.2018 13:00,0,86
02.01.2018 13:00 - 02.01.2018 14:00,0,60
02.01.2018 14:00 - 02.01.2018 15:00,0,58
02.01.2018 15:00 - 02.01.2018 16:00,1,0
02.01.2018 16:00 - 02.01.2018 17:00,0,55
02.01.2018 17:00 - 02.01.2018 18:00,0,22
02.01.2018 18:00 - 02.01.2018 19:00,0,13
02.01.2018 19:00 - 02.01.2018 20:00,1,0
02.01.2018 20:00 - 02.01.2018 21:00,43,0
02.01.2018 21:00 - 02.01.2018 22:00,126,0
02.01.2018 22:00 - 02.01.2018 23:00,140,0
02.01.2018 23:00 - 03.01.2018 00:00,180,0
03.01.2018 00:00 - 03.01.2018 01:00,172,0
03.01.2018 01:00 - 03.01.2018 02:00,175,0
03.01.2018 02:00 - 03.01.2018 03:00,230,0
03.01.2018 03:00 - 03.01.2018 04:00,212,0
03.01.2018 04:00 - 03.01.2018 05:00,249,0
03.01.2018 05:00 - 03.01.2018 06:00,230,0
03.01.2018 06:00 - 03.01.2018 07:00,245,0
03.01.2018 07:00 - 03.01.2018 08:00,263,0
03.01.2018 08:00 - 03.01.2018 09:00,249,0
03.01.2018 09:00 - 03.01.2018 10:00,211,0
03.01.2018 10:00 - 03.01.2018 11:00,166,0
03.01.2018 11:00 - 03.01.2018 12:00,182,0
03.01.2018 12:00 - 03.01.2018 13:00,192,0
03.01.2018 13:00 - 03.01.2018 14:00,211,0
03.01.2018 14:00 - 03.01.2018 15:00,250,0
03.01.2018 15:00 - 03.01.2018 16:00,279,0
03.01.2018 16:00 - 03.01.2018 17:00,318,0
03.01.2018 17:00 - 03.01.2018 18:00,367,0
03.01.2018 18:00 - 03.01.2018 19:00,338,0
03.01.2018 19:00 - 03.01.2018 20:00,279,0
03.01.2018 20:00 - 03.01.2018 21:00,284,0
03.01.2018 21:00 - 03.01.2018 22:00,321,0
03.01.2018 22:00 - 03.01.2018 23:00,323,0
03.01.2018 23:00 - 04.01.2018 00:00,358,0
04.01.2018 00:00 - 04.01.2018 01:00,382,0
04.01.2018 01:00 - 04.01.2018 02:00,407,0
04.01.2018 02:00 - 04.01.2018 03:00,447,0
04.01.2018 03:00 - 04.01.2018 04:00,440,0
04.01.2018 04:00 - 04.01.2018 05:00,439,0
04.01.2018 05:00 - 04.01.2018 06:00,432,0
04.01.2018 06:00 - 04.01.2018 07:00,312,0
04.01.2018 07:00 - 04.01.2018 08:00,323,0
04.01.2018 08:00 - 04.01.2018 09:00,359,0
04.01.2018 09:00 - 04.01.2018 10:00,362,0
04.01.2018 10:00 - 04.01.2018 11:00,363,0
04.01.2018 11:00 - 04.01.2018 12:00,320,0
04.01.2018 12:00 - 04.01.2018 13:00,0,0
04.01.2018 13:00 - 04.01.2018 14:00,285,0
04.01.2018 14:00 - 04.01.2018 15:00,278,0
04.01.2018 15:00 - 04.01.2018 16:00,304,0
04.01.2018 16:00 - 04.01.2018 17:00,303,0
04.01.2018 17:00 - 04.01.2018 18:00,289,0
04.01.2018 18:00 - 04.01.2018 19:00,281,0
04.01.2018 19:00 - 04.01.2018 20:00,281,0
04.01.2018 20:00 - 04.01.2018 21:00,253,0
04.01.2018 21:00 - 04.01.2018 22:00,321,0
04.01.2018 22:00 - 04.01.2018 23:00,310,0
04.01.2018 23:00 - 05.01.2018 00:00,390,0
05.01.2018 00:00 - 05.01.2018 01:00,430,0
05.01.2018 01:00 - 05.01.2018 02:00,419,0
05.01.2018 02:00 - 05.01.2018 03:00,466,0
05.01.2018 03:00 - 05.01.2018 04:00,497,0
05.01.2018 04:00 - 05.01.2018 05:00,459,0
05.01.2018 05:00 - 05.01.2018 06:00,410,0
05.01.2018 06:00 - 05.01.2018 07:00,289,0
05.01.2018 07:00 - 05.01.2018 08:00,306,0
05.01.2018 08:00 - 05.01.2018 09:00,299,0
05.01.2018 09:00 - 05.01.2018 10:00,247,0
05.01.2018 10:00 - 05.01.2018 11:00,217,0
05.01.2018 11:00 - 05.01.2018 12:00,169,0
05.01.2018 12:00 - 05.01.2018 13:00,151,0
05.01.2018 13:00 - 05.01.2018 14:00,117,0
05.01.2018 14:00 - 05.01.2018 15:00,127,0
05.01.2018 15:00 - 05.01.2018 16:00,132,0
05.01.2018 16:00 - 05.01.2018 17:00,65,0
05.01.2018 17:00 - 05.01.2018 18:00,0,26
05.01.2018 18:00 - 05.01.2018 19:00,0,50
05.01.2018 19:00 - 05.01.2018 20:00,0,51
05.01.2018 20:00 - 05.01.2018 21:00,33,0
05.01.2018 21:00 - 05.01.2018 22:00,137,0
05.01.2018 22:00 - 05.01.2018 23:00,104,0
05.01.2018 23:00 - 06.01.2018 00:00,79,0
06.01.2018 00:00 - 06.01.2018 01:00,56,0
06.01.2018 01:00 - 06.01.2018 02:00,55,0
06.01.2018 02:00 - 06.01.2018 03:00,86,0
06.01.2018 03:00 - 06.01.2018 04:00,140,0
06.01.2018 04:00 - 06.01.2018 05:00,211,0
06.01.2018 05:00 - 06.01.2018 06:00,231,0
06.01.2018 06:00 - 06.01.2018 07:00,250,0
06.01.2018 07:00 - 06.01.2018 08:00,192,0
06.01.2018 08:00 - 06.01.2018 09:00,126,0
