"Time (WET)","Albania (AL) > Serbia (RS) [MW]","Serbia (RS) > Albania (AL) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","117","0"
"01.01.2018 01:00 - 01.01.2018 02:00","102","0"
"01.01.2018 02:00 - 01.01.2018 03:00","85","0"
"01.01.2018 03:00 - 01.01.2018 04:00","67","0"
"01.01.2018 04:00 - 01.01.2018 05:00","65","0"
"01.01.2018 05:00 - 01.01.2018 06:00","75","0"
"01.01.2018 06:00 - 01.01.2018 07:00","87","0"
"01.01.2018 07:00 - 01.01.2018 08:00","103","0"
"01.01.2018 08:00 - 01.01.2018 09:00","119","0"
"01.01.2018 09:00 - 01.01.2018 10:00","126","0"
"01.01.2018 10:00 - 01.01.2018 11:00","126","0"
"01.01.2018 11:00 - 01.01.2018 12:00","133","0"
"01.01.2018 12:00 - 01.01.2018 13:00","142","0"
"01.01.2018 13:00 - 01.01.2018 14:00","139","0"
"01.01.2018 14:00 - 01.01.2018 15:00","139","0"
"01.01.2018 15:00 - 01.01.2018 16:00","154","0"
"01.01.2018 16:00 - 01.01.2018 17:00","165","0"
"01.01.2018 17:00 - 01.01.2018 18:00","151","0"
"01.01.2018 18:00 - 01.01.2018 19:00","145","0"
"01.01.2018 19:00 - 01.01.2018 20:00","127","0"
"01.01.2018 20:00 - 01.01.2018 21:00","117","0"
"01.01.2018 21:00 - 01.01.2018 22:00","113","0"
"01.01.2018 22:00 - 01.01.2018 23:00","95","0"
"01.01.2018 23:00 - 02.01.2018 00:00","62","0"
"02.01.2018 00:00 - 02.01.2018 01:00","47","0"
"02.01.2018 01:00 - 02.01.2018 02:00","29","0"
"02.01.2018 02:00 - 02.01.2018 03:00","24","0"
"02.01.2018 03:00 - 02.01.2018 04:00","21","0"
"02.01.2018 04:00 - 02.01.2018 05:00","15","0"
"02.01.2018 05:00 - 02.01.2018 06:00","23","0"
"02.01.2018 06:00 - 02.01.2018 07:00","32","0"
"02.01.2018 07:00 - 02.01.2018 08:00","62","0"
"02.01.2018 08:00 - 02.01.2018 09:00","77","0"
"02.01.2018 09:00 - 02.01.2018 10:00","92","0"
"02.01.2018 10:00 - 02.01.2018 11:00","98","0"
"02.01.2018 11:00 - 02.01.2018 12:00","96","0"
"02.01.2018 12:00 - 02.01.2018 13:00","97","0"
"02.01.2018 13:00 - 02.01.2018 14:00","95","0"
"02.01.2018 14:00 - 02.01.2018 15:00","101","0"
"02.01.2018 15:00 - 02.01.2018 16:00","127","0"
"02.01.2018 16:00 - 02.01.2018 17:00","137","0"
"02.01.2018 17:00 - 02.01.2018 18:00","139","0"
"02.01.2018 18:00 - 02.01.2018 19:00","140","0"
"02.01.2018 19:00 - 02.01.2018 20:00","125","0"
"02.01.2018 20:00 - 02.01.2018 21:00","118","0"
"02.01.2018 21:00 - 02.01.2018 22:00","107","0"
"02.01.2018 22:00 - 02.01.2018 23:00","97","0"
"02.01.2018 23:00 - 03.01.2018 00:00","74","0"
"03.01.2018 00:00 - 03.01.2018 01:00","52","0"
"03.01.2018 01:00 - 03.01.2018 02:00","39","0"
"03.01.2018 02:00 - 03.01.2018 03:00","34","0"
"03.01.2018 03:00 - 03.01.2018 04:00","30","0"
"03.01.2018 04:00 - 03.01.2018 05:00","30","0"
"03.01.2018 05:00 - 03.01.2018 06:00","55","0"
"03.01.2018 06:00 - 03.01.2018 07:00","103","0"
"03.01.2018 07:00 - 03.01.2018 08:00","144","0"
"03.01.2018 08:00 - 03.01.2018 09:00","155","0"
"03.01.2018 09:00 - 03.01.2018 10:00","155","0"
"03.01.2018 10:00 - 03.01.2018 11:00","156","0"
"03.01.2018 11:00 - 03.01.2018 12:00","152","0"
"03.01.2018 12:00 - 03.01.2018 13:00","152","0"
"03.01.2018 13:00 - 03.01.2018 14:00","150","0"
"03.01.2018 14:00 - 03.01.2018 15:00","156","0"
"03.01.2018 15:00 - 03.01.2018 16:00","166","0"
"03.01.2018 16:00 - 03.01.2018 17:00","180","0"
"03.01.2018 17:00 - 03.01.2018 18:00","182","0"
"03.01.2018 18:00 - 03.01.2018 19:00","179","0"
"03.01.2018 19:00 - 03.01.2018 20:00","165","0"
"03.01.2018 20:00 - 03.01.2018 21:00","120","0"
"03.01.2018 21:00 - 03.01.2018 22:00","105","0"
"03.01.2018 22:00 - 03.01.2018 23:00","92","0"
"03.01.2018 23:00 - 04.01.2018 00:00","75","0"
"04.01.2018 00:00 - 04.01.2018 01:00","64","0"
"04.01.2018 01:00 - 04.01.2018 02:00","57","0"
"04.01.2018 02:00 - 04.01.2018 03:00","53","0"
"04.01.2018 03:00 - 04.01.2018 04:00","50","0"
"04.01.2018 04:00 - 04.01.2018 05:00","46","0"
"04.01.2018 05:00 - 04.01.2018 06:00","73","0"
"04.01.2018 06:00 - 04.01.2018 07:00","94","0"
"04.01.2018 07:00 - 04.01.2018 08:00","142","0"
"04.01.2018 08:00 - 04.01.2018 09:00","161","0"
"04.01.2018 09:00 - 04.01.2018 10:00","162","0"
"04.01.2018 10:00 - 04.01.2018 11:00","160","0"
"04.01.2018 11:00 - 04.01.2018 12:00","159","0"
"04.01.2018 12:00 - 04.01.2018 13:00","154","0"
"04.01.2018 13:00 - 04.01.2018 14:00","150","0"
"04.01.2018 14:00 - 04.01.2018 15:00","150","0"
"04.01.2018 15:00 - 04.01.2018 16:00","171","0"
"04.01.2018 16:00 - 04.01.2018 17:00","188","0"
"04.01.2018 17:00 - 04.01.2018 18:00","189","0"
"04.01.2018 18:00 - 04.01.2018 19:00","187","0"
"04.01.2018 19:00 - 04.01.2018 20:00","174","0"
"04.01.2018 20:00 - 04.01.2018 21:00","162","0"
"04.01.2018 21:00 - 04.01.2018 22:00","160","0"
"04.01.2018 22:00 - 04.01.2018 23:00","141","0"
"04.01.2018 23:00 - 05.01.2018 00:00","107","0"
"05.01.2018 00:00 - 05.01.2018 01:00","82","0"
"05.01.2018 01:00 - 05.01.2018 02:00","70","0"
"05.01.2018 02:00 - 05.01.2018 03:00","69","0"
"05.01.2018 03:00 - 05.01.2018 04:00","67","0"
"05.01.2018 04:00 - 05.01.2018 05:00","67","0"
"05.01.2018 05:00 - 05.01.2018 06:00","94","0"
"05.01.2018 06:00 - 05.01.2018 07:00","124","0"
"05.01.2018 07:00 - 05.01.2018 08:00","175","0"
"05.01.2018 08:00 - 05.01.2018 09:00","184","0"
"05.01.2018 09:00 - 05.01.2018 10:00","176","0"
"05.01.2018 10:00 - 05.01.2018 11:00","165","0"
"05.01.2018 11:00 - 05.01.2018 12:00","160","0"
"05.01.2018 12:00 - 05.01.2018 13:00","159","0"
