"Time (WET)","Croatia (HR) > Slovenia (SI) [MW]","Slovenia (SI) > Croatia (HR) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","145","0"
"01.01.2018 01:00 - 01.01.2018 02:00","70","0"
"01.01.2018 02:00 - 01.01.2018 03:00","27","0"
"01.01.2018 03:00 - 01.01.2018 04:00","65","0"
"01.01.2018 04:00 - 01.01.2018 05:00","0","15"
"01.01.2018 05:00 - 01.01.2018 06:00","0","36"
"01.01.2018 06:00 - 01.01.2018 07:00","0","59"
"01.01.2018 07:00 - 01.01.2018 08:00","0","170"
"01.01.2018 08:00 - 01.01.2018 09:00","0","9"
"01.01.2018 09:00 - 01.01.2018 10:00","0","35"
"01.01.2018 10:00 - 01.01.2018 11:00","3","0"
"01.01.2018 11:00 - 01.01.2018 12:00","59","0"
"01.01.2018 12:00 - 01.01.2018 13:00","85","0"
"01.01.2018 13:00 - 01.01.2018 14:00","0","21"
"01.01.2018 14:00 - 01.01.2018 15:00","0","77"
"01.01.2018 15:00 - 01.01.2018 16:00","0","273"
"01.01.2018 16:00 - 01.01.2018 17:00","0","77"
"01.01.2018 17:00 - 01.01.2018 18:00","56","0"
"01.01.2018 18:00 - 01.01.2018 19:00","151","0"
"01.01.2018 19:00 - 01.01.2018 20:00","155","0"
"01.01.2018 20:00 - 01.01.2018 21:00","167","0"
"01.01.2018 21:00 - 01.01.2018 22:00","55","0"
"01.01.2018 22:00 - 01.01.2018 23:00","57","0"
"01.01.2018 23:00 - 02.01.2018 00:00","206","0"
"02.01.2018 00:00 - 02.01.2018 01:00","292","0"
"02.01.2018 01:00 - 02.01.2018 02:00","441","0"
"02.01.2018 02:00 - 02.01.2018 03:00","544","0"
"02.01.2018 03:00 - 02.01.2018 04:00","435","0"
"02.01.2018 04:00 - 02.01.2018 05:00","459","0"
"02.01.2018 05:00 - 02.01.2018 06:00","306","0"
"02.01.2018 06:00 - 02.01.2018 07:00","218","0"
"02.01.2018 07:00 - 02.01.2018 08:00","199","0"
"02.01.2018 08:00 - 02.01.2018 09:00","223","0"
"02.01.2018 09:00 - 02.01.2018 10:00","172","0"
"02.01.2018 10:00 - 02.01.2018 11:00","164","0"
"02.01.2018 11:00 - 02.01.2018 12:00","21","0"
"02.01.2018 12:00 - 02.01.2018 13:00","128","0"
"02.01.2018 13:00 - 02.01.2018 14:00","148","0"
"02.01.2018 14:00 - 02.01.2018 15:00","331","0"
"02.01.2018 15:00 - 02.01.2018 16:00","231","0"
"02.01.2018 16:00 - 02.01.2018 17:00","302","0"
"02.01.2018 17:00 - 02.01.2018 18:00","314","0"
"02.01.2018 18:00 - 02.01.2018 19:00","197","0"
"02.01.2018 19:00 - 02.01.2018 20:00","166","0"
"02.01.2018 20:00 - 02.01.2018 21:00","115","0"
"02.01.2018 21:00 - 02.01.2018 22:00","78","0"
"02.01.2018 22:00 - 02.01.2018 23:00","196","0"
"02.01.2018 23:00 - 03.01.2018 00:00","144","0"
