Time (WET),Ukraine (UA) > Slovakia (SK) [MW],Slovakia (SK) > Ukraine (UA) [MW]
01.01.2018 00:00 - 01.01.2018 01:00,0,541
01.01.2018 01:00 - 01.01.2018 02:00,0,498
01.01.2018 02:00 - 01.01.2018 03:00,0,485
01.01.2018 03:00 - 01.01.2018 04:00,0,489
01.01.2018 04:00 - 01.01.2018 05:00,0,527
01.01.2018 05:00 - 01.01.2018 06:00,0,538
01.01.2018 06:00 - 01.01.2018 07:00,0,574
01.01.2018 07:00 - 01.01.2018 08:00,0,567
01.01.2018 08:00 - 01.01.2018 09:00,0,520
01.01.2018 09:00 - 01.01.2018 10:00,0,553
01.01.2018 10:00 - 01.01.2018 11:00,0,537
01.01.2018 11:00 - 01.01.2018 12:00,0,496
01.01.2018 12:00 - 01.01.2018 13:00,0,429
01.01.2018 13:00 - 01.01.2018 14:00,0,420
01.01.2018 14:00 - 01.01.2018 15:00,0,428
01.01.2018 15:00 - 01.01.2018 16:00,0,385
01.01.2018 16:00 - 01.01.2018 17:00,0,300
01.01.2018 17:00 - 01.01.2018 18:00,0,283
01.01.2018 18:00 - 01.01.2018 19:00,0,285
01.01.2018 19:00 - 01.01.2018 20:00,0,324
01.01.2018 20:00 - 01.01.2018 21:00,0,279
01.01.2018 21:00 - 01.01.2018 22:00,0,203
01.01.2018 22:00 - 01.01.2018 23:00,0,211
01.01.2018 23:00 - 02.01.2018 00:00,0,154
02.01.2018 00:00 - 02.01.2018 01:00,0,97
02.01.2018 01:00 - 02.01.2018 02:00,0,72
02.01.2018 02:00 - 02.01.2018 03:00,0,53
02.01.2018 03:00 - 02.01.2018 04:00,0,133
02.01.2018 04:00 - 02.01.2018 05:00,0,193
02.01.2018 05:00 - 02.01.2018 06:00,0,231
02.01.2018 06:00 - 02.01.2018 07:00,0,232
02.01.2018 07:00 - 02.01.2018 08:00,0,147
02.01.2018 08:00 - 02.01.2018 09:00,0,150
02.01.2018 09:00 - 02.01.2018 10:00,0,167
