Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Belgium (BE),01.01.2018 00:00 - 01.01.2018 01:00 (CET),330,0,0,1499,0,0,0,0,0,165,0,16,0,0,4950,510,0,0,193,811,1084
Belgium (BE),01.01.2018 01:00 - 01.01.2018 02:00 (CET),283,0,0,1500,0,0,0,0,0,1,0,16,0,0,4950,515,0,0,192,818,1101
Belgium (BE),01.01.2018 02:00 - 01.01.2018 03:00 (CET),204,0,0,1566,0,0,0,0,0,0,0,16,0,0,4800,513,0,0,194,812,1109
Belgium (BE),01.01.2018 03:00 - 01.01.2018 04:00 (CET),184,0,0,1552,0,0,0,0,0,0,0,16,0,0,4577,540,0,0,194,810,1026
Belgium (BE),01.01.2018 04:00 - 01.01.2018 05:00 (CET),182,0,0,1515,0,0,0,0,0,0,0,16,0,0,4522,525,0,0,195,809,995
Belgium (BE),01.01.2018 05:00 - 01.01.2018 06:00 (CET),181,0,0,1530,0,0,0,0,0,0,0,15,0,0,4529,492,0,0,196,796,930
Belgium (BE),01.01.2018 06:00 - 01.01.2018 07:00 (CET),181,0,0,1523,0,0,0,0,0,0,0,15,0,0,4527,538,0,0,197,772,868
Belgium (BE),01.01.2018 07:00 - 01.01.2018 08:00 (CET),187,0,0,1499,0,0,0,0,0,0,0,15,0,0,4530,549,0,0,200,796,799
Belgium (BE),01.01.2018 08:00 - 01.01.2018 09:00 (CET),206,0,0,1463,0,0,0,0,0,0,0,15,0,0,4530,534,0,0,202,800,786
Belgium (BE),01.01.2018 09:00 - 01.01.2018 10:00 (CET),208,0,0,1446,0,0,0,0,0,0,0,15,0,0,4531,551,0,90,200,732,829
Belgium (BE),01.01.2018 10:00 - 01.01.2018 11:00 (CET),212,0,0,1400,0,0,0,0,0,0,0,15,0,0,4530,561,0,293,200,764,730
Belgium (BE),01.01.2018 11:00 - 01.01.2018 12:00 (CET),208,0,0,1451,0,0,0,0,0,0,0,15,0,0,4636,545,0,436,199,790,680
Belgium (BE),01.01.2018 12:00 - 01.01.2018 13:00 (CET),210,0,0,1436,0,0,0,0,0,100,0,15,0,0,4862,547,0,242,200,768,622
Belgium (BE),01.01.2018 13:00 - 01.01.2018 14:00 (CET),208,0,0,1568,0,0,0,0,0,34,0,15,0,0,4949,598,0,139,200,649,540
