Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Czech Republic (CZ),01.01.2018 00:00 - 01.01.2018 01:00 (CET),262,1783,180,226,352,12,0,0,0,0,85,23,0,2245,106,265,0,13,0,121
Czech Republic (CZ),01.01.2018 01:00 - 01.01.2018 02:00 (CET),262,1827,188,230,354,12,0,0,0,211,85,22,0,2247,106,265,0,13,0,123
Czech Republic (CZ),01.01.2018 02:00 - 01.01.2018 03:00 (CET),262,1807,186,229,352,12,0,0,0,521,85,22,0,2250,106,266,0,13,0,125
Czech Republic (CZ),01.01.2018 03:00 - 01.01.2018 04:00 (CET),262,1788,183,226,353,12,0,0,0,1057,85,22,0,2251,105,266,0,13,0,140
Czech Republic (CZ),01.01.2018 04:00 - 01.01.2018 05:00 (CET),262,1813,186,230,354,12,0,0,0,1107,85,22,0,2250,106,265,0,13,0,142
Czech Republic (CZ),01.01.2018 05:00 - 01.01.2018 06:00 (CET),262,1855,187,235,353,12,0,0,0,1101,85,22,0,2251,107,264,0,13,0,129
Czech Republic (CZ),01.01.2018 06:00 - 01.01.2018 07:00 (CET),262,1712,170,239,350,12,0,0,0,1092,86,27,0,2251,111,266,0,13,0,124
Czech Republic (CZ),01.01.2018 07:00 - 01.01.2018 08:00 (CET),262,1756,177,249,354,12,0,0,0,821,92,34,0,2251,114,267,2,13,0,141
Czech Republic (CZ),01.01.2018 08:00 - 01.01.2018 09:00 (CET),261,1661,164,230,355,12,0,0,0,326,90,34,0,2253,115,267,10,13,0,148
Czech Republic (CZ),01.01.2018 09:00 - 01.01.2018 10:00 (CET),261,1683,173,231,360,12,0,0,0,209,90,28,0,2254,112,267,50,13,0,176
