Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Finland (FI),01.01.2018 00:00 - 01.01.2018 01:00 (CET),873,0,0,568,671,1,0,435,0,0,0,1377,0,0,2791,87,43,0,7,0,904
Finland (FI),01.01.2018 01:00 - 01.01.2018 02:00 (CET),856,0,0,573,664,1,0,445,0,0,0,1277,0,0,2791,87,43,0,7,0,923
Finland (FI),01.01.2018 02:00 - 01.01.2018 03:00 (CET),858,0,0,583,657,1,0,440,0,0,0,1199,0,0,2791,87,43,0,7,0,911
Finland (FI),01.01.2018 03:00 - 01.01.2018 04:00 (CET),874,0,0,598,655,1,0,445,0,0,0,1175,0,0,2792,87,43,0,7,0,924
Finland (FI),01.01.2018 04:00 - 01.01.2018 05:00 (CET),870,0,0,606,653,1,0,453,0,0,0,1195,0,0,2792,87,43,0,7,0,867
Finland (FI),01.01.2018 05:00 - 01.01.2018 06:00 (CET),861,0,0,597,653,1,0,458,0,0,0,1231,0,0,2792,88,43,0,7,0,863
Finland (FI),01.01.2018 06:00 - 01.01.2018 07:00 (CET),850,0,0,591,647,1,0,455,0,0,0,1321,0,0,2792,89,43,0,7,0,829
Finland (FI),01.01.2018 07:00 - 01.01.2018 08:00 (CET),863,0,0,595,643,1,0,444,0,0,0,1399,0,0,2792,89,43,0,7,0,798
Finland (FI),01.01.2018 08:00 - 01.01.2018 09:00 (CET),885,0,0,589,645,1,0,447,0,0,0,1389,0,0,2792,88,43,0,7,0,792
Finland (FI),01.01.2018 09:00 - 01.01.2018 10:00 (CET),883,0,0,579,643,1,0,449,0,0,0,1300,0,0,2792,87,43,0,7,0,760
