Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|GB,01.01.2018 00:00 - 01.01.2018 00:30 (CET),758,0,0,5451,1269,0,0,0,0,45,354,0,0,7266,89,0,0,0,3794,4764
BZN|GB,01.01.2018 00:30 - 01.01.2018 01:00 (CET),757,0,0,5231,1270,0,0,0,0,85,353,0,0,7270,89,0,0,0,3815,4852
BZN|GB,01.01.2018 01:00 - 01.01.2018 01:30 (CET),710,0,0,5190,1143,0,0,0,0,125,352,0,0,7263,89,0,0,0,3777,4950
BZN|GB,01.01.2018 01:30 - 01.01.2018 02:00 (CET),749,0,0,5574,1308,0,0,0,0,165,351,0,0,7268,89,0,0,0,3825,5005
BZN|GB,01.01.2018 02:00 - 01.01.2018 02:30 (CET),756,0,0,5753,1461,0,0,0,0,206,355,0,0,7260,88,0,0,0,3831,4878
BZN|GB,01.01.2018 02:30 - 01.01.2018 03:00 (CET),757,0,0,5616,1587,0,0,0,0,0,349,0,0,7258,89,0,0,0,3811,4970
BZN|GB,01.01.2018 03:00 - 01.01.2018 03:30 (CET),747,0,0,5192,1591,0,0,0,0,0,340,0,0,7264,89,0,0,0,3819,4721
BZN|GB,01.01.2018 03:30 - 01.01.2018 04:00 (CET),754,0,0,4843,1493,0,0,0,0,0,331,0,0,7252,89,0,0,0,3782,4741
BZN|GB,01.01.2018 04:00 - 01.01.2018 04:30 (CET),756,0,0,4717,1614,0,0,0,0,0,283,0,0,7254,89,0,0,0,3808,4799
BZN|GB,01.01.2018 04:30 - 01.01.2018 05:00 (CET),758,0,0,4100,1559,0,0,0,0,0,281,0,0,7255,89,0,0,0,3739,4619
BZN|GB,01.01.2018 05:00 - 01.01.2018 05:30 (CET),756,0,0,3658,1501,0,0,0,0,0,278,0,0,7258,89,0,0,0,3756,4520
BZN|GB,01.01.2018 05:30 - 01.01.2018 06:00 (CET),757,0,0,3428,1379,0,0,0,0,0,272,0,0,7266,89,0,0,0,3709,4659
BZN|GB,01.01.2018 06:00 - 01.01.2018 06:30 (CET),757,0,0,3477,1563,0,0,0,0,0,268,0,0,7257,89,0,0,0,3697,4466
BZN|GB,01.01.2018 06:30 - 01.01.2018 07:00 (CET),758,0,0,3610,1565,0,0,0,0,0,266,0,0,7258,89,0,0,0,3654,4401
BZN|GB,01.01.2018 07:00 - 01.01.2018 07:30 (CET),758,0,0,4294,1650,0,0,0,0,0,260,0,0,7263,89,0,4,0,3583,4155
BZN|GB,01.01.2018 07:30 - 01.01.2018 08:00 (CET),758,0,0,4870,1732,0,0,0,0,82,271,0,0,7259,89,0,4,0,3666,3880
BZN|GB,01.01.2018 08:00 - 01.01.2018 08:30 (CET),757,0,0,5727,1659,0,0,0,0,21,393,0,0,7259,89,0,4,0,3672,3739
BZN|GB,01.01.2018 08:30 - 01.01.2018 09:00 (CET),752,0,0,5709,1654,0,0,0,0,129,477,0,0,7268,89,0,4,0,3587,3633
BZN|GB,01.01.2018 09:00 - 01.01.2018 09:30 (CET),757,0,0,6070,1540,0,0,0,0,237,339,0,0,7267,89,0,4,0,3438,3233
BZN|GB,01.01.2018 09:30 - 01.01.2018 10:00 (CET),758,0,0,6973,1638,0,0,0,0,375,404,0,0,7264,88,0,7,0,3392,3373
BZN|GB,01.01.2018 10:00 - 01.01.2018 10:30 (CET),756,0,0,7531,1616,0,0,0,0,313,467,0,0,7267,89,0,217,0,3194,3254
BZN|GB,01.01.2018 10:30 - 01.01.2018 11:00 (CET),747,0,0,9085,1611,0,0,0,0,588,509,0,0,7259,88,0,436,0,2982,3132
BZN|GB,01.01.2018 11:00 - 01.01.2018 11:30 (CET),741,0,0,9489,1632,0,0,0,0,406,542,0,0,7260,89,0,693,0,3035,3191
BZN|GB,01.01.2018 11:30 - 01.01.2018 12:00 (CET),752,0,0,10532,1638,0,0,0,0,605,665,0,0,7260,89,0,860,0,2997,3081
BZN|GB,01.01.2018 12:00 - 01.01.2018 12:30 (CET),755,0,0,11496,1755,0,0,0,0,347,642,0,0,7262,89,0,1110,0,3022,3143
BZN|GB,01.01.2018 12:30 - 01.01.2018 13:00 (CET),758,0,0,12407,1686,0,0,0,0,614,623,0,0,7256,89,0,1460,0,2812,3098
BZN|GB,01.01.2018 13:00 - 01.01.2018 13:30 (CET),759,0,0,13418,1688,0,0,0,0,441,547,0,0,7264,89,0,1780,0,2792,3182
BZN|GB,01.01.2018 13:30 - 01.01.2018 14:00 (CET),756,0,0,14019,1688,0,0,0,0,536,543,0,0,7264,89,0,1930,0,2642,3059
BZN|GB,01.01.2018 14:00 - 01.01.2018 14:30 (CET),756,0,0,14560,1639,0,0,0,0,877,545,0,0,7248,89,0,1415,0,2160,2844
BZN|GB,01.01.2018 14:30 - 01.01.2018 15:00 (CET),754,0,0,15150,1529,0,0,0,0,618,552,0,0,7263,89,0,1590,0,1980,2997
BZN|GB,01.01.2018 15:00 - 01.01.2018 15:30 (CET),745,0,0,15036,1695,0,0,0,0,300,497,0,0,7260,89,0,1290,0,2061,3160
BZN|GB,01.01.2018 15:30 - 01.01.2018 16:00 (CET),746,0,0,14670,2022,0,0,0,0,425,470,0,0,7254,89,0,812,0,1967,3188
BZN|GB,01.01.2018 16:00 - 01.01.2018 16:30 (CET),743,0,0,14406,2221,0,0,0,0,500,481,0,0,7245,88,0,414,0,1982,3342
BZN|GB,01.01.2018 16:30 - 01.01.2018 17:00 (CET),740,0,0,14847,2076,0,0,0,0,540,500,0,0,7257,89,0,91,0,1911,3667
BZN|GB,01.01.2018 17:00 - 01.01.2018 17:30 (CET),752,0,0,15300,2100,0,0,0,0,506,751,0,0,7271,88,0,2,0,2098,3956
BZN|GB,01.01.2018 17:30 - 01.01.2018 18:00 (CET),757,0,0,16761,2176,0,0,0,0,1001,735,0,0,7255,89,0,2,0,2487,4030
BZN|GB,01.01.2018 18:00 - 01.01.2018 18:30 (CET),719,0,0,16995,2260,0,0,0,0,1238,688,0,0,7263,89,0,1,0,3080,4152
BZN|GB,01.01.2018 18:30 - 01.01.2018 19:00 (CET),721,0,0,17028,2202,0,0,0,0,1076,714,0,0,7254,89,0,0,0,3035,4224
BZN|GB,01.01.2018 19:00 - 01.01.2018 19:30 (CET),720,0,0,16931,2187,0,0,0,0,532,715,0,0,7248,89,0,0,0,2992,4423
