Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Greece (GR),01.01.2018 00:00 - 01.01.2018 01:00 (CET),0,2023,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
Greece (GR),01.01.2018 01:00 - 01.01.2018 02:00 (CET),0,2127,0,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
Greece (GR),01.01.2018 02:00 - 01.01.2018 03:00 (CET),0,2015,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
Greece (GR),01.01.2018 03:00 - 01.01.2018 04:00 (CET),0,1841,0,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Greece (GR),01.01.2018 04:00 - 01.01.2018 05:00 (CET),0,1894,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
Greece (GR),01.01.2018 05:00 - 01.01.2018 06:00 (CET),0,2000,0,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
Greece (GR),01.01.2018 06:00 - 01.01.2018 07:00 (CET),0,2052,0,902,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,284
Greece (GR),01.01.2018 07:00 - 01.01.2018 08:00 (CET),0,1966,0,896,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,367
Greece (GR),01.01.2018 08:00 - 01.01.2018 09:00 (CET),0,1814,0,796,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,439
Greece (GR),01.01.2018 09:00 - 01.01.2018 10:00 (CET),0,1693,0,774,0,0,0,0,0,0,0,0,0,0,0,0,1214,0,0,439
Greece (GR),01.01.2018 10:00 - 01.01.2018 11:00 (CET),0,1642,0,775,0,0,0,0,0,0,0,0,0,0,0,0,1436,0,0,466
Greece (GR),01.01.2018 11:00 - 01.01.2018 12:00 (CET),0,1608,0,781,0,0,0,0,0,0,0,0,0,0,0,0,1470,0,0,473
Greece (GR),01.01.2018 12:00 - 01.01.2018 13:00 (CET),0,1590,0,785,0,0,0,0,0,0,0,0,0,0,0,0,1358,0,0,501
Greece (GR),01.01.2018 13:00 - 01.01.2018 14:00 (CET),0,1596,0,775,0,0,0,0,0,0,0,0,0,0,0,0,1072,0,0,584
Greece (GR),01.01.2018 14:00 - 01.01.2018 15:00 (CET),0,1618,0,985,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,654
Greece (GR),01.01.2018 15:00 - 01.01.2018 16:00 (CET),0,1670,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,685
Greece (GR),01.01.2018 16:00 - 01.01.2018 17:00 (CET),0,1645,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,728
Greece (GR),01.01.2018 17:00 - 01.01.2018 18:00 (CET),0,1648,0,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711
