Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Hungary (HU),01.01.2018 00:00 - 01.01.2018 00:15 (CET),115,264,0,667,0,0,0,0,0,0,0,5,0,0,1938,84,11,0,15,0,78
Hungary (HU),01.01.2018 00:15 - 01.01.2018 00:30 (CET),115,263,0,683,0,0,0,0,0,0,0,5,0,0,1937,84,11,0,14,0,83
Hungary (HU),01.01.2018 00:30 - 01.01.2018 00:45 (CET),115,262,0,643,0,0,0,0,0,0,0,5,0,0,1938,84,11,0,15,0,93
Hungary (HU),01.01.2018 00:45 - 01.01.2018 01:00 (CET),115,261,0,601,0,0,0,0,0,0,0,5,0,0,1938,84,11,0,15,0,106
Hungary (HU),01.01.2018 01:00 - 01.01.2018 01:15 (CET),114,274,0,691,0,0,0,0,0,0,0,5,0,0,1939,87,11,0,16,0,134
Hungary (HU),01.01.2018 01:15 - 01.01.2018 01:30 (CET),115,281,0,658,0,0,0,0,0,0,0,5,0,0,1937,87,11,0,16,0,145
Hungary (HU),01.01.2018 01:30 - 01.01.2018 01:45 (CET),113,281,0,601,0,0,0,0,0,0,0,5,0,0,1936,87,8,0,15,0,145
Hungary (HU),01.01.2018 01:45 - 01.01.2018 02:00 (CET),108,295,0,539,0,0,0,0,0,0,0,5,0,0,1935,78,7,0,15,0,140
Hungary (HU),01.01.2018 02:00 - 01.01.2018 02:15 (CET),99,324,0,630,0,0,0,0,0,0,0,5,0,0,1936,80,6,0,15,0,144
Hungary (HU),01.01.2018 02:15 - 01.01.2018 02:30 (CET),87,315,0,642,0,0,0,0,0,0,0,5,0,0,1899,80,6,0,16,0,146
Hungary (HU),01.01.2018 02:30 - 01.01.2018 02:45 (CET),84,285,0,644,0,0,0,0,0,0,0,5,0,0,1884,80,6,0,16,0,144
Hungary (HU),01.01.2018 02:45 - 01.01.2018 03:00 (CET),82,272,0,622,0,0,0,0,0,0,0,5,0,0,1886,80,6,0,16,0,136
Hungary (HU),01.01.2018 03:00 - 01.01.2018 03:15 (CET),79,266,0,589,0,0,0,0,0,0,0,5,0,0,1885,80,6,0,17,0,148
Hungary (HU),01.01.2018 03:15 - 01.01.2018 03:30 (CET),78,269,0,531,0,0,0,0,0,0,0,5,0,0,1882,80,6,0,15,0,157
Hungary (HU),01.01.2018 03:30 - 01.01.2018 03:45 (CET),77,267,0,507,0,0,0,0,0,0,0,5,0,0,1842,80,6,0,15,0,160
Hungary (HU),01.01.2018 03:45 - 01.01.2018 04:00 (CET),78,266,0,493,0,0,0,0,0,0,0,5,0,0,1833,80,6,0,16,0,166
Hungary (HU),01.01.2018 04:00 - 01.01.2018 04:15 (CET),77,267,0,458,0,0,0,0,0,0,0,5,0,0,1767,84,6,0,16,0,168
Hungary (HU),01.01.2018 04:15 - 01.01.2018 04:30 (CET),77,268,0,497,0,0,0,0,0,0,0,5,0,0,1739,84,6,0,15,0,162
Hungary (HU),01.01.2018 04:30 - 01.01.2018 04:45 (CET),76,265,0,510,0,0,0,0,0,0,0,5,0,0,1714,84,6,0,17,0,149
Hungary (HU),01.01.2018 04:45 - 01.01.2018 05:00 (CET),76,267,0,588,0,0,0,0,0,0,0,5,0,0,1658,84,6,0,15,0,137
Hungary (HU),01.01.2018 05:00 - 01.01.2018 05:15 (CET),77,262,0,653,0,0,0,0,0,0,0,5,0,0,1636,96,6,0,16,0,124
Hungary (HU),01.01.2018 05:15 - 01.01.2018 05:30 (CET),78,263,0,646,0,0,0,0,0,0,0,5,0,0,1636,96,6,0,16,0,126
Hungary (HU),01.01.2018 05:30 - 01.01.2018 05:45 (CET),80,267,0,646,0,0,0,0,0,0,0,5,0,0,1637,96,6,0,17,0,118
Hungary (HU),01.01.2018 05:45 - 01.01.2018 06:00 (CET),84,266,0,646,0,0,0,0,0,0,0,5,0,0,1635,96,8,0,16,0,108
Hungary (HU),01.01.2018 06:00 - 01.01.2018 06:15 (CET),87,264,0,656,0,0,0,0,0,0,0,5,0,0,1637,100,10,0,17,0,109
Hungary (HU),01.01.2018 06:15 - 01.01.2018 06:30 (CET),94,262,0,663,0,0,0,0,0,0,0,5,0,0,1636,100,10,0,18,0,97
Hungary (HU),01.01.2018 06:30 - 01.01.2018 06:45 (CET),104,268,0,662,0,0,0,0,0,0,0,5,0,0,1635,100,12,0,18,0,92
