Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Italy (IT),01.01.2018 00:00 - 01.01.2018 01:00 (CET),316,0,180,4007,2012,225,0,0,501,132,23,1096,95,0,0,4399,0,9,36,0,2578
Italy (IT),01.01.2018 01:00 - 01.01.2018 02:00 (CET),424,0,240,4977,2575,296,0,0,663,0,27,1257,122,0,0,4924,0,19,50,0,3582
Italy (IT),01.01.2018 02:00 - 01.01.2018 03:00 (CET),315,0,180,3471,1783,216,0,0,499,0,21,1052,60,0,0,3727,0,10,36,0,2791
Italy (IT),01.01.2018 03:00 - 01.01.2018 04:00 (CET),425,0,240,4207,2254,295,0,0,646,0,289,1098,74,0,0,4359,0,19,51,0,3484
Italy (IT),01.01.2018 04:00 - 01.01.2018 05:00 (CET),428,0,240,3916,2225,99,0,0,648,0,923,1123,74,0,0,4451,0,19,51,0,3774
Italy (IT),01.01.2018 05:00 - 01.01.2018 06:00 (CET),442,0,228,4237,2425,83,0,0,648,0,420,1240,74,0,0,4512,0,19,52,0,4044
Italy (IT),01.01.2018 06:00 - 01.01.2018 07:00 (CET),424,0,228,4572,2396,83,0,0,648,0,221,1290,76,0,0,4633,0,19,50,0,4226
Italy (IT),01.01.2018 07:00 - 01.01.2018 08:00 (CET),406,0,228,4635,2324,83,0,0,648,0,72,1335,114,0,0,4970,0,23,52,0,4291
Italy (IT),01.01.2018 08:00 - 01.01.2018 09:00 (CET),423,0,228,4415,2275,83,0,0,647,0,177,1499,121,0,0,4641,0,292,47,0,4417
Italy (IT),01.01.2018 09:00 - 01.01.2018 10:00 (CET),438,0,228,4689,2368,83,0,0,646,0,176,1682,109,0,0,5000,0,805,48,0,4521
Italy (IT),01.01.2018 10:00 - 01.01.2018 11:00 (CET),436,0,228,5021,2516,83,0,0,647,37,27,1669,344,0,0,5990,0,1275,48,0,4692
Italy (IT),01.01.2018 11:00 - 01.01.2018 12:00 (CET),438,0,228,5361,2669,83,0,0,648,443,50,1627,380,0,0,6074,0,1633,49,0,5023
Italy (IT),01.01.2018 12:00 - 01.01.2018 13:00 (CET),439,0,227,5466,2669,83,0,0,648,729,152,1576,381,0,0,6241,0,2117,49,0,5076
Italy (IT),01.01.2018 13:00 - 01.01.2018 14:00 (CET),439,0,227,5004,2650,83,0,0,648,646,152,1541,365,0,0,5977,0,1912,48,0,5034
Italy (IT),01.01.2018 14:00 - 01.01.2018 15:00 (CET),432,0,227,5446,2456,83,0,0,648,639,152,1677,262,0,0,6105,0,1792,48,0,4928
Italy (IT),01.01.2018 15:00 - 01.01.2018 16:00 (CET),438,0,227,5543,2433,83,0,0,648,353,151,1817,357,0,0,6544,0,834,48,0,5114
Italy (IT),01.01.2018 16:00 - 01.01.2018 17:00 (CET),443,0,227,5479,2685,83,0,0,649,253,151,2299,667,0,0,6797,0,161,44,0,5654
Italy (IT),01.01.2018 17:00 - 01.01.2018 18:00 (CET),436,0,227,5576,2872,83,0,0,650,573,116,2210,481,0,0,6452,0,19,47,0,6124
Italy (IT),01.01.2018 18:00 - 01.01.2018 19:00 (CET),440,0,227,5113,3017,83,0,0,649,115,47,2884,459,0,0,6549,0,15,48,0,6308
Italy (IT),01.01.2018 19:00 - 01.01.2018 20:00 (CET),439,0,227,4706,3013,83,0,0,648,185,108,2925,482,0,0,6446,0,16,48,0,6292
Italy (IT),01.01.2018 20:00 - 01.01.2018 21:00 (CET),437,0,227,4471,2930,83,0,0,648,172,2,2139,446,0,0,5606,0,16,47,0,6178
Italy (IT),01.01.2018 21:00 - 01.01.2018 22:00 (CET),329,0,170,3165,2132,62,0,0,493,52,1,1561,134,0,0,4352,0,9,34,0,4781
Italy (IT),01.01.2018 22:00 - 01.01.2018 23:00 (CET),442,0,227,3929,2694,83,0,0,648,0,28,1636,143,0,0,4989,0,17,47,0,6250
Italy (IT),01.01.2018 23:00 - 02.01.2018 00:00 (CET),439,0,227,3755,2237,86,0,0,664,0,220,1403,106,0,0,4809,0,16,47,0,6120
Italy (IT),02.01.2018 00:00 - 02.01.2018 01:00 (CET),414,0,226,3663,2017,80,0,0,664,0,1061,1605,92,0,0,5127,0,0,39,0,5214
Italy (IT),02.01.2018 01:00 - 02.01.2018 02:00 (CET),419,0,226,3413,1979,80,0,0,663,0,1325,1642,90,0,0,5027,0,0,38,0,4850
Italy (IT),02.01.2018 02:00 - 02.01.2018 03:00 (CET),403,0,226,3514,1978,80,0,0,663,0,1627,1504,90,0,0,5104,0,0,40,0,4715
Italy (IT),02.01.2018 03:00 - 02.01.2018 04:00 (CET),394,0,226,3631,1990,80,0,0,665,0,1920,1502,90,0,0,4900,0,0,39,0,4607
Italy (IT),02.01.2018 04:00 - 02.01.2018 05:00 (CET),398,0,226,3790,2066,80,0,0,668,0,1989,1498,96,0,0,4935,0,0,39,0,4382
Italy (IT),02.01.2018 05:00 - 02.01.2018 06:00 (CET),397,0,226,3822,2041,80,0,0,671,0,1824,1548,98,0,0,5087,0,0,37,0,4271
Italy (IT),02.01.2018 06:00 - 02.01.2018 07:00 (CET),383,0,226,4374,2193,81,0,0,672,0,611,1771,145,0,0,5646,0,0,34,0,4605
Italy (IT),02.01.2018 07:00 - 02.01.2018 08:00 (CET),381,0,226,5771,2644,85,0,0,672,23,301,2103,232,0,0,6217,0,13,33,0,4352
Italy (IT),02.01.2018 08:00 - 02.01.2018 09:00 (CET),382,0,225,7072,3025,89,0,0,672,0,127,2963,624,0,0,6966,0,349,32,0,4535
Italy (IT),02.01.2018 09:00 - 02.01.2018 10:00 (CET),384,0,226,7791,3209,94,0,0,674,734,0,3345,935,0,0,7178,0,1851,34,0,4282
Italy (IT),02.01.2018 10:00 - 02.01.2018 11:00 (CET),385,0,226,8260,3202,137,0,0,671,398,0,3221,953,0,0,7207,0,3365,34,0,3753
Italy (IT),02.01.2018 11:00 - 02.01.2018 12:00 (CET),391,0,227,8478,3156,219,0,0,670,504,0,2732,480,0,0,7147,0,5063,38,0,3191
Italy (IT),02.01.2018 12:00 - 02.01.2018 13:00 (CET),382,0,229,8634,3074,218,0,0,671,208,0,2470,729,0,0,6946,0,5635,38,0,3352
Italy (IT),02.01.2018 13:00 - 02.01.2018 14:00 (CET),384,0,228,8279,3068,217,0,0,672,44,24,2282,464,0,0,6345,0,5191,35,0,4225
Italy (IT),02.01.2018 14:00 - 02.01.2018 15:00 (CET),384,0,228,7170,3018,219,0,0,671,110,0,2166,412,0,0,6015,0,3915,37,0,5659
Italy (IT),02.01.2018 15:00 - 02.01.2018 16:00 (CET),384,0,228,6981,3007,245,0,0,669,116,0,2262,520,0,0,6205,0,1628,37,0,6345
Italy (IT),02.01.2018 16:00 - 02.01.2018 17:00 (CET),400,0,228,7800,2856,220,0,0,671,788,0,2868,563,0,0,6894,0,168,36,0,6329
Italy (IT),02.01.2018 17:00 - 02.01.2018 18:00 (CET),402,0,228,8370,2843,234,0,0,678,2003,0,4210,874,0,0,7201,0,0,37,0,6053
Italy (IT),02.01.2018 18:00 - 02.01.2018 19:00 (CET),403,0,228,8328,2843,227,0,0,679,2031,0,4543,857,0,0,7120,0,0,39,0,5717
Italy (IT),02.01.2018 19:00 - 02.01.2018 20:00 (CET),411,0,228,8216,2877,231,0,0,680,1909,0,4202,875,0,0,7107,0,0,37,0,5851
Italy (IT),02.01.2018 20:00 - 02.01.2018 21:00 (CET),413,0,229,8052,2905,243,0,0,680,428,0,3776,710,0,0,6977,0,0,37,0,5848
Italy (IT),02.01.2018 21:00 - 02.01.2018 22:00 (CET),412,0,229,7413,2823,219,0,0,676,250,0,2847,374,0,0,6848,0,0,40,0,5740
Italy (IT),02.01.2018 22:00 - 02.01.2018 23:00 (CET),414,0,229,6402,2691,225,0,0,675,174,0,2168,245,0,0,5984,0,0,41,0,5401
Italy (IT),02.01.2018 23:00 - 03.01.2018 00:00 (CET),414,0,229,5502,2229,222,0,0,674,204,47,2058,240,0,0,5412,0,0,40,0,4865
Italy (IT),03.01.2018 00:00 - 03.01.2018 01:00 (CET),414,0,229,4663,1982,109,0,0,671,0,159,1783,202,0,0,5390,0,0,49,0,4089
Italy (IT),03.01.2018 01:00 - 03.01.2018 02:00 (CET),413,0,229,4571,1849,79,0,0,671,0,914,1705,153,0,0,4938,0,0,46,0,3994
Italy (IT),03.01.2018 02:00 - 03.01.2018 03:00 (CET),413,0,229,4561,1861,80,0,0,671,0,1217,1670,144,0,0,4825,0,0,48,0,3479
Italy (IT),03.01.2018 03:00 - 03.01.2018 04:00 (CET),414,0,229,4606,1796,80,0,0,672,0,1177,1573,106,0,0,4820,0,0,50,0,3325
Italy (IT),03.01.2018 04:00 - 03.01.2018 05:00 (CET),400,0,229,4747,1814,79,0,0,672,0,777,1659,122,0,0,4841,0,0,49,0,3062
Italy (IT),03.01.2018 05:00 - 03.01.2018 06:00 (CET),408,0,229,5276,2026,80,0,0,671,0,432,1802,147,0,0,5357,0,0,47,0,3061
Italy (IT),03.01.2018 06:00 - 03.01.2018 07:00 (CET),414,0,229,6383,2636,87,0,0,671,248,190,1861,405,0,0,6193,0,0,48,0,3166
Italy (IT),03.01.2018 07:00 - 03.01.2018 08:00 (CET),414,0,229,7639,2977,79,0,0,671,1707,0,2334,807,0,0,6526,0,62,47,0,2775
Italy (IT),03.01.2018 08:00 - 03.01.2018 09:00 (CET),411,0,229,8508,3125,80,0,0,672,1299,0,3083,967,0,0,7332,0,1233,45,0,2897
Italy (IT),03.01.2018 09:00 - 03.01.2018 10:00 (CET),407,0,229,8644,3191,80,0,0,672,1349,0,3660,961,0,0,7333,0,3304,45,0,3202
Italy (IT),03.01.2018 10:00 - 03.01.2018 11:00 (CET),410,0,229,8623,3349,85,0,0,659,318,0,3355,626,0,0,6644,0,5054,42,0,3941
Italy (IT),03.01.2018 11:00 - 03.01.2018 12:00 (CET),408,0,229,7641,3263,93,0,0,665,60,26,3248,622,0,0,6286,0,5393,43,0,4786
Italy (IT),03.01.2018 12:00 - 03.01.2018 13:00 (CET),410,0,229,7264,3003,80,0,0,672,346,26,2247,396,0,0,6812,0,4529,43,0,5553
Italy (IT),03.01.2018 13:00 - 03.01.2018 14:00 (CET),413,0,229,7608,2904,80,0,0,672,72,25,2179,389,0,0,6974,0,3929,47,0,5816
Italy (IT),03.01.2018 14:00 - 03.01.2018 15:00 (CET),411,0,229,9055,3289,84,0,0,672,46,24,1950,425,0,0,7537,0,2615,48,0,5772
Italy (IT),03.01.2018 15:00 - 03.01.2018 16:00 (CET),419,0,231,9630,3559,82,0,0,667,199,0,2209,729,0,0,7999,0,1190,48,0,5898
Italy (IT),03.01.2018 16:00 - 03.01.2018 17:00 (CET),419,0,230,9720,3693,81,0,0,664,1131,40,3092,732,0,0,8232,0,173,50,0,6030
Italy (IT),03.01.2018 17:00 - 03.01.2018 18:00 (CET),417,0,231,10096,3998,82,0,0,664,1342,0,4036,1169,0,0,8241,0,19,49,0,5926
Italy (IT),03.01.2018 18:00 - 03.01.2018 19:00 (CET),419,0,231,9545,3994,82,0,0,663,1460,0,4024,1025,0,0,8409,0,19,48,0,6003
Italy (IT),03.01.2018 19:00 - 03.01.2018 20:00 (CET),418,0,230,9604,3750,82,0,0,662,1070,0,3636,743,0,0,8449,0,19,48,0,5946
Italy (IT),03.01.2018 20:00 - 03.01.2018 21:00 (CET),435,0,230,9188,3734,92,0,0,663,392,0,3310,667,0,0,7992,0,19,50,0,6189
Italy (IT),03.01.2018 21:00 - 03.01.2018 22:00 (CET),438,0,230,8494,3624,92,0,0,657,190,0,2010,401,0,0,7654,0,19,49,0,6026
Italy (IT),03.01.2018 22:00 - 03.01.2018 23:00 (CET),437,0,230,7167,3422,85,0,0,665,44,25,1767,353,0,0,6602,0,16,49,0,6038
Italy (IT),03.01.2018 23:00 - 04.01.2018 00:00 (CET),434,0,230,5563,2636,83,0,0,665,44,26,1628,154,0,0,6070,0,3,49,0,6012
Italy (IT),04.01.2018 00:00 - 04.01.2018 01:00 (CET),418,0,229,3706,2150,80,0,0,669,0,437,1839,221,0,0,5942,0,0,42,0,5520
Italy (IT),04.01.2018 01:00 - 04.01.2018 02:00 (CET),419,0,229,3577,2088,80,0,0,669,0,1671,1703,169,0,0,5966,0,0,40,0,4970
Italy (IT),04.01.2018 02:00 - 04.01.2018 03:00 (CET),427,0,229,3522,2076,80,0,0,670,0,1825,1530,144,0,0,5634,0,0,39,0,4828
Italy (IT),04.01.2018 03:00 - 04.01.2018 04:00 (CET),431,0,229,3594,2067,79,0,0,670,0,1938,1507,144,0,0,5450,0,0,42,0,4526
Italy (IT),04.01.2018 04:00 - 04.01.2018 05:00 (CET),425,0,217,4033,2079,79,0,0,668,0,2053,1529,139,0,0,5463,0,0,43,0,4254
Italy (IT),04.01.2018 05:00 - 04.01.2018 06:00 (CET),434,0,217,4249,2119,79,0,0,670,0,506,1598,131,0,0,5556,0,0,41,0,4137
Italy (IT),04.01.2018 06:00 - 04.01.2018 07:00 (CET),436,0,217,5975,2890,83,0,0,668,0,165,1786,192,0,0,6406,0,0,41,0,3747
Italy (IT),04.01.2018 07:00 - 04.01.2018 08:00 (CET),433,0,217,7262,3651,91,0,0,667,0,26,2312,367,0,0,7397,0,26,38,0,3071
Italy (IT),04.01.2018 08:00 - 04.01.2018 09:00 (CET),432,0,217,8009,3943,97,0,0,667,215,24,3522,849,0,0,8066,0,662,37,0,2726
Italy (IT),04.01.2018 09:00 - 04.01.2018 10:00 (CET),421,0,217,8694,3924,108,0,0,660,231,0,3533,901,0,0,7798,0,2590,40,0,2696
Italy (IT),04.01.2018 10:00 - 04.01.2018 11:00 (CET),429,0,217,8582,3707,181,0,0,656,143,0,2729,873,0,0,7148,0,4782,42,0,2755
Italy (IT),04.01.2018 11:00 - 04.01.2018 12:00 (CET),435,0,217,8708,3337,205,0,0,655,144,0,2294,568,0,0,7120,0,5139,44,0,2788
Italy (IT),04.01.2018 12:00 - 04.01.2018 13:00 (CET),434,0,217,8675,3181,214,0,0,655,43,25,2096,344,0,0,7035,0,5567,42,0,3063
Italy (IT),04.01.2018 13:00 - 04.01.2018 14:00 (CET),432,0,217,8054,3204,219,0,0,655,43,24,2139,324,0,0,6517,0,5140,42,0,3478
Italy (IT),04.01.2018 14:00 - 04.01.2018 15:00 (CET),428,0,217,8793,3231,249,0,0,655,111,0,2217,336,0,0,6758,0,3143,42,0,3782
Italy (IT),04.01.2018 15:00 - 04.01.2018 16:00 (CET),421,0,217,9495,3531,245,0,0,655,196,0,2496,675,0,0,7411,0,1511,43,0,3826
Italy (IT),04.01.2018 16:00 - 04.01.2018 17:00 (CET),429,0,219,9587,3645,247,0,0,654,438,0,3764,1211,0,0,7768,0,180,41,0,3822
Italy (IT),04.01.2018 17:00 - 04.01.2018 18:00 (CET),434,0,219,9271,3595,228,0,0,656,880,0,4514,1244,0,0,8296,0,0,43,0,4560
Italy (IT),04.01.2018 18:00 - 04.01.2018 19:00 (CET),436,0,219,9164,3579,216,0,0,664,657,0,4365,1094,0,0,7929,0,0,42,0,4932
Italy (IT),04.01.2018 19:00 - 04.01.2018 20:00 (CET),434,0,219,9109,3624,215,0,0,668,774,0,4206,1003,0,0,7840,0,0,42,0,4873
Italy (IT),04.01.2018 20:00 - 04.01.2018 21:00 (CET),432,0,219,9066,3617,215,0,0,668,483,0,3364,622,0,0,7656,0,0,40,0,4683
Italy (IT),04.01.2018 21:00 - 04.01.2018 22:00 (CET),435,0,219,7999,3383,242,0,0,670,123,0,2620,486,0,0,7257,0,0,38,0,4592
Italy (IT),04.01.2018 22:00 - 04.01.2018 23:00 (CET),431,0,219,7283,2975,226,0,0,669,110,0,2154,261,0,0,6701,0,0,42,0,4683
Italy (IT),04.01.2018 23:00 - 05.01.2018 00:00 (CET),424,0,219,6409,2274,234,0,0,669,43,24,2027,246,0,0,6175,0,0,43,0,4749
Italy (IT),05.01.2018 00:00 - 05.01.2018 01:00 (CET),421,0,219,4295,2122,98,0,0,667,0,83,1888,216,0,0,5098,0,0,42,0,4698
Italy (IT),05.01.2018 01:00 - 05.01.2018 02:00 (CET),426,0,219,3942,2069,80,0,0,668,0,241,1683,131,0,0,4728,0,0,40,0,4530
Italy (IT),05.01.2018 02:00 - 05.01.2018 03:00 (CET),433,0,219,3972,2065,80,0,0,668,0,1412,1659,110,0,0,4792,0,0,41,0,4337
Italy (IT),05.01.2018 03:00 - 05.01.2018 04:00 (CET),432,0,219,4111,2090,88,0,0,668,0,1816,1658,110,0,0,4785,0,0,44,0,4187
Italy (IT),05.01.2018 04:00 - 05.01.2018 05:00 (CET),422,0,219,4279,2172,95,0,0,668,0,1727,1636,123,0,0,4785,0,0,42,0,3828
Italy (IT),05.01.2018 05:00 - 05.01.2018 06:00 (CET),433,0,219,4696,2489,87,0,0,669,0,822,1732,150,0,0,5001,0,0,43,0,3889
