Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Montenegro (ME),01.01.2018 00:00 - 01.01.2018 01:00 (CET),0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 01:00 - 01.01.2018 02:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 02:00 - 01.01.2018 03:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 03:00 - 01.01.2018 04:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 04:00 - 01.01.2018 05:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 05:00 - 01.01.2018 06:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 06:00 - 01.01.2018 07:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 07:00 - 01.01.2018 08:00 (CET),0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 08:00 - 01.01.2018 09:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 09:00 - 01.01.2018 10:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 10:00 - 01.01.2018 11:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 11:00 - 01.01.2018 12:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 12:00 - 01.01.2018 13:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 13:00 - 01.01.2018 14:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 14:00 - 01.01.2018 15:00 (CET),0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 15:00 - 01.01.2018 16:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 16:00 - 01.01.2018 17:00 (CET),0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 17:00 - 01.01.2018 18:00 (CET),0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 18:00 - 01.01.2018 19:00 (CET),0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 19:00 - 01.01.2018 20:00 (CET),0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 20:00 - 01.01.2018 21:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 21:00 - 01.01.2018 22:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 22:00 - 01.01.2018 23:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),01.01.2018 23:00 - 02.01.2018 00:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 00:00 - 02.01.2018 01:00 (CET),0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 01:00 - 02.01.2018 02:00 (CET),0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 02:00 - 02.01.2018 03:00 (CET),0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 03:00 - 02.01.2018 04:00 (CET),0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 04:00 - 02.01.2018 05:00 (CET),0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 05:00 - 02.01.2018 06:00 (CET),0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 06:00 - 02.01.2018 07:00 (CET),0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 07:00 - 02.01.2018 08:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 08:00 - 02.01.2018 09:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 09:00 - 02.01.2018 10:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 10:00 - 02.01.2018 11:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 11:00 - 02.01.2018 12:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 12:00 - 02.01.2018 13:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 13:00 - 02.01.2018 14:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 14:00 - 02.01.2018 15:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 15:00 - 02.01.2018 16:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 16:00 - 02.01.2018 17:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 17:00 - 02.01.2018 18:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 18:00 - 02.01.2018 19:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 19:00 - 02.01.2018 20:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 20:00 - 02.01.2018 21:00 (CET),0,205,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 21:00 - 02.01.2018 22:00 (CET),0,205,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 22:00 - 02.01.2018 23:00 (CET),0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),02.01.2018 23:00 - 03.01.2018 00:00 (CET),0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 00:00 - 03.01.2018 01:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 01:00 - 03.01.2018 02:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 02:00 - 03.01.2018 03:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 03:00 - 03.01.2018 04:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 04:00 - 03.01.2018 05:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 05:00 - 03.01.2018 06:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 06:00 - 03.01.2018 07:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 07:00 - 03.01.2018 08:00 (CET),0,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 08:00 - 03.01.2018 09:00 (CET),0,174,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 09:00 - 03.01.2018 10:00 (CET),0,205,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 10:00 - 03.01.2018 11:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 11:00 - 03.01.2018 12:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 12:00 - 03.01.2018 13:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 13:00 - 03.01.2018 14:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 14:00 - 03.01.2018 15:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 15:00 - 03.01.2018 16:00 (CET),0,207,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 16:00 - 03.01.2018 17:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 17:00 - 03.01.2018 18:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0
Montenegro (ME),03.01.2018 18:00 - 03.01.2018 19:00 (CET),0,206,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0
