Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Netherlands (NL),01.01.2018 00:00 - 01.01.2018 00:15 (CET),48,0,0,1440,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,850,2655
Netherlands (NL),01.01.2018 00:15 - 01.01.2018 00:30 (CET),48,0,0,1451,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,853,2739
Netherlands (NL),01.01.2018 00:30 - 01.01.2018 00:45 (CET),47,0,0,1439,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,855,2742
Netherlands (NL),01.01.2018 00:45 - 01.01.2018 01:00 (CET),47,0,0,1441,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,862,2750
Netherlands (NL),01.01.2018 01:00 - 01.01.2018 01:15 (CET),47,0,0,1445,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,861,2773
Netherlands (NL),01.01.2018 01:15 - 01.01.2018 01:30 (CET),47,0,0,1444,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,860,2818
Netherlands (NL),01.01.2018 01:30 - 01.01.2018 01:45 (CET),47,0,0,1442,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,858,2822
Netherlands (NL),01.01.2018 01:45 - 01.01.2018 02:00 (CET),47,0,0,1425,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,861,2821
Netherlands (NL),01.01.2018 02:00 - 01.01.2018 02:15 (CET),47,0,0,1430,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,862,2818
Netherlands (NL),01.01.2018 02:15 - 01.01.2018 02:30 (CET),47,0,0,1447,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,861,2850
Netherlands (NL),01.01.2018 02:30 - 01.01.2018 02:45 (CET),47,0,0,1468,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,860,2837
Netherlands (NL),01.01.2018 02:45 - 01.01.2018 03:00 (CET),47,0,0,1422,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,860,2860
Netherlands (NL),01.01.2018 03:00 - 01.01.2018 03:15 (CET),47,0,0,1393,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,852,2834
Netherlands (NL),01.01.2018 03:15 - 01.01.2018 03:30 (CET),47,0,0,1463,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,855,2847
Netherlands (NL),01.01.2018 03:30 - 01.01.2018 03:45 (CET),47,0,0,1401,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,857,2821
