Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Poland (PL),01.01.2018 00:00 - 01.01.2018 01:00 (CET),0,2789,68,455,6032,180,0,0,0,42,0,292,0,0,0,0,0,0,0,0,3894
Poland (PL),01.01.2018 01:00 - 01.01.2018 02:00 (CET),0,2586,68,454,5995,180,0,0,0,9,0,290,0,0,0,0,0,0,0,0,3829
Poland (PL),01.01.2018 02:00 - 01.01.2018 03:00 (CET),0,2416,70,455,5860,181,0,0,0,0,0,290,0,0,0,0,0,0,0,0,3983
Poland (PL),01.01.2018 03:00 - 01.01.2018 04:00 (CET),0,2330,71,454,5782,180,0,0,0,0,0,290,0,0,0,0,0,0,0,0,4083
Poland (PL),01.01.2018 04:00 - 01.01.2018 05:00 (CET),0,2357,73,455,5883,181,0,0,0,0,0,290,0,0,0,0,0,0,0,0,4089
Poland (PL),01.01.2018 05:00 - 01.01.2018 06:00 (CET),0,2287,75,454,5878,181,0,0,0,0,0,290,0,0,0,0,0,0,0,0,4218
Poland (PL),01.01.2018 06:00 - 01.01.2018 07:00 (CET),0,2185,74,454,5789,181,0,0,0,0,0,290,0,0,0,0,0,0,0,0,4243
Poland (PL),01.01.2018 07:00 - 01.01.2018 08:00 (CET),0,2163,72,453,5783,181,0,0,0,0,0,290,0,0,0,0,0,0,0,0,4236
Poland (PL),01.01.2018 08:00 - 01.01.2018 09:00 (CET),0,2186,71,454,5865,183,0,0,0,18,0,289,0,0,0,0,0,0,0,0,4210
Poland (PL),01.01.2018 09:00 - 01.01.2018 10:00 (CET),0,2634,71,453,6210,183,0,0,0,20,0,303,0,0,0,0,0,0,0,0,4094
