Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Portugal (PT),01.01.2018 00:00 - 01.01.2018 01:00 (CET),340,0,0,364,270,0,0,0,0,377,102,262,46,0,0,41,0,0,0,0,1502
Portugal (PT),01.01.2018 01:00 - 01.01.2018 02:00 (CET),345,0,0,364,270,0,0,0,0,369,65,279,79,0,0,42,0,0,0,0,1603
Portugal (PT),01.01.2018 02:00 - 01.01.2018 03:00 (CET),348,0,0,364,271,0,0,0,0,339,255,248,79,0,0,43,0,0,0,0,1559
Portugal (PT),01.01.2018 03:00 - 01.01.2018 04:00 (CET),346,0,0,365,270,0,0,0,0,602,668,179,119,0,0,41,0,0,0,0,1543
Portugal (PT),01.01.2018 04:00 - 01.01.2018 05:00 (CET),344,0,0,365,270,0,0,0,0,273,759,172,67,0,0,41,0,0,0,0,1797
Portugal (PT),01.01.2018 05:00 - 01.01.2018 06:00 (CET),340,0,0,365,270,0,0,0,0,48,895,168,67,0,0,40,0,0,0,0,2014
Portugal (PT),01.01.2018 06:00 - 01.01.2018 07:00 (CET),341,0,0,365,270,0,0,0,0,0,1361,158,67,0,0,41,0,0,0,0,2454
Portugal (PT),01.01.2018 07:00 - 01.01.2018 08:00 (CET),344,0,0,364,270,0,0,0,0,0,1675,160,70,0,0,42,0,0,0,0,2869
Portugal (PT),01.01.2018 08:00 - 01.01.2018 09:00 (CET),341,0,0,364,271,0,0,0,0,0,1919,158,70,0,0,42,0,0,0,0,3116
Portugal (PT),01.01.2018 09:00 - 01.01.2018 10:00 (CET),342,0,0,364,270,0,0,0,0,0,1790,189,73,0,0,42,0,41,0,0,3058
