Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Romania (RO),01.01.2018 00:00 - 01.01.2018 01:00 (CET),25,1532,0,1128,113,0,0,0,0,0,1157,60,0,1394,0,0,0,0,0,684
Romania (RO),01.01.2018 01:00 - 01.01.2018 02:00 (CET),25,1464,0,1115,112,0,0,0,0,0,990,36,0,1394,0,0,0,0,0,606
Romania (RO),01.01.2018 02:00 - 01.01.2018 03:00 (CET),25,1276,0,1115,112,0,0,0,0,0,857,32,0,1394,0,0,0,0,0,492
Romania (RO),01.01.2018 03:00 - 01.01.2018 04:00 (CET),25,1275,0,1116,113,0,0,0,0,0,754,36,0,1394,0,0,0,0,0,376
Romania (RO),01.01.2018 04:00 - 01.01.2018 05:00 (CET),25,1288,0,1116,114,0,0,0,0,0,744,40,0,1394,0,0,0,0,0,303
Romania (RO),01.01.2018 05:00 - 01.01.2018 06:00 (CET),25,1259,0,1116,112,0,0,0,0,0,706,25,0,1394,0,0,0,0,0,261
Romania (RO),01.01.2018 06:00 - 01.01.2018 07:00 (CET),25,1227,0,1117,111,0,0,0,0,0,731,54,0,1393,0,0,0,0,0,187
Romania (RO),01.01.2018 07:00 - 01.01.2018 08:00 (CET),25,1213,0,1116,111,0,0,0,0,0,670,63,0,1393,0,0,22,0,0,111
Romania (RO),01.01.2018 08:00 - 01.01.2018 09:00 (CET),25,1226,0,1109,113,0,0,0,0,0,674,33,0,1393,0,0,129,0,0,44
Romania (RO),01.01.2018 09:00 - 01.01.2018 10:00 (CET),25,1253,0,1105,116,0,0,0,0,0,709,73,0,1392,0,0,272,0,0,1
Romania (RO),01.01.2018 10:00 - 01.01.2018 11:00 (CET),25,1277,0,1108,115,0,0,0,0,0,833,80,0,1392,0,0,351,0,0,8
Romania (RO),01.01.2018 11:00 - 01.01.2018 12:00 (CET),25,1284,0,1107,113,0,0,0,0,0,1087,80,0,1392,0,0,383,0,0,15
Romania (RO),01.01.2018 12:00 - 01.01.2018 13:00 (CET),25,1286,0,1109,113,0,0,0,0,0,1311,90,0,1392,0,0,345,0,0,22
Romania (RO),01.01.2018 13:00 - 01.01.2018 14:00 (CET),26,1290,0,1111,112,0,0,0,0,0,1425,106,0,1392,0,0,240,0,0,29
Romania (RO),01.01.2018 14:00 - 01.01.2018 15:00 (CET),27,1406,0,1118,116,0,0,0,0,0,1455,119,0,1393,0,0,114,0,0,37
Romania (RO),01.01.2018 15:00 - 01.01.2018 16:00 (CET),32,1595,0,1149,116,0,0,0,0,0,1580,78,0,1394,0,0,17,0,0,218
Romania (RO),01.01.2018 16:00 - 01.01.2018 17:00 (CET),33,1622,0,1179,123,0,0,0,0,0,1784,563,0,1395,0,0,0,0,0,378
Romania (RO),01.01.2018 17:00 - 01.01.2018 18:00 (CET),33,1597,0,1175,127,0,0,0,0,0,1749,864,0,1394,0,0,0,0,0,541
Romania (RO),01.01.2018 18:00 - 01.01.2018 19:00 (CET),33,1592,0,1168,122,0,0,0,0,0,1732,731,0,1395,0,0,0,0,0,750
Romania (RO),01.01.2018 19:00 - 01.01.2018 20:00 (CET),32,1612,0,1180,118,0,0,0,0,0,1807,418,0,1395,0,0,0,0,0,958
Romania (RO),01.01.2018 20:00 - 01.01.2018 21:00 (CET),34,1633,0,1185,118,0,0,0,0,0,1733,154,0,1394,0,0,0,0,0,1080
Romania (RO),01.01.2018 21:00 - 01.01.2018 22:00 (CET),34,1622,0,1165,118,0,0,0,0,0,1446,108,0,1394,0,0,0,0,0,1194
Romania (RO),01.01.2018 22:00 - 01.01.2018 23:00 (CET),34,1632,0,1131,115,0,0,0,0,0,1226,50,0,1394,0,0,0,0,0,1219
Romania (RO),01.01.2018 23:00 - 02.01.2018 00:00 (CET),34,1565,0,1124,116,0,0,0,0,0,1129,16,0,1394,0,0,0,0,0,1208
Romania (RO),02.01.2018 00:00 - 02.01.2018 01:00 (CET),34,1503,0,1122,116,0,0,0,0,0,1014,14,0,1394,0,0,0,0,0,1440
Romania (RO),02.01.2018 01:00 - 02.01.2018 02:00 (CET),34,1297,0,1123,116,0,0,0,0,0,1065,14,0,1395,0,0,0,0,0,1475
Romania (RO),02.01.2018 02:00 - 02.01.2018 03:00 (CET),34,1260,0,1122,117,0,0,0,0,0,1056,14,0,1395,0,0,0,0,0,1469
Romania (RO),02.01.2018 03:00 - 02.01.2018 04:00 (CET),34,1234,0,1118,118,0,0,0,0,0,1005,18,0,1395,0,0,0,0,0,1580
Romania (RO),02.01.2018 04:00 - 02.01.2018 05:00 (CET),32,1241,0,1119,118,0,0,0,0,0,1012,13,0,1395,0,0,0,0,0,1659
Romania (RO),02.01.2018 05:00 - 02.01.2018 06:00 (CET),23,1238,0,1114,108,0,0,0,0,0,982,24,0,1395,0,0,0,0,0,1849
Romania (RO),02.01.2018 06:00 - 02.01.2018 07:00 (CET),26,1211,0,1111,118,0,0,0,0,0,1160,38,0,1395,0,0,0,0,0,1939
Romania (RO),02.01.2018 07:00 - 02.01.2018 08:00 (CET),32,1273,0,1113,112,0,0,0,0,0,1332,61,0,1395,0,0,2,0,0,1976
Romania (RO),02.01.2018 08:00 - 02.01.2018 09:00 (CET),35,1305,0,1123,112,0,0,0,0,0,1516,62,0,1395,0,0,34,0,0,2049
Romania (RO),02.01.2018 09:00 - 02.01.2018 10:00 (CET),34,1307,0,1112,113,0,0,0,0,0,1555,66,0,1395,0,0,78,0,0,2204
Romania (RO),02.01.2018 10:00 - 02.01.2018 11:00 (CET),35,1391,0,1109,113,0,0,0,0,0,1575,52,0,1394,0,0,83,0,0,2231
Romania (RO),02.01.2018 11:00 - 02.01.2018 12:00 (CET),35,1476,0,1101,113,0,0,0,0,0,1525,37,0,1394,0,0,79,0,0,2258
Romania (RO),02.01.2018 12:00 - 02.01.2018 13:00 (CET),34,1447,0,1114,112,0,0,0,0,0,1463,44,0,1394,0,0,67,0,0,2308
Romania (RO),02.01.2018 13:00 - 02.01.2018 14:00 (CET),32,1340,0,1215,112,0,0,0,0,0,1366,43,0,1394,0,0,42,0,0,2370
Romania (RO),02.01.2018 14:00 - 02.01.2018 15:00 (CET),34,1314,0,1319,114,0,0,0,0,0,1542,50,0,1394,0,0,18,0,0,2128
Romania (RO),02.01.2018 15:00 - 02.01.2018 16:00 (CET),35,1495,0,1357,122,0,0,0,0,0,1576,98,0,1393,0,0,4,0,0,2104
Romania (RO),02.01.2018 16:00 - 02.01.2018 17:00 (CET),35,1736,0,1390,156,0,0,0,0,0,1646,240,0,1393,0,0,2,0,0,1884
Romania (RO),02.01.2018 17:00 - 02.01.2018 18:00 (CET),36,1703,0,1558,184,0,0,0,0,0,1620,453,0,1392,0,0,1,0,0,1591
Romania (RO),02.01.2018 18:00 - 02.01.2018 19:00 (CET),34,1732,0,1564,216,0,0,0,0,0,1732,518,0,1392,0,0,0,0,0,1188
Romania (RO),02.01.2018 19:00 - 02.01.2018 20:00 (CET),35,1751,0,1574,234,0,0,0,0,0,1799,494,0,1393,0,0,0,0,0,869
Romania (RO),02.01.2018 20:00 - 02.01.2018 21:00 (CET),36,1676,0,1558,234,0,0,0,0,0,1671,477,0,1393,0,0,0,0,0,791
Romania (RO),02.01.2018 21:00 - 02.01.2018 22:00 (CET),35,1609,0,1561,236,0,0,0,0,0,1513,380,0,1394,0,0,0,0,0,738
Romania (RO),02.01.2018 22:00 - 02.01.2018 23:00 (CET),36,1583,0,1545,230,0,0,0,0,0,1322,116,0,1394,0,0,0,0,0,811
Romania (RO),02.01.2018 23:00 - 03.01.2018 00:00 (CET),32,1622,0,1424,233,0,0,0,0,0,1159,112,0,1394,0,0,0,0,0,789
Romania (RO),03.01.2018 00:00 - 03.01.2018 01:00 (CET),32,1603,0,1333,231,0,0,0,0,0,933,74,0,1393,0,0,0,0,0,695
Romania (RO),03.01.2018 01:00 - 03.01.2018 02:00 (CET),32,1468,0,1329,233,0,0,0,0,0,937,75,0,1394,0,0,0,0,0,681
Romania (RO),03.01.2018 02:00 - 03.01.2018 03:00 (CET),30,1431,0,1331,232,0,0,0,0,0,819,72,0,1394,0,0,0,0,0,693
Romania (RO),03.01.2018 03:00 - 03.01.2018 04:00 (CET),31,1421,0,1330,228,0,0,0,0,0,656,38,0,1393,0,0,0,0,0,677
Romania (RO),03.01.2018 04:00 - 03.01.2018 05:00 (CET),31,1553,0,1336,236,0,0,0,0,0,835,72,0,1394,0,0,0,0,0,713
Romania (RO),03.01.2018 05:00 - 03.01.2018 06:00 (CET),31,1715,0,1343,234,0,0,0,0,0,1012,111,0,1394,0,0,0,0,0,757
Romania (RO),03.01.2018 06:00 - 03.01.2018 07:00 (CET),34,1969,0,1363,240,0,0,0,0,0,1682,116,0,1394,0,0,0,0,0,727
Romania (RO),03.01.2018 07:00 - 03.01.2018 08:00 (CET),35,2055,0,1562,249,0,0,0,0,0,1823,228,0,1392,0,0,3,0,0,756
Romania (RO),03.01.2018 08:00 - 03.01.2018 09:00 (CET),34,2051,0,1592,249,0,0,0,0,0,1871,236,0,1389,0,0,37,0,0,742
Romania (RO),03.01.2018 09:00 - 03.01.2018 10:00 (CET),35,2070,0,1616,253,0,0,0,0,0,1889,171,0,1373,0,0,98,0,0,831
Romania (RO),03.01.2018 10:00 - 03.01.2018 11:00 (CET),34,2078,0,1623,244,0,0,0,0,0,1792,128,0,1335,0,0,159,0,0,941
Romania (RO),03.01.2018 11:00 - 03.01.2018 12:00 (CET),35,2099,0,1965,250,0,0,0,0,0,1833,109,0,1356,0,0,205,0,0,613
Romania (RO),03.01.2018 12:00 - 03.01.2018 13:00 (CET),35,2112,0,1991,248,0,0,0,0,0,1795,125,0,1343,0,0,216,0,0,463
Romania (RO),03.01.2018 13:00 - 03.01.2018 14:00 (CET),35,1905,0,1985,245,0,0,0,0,0,1756,399,0,1356,0,0,154,0,0,316
Romania (RO),03.01.2018 14:00 - 03.01.2018 15:00 (CET),35,1931,0,1985,252,0,0,0,0,0,1792,376,0,1339,0,0,65,0,0,220
Romania (RO),03.01.2018 15:00 - 03.01.2018 16:00 (CET),35,1882,0,1985,241,0,0,0,0,0,1711,532,0,1381,0,0,11,0,0,192
Romania (RO),03.01.2018 16:00 - 03.01.2018 17:00 (CET),35,1936,0,2056,263,0,0,0,0,0,1755,594,0,1377,0,0,1,0,0,258
Romania (RO),03.01.2018 17:00 - 03.01.2018 18:00 (CET),35,2031,0,2051,258,0,0,0,0,0,1731,517,0,1369,0,0,0,0,0,330
Romania (RO),03.01.2018 18:00 - 03.01.2018 19:00 (CET),35,2127,0,2010,238,0,0,0,0,0,1710,285,0,1383,0,0,0,0,0,336
Romania (RO),03.01.2018 19:00 - 03.01.2018 20:00 (CET),35,2119,0,2001,232,0,0,0,0,0,1564,217,0,1384,0,0,0,0,0,433
Romania (RO),03.01.2018 20:00 - 03.01.2018 21:00 (CET),36,2043,0,1662,232,0,0,0,0,0,1807,166,0,1381,0,0,0,0,0,588
