Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
France (FR),01.01.2018 00:00 - 01.01.2018 01:00 (CET),295,0,0,2305,11,209,0,0,0,1105,5832,2244,0,37183,0,0,0,259,0,9808
France (FR),01.01.2018 01:00 - 01.01.2018 02:00 (CET),293,0,0,2316,11,214,0,0,0,1343,5786,2160,0,34793,0,0,0,257,0,9707
France (FR),01.01.2018 02:00 - 01.01.2018 03:00 (CET),293,0,0,2286,11,215,0,0,0,1394,5593,1571,0,34263,0,0,0,256,0,9502
France (FR),01.01.2018 03:00 - 01.01.2018 04:00 (CET),294,0,0,2290,11,214,0,0,0,1344,5507,1319,0,34081,0,0,0,252,0,9288
France (FR),01.01.2018 04:00 - 01.01.2018 05:00 (CET),294,0,0,2291,10,215,0,0,0,1840,5261,705,0,34103,0,0,0,252,0,9005
France (FR),01.01.2018 05:00 - 01.01.2018 06:00 (CET),294,0,0,2271,10,217,0,0,0,2527,5233,482,0,34032,0,0,0,249,0,9050
France (FR),01.01.2018 06:00 - 01.01.2018 07:00 (CET),294,0,0,2275,11,217,0,0,0,2830,5345,750,0,34437,0,0,0,247,0,8925
France (FR),01.01.2018 07:00 - 01.01.2018 08:00 (CET),294,0,0,2393,11,216,0,0,0,2777,5462,918,0,34376,0,0,0,250,0,9021
France (FR),01.01.2018 08:00 - 01.01.2018 09:00 (CET),294,0,0,2414,10,215,0,0,0,2757,5504,1372,0,34973,0,0,99,251,0,8820
France (FR),01.01.2018 09:00 - 01.01.2018 10:00 (CET),294,0,0,2412,11,214,0,0,0,2596,5764,1253,0,35491,0,0,490,251,0,8590
France (FR),01.01.2018 10:00 - 01.01.2018 11:00 (CET),293,0,0,2408,11,214,0,0,0,2975,5718,756,0,35900,0,0,1125,250,0,8453
France (FR),01.01.2018 11:00 - 01.01.2018 12:00 (CET),290,0,0,2404,11,213,0,0,0,3083,5781,880,0,36061,0,0,1550,252,0,8557
France (FR),01.01.2018 12:00 - 01.01.2018 13:00 (CET),291,0,0,2400,11,213,0,0,0,2732,5870,1479,0,35920,0,0,1534,252,0,8710
France (FR),01.01.2018 13:00 - 01.01.2018 14:00 (CET),293,0,0,2399,11,215,0,0,0,2605,5741,1798,0,36108,0,0,1363,250,0,8286
France (FR),01.01.2018 14:00 - 01.01.2018 15:00 (CET),294,0,0,2394,11,215,0,0,0,1493,5775,2485,0,36620,0,0,1095,249,0,7839
France (FR),01.01.2018 15:00 - 01.01.2018 16:00 (CET),294,0,0,2398,12,216,0,0,0,1149,5780,2240,0,38278,0,0,642,250,0,7730
France (FR),01.01.2018 16:00 - 01.01.2018 17:00 (CET),294,0,0,2399,9,216,0,0,0,729,5750,2030,0,39870,0,0,222,251,0,8633
France (FR),01.01.2018 17:00 - 01.01.2018 18:00 (CET),294,0,0,2401,8,216,0,0,0,544,5848,1803,0,43150,0,0,48,247,0,9373
France (FR),01.01.2018 18:00 - 01.01.2018 19:00 (CET),294,0,0,2405,7,215,0,0,0,511,6065,1998,0,45302,0,0,0,248,0,9495
France (FR),01.01.2018 19:00 - 01.01.2018 20:00 (CET),294,0,0,2409,3,214,0,0,0,1629,6258,2846,0,46415,0,0,0,247,0,9513
France (FR),01.01.2018 20:00 - 01.01.2018 21:00 (CET),294,0,0,2408,3,214,0,0,0,564,6099,2336,0,47170,0,0,0,244,0,9409
France (FR),01.01.2018 21:00 - 01.01.2018 22:00 (CET),296,0,0,2413,3,214,0,0,0,1031,5815,1363,0,47486,0,0,0,245,0,9315
France (FR),01.01.2018 22:00 - 01.01.2018 23:00 (CET),295,0,0,2414,5,215,0,0,0,496,5991,1497,0,47449,0,0,0,245,0,8874
France (FR),01.01.2018 23:00 - 02.01.2018 00:00 (CET),294,0,0,2421,8,215,0,0,0,340,6019,1511,0,47729,0,0,0,248,0,8622
France (FR),02.01.2018 00:00 - 02.01.2018 01:00 (CET),297,0,0,2563,11,216,0,0,0,448,5894,1119,0,46834,0,0,0,251,0,8479
France (FR),02.01.2018 01:00 - 02.01.2018 02:00 (CET),297,0,0,2569,11,216,0,0,0,1658,5756,920,0,45266,0,0,0,251,0,8214
France (FR),02.01.2018 02:00 - 02.01.2018 03:00 (CET),297,0,0,2570,11,214,0,0,0,2444,5871,936,0,43646,0,0,0,254,0,7897
France (FR),02.01.2018 03:00 - 02.01.2018 04:00 (CET),297,0,0,2576,11,214,0,0,0,3105,5709,1009,0,43034,0,0,0,256,0,7318
France (FR),02.01.2018 04:00 - 02.01.2018 05:00 (CET),297,0,0,2580,11,214,0,0,0,3303,5561,1069,0,43426,0,0,0,243,0,6788
France (FR),02.01.2018 05:00 - 02.01.2018 06:00 (CET),296,0,0,2580,11,215,0,0,0,2290,5507,1289,0,45438,0,0,0,237,0,6330
France (FR),02.01.2018 06:00 - 02.01.2018 07:00 (CET),297,0,0,2585,11,215,0,0,0,186,5601,2007,0,48067,0,0,0,234,0,5560
France (FR),02.01.2018 07:00 - 02.01.2018 08:00 (CET),297,0,0,2737,11,216,0,0,0,1032,5955,1938,0,50833,0,0,0,233,0,4786
France (FR),02.01.2018 08:00 - 02.01.2018 09:00 (CET),297,0,0,3074,10,216,0,0,0,779,6147,1569,0,53545,0,0,84,237,0,4305
France (FR),02.01.2018 09:00 - 02.01.2018 10:00 (CET),297,0,0,3328,9,215,0,0,0,750,6279,1510,0,54828,0,0,392,237,0,4094
France (FR),02.01.2018 10:00 - 02.01.2018 11:00 (CET),297,0,0,3392,9,215,0,0,0,1209,6471,1639,0,55085,0,0,881,243,0,4014
France (FR),02.01.2018 11:00 - 02.01.2018 12:00 (CET),296,0,0,3431,10,215,0,0,0,1611,6381,2415,0,55319,0,0,1199,237,0,3815
France (FR),02.01.2018 12:00 - 02.01.2018 13:00 (CET),297,0,0,3463,11,215,0,0,0,2158,6353,2895,0,55246,0,0,1196,254,0,3826
France (FR),02.01.2018 13:00 - 02.01.2018 14:00 (CET),297,0,0,3328,11,214,0,0,0,1908,6475,2572,0,55198,0,0,1183,253,0,4223
France (FR),02.01.2018 14:00 - 02.01.2018 15:00 (CET),295,0,0,3109,11,214,0,0,0,1515,6390,2261,0,55113,0,0,953,251,0,4719
France (FR),02.01.2018 15:00 - 02.01.2018 16:00 (CET),296,0,0,3032,11,214,0,0,0,1440,6263,2138,0,55331,0,0,566,252,0,5587
France (FR),02.01.2018 16:00 - 02.01.2018 17:00 (CET),297,0,0,3131,9,215,0,0,0,1291,6193,1810,0,55619,0,0,201,255,0,6749
France (FR),02.01.2018 17:00 - 02.01.2018 18:00 (CET),295,0,0,3445,8,214,0,0,0,1427,6450,1971,0,55658,0,0,63,260,0,7387
France (FR),02.01.2018 18:00 - 02.01.2018 19:00 (CET),294,0,0,3660,8,214,0,0,0,1211,6461,1912,0,55512,0,0,0,259,0,7879
France (FR),02.01.2018 19:00 - 02.01.2018 20:00 (CET),290,0,0,3570,10,214,0,0,0,1957,6461,2105,0,55649,0,0,0,252,0,8087
France (FR),02.01.2018 20:00 - 02.01.2018 21:00 (CET),295,0,0,2855,11,214,0,0,0,667,6258,1474,0,54934,0,0,0,254,0,8584
France (FR),02.01.2018 21:00 - 02.01.2018 22:00 (CET),294,0,0,2776,11,214,0,0,0,689,6096,1195,0,53865,0,0,0,253,0,8997
France (FR),02.01.2018 22:00 - 02.01.2018 23:00 (CET),298,0,0,2771,11,213,0,0,0,1141,6158,1529,0,53281,0,0,0,255,0,9259
France (FR),02.01.2018 23:00 - 03.01.2018 00:00 (CET),296,0,0,2747,11,213,0,0,0,2293,6303,1565,0,52764,0,0,0,257,0,9695
France (FR),03.01.2018 00:00 - 03.01.2018 01:00 (CET),295,0,0,2516,11,214,0,0,0,2429,6237,1055,0,50541,0,0,0,256,0,10030
France (FR),03.01.2018 01:00 - 03.01.2018 02:00 (CET),297,0,0,2494,11,217,0,0,0,2855,6044,1421,0,46688,0,0,0,256,0,10159
France (FR),03.01.2018 02:00 - 03.01.2018 03:00 (CET),298,0,0,2491,11,217,0,0,0,3255,6053,1057,0,45056,0,0,0,256,0,9928
France (FR),03.01.2018 03:00 - 03.01.2018 04:00 (CET),292,0,0,2492,11,217,0,0,0,3277,6027,851,0,43032,0,0,0,249,0,9467
France (FR),03.01.2018 04:00 - 03.01.2018 05:00 (CET),285,0,0,2489,11,217,0,0,0,2959,5830,700,0,42547,0,0,0,250,0,9256
France (FR),03.01.2018 05:00 - 03.01.2018 06:00 (CET),296,0,0,2491,10,217,0,0,0,1677,5815,934,0,43417,0,0,0,248,0,8870
France (FR),03.01.2018 06:00 - 03.01.2018 07:00 (CET),295,0,0,2484,9,215,0,0,0,647,5932,1407,0,47138,0,0,0,246,0,8298
France (FR),03.01.2018 07:00 - 03.01.2018 08:00 (CET),296,0,0,2489,9,214,0,0,0,193,6016,1789,0,50959,0,0,0,244,0,8380
France (FR),03.01.2018 08:00 - 03.01.2018 09:00 (CET),297,0,0,2492,9,215,0,0,0,336,6184,1827,0,54247,0,0,85,233,0,8524
France (FR),03.01.2018 09:00 - 03.01.2018 10:00 (CET),297,0,0,2501,10,216,0,0,0,1356,6275,1903,0,55031,0,0,333,231,0,8813
France (FR),03.01.2018 10:00 - 03.01.2018 11:00 (CET),296,0,0,2490,9,217,0,0,0,899,6274,1915,0,55140,0,0,823,231,0,9140
France (FR),03.01.2018 11:00 - 03.01.2018 12:00 (CET),294,0,0,2498,10,216,0,0,0,1165,6557,2159,0,55261,0,0,1197,234,0,9388
France (FR),03.01.2018 12:00 - 03.01.2018 13:00 (CET),292,0,0,2489,10,217,0,0,0,1056,6623,2208,0,55808,0,0,1455,236,0,9541
France (FR),03.01.2018 13:00 - 03.01.2018 14:00 (CET),292,0,0,2486,10,216,0,0,0,442,6633,2519,0,55680,0,0,1367,239,0,9630
France (FR),03.01.2018 14:00 - 03.01.2018 15:00 (CET),292,0,0,2488,9,216,0,0,0,860,6634,2458,0,55765,0,0,1019,238,0,9734
France (FR),03.01.2018 15:00 - 03.01.2018 16:00 (CET),293,0,0,2495,9,216,0,0,0,1198,6564,1949,0,55575,0,0,594,241,0,9669
France (FR),03.01.2018 16:00 - 03.01.2018 17:00 (CET),293,0,0,2460,8,215,0,0,0,1073,6546,1588,0,55288,0,0,206,242,0,9581
France (FR),03.01.2018 17:00 - 03.01.2018 18:00 (CET),293,0,0,2377,8,215,0,0,0,202,6628,2409,0,55858,0,0,65,244,0,9394
France (FR),03.01.2018 18:00 - 03.01.2018 19:00 (CET),291,0,0,2380,8,215,0,0,0,1470,6773,3128,0,55926,0,0,0,244,0,9358
France (FR),03.01.2018 19:00 - 03.01.2018 20:00 (CET),290,0,0,2359,9,216,0,0,0,2270,6782,2746,0,55610,0,0,0,238,0,9125
France (FR),03.01.2018 20:00 - 03.01.2018 21:00 (CET),288,0,0,2375,10,216,0,0,0,470,6744,1883,0,55213,0,0,0,238,0,8448
France (FR),03.01.2018 21:00 - 03.01.2018 22:00 (CET),290,0,0,2405,10,215,0,0,0,1780,6710,1426,0,54512,0,0,0,236,0,8062
France (FR),03.01.2018 22:00 - 03.01.2018 23:00 (CET),290,0,0,2370,10,215,0,0,0,1981,6506,1696,0,53431,0,0,0,238,0,7938
