Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
FYR Macedonia (MK),01.01.2018 00:00 - 01.01.2018 01:00 (CET),0,459,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,3
FYR Macedonia (MK),01.01.2018 01:00 - 01.01.2018 02:00 (CET),0,470,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,8
FYR Macedonia (MK),01.01.2018 02:00 - 01.01.2018 03:00 (CET),0,470,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,3
FYR Macedonia (MK),01.01.2018 03:00 - 01.01.2018 04:00 (CET),0,442,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),01.01.2018 04:00 - 01.01.2018 05:00 (CET),0,407,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),01.01.2018 05:00 - 01.01.2018 06:00 (CET),0,360,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),01.01.2018 06:00 - 01.01.2018 07:00 (CET),0,336,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),01.01.2018 07:00 - 01.01.2018 08:00 (CET),0,332,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),01.01.2018 08:00 - 01.01.2018 09:00 (CET),0,339,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),01.01.2018 09:00 - 01.01.2018 10:00 (CET),0,319,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
