Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Norway (NO),01.01.2018 00:00 - 01.01.2018 01:00 (CET),0,0,0,347,0,0,0,0,0,0,0,971,12039,0,0,50,0,0,0,0,724
Norway (NO),01.01.2018 01:00 - 01.01.2018 02:00 (CET),0,0,0,347,0,0,0,0,0,0,0,973,12195,0,0,50,0,0,0,0,731
Norway (NO),01.01.2018 02:00 - 01.01.2018 03:00 (CET),0,0,0,347,0,0,0,0,0,0,0,970,11290,0,0,50,0,0,0,0,708
Norway (NO),01.01.2018 03:00 - 01.01.2018 04:00 (CET),0,0,0,347,0,0,0,0,0,0,0,971,10028,0,0,50,0,0,0,0,680
Norway (NO),01.01.2018 04:00 - 01.01.2018 05:00 (CET),0,0,0,347,0,0,0,0,0,0,0,976,10036,0,0,50,0,0,0,0,674
Norway (NO),01.01.2018 05:00 - 01.01.2018 06:00 (CET),0,0,0,348,0,0,0,0,0,0,0,976,10143,0,0,49,0,0,0,0,641
Norway (NO),01.01.2018 06:00 - 01.01.2018 07:00 (CET),0,0,0,347,0,0,0,0,0,0,0,978,10624,0,0,49,0,0,0,0,631
Norway (NO),01.01.2018 07:00 - 01.01.2018 08:00 (CET),0,0,0,347,0,0,0,0,0,0,0,970,11288,0,0,49,0,0,0,0,624
Norway (NO),01.01.2018 08:00 - 01.01.2018 09:00 (CET),0,0,0,348,0,0,0,0,0,0,0,972,10874,0,0,49,0,0,0,0,597
Norway (NO),01.01.2018 09:00 - 01.01.2018 10:00 (CET),0,0,0,348,0,0,0,0,0,0,0,991,11113,0,0,49,0,0,0,0,529
Norway (NO),01.01.2018 10:00 - 01.01.2018 11:00 (CET),0,0,0,350,0,0,0,0,0,0,0,998,12063,0,0,49,0,0,0,0,491
Norway (NO),01.01.2018 11:00 - 01.01.2018 12:00 (CET),0,0,0,349,0,0,0,0,0,0,0,1002,12598,0,0,49,0,0,0,0,465
Norway (NO),01.01.2018 12:00 - 01.01.2018 13:00 (CET),0,0,0,350,0,0,0,0,0,0,0,1005,12857,0,0,49,0,0,0,0,434
Norway (NO),01.01.2018 13:00 - 01.01.2018 14:00 (CET),0,0,0,350,0,0,0,0,0,0,0,1005,12844,0,0,49,0,0,0,0,416
Norway (NO),01.01.2018 14:00 - 01.01.2018 15:00 (CET),0,0,0,349,0,0,0,0,0,0,0,1004,13106,0,0,49,0,0,0,0,422
Norway (NO),01.01.2018 15:00 - 01.01.2018 16:00 (CET),0,0,0,348,0,0,0,0,0,0,0,1005,14094,0,0,49,0,0,0,0,402
Norway (NO),01.01.2018 16:00 - 01.01.2018 17:00 (CET),0,0,0,348,0,0,0,0,0,0,0,1004,14915,0,0,49,0,0,0,0,387
Norway (NO),01.01.2018 17:00 - 01.01.2018 18:00 (CET),0,0,0,350,0,0,0,0,0,0,0,1015,15691,0,0,49,0,0,0,0,371
Norway (NO),01.01.2018 18:00 - 01.01.2018 19:00 (CET),0,0,0,350,0,0,0,0,0,0,0,1013,15459,0,0,49,0,0,0,0,350
Norway (NO),01.01.2018 19:00 - 01.01.2018 20:00 (CET),0,0,0,350,0,0,0,0,0,0,0,1009,14631,0,0,49,0,0,0,0,337
Norway (NO),01.01.2018 20:00 - 01.01.2018 21:00 (CET),0,0,0,349,0,0,0,0,0,0,0,1011,13871,0,0,48,0,0,0,0,311
Norway (NO),01.01.2018 21:00 - 01.01.2018 22:00 (CET),0,0,0,350,0,0,0,0,0,0,0,1012,13358,0,0,48,0,0,0,0,292
Norway (NO),01.01.2018 22:00 - 01.01.2018 23:00 (CET),0,0,0,350,0,0,0,0,0,0,0,1006,12117,0,0,48,0,0,0,0,278
Norway (NO),01.01.2018 23:00 - 02.01.2018 00:00 (CET),0,0,0,349,0,0,0,0,0,0,0,1006,10884,0,0,48,0,0,0,0,266
Norway (NO),02.01.2018 00:00 - 02.01.2018 01:00 (CET),0,0,0,350,0,0,0,0,0,0,0,994,9912,0,0,50,0,0,0,0,341
Norway (NO),02.01.2018 01:00 - 02.01.2018 02:00 (CET),0,0,0,352,0,0,0,0,0,0,0,1002,9317,0,0,50,0,0,0,0,299
