Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Serbia (RS),01.01.2018 00:00 - 01.01.2018 01:00 (CET),5,2932,0,2,0,0,0,0,0,0,1236,0,0,0,65,0,0,0,0,0
Serbia (RS),01.01.2018 01:00 - 01.01.2018 02:00 (CET),5,2951,0,2,0,0,0,0,0,0,1246,0,0,0,66,0,0,0,0,0
Serbia (RS),01.01.2018 02:00 - 01.01.2018 03:00 (CET),5,2957,0,2,0,0,0,0,0,0,1119,0,0,0,65,0,0,0,0,0
Serbia (RS),01.01.2018 03:00 - 01.01.2018 04:00 (CET),5,2958,0,2,0,0,0,0,0,0,1085,0,0,0,64,0,0,0,0,0
Serbia (RS),01.01.2018 04:00 - 01.01.2018 05:00 (CET),5,2942,0,2,0,0,0,0,0,0,1182,0,0,0,63,0,0,0,0,0
Serbia (RS),01.01.2018 05:00 - 01.01.2018 06:00 (CET),5,2916,0,2,0,0,0,0,0,0,1083,0,0,0,62,0,0,0,0,0
Serbia (RS),01.01.2018 06:00 - 01.01.2018 07:00 (CET),5,2928,0,2,0,0,0,0,0,0,992,0,0,0,62,0,0,0,0,0
Serbia (RS),01.01.2018 07:00 - 01.01.2018 08:00 (CET),5,2935,0,2,0,0,0,0,0,0,914,0,0,0,62,0,0,0,0,0
Serbia (RS),01.01.2018 08:00 - 01.01.2018 09:00 (CET),5,2938,0,2,0,0,0,0,0,0,1029,0,0,0,63,0,0,0,0,0
Serbia (RS),01.01.2018 09:00 - 01.01.2018 10:00 (CET),5,2928,0,2,0,0,0,0,0,0,1204,0,0,0,61,0,0,0,0,0
Serbia (RS),01.01.2018 10:00 - 01.01.2018 11:00 (CET),5,2945,0,2,0,0,0,0,0,0,1372,12,0,0,66,0,0,0,0,0
Serbia (RS),01.01.2018 11:00 - 01.01.2018 12:00 (CET),5,2936,0,2,0,0,0,0,0,0,1430,24,0,0,69,0,0,0,0,0
Serbia (RS),01.01.2018 12:00 - 01.01.2018 13:00 (CET),5,2945,0,2,0,0,0,0,0,0,1461,0,0,0,67,0,0,0,0,0
Serbia (RS),01.01.2018 13:00 - 01.01.2018 14:00 (CET),5,2938,0,2,0,0,0,0,0,0,1412,0,0,0,66,0,0,0,0,0
Serbia (RS),01.01.2018 14:00 - 01.01.2018 15:00 (CET),5,2945,0,2,0,0,0,0,0,0,1352,0,0,0,65,0,0,0,0,0
Serbia (RS),01.01.2018 15:00 - 01.01.2018 16:00 (CET),5,2941,0,2,0,0,0,0,0,0,1404,0,0,0,65,0,0,0,0,0
Serbia (RS),01.01.2018 16:00 - 01.01.2018 17:00 (CET),5,2928,0,2,0,0,0,0,0,0,1449,0,0,0,62,0,0,0,0,0
Serbia (RS),01.01.2018 17:00 - 01.01.2018 18:00 (CET),5,2955,0,2,0,0,0,0,0,0,1544,0,0,0,62,0,0,0,0,0
Serbia (RS),01.01.2018 18:00 - 01.01.2018 19:00 (CET),5,2949,0,2,0,0,0,0,0,0,1551,0,0,0,62,0,0,0,0,0
Serbia (RS),01.01.2018 19:00 - 01.01.2018 20:00 (CET),5,2940,0,2,0,0,0,0,0,0,1554,0,0,0,63,0,0,0,0,0
Serbia (RS),01.01.2018 20:00 - 01.01.2018 21:00 (CET),5,2950,0,2,0,0,0,0,0,0,1515,11,0,0,61,0,0,0,0,0
Serbia (RS),01.01.2018 21:00 - 01.01.2018 22:00 (CET),5,2946,0,2,0,0,0,0,0,0,1388,23,0,0,63,0,0,0,0,0
Serbia (RS),01.01.2018 22:00 - 01.01.2018 23:00 (CET),5,2937,0,2,0,0,0,0,0,0,1381,23,0,0,65,0,0,0,0,0
Serbia (RS),01.01.2018 23:00 - 02.01.2018 00:00 (CET),5,2947,0,2,0,0,0,0,0,0,1416,0,0,0,66,0,0,0,0,0
Serbia (RS),02.01.2018 00:00 - 02.01.2018 01:00 (CET),5,2946,0,2,0,0,0,0,0,0,1452,0,0,0,67,0,0,0,0,0
Serbia (RS),02.01.2018 01:00 - 02.01.2018 02:00 (CET),5,2945,0,2,0,0,0,0,0,0,1383,0,0,0,68,0,0,0,0,0
