Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Sweden (SE),01.01.2018 00:00 - 01.01.2018 01:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4998,0,8542,1133,0,0,0,0,2214
Sweden (SE),01.01.2018 01:00 - 01.01.2018 02:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4407,0,8542,1135,0,0,0,0,2199
Sweden (SE),01.01.2018 02:00 - 01.01.2018 03:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4291,0,8540,1142,0,0,0,0,2253
Sweden (SE),01.01.2018 03:00 - 01.01.2018 04:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4259,0,8541,1056,0,0,0,0,2224
Sweden (SE),01.01.2018 04:00 - 01.01.2018 05:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4242,0,8542,1053,0,0,0,0,2154
Sweden (SE),01.01.2018 05:00 - 01.01.2018 06:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4376,0,8540,1053,0,0,0,0,2183
Sweden (SE),01.01.2018 06:00 - 01.01.2018 07:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4638,0,8541,1060,0,0,0,0,2236
Sweden (SE),01.01.2018 07:00 - 01.01.2018 08:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5051,0,8539,1064,0,0,0,0,2309
Sweden (SE),01.01.2018 08:00 - 01.01.2018 09:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5454,0,8542,1070,0,0,0,0,2378
Sweden (SE),01.01.2018 09:00 - 01.01.2018 10:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5895,0,8539,1101,0,0,0,0,2462
Sweden (SE),01.01.2018 10:00 - 01.01.2018 11:00 (CET),0,0,0,0,0,0,0,0,0,0,0,6725,0,8540,1111,0,0,0,0,2504
Sweden (SE),01.01.2018 11:00 - 01.01.2018 12:00 (CET),0,0,0,0,0,0,0,0,0,0,0,7081,0,8539,1122,0,0,0,0,2449
Sweden (SE),01.01.2018 12:00 - 01.01.2018 13:00 (CET),0,0,0,0,0,0,0,0,0,0,0,7340,0,8537,1130,0,0,0,0,2479
Sweden (SE),01.01.2018 13:00 - 01.01.2018 14:00 (CET),0,0,0,0,0,0,0,0,0,0,0,7461,0,8538,1122,0,0,0,0,2435
Sweden (SE),01.01.2018 14:00 - 01.01.2018 15:00 (CET),0,0,0,0,0,0,0,0,0,0,0,7703,0,8538,1132,0,0,0,0,2373
Sweden (SE),01.01.2018 15:00 - 01.01.2018 16:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8112,0,8538,1129,0,0,0,0,2439
Sweden (SE),01.01.2018 16:00 - 01.01.2018 17:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8496,0,8538,1135,0,0,0,0,2436
Sweden (SE),01.01.2018 17:00 - 01.01.2018 18:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8655,0,8535,1141,0,0,0,0,2482
Sweden (SE),01.01.2018 18:00 - 01.01.2018 19:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8563,0,8535,1141,0,0,0,0,2512
Sweden (SE),01.01.2018 19:00 - 01.01.2018 20:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8517,0,8535,1137,0,0,0,0,2509
Sweden (SE),01.01.2018 20:00 - 01.01.2018 21:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8193,0,8536,1152,0,0,0,0,2454
Sweden (SE),01.01.2018 21:00 - 01.01.2018 22:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8158,0,8538,1116,0,0,0,0,2416
Sweden (SE),01.01.2018 22:00 - 01.01.2018 23:00 (CET),0,0,0,0,0,0,0,0,0,0,0,7753,0,8536,1111,0,0,0,0,2362
Sweden (SE),01.01.2018 23:00 - 02.01.2018 00:00 (CET),0,0,0,0,0,0,0,0,0,0,0,6679,0,8537,1109,0,0,0,0,2277
Sweden (SE),02.01.2018 00:00 - 02.01.2018 01:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5262,0,8537,1086,0,0,0,0,2077
Sweden (SE),02.01.2018 01:00 - 02.01.2018 02:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4989,0,8537,1090,0,0,0,0,2001
Sweden (SE),02.01.2018 02:00 - 02.01.2018 03:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4908,0,8536,1092,0,0,0,0,1951
Sweden (SE),02.01.2018 03:00 - 02.01.2018 04:00 (CET),0,0,0,0,0,0,0,0,0,0,0,4859,0,8261,1092,0,0,0,0,1903
Sweden (SE),02.01.2018 04:00 - 02.01.2018 05:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5354,0,7338,1095,0,0,0,0,1861
Sweden (SE),02.01.2018 05:00 - 02.01.2018 06:00 (CET),0,0,0,0,0,0,0,0,0,0,0,6135,0,7337,1108,0,0,0,0,1815
Sweden (SE),02.01.2018 06:00 - 02.01.2018 07:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8340,0,7336,1122,0,0,0,0,1766
Sweden (SE),02.01.2018 07:00 - 02.01.2018 08:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10743,0,7332,1202,0,0,0,0,1710
Sweden (SE),02.01.2018 08:00 - 02.01.2018 09:00 (CET),0,0,0,0,0,0,0,0,0,0,0,11711,0,7329,1216,0,0,0,0,1638
Sweden (SE),02.01.2018 09:00 - 02.01.2018 10:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12097,0,7330,1193,0,0,0,0,1527
Sweden (SE),02.01.2018 10:00 - 02.01.2018 11:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12253,0,7328,1219,0,0,0,0,1443
Sweden (SE),02.01.2018 11:00 - 02.01.2018 12:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12290,0,7320,1223,0,0,0,0,1359
Sweden (SE),02.01.2018 12:00 - 02.01.2018 13:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12240,0,7319,1208,0,0,0,0,1285
Sweden (SE),02.01.2018 13:00 - 02.01.2018 14:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12217,0,7318,1203,0,0,0,0,1266
Sweden (SE),02.01.2018 14:00 - 02.01.2018 15:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12223,0,7319,1192,0,0,0,0,1293
Sweden (SE),02.01.2018 15:00 - 02.01.2018 16:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12352,0,7318,1132,0,0,0,0,1338
Sweden (SE),02.01.2018 16:00 - 02.01.2018 17:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12347,0,7317,1112,0,0,0,0,1374
Sweden (SE),02.01.2018 17:00 - 02.01.2018 18:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12213,0,7316,1138,0,0,0,0,1410
Sweden (SE),02.01.2018 18:00 - 02.01.2018 19:00 (CET),0,0,0,0,0,0,0,0,0,0,0,12031,0,7312,1152,0,0,0,0,1445
Sweden (SE),02.01.2018 19:00 - 02.01.2018 20:00 (CET),0,0,0,0,0,0,0,0,0,0,0,11774,0,7318,1140,0,0,0,0,1429
Sweden (SE),02.01.2018 20:00 - 02.01.2018 21:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10878,0,7321,1115,0,0,0,0,1381
Sweden (SE),02.01.2018 21:00 - 02.01.2018 22:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10008,0,7326,1101,0,0,0,0,1326
Sweden (SE),02.01.2018 22:00 - 02.01.2018 23:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8834,0,7329,1094,0,0,0,0,1258
Sweden (SE),02.01.2018 23:00 - 03.01.2018 00:00 (CET),0,0,0,0,0,0,0,0,0,0,0,7654,0,7329,1085,0,0,0,0,1242
Sweden (SE),03.01.2018 00:00 - 03.01.2018 01:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5614,0,7330,1116,0,0,0,0,1055
Sweden (SE),03.01.2018 01:00 - 03.01.2018 02:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5413,0,7335,1104,0,0,0,0,1038
Sweden (SE),03.01.2018 02:00 - 03.01.2018 03:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5390,0,7336,1097,0,0,0,0,1092
Sweden (SE),03.01.2018 03:00 - 03.01.2018 04:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5382,0,7337,1110,0,0,0,0,1150
Sweden (SE),03.01.2018 04:00 - 03.01.2018 05:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5637,0,7335,1116,0,0,0,0,1259
Sweden (SE),03.01.2018 05:00 - 03.01.2018 06:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5924,0,7335,1138,0,0,0,0,1436
Sweden (SE),03.01.2018 06:00 - 03.01.2018 07:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8068,0,7336,1161,0,0,0,0,1597
Sweden (SE),03.01.2018 07:00 - 03.01.2018 08:00 (CET),0,0,0,0,0,0,0,0,0,0,0,9671,0,7333,1185,0,0,0,0,1756
Sweden (SE),03.01.2018 08:00 - 03.01.2018 09:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10115,0,7335,1142,0,0,0,0,1952
Sweden (SE),03.01.2018 09:00 - 03.01.2018 10:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10067,0,7337,1146,0,0,0,0,2116
Sweden (SE),03.01.2018 10:00 - 03.01.2018 11:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10148,0,7334,1141,0,0,0,0,2361
Sweden (SE),03.01.2018 11:00 - 03.01.2018 12:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10019,0,7335,1136,0,0,0,0,2385
Sweden (SE),03.01.2018 12:00 - 03.01.2018 13:00 (CET),0,0,0,0,0,0,0,0,0,0,0,9905,0,7333,1129,0,0,0,0,2488
Sweden (SE),03.01.2018 13:00 - 03.01.2018 14:00 (CET),0,0,0,0,0,0,0,0,0,0,0,9721,0,7333,1140,0,0,0,0,2455
Sweden (SE),03.01.2018 14:00 - 03.01.2018 15:00 (CET),0,0,0,0,0,0,0,0,0,0,0,9819,0,7332,1154,0,0,0,0,2420
Sweden (SE),03.01.2018 15:00 - 03.01.2018 16:00 (CET),0,0,0,0,0,0,0,0,0,0,0,9983,0,7332,1224,0,0,0,0,2398
Sweden (SE),03.01.2018 16:00 - 03.01.2018 17:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10540,0,7333,1237,0,0,0,0,2386
Sweden (SE),03.01.2018 17:00 - 03.01.2018 18:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10549,0,7333,1225,0,0,0,0,2345
Sweden (SE),03.01.2018 18:00 - 03.01.2018 19:00 (CET),0,0,0,0,0,0,0,0,0,0,0,10120,0,7334,1240,0,0,0,0,2239
Sweden (SE),03.01.2018 19:00 - 03.01.2018 20:00 (CET),0,0,0,0,0,0,0,0,0,0,0,9548,0,7334,1232,0,0,0,0,2128
Sweden (SE),03.01.2018 20:00 - 03.01.2018 21:00 (CET),0,0,0,0,0,0,0,0,0,0,0,9093,0,7337,1237,0,0,0,0,1998
Sweden (SE),03.01.2018 21:00 - 03.01.2018 22:00 (CET),0,0,0,0,0,0,0,0,0,0,0,8569,0,7328,1251,0,0,0,0,1897
Sweden (SE),03.01.2018 22:00 - 03.01.2018 23:00 (CET),0,0,0,0,0,0,0,0,0,0,0,7683,0,7324,1246,0,0,0,0,1835
Sweden (SE),03.01.2018 23:00 - 04.01.2018 00:00 (CET),0,0,0,0,0,0,0,0,0,0,0,6709,0,7326,1225,0,0,0,0,1776
Sweden (SE),04.01.2018 00:00 - 04.01.2018 01:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5586,0,7414,1236,0,0,0,0,1786
Sweden (SE),04.01.2018 01:00 - 04.01.2018 02:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5533,0,7435,1230,0,0,0,0,1786
Sweden (SE),04.01.2018 02:00 - 04.01.2018 03:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5449,0,7452,1222,0,0,0,0,1743
Sweden (SE),04.01.2018 03:00 - 04.01.2018 04:00 (CET),0,0,0,0,0,0,0,0,0,0,0,5420,0,7794,1238,0,0,0,0,1741
