Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Austria (AT),01.01.2018 00:00 - 01.01.2018 00:15 (CET),316,0,0,80,151,0,0,0,0,1191,3489,256,0,0,22,0,0,100,0,923
Austria (AT),01.01.2018 00:15 - 01.01.2018 00:30 (CET),316,0,0,78,150,0,0,0,0,1184,3424,175,0,0,22,0,0,100,0,932
Austria (AT),01.01.2018 00:30 - 01.01.2018 00:45 (CET),316,0,0,78,152,0,0,0,0,1198,3389,157,0,0,22,0,0,100,0,923
Austria (AT),01.01.2018 00:45 - 01.01.2018 01:00 (CET),316,0,0,77,151,0,0,0,0,1199,3070,214,0,0,22,0,0,100,0,881
Austria (AT),01.01.2018 01:00 - 01.01.2018 01:15 (CET),316,0,0,72,150,0,0,0,0,1355,3003,322,0,0,22,0,0,100,0,797
Austria (AT),01.01.2018 01:15 - 01.01.2018 01:30 (CET),316,0,0,70,151,0,0,0,0,1426,3105,230,0,0,22,0,0,100,0,803
Austria (AT),01.01.2018 01:30 - 01.01.2018 01:45 (CET),316,0,0,71,150,0,0,0,0,1424,3143,239,0,0,22,0,0,100,0,854
Austria (AT),01.01.2018 01:45 - 01.01.2018 02:00 (CET),316,0,0,71,150,0,0,0,0,1434,3147,187,0,0,22,0,0,100,0,876
Austria (AT),01.01.2018 02:00 - 01.01.2018 02:15 (CET),316,0,0,71,148,0,0,0,0,1454,3135,297,0,0,22,0,0,100,0,954
Austria (AT),01.01.2018 02:15 - 01.01.2018 02:30 (CET),316,0,0,70,150,0,0,0,0,1474,3080,218,0,0,22,0,0,100,0,983
